Date,Stock,Market,joined date
2021-01-04,5.11744348722732,3087.4,2022-03-03
2021-01-06,5.11981469395947,3221.87,2022-03-03
2021-01-07,5.2820119165114,3282.06,2022-03-03
2021-01-11,5.21312760314632,2978.94,2022-03-03
2021-01-12,5.42723485125096,2899.72,2022-03-03
2021-01-13,5.49620825433732,3148.29,2022-03-03
2021-01-14,5.46592692630368,3149.93,2022-03-03
2021-01-15,5.329611065289,3085.9,2022-03-03
2021-01-18,5.23346515255939,3013.93,2022-03-03
2021-01-19,5.3112289366656,3092.66,2022-03-03
2021-01-20,5.28116021343828,3114.55,2022-03-03
2021-01-21,5.20965923555445,3160.84,2022-03-03
2021-01-22,5.07504003039528,3140.63,2022-03-03
2021-01-25,5.10620544540705,3208.99,2022-03-03
2021-01-26,5.06802782874024,3140.31,2022-03-03
2021-01-27,5.0524188455216,3122.56,2022-03-03
2021-01-28,4.98867436090995,3069.05,2022-03-03
2021-01-29,4.9300311370361,2976.21,2022-03-03
2021-02-02,5.14627433049114,3096.81,2022-03-03
2021-02-03,5.17306414240512,3043.87,2022-03-03
2021-02-04,5.02678571428491,3112.8,2022-03-03
2021-02-08,5.20791315961679,3223.04,2022-03-03
2021-02-09,5.19408036871842,3175.85,2022-03-03
2021-02-15,5.2846155941532,3147.0,2022-03-03
2021-02-16,5.29559543819546,3163.25,2022-03-03
2021-02-17,5.3364206184811,3133.73,2022-03-03
2021-02-18,5.27571005275856,3086.66,2022-03-03
2021-02-19,5.32478469939612,3107.62,2022-03-03
2021-02-22,5.27172788528218,3079.75,2022-03-03
2021-02-23,5.2876690117358,3070.09,2022-03-03
2021-02-24,5.39163889566372,2994.98,2022-03-03
2021-02-25,5.34515584079074,3099.69,2022-03-03
2021-02-26,5.2496240735316,3012.95,2022-03-03
2021-03-02,5.2799530670865,3129.68,2022-03-03
2021-03-03,5.61253940766256,3082.99,2022-03-03
2021-03-05,5.5496453900707,3127.2,2022-03-03
2021-03-08,5.77649605988563,3237.14,2022-03-03
2021-03-09,5.80662783833265,3201.06,2022-03-03
2021-03-11,5.68850356084678,2975.71,2022-03-03
2021-03-12,5.65140845070522,2968.33,2022-03-03
2021-03-15,5.85508014306579,3045.71,2022-03-03
2021-03-16,5.8370239149704,3067.17,2022-03-03
2021-03-17,5.91325443048054,3047.5,2022-03-03
2021-03-18,5.97650188427984,3066.01,2022-03-03
2021-03-19,6.0932407538608,3039.53,2022-03-03
2021-03-22,6.0568383658948,3035.46,2022-03-03
2021-03-23,5.88754523788821,3004.74,2022-03-03
2021-03-24,5.77143360648215,2996.35,2022-03-03
2021-03-25,5.80555359785919,3008.33,2022-03-03
2021-03-26,5.97242405983248,3041.01,2022-03-03
2021-03-29,5.99172823358904,3036.04,2022-03-03
2021-03-30,5.95979127486675,3070.0,2022-03-03
2021-03-31,6.02393605223928,3061.42,2022-03-03
2021-04-01,5.92706782904412,2944.45,2022-03-03
2021-04-02,5.82116529628584,3087.55,2022-03-03
2021-04-05,5.89763205180708,3147.37,2022-03-03
2021-04-06,5.92403298873555,3240.08,2022-03-03
2021-04-08,6.05827052508132,3280.38,2022-03-03
2021-04-13,6.01942267048275,3169.08,2022-03-03
2021-04-14,6.02107375815456,3182.38,2022-03-03
2021-04-15,6.04470394383525,3194.33,2022-03-03
2021-04-16,5.9292431706234,3198.62,2022-03-03
2021-04-19,5.98925878439876,3198.84,2022-03-03
2021-04-20,6.04145782614825,3220.7,2022-03-03
2021-04-21,6.10023738074967,3171.66,2022-03-03
2021-04-22,6.1226861162539,3177.52,2022-03-03
2021-04-23,6.21680780823795,3186.1,2022-03-03
2021-04-26,6.2687454402996,3217.53,2022-03-03
2021-04-27,6.44013904233435,3215.42,2022-03-03
2021-04-28,6.60431758388159,3181.47,2022-03-03
2021-04-29,6.60870507299088,3174.07,2022-03-03
2021-04-30,6.86562354542233,3147.86,2022-03-03
2021-05-03,6.75687737651372,3026.26,2022-03-03
2021-05-04,6.63545839736385,3120.83,2022-03-03
2021-05-07,7.09124123718764,3293.21,2022-03-03
2021-05-10,7.18200379697166,2962.17,2022-03-03
2021-05-11,7.40456242519639,2969.27,2022-03-03
2021-05-13,7.24219644458256,3122.11,2022-03-03
2021-05-14,7.1949475479456,3153.32,2022-03-03
2021-05-17,7.08171685448395,3134.52,2022-03-03
2021-05-18,7.16992182300424,3173.05,2022-03-03
2021-05-20,7.05886526080832,3162.28,2022-03-03
2021-05-21,6.84621728758444,3156.42,2022-03-03
2021-05-24,7.0317228611074,3144.3,2022-03-03
2021-05-25,6.96746142058164,3171.32,2022-03-03
2021-05-26,7.05707453811368,3168.43,2022-03-03
2021-05-27,7.02695453936268,3165.51,2022-03-03
2021-05-28,7.14234376684665,3188.73,2022-03-03
2021-05-31,7.18429756546995,3203.92,2022-03-03
2021-06-01,7.20871903137814,2968.21,2022-03-03
2021-06-04,7.19482764830743,3127.08,2022-03-03
2021-06-07,7.20318380724,3305.21,2022-03-03
2021-06-08,7.12164048240944,3270.36,2022-03-03
2021-06-09,6.96479952671643,3203.33,2022-03-03
2021-06-10,6.90448791714816,2908.31,2022-03-03
2021-06-14,6.74531724489906,3252.13,2022-03-03
2021-06-15,6.78548729287344,3258.63,2022-03-03
2021-06-16,6.82452237172251,3278.68,2022-03-03
2021-06-17,6.84122366216968,3264.96,2022-03-03
