Date,Stock,Market,joined date
2018-01-02,53.12,10710.73,20-01-2022
2018-01-03,54.1,10801.57,20-01-2022
2018-01-04,54.3,10848.63,20-01-2022
2018-01-05,54.59,10879.8,20-01-2022
2018-01-08,54.59,10915.75,20-01-2022
2018-01-09,54.69,10914.89,20-01-2022
2018-01-10,54.49,10831.09,20-01-2022
2018-01-11,54.3,10810.06,20-01-2022
2018-01-12,54.49,10883.96,20-01-2022
2018-01-15,55.37,10956.31,20-01-2022
2018-01-16,55.47,10986.11,20-01-2022
2018-01-17,55.18,11004.8,20-01-2022
2018-01-18,54.79,11071.57,20-01-2022
2018-01-19,54.88,11150.85,20-01-2022
2018-01-22,54.49,11231.46,20-01-2022
2018-01-23,54.88,11253.11,20-01-2022
2018-01-24,54.59,11152.16,20-01-2022
2018-01-25,54.49,11165.95,20-01-2022
2018-01-26,53.61,11147.1,20-01-2022
2018-01-29,54.1,11221.81,20-01-2022
2018-01-30,53.32,11076.78,20-01-2022
2018-01-31,53.51,11103.79,20-01-2022
2018-02-01,53.71,11160.25,20-01-2022
2018-02-02,53.61,11126.23,20-01-2022
2018-02-05,53.02,10946.25,20-01-2022
2018-02-06,49.79,10404.0,20-01-2022
2018-02-07,51.65,10551.54,20-01-2022
2018-02-08,52.24,10528.52,20-01-2022
2018-02-09,51.75,10371.75,20-01-2022
2018-02-12,51.94,10421.09,20-01-2022
2018-02-21,52.92,10714.44,20-01-2022
2018-02-22,53.12,10662.38,20-01-2022
2018-02-23,53.61,10794.55,20-01-2022
2018-02-26,53.22,10836.7,20-01-2022
2018-02-27,53.41,10815.47,20-01-2022
2018-03-01,52.83,10785.79,20-01-2022
2018-03-02,52.24,10698.17,20-01-2022
2018-03-05,51.55,10642.9,20-01-2022
2018-03-06,51.75,10784.34,20-01-2022
2018-03-07,51.45,10745.32,20-01-2022
2018-03-08,51.36,10823.24,20-01-2022
2018-03-09,50.96,10864.82,20-01-2022
2018-03-12,53.41,11002.1,20-01-2022
2018-03-13,52.83,11095.63,20-01-2022
2018-03-14,52.83,11038.8,20-01-2022
2018-03-15,52.34,11018.45,20-01-2022
2018-03-16,52.34,11027.7,20-01-2022
2018-03-19,52.53,11046.9,20-01-2022
2018-03-20,52.14,11010.84,20-01-2022
2018-03-21,52.34,11011.07,20-01-2022
2018-03-22,52.34,11005.84,20-01-2022
2018-03-23,51.16,10823.33,20-01-2022
2018-03-26,51.75,10840.05,20-01-2022
2018-03-27,52.24,10986.79,20-01-2022
2018-03-28,51.45,10865.66,20-01-2022
2018-03-29,50.77,10845.92,20-01-2022
2018-03-30,50.87,10906.22,20-01-2022
2018-04-02,51.45,10888.27,20-01-2022
2018-04-03,50.96,10821.53,20-01-2022
2018-04-09,51.94,10893.53,20-01-2022
2018-04-10,51.94,10927.18,20-01-2022
2018-04-11,52.24,10974.02,20-01-2022
2018-04-12,52.24,10955.29,20-01-2022
2018-04-13,51.75,10965.39,20-01-2022
2018-04-16,51.45,10954.55,20-01-2022
2018-04-17,50.57,10810.45,20-01-2022
2018-04-18,50.96,10847.89,20-01-2022
2018-04-19,51.85,10971.22,20-01-2022
2018-04-20,51.45,10779.38,20-01-2022
2018-04-23,51.45,10697.13,20-01-2022
2018-04-24,51.45,10579.5,20-01-2022
2018-04-25,51.16,10559.97,20-01-2022
2018-04-26,51.75,10488.58,20-01-2022
2018-04-27,52.43,10553.43,20-01-2022
2018-04-30,52.43,10657.88,20-01-2022
2018-05-02,52.43,10618.81,20-01-2022
2018-05-03,51.85,10514.18,20-01-2022
2018-05-04,51.75,10529.37,20-01-2022
2018-05-07,51.94,10604.91,20-01-2022
2018-05-08,52.43,10691.38,20-01-2022
2018-05-09,52.53,10703.35,20-01-2022
2018-05-10,52.24,10760.21,20-01-2022
2018-05-11,53.51,10858.98,20-01-2022
2018-05-14,53.9,10952.39,20-01-2022
2018-05-15,52.92,10874.73,20-01-2022
2018-05-16,53.81,10897.57,20-01-2022
2018-05-17,53.81,10833.81,20-01-2022
2018-05-18,53.32,10830.84,20-01-2022
2018-05-21,53.9,10966.2,20-01-2022
2018-05-22,53.61,10938.73,20-01-2022
2018-05-23,52.92,10886.18,20-01-2022
2018-05-24,53.12,10936.93,20-01-2022
2018-05-25,52.83,10942.3,20-01-2022
2018-05-28,53.02,10987.77,20-01-2022
2018-05-29,53.02,10964.12,20-01-2022
2018-05-30,51.85,10821.17,20-01-2022
2018-05-31,52.53,10874.96,20-01-2022
2018-06-01,52.43,10949.08,20-01-2022
2018-06-04,52.92,11109.5,20-01-2022
2018-06-05,53.22,11100.11,20-01-2022
2018-06-06,53.81,11201.83,20-01-2022
2018-06-07,53.9,11251.75,20-01-2022
2018-06-08,53.9,11156.42,20-01-2022
2018-06-11,54.3,11149.23,20-01-2022
2018-06-12,54.0,11144.79,20-01-2022
2018-06-13,54.39,11173.21,20-01-2022
2018-06-14,53.41,11013.98,20-01-2022
2018-06-15,54.2,11087.47,20-01-2022
2018-06-19,53.9,10904.19,20-01-2022
2018-06-20,54.39,10927.44,20-01-2022
2018-06-21,54.79,10941.07,20-01-2022
2018-06-22,54.88,10899.28,20-01-2022
2018-06-25,54.49,10786.46,20-01-2022
2018-06-26,51.94,10742.17,20-01-2022
2018-06-27,51.75,10701.03,20-01-2022
2018-06-28,51.94,10654.28,20-01-2022
2018-06-29,52.73,10836.91,20-01-2022
2018-07-02,52.14,10777.94,20-01-2022
2018-07-03,51.06,10715.72,20-01-2022
2018-07-04,50.87,10721.87,20-01-2022
2018-07-05,50.38,10611.81,20-01-2022
2018-07-06,49.98,10608.57,20-01-2022
2018-07-09,50.67,10720.28,20-01-2022
2018-07-10,50.77,10756.89,20-01-2022
2018-07-11,50.18,10676.84,20-01-2022
2018-07-12,51.06,10738.38,20-01-2022
2018-07-13,51.16,10864.54,20-01-2022
2018-07-16,50.96,10817.45,20-01-2022
2018-07-17,51.16,10778.99,20-01-2022
2018-07-18,51.65,10842.46,20-01-2022
2018-07-19,51.36,10835.38,20-01-2022
2018-07-20,51.26,10932.11,20-01-2022
2018-07-23,51.26,10946.89,20-01-2022
2018-07-24,51.06,10995.39,20-01-2022
2018-07-25,51.06,10965.79,20-01-2022
2018-07-26,51.06,11010.61,20-01-2022
2018-07-27,51.36,11075.78,20-01-2022
2018-07-30,51.16,11033.54,20-01-2022
2018-07-31,51.65,11057.51,20-01-2022
