Date,Stock,Market,joined date
2021-01-04,2.26312286187521,3087.4,2022-03-02
2021-01-06,2.16506492099603,3221.87,2022-03-02
2021-01-07,1.94410129709698,3282.06,2022-03-02
2021-01-11,1.71618180415155,2978.94,2022-03-02
2021-01-12,1.69942733323015,2899.72,2022-03-02
2021-01-13,1.62345192263092,3148.29,2022-03-02
2021-01-14,1.64823282254078,3149.93,2022-03-02
2021-01-15,1.69598765432099,3085.9,2022-03-02
2021-01-18,1.71643400819697,3013.93,2022-03-02
2021-01-19,1.77840900319558,3092.66,2022-03-02
2021-01-20,1.74323279195669,3114.55,2022-03-02
2021-01-21,1.75555383543618,3160.84,2022-03-02
2021-01-22,1.80527696343157,3140.63,2022-03-02
2021-01-25,1.85848357619166,3208.99,2022-03-02
2021-01-26,1.86122070085867,3140.31,2022-03-02
2021-01-27,1.89596124772454,3122.56,2022-03-02
2021-01-28,1.9367043463429,3069.05,2022-03-02
2021-01-29,1.91906614785993,2976.21,2022-03-02
2021-02-02,2.00771483013431,3096.81,2022-03-02
2021-02-03,1.98826243825392,3043.87,2022-03-02
2021-02-04,1.98253882407479,3112.8,2022-03-02
2021-02-08,2.05915213208367,3223.04,2022-03-02
2021-02-09,2.0639065025488,3175.85,2022-03-02
2021-02-18,2.08728360233702,3086.66,2022-03-02
2021-02-19,2.01223762682984,3107.62,2022-03-02
2021-02-22,2.08278529980657,3079.75,2022-03-02
2021-02-23,2.01423267326733,3070.09,2022-03-02
2021-02-24,2.01685358448479,2994.98,2022-03-02
2021-02-25,2.05760679258146,3099.69,2022-03-02
2021-02-26,2.1628302178279,3012.95,2022-03-02
2021-03-02,2.19004049333869,3129.68,2022-03-02
2021-03-03,2.12137611132586,3082.99,2022-03-02
2021-03-05,2.30603448275862,3127.2,2022-03-02
2021-03-08,2.20689655172414,3237.14,2022-03-02
2021-03-09,2.23827824750192,3201.06,2022-03-02
2021-03-11,2.35939136327235,2975.71,2022-03-02
2021-03-12,2.42313424809085,2968.33,2022-03-02
2021-03-15,2.50784663671611,3045.71,2022-03-02
2021-03-16,2.47955481768431,3067.17,2022-03-02
2021-03-17,2.42195909580193,3047.5,2022-03-02
2021-03-18,2.43951179020507,3066.01,2022-03-02
2021-03-19,2.43276471492239,3039.53,2022-03-02
2021-03-22,2.48347932995236,3035.46,2022-03-02
2021-03-23,2.5061387354205,3004.74,2022-03-02
2021-03-24,2.52797792426797,2996.35,2022-03-02
2021-03-25,2.58357269449367,3008.33,2022-03-02
2021-03-26,2.64018834464624,3041.01,2022-03-02
2021-03-29,2.69344377112579,3036.04,2022-03-02
2021-03-30,2.67514760484509,3070.0,2022-03-02
2021-03-31,2.41460362037913,3061.42,2022-03-02
2021-04-01,2.16924365907534,2944.45,2022-03-02
2021-04-02,2.04125156140511,3087.55,2022-03-02
2021-04-06,2.10341135077253,3240.08,2022-03-02
2021-04-08,2.09144340126709,3280.38,2022-03-02
2021-04-13,2.05712888386238,3169.08,2022-03-02
2021-04-14,2.02321877105924,3182.38,2022-03-02
2021-04-15,2.03465194725545,3194.33,2022-03-02
2021-04-16,2.04591813260126,3198.62,2022-03-02
2021-04-19,2.13566874087731,3198.84,2022-03-02
2021-04-20,2.04521321617089,3220.7,2022-03-02
2021-04-21,2.03842657504276,3171.66,2022-03-02
2021-04-22,2.03358496379602,3177.52,2022-03-02
2021-04-23,2.0309492647625,3186.1,2022-03-02
2021-04-26,2.00943803590155,3217.53,2022-03-02
2021-04-27,1.95896961283357,3215.42,2022-03-02
2021-04-28,2.01787837149342,3181.47,2022-03-02
2021-04-29,1.98114665430382,3174.07,2022-03-02
2021-04-30,2.01297698130697,3147.86,2022-03-02
2021-05-07,1.95303996268077,3293.21,2022-03-02
2021-05-10,2.01695866325831,2962.17,2022-03-02
2021-05-11,2.03935599284437,2969.27,2022-03-02
2021-05-13,2.16103928316746,3122.11,2022-03-02
2021-05-14,2.14084857147296,3153.32,2022-03-02
2021-05-17,1.92582468783003,3134.52,2022-03-02
2021-05-18,1.84280155642024,3173.05,2022-03-02
2021-05-20,1.76875611992726,3162.28,2022-03-02
2021-05-21,1.80294999922287,3156.42,2022-03-02
2021-05-24,1.82152484534958,3144.3,2022-03-02
2021-05-25,1.80343213728549,3171.32,2022-03-02
2021-05-26,1.81049996087943,3168.43,2022-03-02
2021-05-27,1.81593131110555,3165.51,2022-03-02
2021-05-28,1.82020919056444,3188.73,2022-03-02
2021-05-31,1.79625675166437,3203.92,2022-03-02
2021-06-01,1.79008088281397,2968.21,2022-03-02
2021-06-04,1.72491985299867,3127.08,2022-03-02
2021-06-07,1.78071697700233,3305.21,2022-03-02
2021-06-08,1.778125,3270.36,2022-03-02
2021-06-09,1.74900180067329,3203.33,2022-03-02
2021-06-10,1.73942967980103,2908.31,2022-03-02
2021-06-15,1.79541622431774,3258.63,2022-03-02
2021-06-16,1.79305601150557,3278.68,2022-03-02
2021-06-17,1.79754020813624,3264.96,2022-03-02
2021-06-18,1.84734598992639,3267.93,2022-03-02
2021-06-21,1.95487093830712,3240.79,2022-03-02
2021-06-22,1.86233818333307,3263.88,2022-03-02
2021-06-23,1.78441763097317,3276.19,2022-03-02
2021-06-24,1.74649541738149,3286.1,2022-03-02
2021-06-25,1.75071655434194,3302.84,2022-03-02
2021-06-28,1.75664162342189,3301.89,2022-03-02
2021-06-29,1.74054304943143,3286.68,2022-03-02
2021-06-30,1.72691509463185,3296.68,2022-03-02
2021-07-01,1.71771363193617,3031.68,2022-03-02
2021-07-05,1.73603589664243,3197.2,2022-03-02
2021-07-06,1.7667407956511,3252.12,2022-03-02
2021-07-07,1.76303346827775,3285.34,2022-03-02
2021-07-09,1.81669444958943,3187.42,2022-03-02
2021-07-12,1.84553134314528,2991.72,2022-03-02
2021-07-13,1.84123057895957,3271.38,2022-03-02
2021-07-14,1.83805342567401,3264.81,2022-03-02
2021-07-15,1.84298966996547,3286.22,2022-03-02
2021-07-16,1.80443003781739,3276.91,2022-03-02
2021-07-19,1.77060699921409,3244.04,2022-03-02
2021-07-20,1.75341198241962,3232.7,2022-03-02
2021-07-21,1.7706915749103,3215.91,2022-03-02
2021-07-22,1.75582311936815,3250.21,2022-03-02
2021-07-23,1.72818170596223,3254.42,2022-03-02
2021-07-26,1.67682221365214,3224.95,2022-03-02
2021-07-27,1.57747603833866,3232.53,2022-03-02
2021-07-28,1.52838764347893,3236.86,2022-03-02
2021-07-29,1.53805644186983,3242.65,2022-03-02
2021-07-30,1.52455540249811,3202.32,2022-03-02
2021-08-02,1.63262147941813,3091.24,2022-03-02
2021-08-03,1.60741885625966,2996.11,2022-03-02
2021-08-04,1.60699095197587,3143.26,2022-03-02
2021-08-06,1.59043578866178,3247.83,2022-03-02
2021-08-09,1.61277888277287,3162.99,2022-03-02
2021-08-10,1.63757478566583,2956.3,2022-03-02
2021-08-11,1.65475510550608,2960.2,2022-03-02
2021-08-12,1.67639159025655,3001.8,2022-03-02
2021-08-13,1.65513833992095,3171.29,2022-03-02
2021-08-17,1.56196996330219,3143.09,2022-03-02
2021-08-18,1.58078993229593,3158.93,2022-03-02
2021-08-19,1.57371192756613,3097.83,2022-03-02
2021-08-20,1.55202116532333,3060.51,2022-03-02
2021-08-23,1.54309081089422,3090.21,2022-03-02
2021-08-24,1.53917477978674,3138.3,2022-03-02
2021-08-25,1.54889122243499,3146.81,2022-03-02
2021-08-26,1.53373759817309,3128.53,2022-03-02
2021-08-27,1.53142433280277,3133.9,2022-03-02
2021-08-30,1.52958643941972,3144.19,2022-03-02
2021-08-31,1.52467339483623,3199.27,2022-03-02
2021-09-02,1.55364168654543,3084.67,2022-03-02
2021-09-03,1.56211257128689,2976.12,2022-03-02
2021-09-06,1.57416875832791,3216.18,2022-03-02
2021-09-07,1.58980544987782,3217.95,2022-03-02
2021-09-08,1.60341732185972,3260.42,2022-03-02
2021-09-09,1.62135350466566,3114.7,2022-03-02
2021-09-13,1.5888763156671,3127.86,2022-03-02
2021-09-14,1.62467770494859,3148.83,2022-03-02
2021-09-15,1.57804726368159,3153.4,2022-03-02
2021-09-16,1.56583960598457,3130.09,2022-03-02
2021-09-17,1.54821746191323,3140.51,2022-03-02
2021-09-23,1.54822727976467,3127.58,2022-03-02
2021-09-24,1.52180637179091,3125.24,2022-03-02
2021-09-27,1.41883519206939,3133.64,2022-03-02
2021-09-28,1.30505457078721,3097.92,2022-03-02
2021-09-29,1.26734876819882,3060.27,2022-03-02
2021-09-30,1.28157388444113,3068.82,2022-03-02
2021-10-08,1.31915884224412,3243.19,2022-03-02
2021-10-11,1.33641338893971,2930.17,2022-03-02
2021-10-12,1.31658525238427,3010.23,2022-03-02
2021-10-13,1.31804176651832,2944.41,2022-03-02
2021-10-14,1.31562597079838,2988.64,2022-03-02
2021-10-15,1.3009014609885,3015.06,2022-03-02
2021-10-18,1.32213407995022,3006.68,2022-03-02
2021-10-19,1.31459371376641,3029.04,2022-03-02
2021-10-20,1.31068568568568,3013.13,2022-03-02
2021-10-21,1.30308955807587,3007.33,2022-03-02
2021-10-22,1.30797788185905,3006.16,2022-03-02
2021-10-25,1.29666750187923,3020.54,2022-03-02
2021-10-26,1.28956439987465,3049.08,2022-03-02
2021-10-27,1.26261440976296,3025.49,2022-03-02
2021-10-28,1.24067149584618,3009.55,2022-03-02
2021-10-29,1.26932084309133,2970.68,2022-03-02
2021-11-01,1.26930532107797,3148.45,2022-03-02
2021-11-03,1.25817580118949,3013.7,2022-03-02
2021-11-05,1.28946545795561,3209.43,2022-03-02
2021-11-08,1.29260430033489,3220.62,2022-03-02
2021-11-11,1.31616013020751,2924.92,2022-03-02
2021-11-15,1.35215592880422,2999.52,2022-03-02
2021-11-16,1.32198563807319,2997.21,2022-03-02
2021-11-17,1.3469227753822,2962.42,2022-03-02
2021-11-18,1.34375342594478,2947.38,2022-03-02
2021-11-19,1.34193507978015,2971.02,2022-03-02
2021-11-22,1.33297829015382,3013.25,2022-03-02
2021-11-23,1.33781880769832,2997.33,2022-03-02
2021-11-24,1.33297870676033,2994.29,2022-03-02
2021-11-25,1.32947071719386,2980.27,2022-03-02
2021-11-26,1.30936737375633,2936.44,2022-03-02
2021-11-29,1.30254403131115,2909.32,2022-03-02
2021-11-30,1.3262099308611,2839.01,2022-03-02
2021-12-01,1.3522215067611,3125.95,2022-03-02
2021-12-03,1.34571347909282,3054.39,2022-03-02
2021-12-07,1.31014656675621,3246.47,2022-03-02
2021-12-08,1.31000236462521,3208.38,2022-03-02
2021-12-10,1.30643008557745,2916.38,2022-03-02
2021-12-13,1.2981298129813,3001.66,2022-03-02
2021-12-14,1.32399365488213,2987.95,2022-03-02
2021-12-15,1.32238154319727,2989.39,2022-03-02
2021-12-16,1.33021327386375,3006.41,2022-03-02
2021-12-17,1.31768839806739,3017.73,2022-03-02
2021-12-20,1.32379697597089,2963.0,2022-03-02
2021-12-21,1.4564630548057,2975.03,2022-03-02
2021-12-22,1.43025355208415,2984.48,2022-03-02
2021-12-23,1.40982165285104,2998.17,2022-03-02
2021-12-24,1.37894207815052,3012.43,2022-03-02
2021-12-27,1.44415665960285,2999.55,2022-03-02
2021-12-28,1.40694679982413,3020.24,2022-03-02
2021-12-29,1.40075376884422,2993.29,2022-03-02
2021-12-30,1.41621265170904,2977.65,2022-03-02
2022-01-04,1.44065535694669,2739.85,2022-03-02
2022-01-07,1.41134407000267,2305.42,2022-03-02
2022-01-11,1.41837295049815,2335.22,2022-03-02
2022-01-12,1.43598615916955,2479.84,2022-03-02
2022-01-13,1.42621275257489,2962.09,2022-03-02
2022-01-14,1.39789685788049,2921.92,2022-03-02
2022-01-17,1.42087520872059,2890.1,2022-03-02
2022-01-18,1.39315230224321,2864.24,2022-03-02
2022-01-19,1.46421422604694,2842.28,2022-03-02
2022-01-20,1.41626975365107,2862.68,2022-03-02
2022-01-21,1.38518576950383,2834.29,2022-03-02
2022-01-24,1.38063945406294,2792.0,2022-03-02
2022-01-25,1.32949713075233,2720.39,2022-03-02
2022-01-26,1.34480903711673,2709.24,2022-03-02
2022-01-27,1.3072922395236,2614.49,2022-03-02
2022-01-28,1.3175064853392,2663.34,2022-03-02
2022-02-08,1.3650644046497,2439.62,2022-03-02
2022-02-09,1.37537528096952,2409.41,2022-03-02
2022-02-11,1.39439723009129,2336.87,2022-03-02
2022-02-14,1.38121981531298,2704.48,2022-03-02
2022-02-15,1.36467618521732,2676.54,2022-03-02
2022-02-16,1.37371313080276,2729.68,2022-03-02
2022-02-17,1.38527318912608,2744.09,2022-03-02
2022-02-18,1.38812034592339,2744.52,2022-03-02
2022-02-21,1.40026837161575,2743.8,2022-03-02
2022-02-22,1.38159974707556,2706.79,2022-03-02
2022-02-23,1.39069281211391,2719.53,2022-03-02
2022-02-24,1.33527171594267,2648.8,2022-03-02
2022-02-25,1.35826117241052,2676.76,2022-03-02
2022-02-28,1.35058017880921,2699.18,2022-03-02
2022-03-01,1.35623296786869,2988.77,2022-03-02
2022-03-02,1.36845435848758,2707.82,2022-03-02
2022-03-03,1.37036157923887,2747.08,2022-03-02
2022-03-08,1.28209186742221,2461.45,2022-03-02
2022-03-11,1.27151398507628,2329.17,2022-03-02
2022-03-14,1.25772320656531,2645.65,2022-03-02
2022-03-15,1.20101733232856,2621.53,2022-03-02
2022-03-16,1.23445126751692,2659.23,2022-03-02
2022-03-17,1.25908066625695,2694.51,2022-03-02
2022-03-18,1.26397207942272,2707.02,2022-03-02
2022-03-21,1.27454682779456,2686.05,2022-03-02
2022-03-22,1.29437637448947,2710.0,2022-03-02
2022-03-23,1.2790332705587,2735.05,2022-03-02
2022-03-24,1.27061410397361,2729.66,2022-03-02
2022-03-25,1.26142825724968,2729.98,2022-03-02
2022-03-28,1.26031955300248,2729.56,2022-03-02
2022-03-29,1.24052702745197,2741.07,2022-03-02
2022-03-30,1.25728690720025,2746.74,2022-03-02
2022-03-31,1.26670137081381,2757.65,2022-03-02
2022-04-01,1.2573673870334,2989.24,2022-03-02
2022-04-07,1.26801334088478,2300.34,2022-03-02
2022-04-08,1.25294764974061,2473.11,2022-03-02
2022-04-11,1.23154256990261,2348.43,2022-03-02
2022-04-13,1.24375765570526,2716.49,2022-03-02
2022-04-14,1.26068208545668,2716.71,2022-03-02
2022-04-15,1.24793972215681,2696.06,2022-03-02
2022-04-18,1.26041175546126,2693.21,2022-03-02
2022-04-19,1.26701079305491,2718.89,2022-03-02
2022-04-20,1.25724434473733,2718.69,2022-03-02
2022-04-21,1.1953488372093,2728.21,2022-03-02
2022-04-22,1.17366558990925,2704.71,2022-03-02
2022-04-25,1.06579248303728,2657.13,2022-03-02
2022-04-26,1.02819135953136,2668.31,2022-03-02
2022-04-27,1.06563000228676,2639.06,2022-03-02
