Date,Stock,Market,joined date
2017-01-01,7.54397696368582,7237.95,2019-12-22
2017-01-02,7.62910603797739,7247.34,2019-12-22
2017-01-03,7.57176094087526,7250.76,2019-12-22
2017-01-04,7.53878366128087,7198.11,2019-12-22
2017-01-05,7.53047405748415,7198.73,2019-12-22
2017-01-08,7.50403008160436,7138.86,2019-12-22
2017-01-09,7.50754720503521,7081.71,2019-12-22
2017-01-10,7.33735298039738,7008.03,2019-12-22
2017-01-11,7.15968555807441,6894.65,2019-12-22
2017-01-12,7.07241045472729,6921.77,2019-12-22
2017-01-15,6.93426811710128,6930.92,2019-12-22
2017-01-16,6.88973169040379,6823.63,2019-12-22
2017-01-17,6.93459445763209,6873.53,2019-12-22
2017-01-18,6.93440950552087,6853.45,2019-12-22
2017-01-19,6.88807828707038,6875.87,2019-12-22
2017-01-22,6.98457624406635,6898.93,2019-12-22
2017-01-23,6.98673316974289,7013.18,2019-12-22
2017-01-24,7.11803627634036,7091.88,2019-12-22
2017-01-25,7.21117305025073,7128.12,2019-12-22
2017-01-26,7.18954442399509,7134.88,2019-12-22
2017-01-29,7.10518118550517,7183.25,2019-12-22
2017-01-30,7.03642093190729,7132.39,2019-12-22
2017-01-31,6.96094209276893,7101.86,2019-12-22
2017-02-01,6.94706291841143,7100.93,2019-12-22
2017-02-02,6.93771157282693,7098.64,2019-12-22
2017-02-05,6.85984854948806,7046.38,2019-12-22
2017-02-06,6.88575920838556,7062.35,2019-12-22
2017-02-07,6.85788808279101,7038.62,2019-12-22
2017-02-08,6.77580123759737,6967.4,2019-12-22
2017-02-09,6.74336995653216,6969.26,2019-12-22
2017-02-12,6.75010212788653,7021.57,2019-12-22
2017-02-13,6.75068332755447,7059.55,2019-12-22
2017-02-14,6.77363321245735,7032.65,2019-12-22
2017-02-15,6.73753514176736,7073.69,2019-12-22
2017-02-16,6.95237025974719,7131.27,2019-12-22
2017-02-19,6.94502533063141,7140.18,2019-12-22
2017-02-20,6.85972452598735,7071.9,2019-12-22
2017-02-21,6.88172435863246,7057.79,2019-12-22
2017-02-22,6.83570277911131,7062.85,2019-12-22
2017-02-23,6.80520828888415,7046.17,2019-12-22
2017-02-26,6.84878779798412,7049.54,2019-12-22
2017-02-27,6.7572357788623,6969.3,2019-12-22
2017-02-28,6.80959641494839,6972.39,2019-12-22
2017-03-01,6.78153911814133,6966.53,2019-12-22
2017-03-02,6.82170227521272,7016.66,2019-12-22
2017-03-05,6.85294304303772,6967.97,2019-12-22
2017-03-06,6.83094605764873,6976.35,2019-12-22
2017-03-07,6.83191107436254,6993.13,2019-12-22
2017-03-08,6.85807100370756,6970.84,2019-12-22
2017-03-09,6.83172885605313,6916.84,2019-12-22
2017-03-12,6.82990720742342,6834.06,2019-12-22
2017-03-13,6.82292344625234,6787.8,2019-12-22
2017-03-14,6.85635839846356,6790.71,2019-12-22
2017-03-15,6.9077635228849,6835.76,2019-12-22
2017-03-16,6.98521406279176,6921.6,2019-12-22
2017-03-19,7.03199093333334,6952.63,2019-12-22
2017-03-20,6.98628160000001,6919.25,2019-12-22
2017-03-21,6.96031013333334,6912.78,2019-12-22
2017-03-22,6.93385470837667,6832.3,2019-12-22
2017-03-23,6.9658760467225,6878.68,2019-12-22
2017-03-26,6.98921175435321,6874.12,2019-12-22
2017-03-27,6.98561523281242,6852.13,2019-12-22
2017-03-28,6.87927973333334,6872.77,2019-12-22
2017-03-29,6.90561923302577,6948.96,2019-12-22
2017-03-30,6.94699031974185,7001.63,2019-12-22
2017-04-02,6.90714460947708,6990.43,2019-12-22
2017-04-03,7.01243979839461,6967.98,2019-12-22
2017-04-04,7.08393360000001,6986.19,2019-12-22
2017-04-05,7.18924102618807,7050.91,2019-12-22
2017-04-06,7.27319875196671,7075.57,2019-12-22
2017-04-09,7.37520561096592,7058.58,2019-12-22
2017-04-10,7.37624459971199,7062.17,2019-12-22
2017-04-11,7.11528894103841,7036.36,2019-12-22
2017-04-12,7.24229874943339,7099.13,2019-12-22
2017-04-13,7.23476012693671,7076.92,2019-12-22
2017-04-16,7.17185350114662,7005.4,2019-12-22
2017-04-17,7.13445682896914,7011.73,2019-12-22
2017-04-18,7.07911701957438,6942.38,2019-12-22
2017-04-19,7.13030158391554,6948.06,2019-12-22
2017-04-20,7.11236199263961,6899.0,2019-12-22
2017-04-23,7.14049916006721,6968.75,2019-12-22
2017-04-24,7.12378980212278,6977.54,2019-12-22
2017-04-25,6.97014105538225,6915.89,2019-12-22
2017-04-26,6.98438998373289,6917.03,2019-12-22
2017-04-27,6.94936565074795,6945.74,2019-12-22
2017-04-30,6.98572274218064,7013.47,2019-12-22
2017-05-01,7.09016666666668,7003.73,2019-12-22
2017-05-02,7.11632790207738,7012.81,2019-12-22
2017-05-03,7.14249026614753,6967.71,2019-12-22
2017-05-04,7.10574960000001,6924.08,2019-12-22
2017-05-07,7.14096677864876,6857.15,2019-12-22
2017-05-08,7.17989092751614,6864.54,2019-12-22
2017-05-09,7.24222545202411,6918.82,2019-12-22
2017-05-10,7.23294963069622,6930.32,2019-12-22
2017-05-11,7.16439084873211,6882.51,2019-12-22
2017-05-14,7.06363037623658,6853.12,2019-12-22
