Date,Stock,Market,joined date
2020-01-06,19.7305278700636,23204.86,2021-05-10
2020-01-07,19.8441247002408,23575.72,2021-05-10
2020-01-08,19.4739736070375,23204.76,2021-05-10
2020-01-09,19.6237786503507,23739.87,2021-05-10
2020-01-10,19.5368171021385,23850.57,2021-05-10
2020-01-14,19.1825043193601,24025.17,2021-05-10
2020-01-15,19.1345103749535,23916.58,2021-05-10
2020-01-16,18.8033412021059,23933.13,2021-05-10
2020-01-17,18.8895950608312,24041.26,2021-05-10
2020-01-20,18.9961880559095,24083.51,2021-05-10
2020-01-21,19.0014563990537,23864.56,2021-05-10
2020-01-22,18.9565692433759,24031.35,2021-05-10
2020-01-23,18.8801607599564,23795.44,2021-05-10
2020-01-24,18.8889905738076,23827.18,2021-05-10
2020-01-27,18.7712370281932,23343.51,2021-05-10
2020-01-28,18.615412810409,23215.71,2021-05-10
2020-01-29,18.7540141297363,23379.4,2021-05-10
2020-01-30,18.5406149609903,22977.75,2021-05-10
2020-01-31,18.8365011994834,23205.18,2021-05-10
2020-02-03,18.4733597128919,22971.94,2021-05-10
2020-02-04,18.4686330015516,23084.59,2021-05-10
2020-02-05,18.5200364298734,23319.56,2021-05-10
2020-02-06,18.8380761887436,23873.59,2021-05-10
2020-02-07,18.6793656580387,23827.98,2021-05-10
2020-02-10,18.8035356296696,23685.98,2021-05-10
2020-02-12,18.5637718023248,23861.21,2021-05-10
2020-02-13,18.3498770603766,23827.73,2021-05-10
2020-02-14,18.3296883542914,23687.59,2021-05-10
2020-02-17,18.1652712049499,23523.24,2021-05-10
2020-02-18,18.0866557436741,23193.8,2021-05-10
2020-02-19,17.8266726537953,23400.7,2021-05-10
2020-02-20,17.844081705468,23479.15,2021-05-10
2020-02-21,18.1634848077446,23386.74,2021-05-10
2020-02-25,17.6393174804874,22605.41,2021-05-10
2020-02-26,17.4923021191812,22426.19,2021-05-10
2020-02-27,17.2613615623286,21948.23,2021-05-10
2020-02-28,17.1185342833356,21142.96,2021-05-10
2020-03-02,16.9852262234541,21344.08,2021-05-10
2020-03-03,17.032300224047,21082.73,2021-05-10
2020-03-04,16.3922991071424,21100.06,2021-05-10
2020-03-05,16.6729464958551,21329.12,2021-05-10
2020-03-06,15.9924026590696,20749.75,2021-05-10
2020-03-09,15.0918506937653,19698.76,2021-05-10
2020-03-10,14.9626053204583,19867.12,2021-05-10
2020-03-11,15.1104945948539,19416.06,2021-05-10
2020-03-12,14.0710121380104,18559.63,2021-05-10
