Date,Stock,Market,joined date
2020-01-02,85.95,3257.85,2021-11-28
2020-01-03,84.57,3234.85,2021-11-28
2020-01-06,84.82,3246.28,2021-11-28
2020-01-07,85.08,3237.18,2021-11-28
2020-01-08,85.92,3253.05,2021-11-28
2020-01-09,87.27,3274.7,2021-11-28
2020-01-10,87.59,3265.35,2021-11-28
2020-01-13,87.46,3288.13,2021-11-28
2020-01-14,87.99,3283.15,2021-11-28
2020-01-15,88.62,3289.29,2021-11-28
2020-01-16,89.46,3316.81,2021-11-28
2020-01-17,90.12,3329.62,2021-11-28
2020-01-21,89.61,3320.79,2021-11-28
2020-01-22,90.13,3321.75,2021-11-28
2020-01-23,89.07,3325.54,2021-11-28
2020-01-24,88.26,3295.47,2021-11-28
2020-01-27,86.56,3243.63,2021-11-28
2020-01-28,87.18,3276.24,2021-11-28
2020-01-29,87.24,3273.4,2021-11-28
2020-01-30,84.38,3283.66,2021-11-28
2020-01-31,82.56,3225.52,2021-11-28
2020-02-03,82.15,3248.92,2021-11-28
2020-02-04,83.52,3297.59,2021-11-28
2020-02-05,84.93,3334.69,2021-11-28
2020-02-06,84.82,3345.78,2021-11-28
2020-02-07,83.17,3327.71,2021-11-28
2020-02-10,84.43,3352.09,2021-11-28
2020-02-11,85.09,3357.75,2021-11-28
2020-02-12,85.43,3379.45,2021-11-28
2020-02-13,85.47,3373.94,2021-11-28
2020-02-14,85.82,3380.16,2021-11-28
2020-02-18,84.79,3370.29,2021-11-28
2020-02-19,85.35,3386.15,2021-11-28
2020-02-20,84.34,3373.23,2021-11-28
2020-02-21,85.07,3337.75,2021-11-28
2020-02-24,80.5,3225.89,2021-11-28
2020-02-25,77.95,3128.21,2021-11-28
2020-02-26,78.11,3116.39,2021-11-28
2020-02-27,77.43,2978.76,2021-11-28
2020-02-28,77.07,2954.22,2021-11-28
2020-03-02,81.97,3090.23,2021-11-28
2020-03-03,80.32,3003.37,2021-11-28
2020-03-04,84.35,3130.12,2021-11-28
2020-03-05,80.46,3023.94,2021-11-28
2020-03-06,78.56,2972.37,2021-11-28
2020-03-09,70.75,2746.56,2021-11-28
2020-03-10,72.91,2882.23,2021-11-28
2020-03-11,68.84,2741.38,2021-11-28
2020-03-12,63.42,2480.64,2021-11-28
2020-03-13,69.2,2711.02,2021-11-28
2020-03-16,64.13,2386.13,2021-11-28
2020-03-17,70.44,2529.19,2021-11-28
2020-03-18,68.87,2398.1,2021-11-28
2020-03-19,65.76,2409.39,2021-11-28
2020-03-20,66.46,2304.92,2021-11-28
2020-03-23,63.37,2237.4,2021-11-28
2020-03-24,67.0,2447.33,2021-11-28
2020-03-25,69.0,2475.56,2021-11-28
2020-03-26,73.72,2630.07,2021-11-28
2020-03-27,70.91,2541.47,2021-11-28
2020-03-30,72.67,2626.65,2021-11-28
2020-03-31,71.62,2584.59,2021-11-28
2020-04-01,68.92,2470.5,2021-11-28
2020-04-02,72.29,2526.9,2021-11-28
2020-04-03,70.42,2488.65,2021-11-28
2020-04-06,74.36,2663.68,2021-11-28
2020-04-07,74.03,2659.41,2021-11-28
2020-04-08,76.69,2749.98,2021-11-28
2020-04-09,78.33,2789.82,2021-11-28
2020-04-13,76.21,2761.63,2021-11-28
2020-04-14,78.83,2846.06,2021-11-28
2020-04-15,77.05,2783.36,2021-11-28
2020-04-16,78.75,2799.55,2021-11-28
2020-04-17,79.55,2874.56,2021-11-28
2020-04-20,77.37,2823.16,2021-11-28
2020-04-21,73.75,2736.56,2021-11-28
2020-04-22,75.17,2799.31,2021-11-28
2020-04-23,75.09,2797.8,2021-11-28
2020-04-24,75.75,2836.74,2021-11-28
2020-04-27,76.25,2878.48,2021-11-28
2020-04-28,75.45,2863.39,2021-11-28
2020-04-29,78.72,2939.51,2021-11-28
2020-04-30,76.66,2912.43,2021-11-28
2020-05-01,74.21,2830.71,2021-11-28
2020-05-04,74.56,2842.74,2021-11-28
2020-05-05,76.37,2868.44,2021-11-28
2020-05-06,77.87,2848.42,2021-11-28
2020-05-07,78.5,2881.19,2021-11-28
2020-05-08,79.71,2929.8,2021-11-28
2020-05-11,81.27,2930.32,2021-11-28
2020-05-12,79.85,2870.12,2021-11-28
2020-05-13,80.16,2820.0,2021-11-28
2020-05-14,81.64,2852.5,2021-11-28
2020-05-15,81.59,2863.7,2021-11-28
2020-05-18,83.66,2953.91,2021-11-28
2020-05-19,81.97,2922.94,2021-11-28
2020-05-20,81.71,2971.61,2021-11-28
2020-05-21,80.75,2948.51,2021-11-28
2020-05-22,84.98,2955.45,2021-11-28
2020-05-26,86.13,2991.77,2021-11-28
2020-05-27,86.18,3036.13,2021-11-28
2020-05-28,86.69,3029.73,2021-11-28
2020-05-29,88.14,3044.31,2021-11-28
2020-06-01,89.91,3055.73,2021-11-28
2020-06-02,90.29,3080.82,2021-11-28
2020-06-03,90.49,3122.87,2021-11-28
2020-06-04,91.14,3112.35,2021-11-28
2020-06-05,90.38,3193.93,2021-11-28
2020-06-08,90.29,3232.39,2021-11-28
2020-06-09,89.77,3207.18,2021-11-28
2020-06-10,89.81,3190.14,2021-11-28
2020-06-11,85.03,3002.1,2021-11-28
2020-06-12,86.11,3041.31,2021-11-28
2020-06-15,86.96,3066.59,2021-11-28
2020-06-16,87.44,3124.74,2021-11-28
2020-06-17,87.92,3113.49,2021-11-28
2020-06-18,88.21,3115.34,2021-11-28
2020-06-19,88.73,3097.74,2021-11-28
2020-06-22,88.53,3117.86,2021-11-28
2020-06-23,89.28,3131.29,2021-11-28
2020-06-24,86.56,3050.33,2021-11-28
2020-06-25,87.26,3083.76,2021-11-28
2020-06-26,85.9,3009.05,2021-11-28
2020-06-29,87.29,3053.24,2021-11-28
2020-06-30,88.37,3100.29,2021-11-28
2020-07-01,88.11,3115.86,2021-11-28
2020-07-02,88.68,3130.01,2021-11-28
2020-07-06,89.31,3179.72,2021-11-28
2020-07-07,89.21,3145.32,2021-11-28
2020-07-08,89.54,3169.94,2021-11-28
2020-07-09,89.92,3152.05,2021-11-28
2020-07-10,89.42,3185.04,2021-11-28
2020-07-13,89.26,3155.22,2021-11-28
2020-07-14,90.69,3197.52,2021-11-28
2020-07-15,92.88,3226.56,2021-11-28
2020-07-16,92.86,3215.57,2021-11-28
2020-07-17,94.37,3224.73,2021-11-28
2020-07-20,95.21,3251.84,2021-11-28
2020-07-21,96.02,3257.3,2021-11-28
2020-07-22,96.35,3276.02,2021-11-28
2020-07-23,96.66,3235.66,2021-11-28
2020-07-24,94.81,3215.63,2021-11-28
2020-07-27,97.27,3239.41,2021-11-28
2020-07-28,95.3,3218.44,2021-11-28
2020-07-29,97.1,3258.44,2021-11-28
2020-07-30,95.93,3246.22,2021-11-28
2020-07-31,96.33,3271.12,2021-11-28
2020-08-03,99.09,3294.61,2021-11-28
2020-08-04,97.53,3306.51,2021-11-28
2020-08-05,97.89,3327.77,2021-11-28
2020-08-06,97.45,3349.16,2021-11-28
2020-08-07,97.78,3351.28,2021-11-28
2020-08-10,97.14,3360.47,2021-11-28
2020-08-11,96.3,3333.69,2021-11-28
2020-08-12,97.63,3380.35,2021-11-28
2020-08-13,98.77,3373.43,2021-11-28
2020-08-14,97.37,3372.85,2021-11-28
2020-08-17,97.51,3381.99,2021-11-28
2020-08-18,97.86,3389.78,2021-11-28
2020-08-19,97.96,3374.85,2021-11-28
2020-08-20,97.78,3385.51,2021-11-28
2020-08-21,98.3,3397.16,2021-11-28
2020-08-24,97.6,3431.28,2021-11-28
2020-08-25,98.34,3443.62,2021-11-28
2020-08-26,99.33,3478.73,2021-11-28
2020-08-27,99.02,3484.55,2021-11-28
2020-08-28,99.9,3508.01,2021-11-28
2020-08-31,100.42,3500.31,2021-11-28
2020-09-01,101.12,3526.65,2021-11-28
2020-09-02,103.42,3580.84,2021-11-28
2020-09-03,99.64,3455.06,2021-11-28
2020-09-04,96.84,3426.96,2021-11-28
2020-09-08,95.14,3331.84,2021-11-28
2020-09-09,97.93,3398.96,2021-11-28
2020-09-10,98.57,3339.19,2021-11-28
2020-09-11,98.6,3340.97,2021-11-28
2020-09-14,99.42,3383.54,2021-11-28
2020-09-15,100.37,3401.2,2021-11-28
2020-09-16,99.92,3385.49,2021-11-28
2020-09-17,99.6,3357.01,2021-11-28
2020-09-18,99.38,3319.47,2021-11-28
2020-09-21,98.13,3281.06,2021-11-28
2020-09-22,98.62,3315.57,2021-11-28
2020-09-23,96.91,3236.92,2021-11-28
2020-09-24,96.34,3246.59,2021-11-28
2020-09-25,97.69,3298.46,2021-11-28
2020-09-28,99.51,3351.6,2021-11-28
2020-09-29,100.22,3335.47,2021-11-28
2020-09-30,100.94,3363.0,2021-11-28
2020-10-01,101.22,3380.8,2021-11-28
2020-10-02,100.01,3348.44,2021-11-28
2020-10-05,103.12,3408.63,2021-11-28
2020-10-06,101.63,3360.95,2021-11-28
2020-10-07,103.88,3419.45,2021-11-28
2020-10-08,104.16,3446.83,2021-11-28
2020-10-09,105.76,3477.13,2021-11-28
2020-10-12,105.43,3534.22,2021-11-28
2020-10-13,105.42,3511.93,2021-11-28
2020-10-14,105.06,3488.67,2021-11-28
2020-10-15,105.32,3483.34,2021-11-28
2020-10-16,106.7,3483.81,2021-11-28
2020-10-19,105.49,3426.92,2021-11-28
2020-10-20,105.61,3443.12,2021-11-28
2020-10-21,104.83,3435.56,2021-11-28
2020-10-22,106.77,3453.49,2021-11-28
2020-10-23,106.17,3465.39,2021-11-28
2020-10-26,104.63,3400.97,2021-11-28
2020-10-27,106.04,3390.68,2021-11-28
2020-10-28,101.66,3271.03,2021-11-28
2020-10-29,102.02,3310.11,2021-11-28
2020-10-30,102.09,3269.96,2021-11-28
2020-11-02,105.24,3310.24,2021-11-28
2020-11-03,107.03,3369.02,2021-11-28
2020-11-04,108.49,3443.44,2021-11-28
2020-11-05,110.34,3510.45,2021-11-28
2020-11-06,112.54,3509.44,2021-11-28
2020-11-09,112.5,3550.5,2021-11-28
2020-11-10,110.2,3545.53,2021-11-28
2020-11-11,109.41,3572.66,2021-11-28
2020-11-12,109.44,3537.01,2021-11-28
2020-11-13,110.17,3585.15,2021-11-28
2020-11-16,110.27,3626.91,2021-11-28
2020-11-17,109.86,3609.53,2021-11-28
2020-11-18,105.95,3567.79,2021-11-28
2020-11-19,108.68,3581.87,2021-11-28
2020-11-20,110.89,3557.54,2021-11-28
2020-11-23,112.21,3577.59,2021-11-28
2020-11-24,114.68,3635.41,2021-11-28
2020-11-25,114.35,3629.65,2021-11-28
2020-11-27,114.09,3638.35,2021-11-28
2020-11-30,116.9,3621.63,2021-11-28
2020-12-01,115.36,3662.45,2021-11-28
2020-12-02,114.57,3669.01,2021-11-28
2020-12-03,113.58,3666.72,2021-11-28
2020-12-04,115.15,3699.12,2021-11-28
2020-12-07,114.4,3691.96,2021-11-28
2020-12-08,117.01,3702.25,2021-11-28
2020-12-09,116.4,3672.82,2021-11-28
2020-12-10,118.81,3668.1,2021-11-28
2020-12-11,118.48,3663.46,2021-11-28
2020-12-14,116.74,3647.49,2021-11-28
2020-12-15,117.39,3694.62,2021-11-28
2020-12-16,117.24,3701.17,2021-11-28
2020-12-17,118.97,3722.48,2021-11-28
2020-12-18,119.3,3709.41,2021-11-28
2020-12-21,117.78,3694.92,2021-11-28
2020-12-22,117.37,3687.26,2021-11-28
2020-12-23,117.3,3690.01,2021-11-28
2020-12-24,117.31,3703.06,2021-11-28
2020-12-28,117.83,3735.36,2021-11-28
2020-12-29,117.23,3727.04,2021-11-28
2020-12-30,117.39,3732.04,2021-11-28
2020-12-31,118.49,3756.07,2021-11-28
2021-01-04,118.64,3700.65,2021-11-28
2021-01-05,119.61,3726.86,2021-11-28
2021-01-06,122.89,3748.14,2021-11-28
2021-01-07,126.16,3803.79,2021-11-28
2021-01-08,127.06,3824.68,2021-11-28
2021-01-11,128.15,3799.61,2021-11-28
2021-01-12,126.97,3801.19,2021-11-28
2021-01-13,126.98,3809.84,2021-11-28
2021-01-14,126.03,3795.54,2021-11-28
2021-01-15,126.21,3768.25,2021-11-28
2021-01-19,127.35,3798.91,2021-11-28
2021-01-20,128.11,3851.85,2021-11-28
2021-01-21,127.0,3853.07,2021-11-28
2021-01-22,126.33,3841.47,2021-11-28
2021-01-25,125.48,3855.36,2021-11-28
2021-01-26,123.92,3849.62,2021-11-28
2021-01-27,118.8,3750.77,2021-11-28
2021-01-28,121.56,3787.38,2021-11-28
2021-01-29,120.17,3714.24,2021-11-28
2021-02-01,120.83,3773.86,2021-11-28
2021-02-02,123.19,3826.31,2021-11-28
2021-02-03,122.15,3830.17,2021-11-28
2021-02-04,124.07,3871.74,2021-11-28
2021-02-05,123.18,3886.83,2021-11-28
2021-02-08,123.41,3915.59,2021-11-28
2021-02-09,123.24,3911.23,2021-11-28
2021-02-10,125.08,3909.88,2021-11-28
2021-02-11,126.96,3916.38,2021-11-28
2021-02-12,127.98,3934.83,2021-11-28
2021-02-16,127.95,3932.59,2021-11-28
2021-02-17,130.12,3931.33,2021-11-28
2021-02-18,127.68,3913.97,2021-11-28
2021-02-19,126.87,3906.71,2021-11-28
2021-02-22,123.5,3876.5,2021-11-28
2021-02-23,122.42,3881.37,2021-11-28
2021-02-24,125.02,3925.43,2021-11-28
2021-02-25,122.1,3829.34,2021-11-28
2021-02-26,122.07,3811.15,2021-11-28
2021-03-01,124.48,3901.82,2021-11-28
2021-03-02,123.64,3870.29,2021-11-28
2021-03-03,119.3,3819.72,2021-11-28
2021-03-04,114.99,3768.47,2021-11-28
2021-03-05,116.14,3841.94,2021-11-28
2021-03-08,116.08,3821.35,2021-11-28
2021-03-09,119.84,3875.44,2021-11-28
2021-03-10,119.99,3898.81,2021-11-28
2021-03-11,121.83,3939.34,2021-11-28
2021-03-12,121.44,3943.34,2021-11-28
2021-03-15,124.04,3968.94,2021-11-28
2021-03-16,123.0,3962.71,2021-11-28
2021-03-17,122.52,3974.12,2021-11-28
2021-03-18,122.59,3915.46,2021-11-28
2021-03-19,122.69,3913.1,2021-11-28
2021-03-22,123.61,3940.59,2021-11-28
2021-03-23,121.98,3910.52,2021-11-28
2021-03-24,120.84,3889.14,2021-11-28
2021-03-25,121.9,3909.52,2021-11-28
2021-03-26,125.64,3974.54,2021-11-28
2021-03-29,125.42,3971.09,2021-11-28
2021-03-30,124.84,3958.55,2021-11-28
2021-03-31,127.14,3972.89,2021-11-28
2021-04-01,127.69,4019.87,2021-11-28
2021-04-05,130.0,4077.91,2021-11-28
2021-04-06,131.04,4073.94,2021-11-28
2021-04-07,129.34,4079.95,2021-11-28
2021-04-08,130.69,4097.17,2021-11-28
2021-04-09,131.91,4128.8,2021-11-28
2021-04-12,131.27,4127.99,2021-11-28
2021-04-13,132.97,4141.59,2021-11-28
2021-04-14,131.97,4124.66,2021-11-28
2021-04-15,133.28,4170.42,2021-11-28
2021-04-16,134.58,4185.47,2021-11-28
2021-04-19,133.5,4163.26,2021-11-28
2021-04-20,132.46,4134.94,2021-11-28
2021-04-21,133.83,4173.42,2021-11-28
2021-04-22,134.53,4134.98,2021-11-28
2021-04-23,136.68,4180.17,2021-11-28
2021-04-26,137.34,4187.62,2021-11-28
2021-04-27,136.48,4186.72,2021-11-28
2021-04-28,134.8,4183.18,2021-11-28
2021-04-29,134.15,4211.47,2021-11-28
2021-04-30,133.64,4181.17,2021-11-28
2021-05-03,133.19,4192.66,2021-11-28
2021-05-04,130.9,4164.66,2021-11-28
2021-05-05,133.37,4167.59,2021-11-28
2021-05-06,132.4,4201.62,2021-11-28
2021-05-07,133.9,4232.6,2021-11-28
2021-05-10,131.87,4188.43,2021-11-28
2021-05-11,131.42,4152.1,2021-11-28
2021-05-12,128.64,4063.04,2021-11-28
2021-05-13,130.02,4112.5,2021-11-28
2021-05-14,131.15,4173.85,2021-11-28
2021-05-17,130.11,4163.29,2021-11-28
2021-05-18,128.75,4127.83,2021-11-28
2021-05-19,130.21,4115.68,2021-11-28
2021-05-20,132.15,4159.12,2021-11-28
2021-05-21,132.3,4155.86,2021-11-28
2021-05-24,133.34,4197.05,2021-11-28
2021-05-25,133.23,4188.13,2021-11-28
2021-05-26,133.29,4195.99,2021-11-28
2021-05-27,137.54,4200.88,2021-11-28
2021-05-28,138.13,4204.11,2021-11-28
2021-06-01,137.2,4202.04,2021-11-28
