Date,Stock,Market,joined date
2020-01-03,23.3811136246787,10699.82,2021-05-17
2020-01-06,23.5595981404959,10665.41,2021-05-17
2020-01-07,23.5185465415938,10686.8,2021-05-17
2020-01-08,23.4415045701963,10652.16,2021-05-17
2020-01-09,23.3270249717397,10650.97,2021-05-17
2020-01-10,23.2370317803146,10639.49,2021-05-17
2020-01-13,23.0565983311013,10622.41,2021-05-17
2020-01-14,23.0901406120762,10655.82,2021-05-17
2020-01-15,23.0742910486465,10670.74,2021-05-17
2020-01-16,23.1171505599337,10693.52,2021-05-17
2020-01-17,23.1209090909091,10841.82,2021-05-17
2020-01-20,23.0734414712263,10846.29,2021-05-17
2020-01-21,23.0415964477489,10884.51,2021-05-17
2020-01-22,23.1978898418933,10895.07,2021-05-17
2020-01-23,22.8551264581397,10813.94,2021-05-17
2020-01-24,23.2681421215243,10849.75,2021-05-17
2020-01-27,22.520037136373,10675.96,2021-05-17
2020-01-28,22.5008542351974,10781.98,2021-05-17
2020-01-29,22.8433926002056,10859.88,2021-05-17
2020-01-30,22.6219292272774,10748.92,2021-05-17
2020-01-31,22.55946105919,10627.88,2021-05-17
2020-02-03,22.6063208035622,10664.95,2021-05-17
2020-02-04,23.2165675954593,10800.64,2021-05-17
2020-02-05,24.2270694615701,10994.15,2021-05-17
2020-02-06,23.91990045156,11012.36,2021-05-17
2020-02-07,23.5430264907436,11001.53,2021-05-17
2020-02-10,23.4413541453428,11039.78,2021-05-17
2020-02-11,23.8880301322127,11101.17,2021-05-17
2020-02-12,23.7800797464472,11089.24,2021-05-17
2020-02-13,23.5168178104575,11092.35,2021-05-17
2020-02-14,23.3809674134419,11128.81,2021-05-17
2020-02-17,23.5398949729784,11168.45,2021-05-17
2020-02-18,23.3057206794834,11146.28,2021-05-17
2020-02-19,23.6054599979669,11263.01,2021-05-17
2020-02-20,23.4437158247789,11154.53,2021-05-17
2020-02-21,23.2002832310838,11110.78,2021-05-17
2020-02-24,22.0792346990906,10712.84,2021-05-17
2020-02-25,21.8733258196722,10478.51,2021-05-17
2020-02-26,22.0453957202825,10512.15,2021-05-17
2020-02-27,21.554523563456,10205.46,2021-05-17
2020-02-28,20.8060333575055,9831.03,2021-05-17
2020-03-02,20.9103430299238,9950.83,2021-05-17
2020-03-03,21.1093891213389,10087.4,2021-05-17
2020-03-04,21.0636793143096,10251.39,2021-05-17
2020-03-05,20.939943933143,10143.57,2021-05-17
2020-03-06,20.2044131455399,9736.82,2021-05-17
2020-03-09,18.9475751351351,9196.6,2021-05-17
