Date,Stock,Market,joined date
2020-01-02,89.55,3257.85,2021-10-06
2020-01-03,88.7,3234.85,2021-10-06
2020-01-06,89.4,3246.28,2021-10-06
2020-01-07,88.89,3237.18,2021-10-06
2020-01-08,89.52,3253.05,2021-10-06
2020-01-09,90.21,3274.7,2021-10-06
2020-01-10,89.06,3265.35,2021-10-06
2020-01-13,88.52,3288.13,2021-10-06
2020-01-14,88.2,3283.15,2021-10-06
2020-01-15,89.26,3289.29,2021-10-06
2020-01-16,89.26,3316.81,2021-10-06
2020-01-17,88.0,3329.62,2021-10-06
2020-01-21,87.99,3320.79,2021-10-06
2020-01-22,87.21,3321.75,2021-10-06
2020-01-23,85.27,3325.54,2021-10-06
2020-01-24,83.54,3295.47,2021-10-06
2020-01-27,84.02,3243.63,2021-10-06
2020-01-28,83.77,3276.24,2021-10-06
2020-01-29,83.2,3273.4,2021-10-06
2020-01-30,81.78,3283.66,2021-10-06
2020-01-31,81.02,3225.52,2021-10-06
2020-02-03,82.3,3248.92,2021-10-06
2020-02-04,84.36,3297.59,2021-10-06
2020-02-05,86.63,3334.69,2021-10-06
2020-02-06,87.18,3345.78,2021-10-06
2020-02-07,92.29,3327.71,2021-10-06
2020-02-10,94.75,3352.09,2021-10-06
2020-02-11,96.0,3357.75,2021-10-06
2020-02-12,97.79,3379.45,2021-10-06
2020-02-13,95.35,3373.94,2021-10-06
2020-02-14,94.05,3380.16,2021-10-06
2020-02-18,93.61,3370.29,2021-10-06
2020-02-19,94.14,3386.15,2021-10-06
2020-02-20,94.23,3373.23,2021-10-06
2020-02-21,94.96,3337.75,2021-10-06
2020-02-24,93.14,3225.89,2021-10-06
2020-02-25,89.18,3128.21,2021-10-06
2020-02-26,88.41,3116.39,2021-10-06
2020-02-27,85.42,2978.76,2021-10-06
2020-02-28,85.71,2954.22,2021-10-06
2020-03-02,88.69,3090.23,2021-10-06
2020-03-03,87.57,3003.37,2021-10-06
2020-03-04,91.75,3130.12,2021-10-06
2020-03-05,90.61,3023.94,2021-10-06
2020-03-06,88.82,2972.37,2021-10-06
2020-03-09,85.27,2746.56,2021-10-06
2020-03-10,87.53,2882.23,2021-10-06
2020-03-11,84.85,2741.38,2021-10-06
