Date,Stock,Market,joined date
2018-01-02,177.7,2695.81,2020-05-27
2018-01-03,181.04,2713.06,2020-05-27
2018-01-04,183.22,2723.99,2020-05-27
2018-01-05,185.34,2743.15,2020-05-27
2018-01-08,185.04,2747.71,2020-05-27
2018-01-09,186.7,2751.29,2020-05-27
2018-01-10,187.11,2748.23,2020-05-27
2018-01-11,188.92,2767.56,2020-05-27
2018-01-12,195.05,2786.24,2020-05-27
2018-01-16,192.46,2776.42,2020-05-27
2018-01-17,196.49,2802.56,2020-05-27
2018-01-18,196.2,2798.03,2020-05-27
2018-01-19,195.73,2810.3,2020-05-27
2018-01-22,197.84,2832.97,2020-05-27
2018-01-23,200.09,2839.13,2020-05-27
2018-01-24,197.78,2837.54,2020-05-27
2018-01-25,197.51,2839.25,2020-05-27
2018-01-26,201.3,2872.87,2020-05-27
2018-01-29,198.23,2853.53,2020-05-27
2018-01-30,196.9,2822.43,2020-05-27
2018-01-31,199.76,2823.81,2020-05-27
2018-02-01,199.38,2821.98,2020-05-27
2018-02-02,195.64,2762.13,2020-05-27
2018-02-05,190.27,2648.94,2020-05-27
2018-02-06,194.47,2695.14,2020-05-27
2018-02-07,192.34,2681.66,2020-05-27
2018-02-08,185.16,2581.0,2020-05-27
2018-02-09,187.99,2619.55,2020-05-27
2018-02-12,192.15,2656.0,2020-05-27
2018-02-13,193.48,2662.94,2020-05-27
2018-02-14,197.13,2698.63,2020-05-27
2018-02-15,202.97,2731.2,2020-05-27
2018-02-16,201.56,2732.22,2020-05-27
2018-02-20,202.98,2716.26,2020-05-27
2018-02-21,202.09,2701.33,2020-05-27
2018-02-22,202.61,2703.96,2020-05-27
2018-02-23,209.74,2747.3,2020-05-27
2018-02-26,212.15,2779.6,2020-05-27
2018-02-27,208.82,2744.28,2020-05-27
2018-02-28,209.13,2713.83,2020-05-27
2018-03-01,206.03,2677.67,2020-05-27
2018-03-02,209.79,2691.25,2020-05-27
2018-03-05,211.16,2720.94,2020-05-27
2018-03-06,212.01,2728.12,2020-05-27
2018-03-07,216.86,2726.8,2020-05-27
2018-03-08,216.4,2738.97,2020-05-27
2018-03-09,221.11,2786.57,2020-05-27
