Date,Stock,Market,joined date
2018-01-02,90.28,2695.81,2020-11-23
2018-01-03,91.4,2713.06,2020-11-23
2018-01-04,91.3,2723.99,2020-11-23
2018-01-05,91.67,2743.15,2020-11-23
2018-01-08,91.83,2747.71,2020-11-23
2018-01-09,91.64,2751.29,2020-11-23
2018-01-10,90.11,2748.23,2020-11-23
2018-01-11,91.19,2767.56,2020-11-23
2018-01-12,92.02,2786.24,2020-11-23
2018-01-16,93.1,2776.42,2020-11-23
2018-01-17,95.57,2802.56,2020-11-23
2018-01-18,97.24,2798.03,2020-11-23
2018-01-19,96.14,2810.3,2020-11-23
2018-01-22,96.65,2832.97,2020-11-23
2018-01-23,96.47,2839.13,2020-11-23
2018-01-24,95.34,2837.54,2020-11-23
2018-01-25,91.98,2839.25,2020-11-23
2018-01-26,93.84,2872.87,2020-11-23
2018-01-29,93.78,2853.53,2020-11-23
2018-01-30,91.55,2822.43,2020-11-23
2018-01-31,91.88,2823.81,2020-11-23
2018-02-01,91.65,2821.98,2020-11-23
2018-02-02,89.11,2762.13,2020-11-23
2018-02-05,85.4,2648.94,2020-11-23
2018-02-06,88.54,2695.14,2020-11-23
2018-02-07,85.35,2681.66,2020-11-23
2018-02-08,82.68,2581.0,2020-11-23
2018-02-09,83.93,2619.55,2020-11-23
2018-02-12,85.05,2656.0,2020-11-23
2018-02-13,84.34,2662.94,2020-11-23
2018-02-14,85.13,2698.63,2020-11-23
2018-02-15,85.4,2731.2,2020-11-23
2018-02-16,86.09,2732.22,2020-11-23
2018-02-20,88.41,2716.26,2020-11-23
2018-02-21,88.41,2701.33,2020-11-23
2018-02-22,88.56,2703.96,2020-11-23
2018-02-23,90.37,2747.3,2020-11-23
2018-02-26,92.36,2779.6,2020-11-23
2018-02-27,92.26,2744.28,2020-11-23
2018-02-28,90.15,2713.83,2020-11-23
2018-03-01,88.31,2677.67,2020-11-23
2018-03-02,89.53,2691.25,2020-11-23
2018-03-05,91.14,2720.94,2020-11-23
2018-03-06,91.93,2728.12,2020-11-23
2018-03-07,92.74,2726.8,2020-11-23
2018-03-08,92.72,2738.97,2020-11-23
2018-03-09,94.73,2786.57,2020-11-23
2018-03-12,95.53,2783.02,2020-11-23
