Date,Stock,Market,joined date
2020-01-02,22.1,3257.85,2021-09-15
2020-01-03,20.68,3234.85,2021-09-15
2020-01-06,20.78,3246.28,2021-09-15
2020-01-07,21.19,3237.18,2021-09-15
2020-01-08,20.93,3253.05,2021-09-15
2020-01-09,20.62,3274.7,2021-09-15
2020-01-10,20.47,3265.35,2021-09-15
2020-01-13,20.86,3288.13,2021-09-15
2020-01-14,21.27,3283.15,2021-09-15
2020-01-15,21.39,3289.29,2021-09-15
2020-01-16,21.93,3316.81,2021-09-15
2020-01-17,21.84,3329.62,2021-09-15
2020-01-21,20.8,3320.79,2021-09-15
2020-01-22,21.59,3321.75,2021-09-15
2020-01-23,21.26,3325.54,2021-09-15
2020-01-24,20.27,3295.47,2021-09-15
2020-01-27,19.33,3243.63,2021-09-15
2020-01-28,18.95,3276.24,2021-09-15
2020-01-29,19.59,3273.4,2021-09-15
2020-01-30,19.32,3283.66,2021-09-15
2020-01-31,25.71,3225.52,2021-09-15
2020-02-03,26.19,3248.92,2021-09-15
2020-02-04,27.13,3297.59,2021-09-15
2020-02-05,28.02,3334.69,2021-09-15
2020-02-06,27.93,3345.78,2021-09-15
2020-02-07,26.92,3327.71,2021-09-15
2020-02-10,27.12,3352.09,2021-09-15
2020-02-11,27.23,3357.75,2021-09-15
2020-02-12,28.42,3379.45,2021-09-15
2020-02-13,27.83,3373.94,2021-09-15
2020-02-14,27.65,3380.16,2021-09-15
2020-02-18,27.86,3370.29,2021-09-15
2020-02-19,27.73,3386.15,2021-09-15
2020-02-20,28.24,3373.23,2021-09-15
2020-02-21,26.97,3337.75,2021-09-15
2020-02-24,25.55,3225.89,2021-09-15
2020-02-25,25.29,3128.21,2021-09-15
2020-02-26,25.27,3116.39,2021-09-15
2020-02-27,24.0,2978.76,2021-09-15
2020-02-28,23.93,2954.22,2021-09-15
2020-03-02,23.53,3090.23,2021-09-15
2020-03-03,21.81,3003.37,2021-09-15
2020-03-04,21.92,3130.12,2021-09-15
2020-03-05,19.95,3023.94,2021-09-15
2020-03-06,20.16,2972.37,2021-09-15
2020-03-09,17.01,2746.56,2021-09-15
2020-03-10,17.11,2882.23,2021-09-15
2020-03-11,16.45,2741.38,2021-09-15
2020-03-12,13.24,2480.64,2021-09-15
2020-03-13,13.95,2711.02,2021-09-15
2020-03-16,9.54,2386.13,2021-09-15
2020-03-17,8.5,2529.19,2021-09-15
2020-03-18,6.53,2398.1,2021-09-15
2020-03-19,8.5,2409.39,2021-09-15
2020-03-20,8.61,2304.92,2021-09-15
2020-03-23,9.52,2237.4,2021-09-15
2020-03-24,11.57,2447.33,2021-09-15
2020-03-25,11.45,2475.56,2021-09-15
2020-03-26,11.62,2630.07,2021-09-15
2020-03-27,9.17,2541.47,2021-09-15
2020-03-30,9.35,2626.65,2021-09-15
2020-03-31,9.07,2584.59,2021-09-15
2020-04-01,7.56,2470.5,2021-09-15
2020-04-02,7.65,2526.9,2021-09-15
2020-04-03,7.35,2488.65,2021-09-15
2020-04-06,9.35,2663.68,2021-09-15
2020-04-07,9.31,2659.41,2021-09-15
2020-04-08,10.84,2749.98,2021-09-15
2020-04-09,12.49,2789.82,2021-09-15
2020-04-13,11.26,2761.63,2021-09-15
2020-04-14,11.17,2846.06,2021-09-15
2020-04-15,10.51,2783.36,2021-09-15
2020-04-16,10.33,2799.55,2021-09-15
2020-04-17,11.19,2874.56,2021-09-15
2020-04-20,10.75,2823.16,2021-09-15
2020-04-21,11.56,2736.56,2021-09-15
2020-04-22,11.26,2799.31,2021-09-15
2020-04-23,12.16,2797.8,2021-09-15
2020-04-24,12.36,2836.74,2021-09-15
2020-04-27,13.02,2878.48,2021-09-15
2020-04-28,13.97,2863.39,2021-09-15
2020-04-29,15.81,2939.51,2021-09-15
2020-04-30,14.98,2912.43,2021-09-15
2020-05-01,14.35,2830.71,2021-09-15
2020-05-04,14.81,2842.74,2021-09-15
2020-05-05,15.23,2868.44,2021-09-15
2020-05-06,15.17,2848.42,2021-09-15
2020-05-07,15.48,2881.19,2021-09-15
2020-05-08,17.75,2929.8,2021-09-15
2020-05-11,17.24,2930.32,2021-09-15
2020-05-12,16.7,2870.12,2021-09-15
2020-05-13,15.47,2820.0,2021-09-15
2020-05-14,15.53,2852.5,2021-09-15
2020-05-15,15.89,2863.7,2021-09-15
2020-05-18,17.0,2953.91,2021-09-15
2020-05-19,16.32,2922.94,2021-09-15
2020-05-20,16.68,2971.61,2021-09-15
2020-05-21,16.81,2948.51,2021-09-15
2020-05-22,16.84,2955.45,2021-09-15
2020-05-26,17.53,2991.77,2021-09-15
2020-05-27,18.18,3036.13,2021-09-15
2020-05-28,17.11,3029.73,2021-09-15
2020-05-29,17.01,3044.31,2021-09-15
2020-06-01,17.67,3055.73,2021-09-15
2020-06-02,18.72,3080.82,2021-09-15
2020-06-03,19.69,3122.87,2021-09-15
2020-06-04,19.68,3112.35,2021-09-15
2020-06-05,21.39,3193.93,2021-09-15
2020-06-08,22.28,3232.39,2021-09-15
