Date,Stock,Market,joined date
2020-01-02,187.83,3257.85,2021-04-13
2020-01-03,184.95,3234.85,2021-04-13
2020-01-06,187.12,3246.28,2021-04-13
2020-01-07,187.5,3237.18,2021-04-13
2020-01-08,189.95,3253.05,2021-04-13
2020-01-09,191.94,3274.7,2021-04-13
2020-01-10,192.36,3265.35,2021-04-13
2020-01-13,192.45,3288.13,2021-04-13
2020-01-14,191.11,3283.15,2021-04-13
2020-01-15,190.79,3289.29,2021-04-13
2020-01-16,192.5,3316.81,2021-04-13
2020-01-17,193.35,3329.62,2021-04-13
2020-01-21,195.84,3320.79,2021-04-13
2020-01-22,194.73,3321.75,2021-04-13
2020-01-23,198.6,3325.54,2021-04-13
2020-01-24,199.19,3295.47,2021-04-13
2020-01-27,195.87,3243.63,2021-04-13
2020-01-28,200.03,3276.24,2021-04-13
2020-01-29,199.74,3273.4,2021-04-13
2020-01-30,198.99,3283.66,2021-04-13
2020-01-31,196.85,3225.52,2021-04-13
2020-02-03,199.26,3248.92,2021-04-13
2020-02-04,203.94,3297.59,2021-04-13
2020-02-05,202.08,3334.69,2021-04-13
2020-02-06,206.0,3345.78,2021-04-13
2020-02-07,207.01,3327.71,2021-04-13
2020-02-10,206.1,3352.09,2021-04-13
2020-02-11,205.8,3357.75,2021-04-13
2020-02-12,207.11,3379.45,2021-04-13
2020-02-13,207.51,3373.94,2021-04-13
2020-02-14,208.95,3380.16,2021-04-13
2020-02-18,207.06,3370.29,2021-04-13
2020-02-19,210.76,3386.15,2021-04-13
2020-02-20,206.67,3373.23,2021-04-13
2020-02-21,201.91,3337.75,2021-04-13
2020-02-24,194.37,3225.89,2021-04-13
2020-02-25,186.73,3128.21,2021-04-13
2020-02-26,190.67,3116.39,2021-04-13
2020-02-27,180.65,2978.76,2021-04-13
2020-02-28,190.88,2954.22,2021-04-13
2020-03-02,190.83,3090.23,2021-04-13
2020-03-03,180.55,3003.37,2021-04-13
2020-03-04,191.42,3130.12,2021-04-13
2020-03-05,184.04,3023.94,2021-04-13
2020-03-06,173.42,2972.37,2021-04-13
2020-03-09,160.05,2746.56,2021-04-13
2020-03-10,164.48,2882.23,2021-04-13
2020-03-11,154.4,2741.38,2021-04-13
2020-03-12,136.0,2480.64,2021-04-13
2020-03-13,158.03,2711.02,2021-04-13
2020-03-16,148.08,2386.13,2021-04-13
2020-03-17,154.92,2529.19,2021-04-13
2020-03-18,141.82,2398.1,2021-04-13
2020-03-19,149.23,2409.39,2021-04-13
2020-03-20,148.02,2304.92,2021-04-13
2020-03-23,144.14,2237.4,2021-04-13
2020-03-24,149.96,2447.33,2021-04-13
2020-03-25,149.99,2475.56,2021-04-13
2020-03-26,160.88,2630.07,2021-04-13
2020-03-27,141.57,2541.47,2021-04-13
2020-03-30,155.91,2626.65,2021-04-13
2020-03-31,156.1,2584.59,2021-04-13
2020-04-01,139.22,2470.5,2021-04-13
2020-04-02,137.05,2526.9,2021-04-13
2020-04-03,139.0,2488.65,2021-04-13
2020-04-06,152.32,2663.68,2021-04-13
2020-04-07,148.7,2659.41,2021-04-13
2020-04-08,159.21,2749.98,2021-04-13
2020-04-09,164.9,2789.82,2021-04-13
2020-04-13,160.92,2761.63,2021-04-13
2020-04-14,172.22,2846.06,2021-04-13
2020-04-15,169.14,2783.36,2021-04-13
2020-04-16,171.0,2799.55,2021-04-13
2020-04-17,180.94,2874.56,2021-04-13
