Date,Stock,Market,joined date
2020-01-02,4.61653597837498,612.87,2021-11-02
2020-01-03,4.52679029702528,611.06,2021-11-02
2020-01-06,4.42457075059882,607.24,2021-11-02
2020-01-07,4.48939539240393,609.71,2021-11-02
2020-01-08,4.49670241822662,610.48,2021-11-02
2020-01-09,4.47751249305942,612.55,2021-11-02
2020-01-10,4.47357886309049,610.43,2021-11-02
2020-01-13,4.46099551339859,608.9,2021-11-02
2020-01-14,4.46751454863081,611.15,2021-11-02
2020-01-15,4.40943652864182,611.56,2021-11-02
2020-01-16,4.41056933201196,612.06,2021-11-02
2020-01-17,4.39637202288551,615.57,2021-11-02
2020-01-20,4.39876191215787,614.23,2021-11-02
2020-01-21,4.35746265348641,611.89,2021-11-02
2020-01-22,4.30220822288523,611.56,2021-11-02
2020-01-23,4.23293288093634,605.62,2021-11-02
2020-01-24,4.24387394040941,614.24,2021-11-02
2020-01-27,4.10786873326946,598.69,2021-11-02
2020-01-28,4.13030062593669,602.96,2021-11-02
2020-01-29,4.12065833654427,605.22,2021-11-02
2020-01-30,4.10977035582715,598.95,2021-11-02
2020-01-31,4.07001896901727,589.5,2021-11-02
2020-02-03,4.08262561924981,592.36,2021-11-02
2020-02-04,4.16726477700606,605.4,2021-11-02
2020-02-05,4.26023269624124,613.41,2021-11-02
2020-02-06,4.28108701619544,618.75,2021-11-02
2020-02-07,4.25790354880011,616.46,2021-11-02
2020-02-10,4.24143912203957,617.1,2021-11-02
2020-02-11,4.28594815825377,623.85,2021-11-02
2020-02-12,4.32447710570942,629.03,2021-11-02
2020-02-13,4.08559256810222,629.14,2021-11-02
2020-02-14,4.12190261653094,629.23,2021-11-02
2020-02-17,4.18300795215705,629.17,2021-11-02
2020-02-18,4.02071867918421,625.43,2021-11-02
2020-02-19,4.05367445277557,629.2,2021-11-02
2020-02-20,4.0015527447999,622.12,2021-11-02
2020-02-21,3.98915695310381,617.33,2021-11-02
2020-02-24,3.81990037873442,593.3,2021-11-02
2020-02-25,3.73912097476068,582.71,2021-11-02
2020-02-26,3.72280243690167,581.78,2021-11-02
2020-02-27,3.56113762840111,559.98,2021-11-02
2020-02-28,3.38577555317907,539.38,2021-11-02
2020-03-02,3.36520800169205,542.17,2021-11-02
2020-03-03,3.380325744543,550.22,2021-11-02
2020-03-04,3.38250848967322,557.73,2021-11-02
2020-03-05,3.24694299586407,552.54,2021-11-02
2020-03-06,3.07968356787378,531.29,2021-11-02
2020-03-09,2.59732826612026,490.66,2021-11-02
2020-03-10,2.53665689149561,484.7,2021-11-02
2020-03-11,2.57675623908512,484.16,2021-11-02
2020-03-12,2.00568099216068,432.1,2021-11-02
2020-03-13,2.02998334258745,432.85,2021-11-02
2020-03-16,1.86723615505887,416.77,2021-11-02
2020-03-17,2.06780145587298,424.26,2021-11-02
2020-03-18,1.92559530305345,404.1,2021-11-02
2020-03-19,2.07173018333423,422.75,2021-11-02
2020-03-20,2.44145011228746,431.98,2021-11-02
2020-03-23,2.28357008844813,423.72,2021-11-02
2020-03-24,2.58888505350362,461.73,2021-11-02
2020-03-25,2.68517712594656,475.4,2021-11-02
2020-03-26,2.67981208231324,482.99,2021-11-02
2020-03-27,2.63125647509664,464.93,2021-11-02
2020-03-30,2.58033159912074,475.98,2021-11-02
2020-03-31,2.55211205470388,483.44,2021-11-02
2020-04-01,2.40726124704026,471.3,2021-11-02
2020-04-02,2.4795093090159,478.28,2021-11-02
2020-04-03,2.25887337339501,471.46,2021-11-02
2020-04-06,2.4128628466602,489.82,2021-11-02
2020-04-07,2.6046430593667,499.85,2021-11-02
2020-04-08,2.57938446507083,500.71,2021-11-02
2020-04-09,2.7219284059618,508.04,2021-11-02
2020-04-14,2.62288242591921,507.74,2021-11-02
2020-04-15,2.37227869639195,491.13,2021-11-02
2020-04-16,2.37287768303121,496.08,2021-11-02
2020-04-17,2.42533661061927,505.82,2021-11-02
2020-04-20,2.40267639902676,512.76,2021-11-02
2020-04-21,2.30038538783043,495.76,2021-11-02
2020-04-22,2.31591705986753,509.62,2021-11-02
2020-04-23,2.36532721257773,512.73,2021-11-02
2020-04-24,2.3295571352831,504.94,2021-11-02
2020-04-27,2.40598572867151,512.19,2021-11-02
2020-04-28,2.54221702960872,519.97,2021-11-02
2020-04-29,2.68997836274479,526.96,2021-11-02
2020-04-30,2.57441144572374,512.92,2021-11-02
2020-05-04,2.39822014766666,496.31,2021-11-02
2020-05-05,2.39519660120519,509.83,2021-11-02
2020-05-06,2.30991753378525,505.55,2021-11-02
2020-05-07,2.41120462743314,516.26,2021-11-02
2020-05-08,2.38371399768023,520.57,2021-11-02
2020-05-11,2.36867982840039,520.33,2021-11-02
2020-05-12,2.43926247288503,520.44,2021-11-02
2020-05-13,2.2681059098382,512.19,2021-11-02
2020-05-14,2.24615916506408,499.03,2021-11-02
2020-05-15,2.24844263713445,500.31,2021-11-02
2020-05-18,2.4552061281945,519.89,2021-11-02
2020-05-19,2.48233533915056,520.45,2021-11-02
2020-05-20,2.50384193194292,531.06,2021-11-02
2020-05-21,2.42847601633583,522.81,2021-11-02
2020-05-22,2.42525315282909,524.38,2021-11-02
2020-05-25,2.44245357049437,532.82,2021-11-02
2020-05-26,2.6615426846006,531.3,2021-11-02
2020-05-27,2.77826680163724,528.96,2021-11-02
2020-05-28,2.79116132247883,538.62,2021-11-02
2020-05-29,2.66907864071205,532.57,2021-11-02
2020-06-01,2.82246840728164,539.54,2021-11-02
2020-06-02,2.89722340116604,546.12,2021-11-02
2020-06-03,3.20225539418855,561.3,2021-11-02
2020-06-04,3.22280791248655,559.13,2021-11-02
2020-06-05,3.43033818169509,572.8,2021-11-02
2020-06-08,3.39664400731724,566.2,2021-11-02
2020-06-09,3.32263588219952,561.75,2021-11-02
2020-06-10,3.17765297073604,559.28,2021-11-02
2020-06-11,2.86831075814232,540.26,2021-11-02
