Date,Stock,Market,joined date
2020-01-02,191.341062931438,9691.2,2021-10-28
2020-01-03,189.797148021691,9646.6,2021-10-28
2020-01-06,189.16075306127,9600.9,2021-10-28
2020-01-07,187.61569169696,9579.8,2021-10-28
2020-01-08,187.196056225434,9591.4,2021-10-28
2020-01-09,188.784008883954,9581.8,2021-10-28
2020-01-10,190.819322124367,9573.6,2021-10-28
2020-01-13,191.487703594848,9543.9,2021-10-28
2020-01-14,193.722112806133,9528.3,2021-10-28
2020-01-15,194.104399402412,9511.7,2021-10-28
2020-01-16,194.305566381239,9572.5,2021-10-28
2020-01-17,191.766088614893,9681.3,2021-10-28
2020-01-20,191.981273366688,9658.8,2021-10-28
2020-01-21,188.394875659382,9611.3,2021-10-28
2020-01-22,188.270132981378,9573.7,2021-10-28
2020-01-23,186.226942673048,9518.5,2021-10-28
2020-01-24,185.738378950386,9562.0,2021-10-28
2020-01-27,182.314903554866,9366.3,2021-10-28
2020-01-28,184.199506303447,9484.2,2021-10-28
2020-01-29,184.290196510155,9546.7,2021-10-28
2020-01-30,184.641856566147,9477.9,2021-10-28
2020-01-31,185.419370583602,9367.9,2021-10-28
2020-02-03,186.327848549185,9404.7,2021-10-28
2020-02-04,186.610425891368,9562.9,2021-10-28
2020-02-05,188.158444586184,9717.8,2021-10-28
2020-02-06,186.659346692287,9811.3,2021-10-28
2020-02-07,185.100073317794,9811.0,2021-10-28
2020-02-10,183.87205864706,9816.0,2021-10-28
2020-02-11,184.447476125512,9882.6,2021-10-28
2020-02-12,183.393486106883,9940.4,2021-10-28
2020-02-13,180.485848391887,9909.8,2021-10-28
2020-02-14,182.323254202045,9956.8,2021-10-28
2020-02-17,181.84871400403,10022.2,2021-10-28
2020-02-18,181.450307542895,10005.8,2021-10-28
2020-02-19,183.074396594568,10083.6,2021-10-28
2020-02-20,181.099645240944,9931.0,2021-10-28
2020-02-21,181.72946597994,9886.2,2021-10-28
2020-02-24,171.949776991611,9483.5,2021-10-28
2020-02-25,168.733681462142,9250.8,2021-10-28
2020-02-26,167.536988685814,9316.8,2021-10-28
2020-02-27,165.794162285814,8985.9,2021-10-28
2020-02-28,159.862408079116,8723.2,2021-10-28
2020-03-02,158.352907125602,8741.5,2021-10-28
2020-03-03,159.744408945687,8811.6,2021-10-28
2020-03-04,161.609976061905,8910.0,2021-10-28
2020-03-05,160.661301924115,8683.0,2021-10-28
2020-03-06,153.307076839741,8375.6,2021-10-28
2020-03-09,145.262651816069,7708.7,2021-10-28
2020-03-10,137.773516805775,7461.5,2021-10-28
2020-03-11,138.076728071658,7436.4,2021-10-28
2020-03-12,116.02420013196,6390.9,2021-10-28
2020-03-13,120.099944475292,6629.6,2021-10-28
2020-03-16,102.753893802341,6107.2,2021-10-28
2020-03-17,108.354775571243,6498.5,2021-10-28
2020-03-18,115.950411419342,6274.8,2021-10-28
2020-03-19,112.566144636271,6395.8,2021-10-28
2020-03-20,134.744947064485,6443.3,2021-10-28
2020-03-23,109.514875368534,6230.2,2021-10-28
2020-03-24,115.097514670349,6717.3,2021-10-28
2020-03-25,119.734093480721,6942.4,2021-10-28
2020-03-26,125.278457839829,7033.2,2021-10-28
2020-03-27,117.91638352624,6777.9,2021-10-28
2020-03-30,110.790778849234,6659.9,2021-10-28
2020-03-31,109.760670563582,6785.4,2021-10-28
2020-04-01,107.427869858809,6579.4,2021-10-28
2020-04-02,109.102751994789,6574.1,2021-10-28
2020-04-03,110.782067355497,6581.6,2021-10-28
2020-04-06,118.592856372073,6844.3,2021-10-28
2020-04-07,125.114334248007,7002.0,2021-10-28
2020-04-08,124.626825164197,6951.8,2021-10-28
2020-04-09,132.76366974081,7070.6,2021-10-28
2020-04-14,137.237464729971,7108.6,2021-10-28
2020-04-15,131.102482439684,6839.5,2021-10-28
2020-04-16,131.645953647622,6763.4,2021-10-28
2020-04-17,133.121614860896,6875.8,2021-10-28
2020-04-20,128.714807090719,6831.5,2021-10-28
2020-04-21,121.695706453889,6634.9,2021-10-28
2020-04-22,123.263062205099,6719.8,2021-10-28
2020-04-23,124.785827433486,6746.5,2021-10-28
2020-04-24,122.915787537464,6613.9,2021-10-28
2020-04-27,124.305653308501,6731.8,2021-10-28
2020-04-28,125.379980311341,6836.4,2021-10-28
2020-04-29,124.387035043655,7055.7,2021-10-28
2020-04-30,126.529583821741,6922.3,2021-10-28
2020-05-04,119.420239276717,6673.3,2021-10-28
2020-05-05,117.700611262843,6747.7,2021-10-28
2020-05-06,116.899097621001,6671.7,2021-10-28
2020-05-07,117.960549832646,6730.9,2021-10-28
