Date,Stock,Market,joined date
2020-01-02,87.64,3257.85,2021-09-16
2020-01-03,87.24,3234.85,2021-09-16
2020-01-06,87.55,3246.28,2021-09-16
2020-01-07,90.2,3237.18,2021-09-16
2020-01-08,91.4,3253.05,2021-09-16
2020-01-09,93.19,3274.7,2021-09-16
2020-01-10,93.53,3265.35,2021-09-16
2020-01-13,94.68,3288.13,2021-09-16
2020-01-14,93.93,3283.15,2021-09-16
2020-01-15,95.12,3289.29,2021-09-16
2020-01-16,95.82,3316.81,2021-09-16
2020-01-17,95.31,3329.62,2021-09-16
2020-01-21,94.95,3320.79,2021-09-16
2020-01-22,95.585,3321.75,2021-09-16
2020-01-23,96.44,3325.54,2021-09-16
2020-01-24,95.52,3295.47,2021-09-16
2020-01-27,94.23,3243.63,2021-09-16
2020-01-28,94.83,3276.24,2021-09-16
2020-01-29,94.84,3273.4,2021-09-16
2020-01-30,94.61,3283.66,2021-09-16
2020-01-31,93.35,3225.52,2021-09-16
2020-02-03,93.68,3248.92,2021-09-16
2020-02-04,95.22,3297.59,2021-09-16
2020-02-05,95.95,3334.69,2021-09-16
2020-02-06,96.95,3345.78,2021-09-16
2020-02-07,96.12,3327.71,2021-09-16
2020-02-10,95.76,3352.09,2021-09-16
2020-02-11,96.37,3357.75,2021-09-16
2020-02-12,97.45,3379.45,2021-09-16
2020-02-13,99.6,3373.94,2021-09-16
2020-02-14,99.67,3380.16,2021-09-16
2020-02-18,100.96,3370.29,2021-09-16
2020-02-19,102.56,3386.15,2021-09-16
2020-02-20,101.47,3373.23,2021-09-16
2020-02-21,100.52,3337.75,2021-09-16
2020-02-24,97.11,3225.89,2021-09-16
2020-02-25,93.73,3128.21,2021-09-16
2020-02-26,92.54,3116.39,2021-09-16
2020-02-27,89.31,2978.76,2021-09-16
2020-02-28,86.51,2954.22,2021-09-16
2020-03-02,90.91,3090.23,2021-09-16
2020-03-03,90.28,3003.37,2021-09-16
2020-03-04,94.9,3130.12,2021-09-16
2020-03-05,92.98,3023.94,2021-09-16
2020-03-06,90.62,2972.37,2021-09-16
2020-03-09,82.62,2746.56,2021-09-16
2020-03-10,86.15,2882.23,2021-09-16
2020-03-11,87.02,2741.38,2021-09-16
2020-03-12,80.05,2480.64,2021-09-16
2020-03-13,85.73,2711.02,2021-09-16
2020-03-16,83.23,2386.13,2021-09-16
2020-03-17,88.43,2529.19,2021-09-16
2020-03-18,97.1,2398.1,2021-09-16
2020-03-19,88.85,2409.39,2021-09-16
2020-03-20,82.37,2304.92,2021-09-16
2020-03-23,85.54,2237.4,2021-09-16
2020-03-24,89.98,2447.33,2021-09-16
2020-03-25,89.35,2475.56,2021-09-16
2020-03-26,94.38,2630.07,2021-09-16
2020-03-27,90.61,2541.47,2021-09-16
2020-03-30,94.19,2626.65,2021-09-16
2020-03-31,91.49,2584.59,2021-09-16
2020-04-01,91.6,2470.5,2021-09-16
2020-04-02,93.12,2526.9,2021-09-16
2020-04-03,95.36,2488.65,2021-09-16
2020-04-06,97.79,2663.68,2021-09-16
2020-04-07,95.23,2659.41,2021-09-16
2020-04-08,97.37,2749.98,2021-09-16
2020-04-09,95.39,2789.82,2021-09-16
2020-04-13,95.19,2761.63,2021-09-16
2020-04-14,100.5,2846.06,2021-09-16
2020-04-15,100.39,2783.36,2021-09-16
2020-04-16,105.84,2799.55,2021-09-16
2020-04-17,105.35,2874.56,2021-09-16
2020-04-20,106.24,2823.16,2021-09-16
2020-04-21,103.36,2736.56,2021-09-16
2020-04-22,104.29,2799.31,2021-09-16
2020-04-23,102.26,2797.8,2021-09-16
2020-04-24,102.78,2836.74,2021-09-16
2020-04-27,103.07,2878.48,2021-09-16
2020-04-28,101.93,2863.39,2021-09-16
2020-04-29,97.87,2939.51,2021-09-16
2020-04-30,97.71,2912.43,2021-09-16
2020-05-01,95.86,2830.71,2021-09-16
2020-05-04,97.6,2842.74,2021-09-16
2020-05-05,99.19,2868.44,2021-09-16
2020-05-06,99.17,2848.42,2021-09-16
2020-05-07,100.6,2881.19,2021-09-16
2020-05-08,101.15,2929.8,2021-09-16
2020-05-11,101.89,2930.32,2021-09-16
2020-05-12,95.76,2870.12,2021-09-16
2020-05-13,95.37,2820.0,2021-09-16
2020-05-14,97.23,2852.5,2021-09-16
2020-05-15,98.09,2863.7,2021-09-16
2020-05-18,98.1,2953.91,2021-09-16
2020-05-19,97.3,2922.94,2021-09-16
2020-05-20,100.58,2971.61,2021-09-16
2020-05-21,101.0,2948.51,2021-09-16
2020-05-22,100.42,2955.45,2021-09-16
2020-05-26,100.08,2991.77,2021-09-16
2020-05-27,99.97,3036.13,2021-09-16
2020-05-28,102.91,3029.73,2021-09-16
2020-05-29,105.8,3044.31,2021-09-16
2020-06-01,105.71,3055.73,2021-09-16
2020-06-02,105.53,3080.82,2021-09-16
2020-06-03,103.01,3122.87,2021-09-16
2020-06-04,101.84,3112.35,2021-09-16
2020-06-05,99.0,3193.93,2021-09-16
2020-06-08,103.38,3232.39,2021-09-16
2020-06-09,102.73,3207.18,2021-09-16
2020-06-10,103.85,3190.14,2021-09-16
2020-06-11,100.48,3002.1,2021-09-16
2020-06-12,100.34,3041.31,2021-09-16
2020-06-15,100.54,3066.59,2021-09-16
2020-06-16,100.04,3124.74,2021-09-16
2020-06-17,101.41,3113.49,2021-09-16
2020-06-18,100.69,3115.34,2021-09-16
2020-06-19,100.47,3097.74,2021-09-16
2020-06-22,101.59,3117.86,2021-09-16
2020-06-23,100.88,3131.29,2021-09-16
2020-06-24,100.97,3050.33,2021-09-16
2020-06-25,102.89,3083.76,2021-09-16
2020-06-26,105.37,3009.05,2021-09-16
2020-06-29,104.99,3053.24,2021-09-16
2020-06-30,107.09,3100.29,2021-09-16
2020-07-01,106.33,3115.86,2021-09-16
2020-07-02,113.12,3130.01,2021-09-16
2020-07-06,112.61,3179.72,2021-09-16
2020-07-07,110.98,3145.32,2021-09-16
2020-07-08,112.67,3169.94,2021-09-16
2020-07-09,114.22,3152.05,2021-09-16
2020-07-10,114.26,3185.04,2021-09-16
2020-07-13,109.94,3155.22,2021-09-16
2020-07-14,112.27,3197.52,2021-09-16
2020-07-15,112.78,3226.56,2021-09-16
2020-07-16,111.66,3215.57,2021-09-16
2020-07-17,112.65,3224.73,2021-09-16
2020-07-20,115.24,3251.84,2021-09-16
2020-07-21,113.45,3257.3,2021-09-16
2020-07-22,113.81,3276.02,2021-09-16
2020-07-23,112.69,3235.66,2021-09-16
2020-07-24,111.74,3215.63,2021-09-16
2020-07-27,114.65,3239.41,2021-09-16
2020-07-28,111.99,3218.44,2021-09-16
2020-07-29,110.68,3258.44,2021-09-16
2020-07-30,110.5,3246.22,2021-09-16
2020-07-31,112.44,3271.12,2021-09-16
2020-08-03,112.98,3294.61,2021-09-16
2020-08-04,111.73,3306.51,2021-09-16
2020-08-05,110.73,3327.77,2021-09-16
2020-08-06,109.18,3349.16,2021-09-16
2020-08-07,109.22,3351.28,2021-09-16
2020-08-10,107.87,3360.47,2021-09-16
2020-08-11,106.22,3333.69,2021-09-16
2020-08-12,107.0,3380.35,2021-09-16
2020-08-13,109.23,3373.43,2021-09-16
2020-08-14,107.9,3372.85,2021-09-16
2020-08-17,107.87,3381.99,2021-09-16
2020-08-18,108.73,3389.78,2021-09-16
2020-08-19,109.21,3374.85,2021-09-16
2020-08-20,110.35,3385.51,2021-09-16
2020-08-21,110.645,3397.16,2021-09-16
2020-08-24,110.87,3431.28,2021-09-16
2020-08-25,111.0,3443.62,2021-09-16
2020-08-26,112.38,3478.73,2021-09-16
2020-08-27,114.06,3484.55,2021-09-16
2020-08-28,115.63,3508.01,2021-09-16
2020-08-31,116.43,3500.31,2021-09-16
2020-09-01,119.03,3526.65,2021-09-16
2020-09-02,119.57,3580.84,2021-09-16
2020-09-03,113.4,3455.06,2021-09-16
2020-09-04,108.43,3426.96,2021-09-16
2020-09-08,104.11,3331.84,2021-09-16
2020-09-09,108.94,3398.96,2021-09-16
2020-09-10,106.34,3339.19,2021-09-16
2020-09-11,106.49,3340.97,2021-09-16
2020-09-14,108.19,3383.54,2021-09-16
2020-09-15,108.86,3401.2,2021-09-16
2020-09-16,107.07,3385.49,2021-09-16
2020-09-17,106.88,3357.01,2021-09-16
2020-09-18,109.06,3319.47,2021-09-16
2020-09-21,110.16,3281.06,2021-09-16
2020-09-22,112.75,3315.57,2021-09-16
2020-09-23,110.08,3236.92,2021-09-16
2020-09-24,110.47,3246.59,2021-09-16
2020-09-25,111.47,3298.46,2021-09-16
2020-09-28,110.97,3351.6,2021-09-16
2020-09-29,111.21,3335.47,2021-09-16
2020-09-30,110.54,3363.0,2021-09-16
2020-10-01,109.93,3380.8,2021-09-16
2020-10-02,108.61,3348.44,2021-09-16
2020-10-05,109.1,3408.63,2021-09-16
2020-10-06,108.16,3360.95,2021-09-16
2020-10-07,109.68,3419.45,2021-09-16
2020-10-08,111.08,3446.83,2021-09-16
2020-10-09,112.53,3477.13,2021-09-16
2020-10-12,114.09,3534.22,2021-09-16
2020-10-13,115.46,3511.93,2021-09-16
2020-10-14,113.33,3488.67,2021-09-16
2020-10-15,109.05,3483.34,2021-09-16
2020-10-16,110.71,3483.81,2021-09-16
2020-10-19,109.41,3426.92,2021-09-16
2020-10-20,109.3,3443.12,2021-09-16
2020-10-21,109.02,3435.56,2021-09-16
2020-10-22,108.0,3453.49,2021-09-16
2020-10-23,106.75,3465.39,2021-09-16
2020-10-26,106.06,3400.97,2021-09-16
