Date,Stock,Market,joined date
2018-01-02,53.04,2695.81,2020-06-13
2018-01-03,53.98,2713.06,2020-06-13
2018-01-04,54.29,2723.99,2020-06-13
2018-01-05,54.6,2743.15,2020-06-13
2018-01-08,55.92,2747.71,2020-06-13
2018-01-09,54.86,2751.29,2020-06-13
2018-01-10,53.3,2748.23,2020-06-13
2018-01-11,53.2,2767.56,2020-06-13
2018-01-12,53.45,2786.24,2020-06-13
2018-01-16,54.5,2776.42,2020-06-13
2018-01-17,57.34,2802.56,2020-06-13
2018-01-18,57.4,2798.03,2020-06-13
2018-01-19,57.4,2810.3,2020-06-13
2018-01-22,57.46,2832.97,2020-06-13
2018-01-23,57.79,2839.13,2020-06-13
2018-01-24,56.88,2837.54,2020-06-13
2018-01-25,55.76,2839.25,2020-06-13
2018-01-26,57.12,2872.87,2020-06-13
2018-01-29,55.33,2853.53,2020-06-13
2018-01-30,53.38,2822.43,2020-06-13
2018-01-31,53.63,2823.81,2020-06-13
2018-02-01,53.28,2821.98,2020-06-13
2018-02-02,50.68,2762.13,2020-06-13
2018-02-05,48.31,2648.94,2020-06-13
2018-02-06,50.25,2695.14,2020-06-13
2018-02-07,48.69,2681.66,2020-06-13
2018-02-08,45.75,2581.0,2020-06-13
2018-02-09,48.08,2619.55,2020-06-13
2018-02-12,49.5,2656.0,2020-06-13
2018-02-13,49.55,2662.94,2020-06-13
2018-02-14,51.96,2698.63,2020-06-13
2018-02-15,53.99,2731.2,2020-06-13
2018-02-16,55.03,2732.22,2020-06-13
2018-02-20,56.66,2716.26,2020-06-13
2018-02-21,56.13,2701.33,2020-06-13
2018-02-22,56.07,2703.96,2020-06-13
2018-02-23,57.01,2747.3,2020-06-13
2018-02-26,58.81,2779.6,2020-06-13
2018-02-27,57.64,2744.28,2020-06-13
2018-02-28,57.59,2713.83,2020-06-13
2018-03-01,57.07,2677.67,2020-06-13
2018-03-02,58.03,2691.25,2020-06-13
2018-03-05,57.63,2720.94,2020-06-13
2018-03-06,59.99,2728.12,2020-06-13
2018-03-07,59.42,2726.8,2020-06-13
2018-03-08,59.37,2738.97,2020-06-13
2018-03-09,61.61,2786.57,2020-06-13
2018-03-12,60.97,2783.02,2020-06-13
2018-03-13,59.69,2765.31,2020-06-13
2018-03-14,60.23,2749.48,2020-06-13
2018-03-15,60.28,2747.33,2020-06-13
2018-03-16,59.44,2752.01,2020-06-13
2018-03-19,58.5,2712.92,2020-06-13
2018-03-20,59.23,2716.94,2020-06-13
2018-03-21,60.78,2711.93,2020-06-13
2018-03-22,58.96,2643.69,2020-06-13
2018-03-23,55.38,2588.26,2020-06-13
2018-03-26,58.47,2658.55,2020-06-13
2018-03-27,55.44,2612.62,2020-06-13
2018-03-28,54.06,2605.0,2020-06-13
2018-03-29,55.61,2640.87,2020-06-13
2018-04-02,52.89,2581.88,2020-06-13
2018-04-03,53.98,2614.45,2020-06-13
2018-04-04,55.56,2644.69,2020-06-13
2018-04-05,54.29,2662.84,2020-06-13
2018-04-06,52.34,2604.47,2020-06-13
2018-04-09,53.02,2613.16,2020-06-13
2018-04-10,54.8,2656.87,2020-06-13
2018-04-11,54.95,2642.19,2020-06-13
2018-04-12,56.43,2663.99,2020-06-13
2018-04-13,56.07,2656.3,2020-06-13
2018-04-16,56.87,2677.84,2020-06-13
2018-04-17,57.86,2706.39,2020-06-13
2018-04-18,54.73,2708.64,2020-06-13
2018-04-19,51.19,2693.13,2020-06-13
2018-04-20,51.09,2670.14,2020-06-13
2018-04-23,50.18,2670.29,2020-06-13
2018-04-24,48.72,2634.56,2020-06-13
2018-04-25,49.14,2639.4,2020-06-13
2018-04-26,50.49,2666.94,2020-06-13
2018-04-27,49.4,2669.91,2020-06-13
2018-04-30,49.67,2648.05,2020-06-13
2018-05-01,50.91,2654.8,2020-06-13
2018-05-02,50.53,2635.67,2020-06-13
2018-05-03,50.71,2629.73,2020-06-13
2018-05-04,52.56,2663.42,2020-06-13
2018-05-07,52.59,2672.63,2020-06-13
2018-05-08,53.45,2671.92,2020-06-13
2018-05-09,54.13,2697.79,2020-06-13
2018-05-10,55.53,2723.07,2020-06-13
2018-05-11,54.84,2727.72,2020-06-13
2018-05-14,55.26,2730.13,2020-06-13
2018-05-15,54.09,2711.45,2020-06-13
2018-05-16,55.17,2722.46,2020-06-13
2018-05-17,53.96,2720.13,2020-06-13
2018-05-18,49.51,2712.97,2020-06-13
2018-05-21,50.0,2733.01,2020-06-13
2018-05-22,50.25,2724.44,2020-06-13
2018-05-23,50.34,2733.29,2020-06-13
2018-05-24,50.77,2727.76,2020-06-13
2018-05-25,50.85,2721.33,2020-06-13
2018-05-29,52.02,2689.86,2020-06-13
2018-05-30,51.59,2724.01,2020-06-13
2018-05-31,50.78,2705.27,2020-06-13
2018-06-01,52.24,2734.62,2020-06-13
2018-06-04,52.29,2746.87,2020-06-13
2018-06-05,52.91,2748.8,2020-06-13
2018-06-06,52.53,2772.35,2020-06-13
2018-06-07,51.25,2770.37,2020-06-13
2018-06-08,51.15,2779.03,2020-06-13
2018-06-11,49.89,2782.0,2020-06-13
2018-06-12,50.86,2786.85,2020-06-13
2018-06-13,50.98,2775.63,2020-06-13
