Date,Stock,Market,joined date
2017-01-02,73.9516888005859,9418.7,2019-07-16
2017-01-03,73.3897229418311,9494.7,2019-07-16
2017-01-04,73.6119121270904,9462.9,2019-07-16
2017-01-05,74.2209451507216,9488.2,2019-07-16
2017-01-06,73.7624648562129,9515.9,2019-07-16
2017-01-09,75.2730232902345,9492.8,2019-07-16
2017-01-10,74.5778809624317,9452.0,2019-07-16
2017-01-11,74.8534670644741,9408.6,2019-07-16
2017-01-12,75.7976042694506,9407.4,2019-07-16
2017-01-13,76.5195369030392,9511.6,2019-07-16
2017-01-16,76.7966928132288,9410.0,2019-07-16
2017-01-17,79.3654194294772,9394.9,2019-07-16
2017-01-18,78.4284544981023,9386.2,2019-07-16
2017-01-19,79.226290759421,9379.1,2019-07-16
2017-01-20,78.1345287641628,9380.1,2019-07-16
2017-01-23,78.2110881542703,9304.8,2019-07-16
2017-01-24,78.4360011588359,9387.2,2019-07-16
2017-01-25,79.0222938490465,9549.3,2019-07-16
2017-01-26,78.4552454796922,9512.8,2019-07-16
2017-01-27,77.6066730830929,9504.1,2019-07-16
2017-01-30,77.0571379693778,9361.3,2019-07-16
2017-01-31,77.3789604361203,9315.2,2019-07-16
2017-02-01,77.6626900383307,9330.8,2019-07-16
2017-02-02,78.7701443724853,9406.4,2019-07-16
2017-02-03,78.7442321790506,9462.7,2019-07-16
2017-02-06,77.9301745635912,9357.3,2019-07-16
2017-02-07,77.4833659073192,9331.5,2019-07-16
2017-02-08,78.1096230370973,9329.7,2019-07-16
2017-02-09,78.0089707120101,9438.4,2019-07-16
2017-02-10,77.7634756337566,9378.1,2019-07-16
2017-02-13,78.0471780090289,9484.1,2019-07-16
2017-02-14,77.296525464065,9510.2,2019-07-16
2017-02-15,77.6836906641793,9584.1,2019-07-16
2017-02-16,77.9484114702839,9554.7,2019-07-16
2017-02-17,77.5025996901595,9500.3,2019-07-16
2017-02-20,77.9227668151918,9526.6,2019-07-16
2017-02-21,76.9895282442423,9561.0,2019-07-16
2017-02-22,77.2096852504699,9477.2,2019-07-16
2017-02-23,76.909242861828,9493.4,2019-07-16
2017-02-24,74.7436560820302,9453.5,2019-07-16
2017-02-27,73.9893937950524,9464.3,2019-07-16
2017-02-28,74.7332466186561,9555.5,2019-07-16
2017-03-01,74.886894529808,9751.5,2019-07-16
2017-03-02,79.015380736258,9716.0,2019-07-16
2017-03-03,79.3313650941997,9798.5,2019-07-16
2017-03-06,78.9223153084541,9804.1,2019-07-16
2017-03-07,78.181126653425,9801.7,2019-07-16
2017-03-08,76.9238876125033,9850.5,2019-07-16
2017-03-09,77.2500872434248,9998.4,2019-07-16
2017-03-10,77.4680195030355,10006.4,2019-07-16
2017-03-13,77.2344732076277,9995.9,2019-07-16
2017-03-14,76.2176374546762,9905.1,2019-07-16
2017-03-15,77.3135577758938,9983.2,2019-07-16
2017-03-16,78.1038083141376,10168.0,2019-07-16
2017-03-17,78.4046379301091,10245.8,2019-07-16
2017-03-20,78.4981102903281,10214.0,2019-07-16
2017-03-21,78.9200639833989,10211.9,2019-07-16
2017-03-22,79.2680952123928,10229.3,2019-07-16
2017-03-23,79.4920443275412,10324.9,2019-07-16
2017-03-24,79.7577144831458,10309.4,2019-07-16
2017-03-27,80.1764316055924,10302.9,2019-07-16
2017-03-28,81.1979673478213,10389.0,2019-07-16
2017-03-29,80.5835172525166,10367.6,2019-07-16
2017-03-30,80.2147599427878,10405.9,2019-07-16
2017-03-31,80.0055374523461,10462.9,2019-07-16
2017-04-03,79.935565085664,10325.3,2019-07-16
2017-04-04,80.040126783561,10361.2,2019-07-16
2017-04-05,80.4234947916114,10402.7,2019-07-16
2017-04-06,80.1132312407546,10518.9,2019-07-16
2017-04-07,79.6954905926073,10529.0,2019-07-16
2017-04-10,79.3945043537215,10437.7,2019-07-16
2017-04-11,79.3876296092106,10416.3,2019-07-16
2017-04-12,79.5644801808624,10360.5,2019-07-16
2017-04-13,79.3458767098577,10326.1,2019-07-16
2017-04-18,78.2901726783932,10264.5,2019-07-16
2017-04-19,78.8507051906746,10370.3,2019-07-16
2017-04-20,78.0191994514439,10372.5,2019-07-16
2017-04-21,78.064163207517,10377.0,2019-07-16
2017-04-24,80.9045662993633,10766.8,2019-07-16
2017-04-25,81.3914107480361,10783.1,2019-07-16
