Date,Stock,Market,joined date
2020-01-02,31.424394,3257.85,2021-01-11
2020-01-03,31.2367,3234.85,2021-01-11
2020-01-06,31.82144,3246.28,2021-01-11
2020-01-07,31.45327,3237.18,2021-01-11
2020-01-08,31.958602,3253.05,2021-01-11
2020-01-09,32.290676,3274.7,2021-01-11
2020-01-10,32.4134,3265.35,2021-01-11
2020-01-13,32.579437,3288.13,2021-01-11
2020-01-14,33.012578,3283.15,2021-01-11
2020-01-15,32.990921,3289.29,2021-01-11
2020-01-16,33.647852,3316.81,2021-01-11
2020-01-17,33.510691,3329.62,2021-01-11
2020-01-21,33.748919,3320.79,2021-01-11
2020-01-22,33.770576,3321.75,2021-01-11
2020-01-23,33.727261,3325.54,2021-01-11
2020-01-24,33.272463,3295.47,2021-01-11
2020-01-27,32.716599,3243.63,2021-01-11
2020-01-28,32.889855,3276.24,2021-01-11
2020-01-29,33.22193,3273.4,2021-01-11
2020-01-30,32.702161,3283.66,2021-01-11
2020-01-31,31.864754,3225.52,2021-01-11
2020-02-03,31.648184,3248.92,2021-01-11
2020-02-04,31.142852,3297.59,2021-01-11
2020-02-05,31.056224,3334.69,2021-01-11
2020-02-06,29.879524,3345.78,2021-01-11
2020-02-07,29.431945,3327.71,2021-01-11
2020-02-10,29.366973,3352.09,2021-01-11
2020-02-11,30.002247,3357.75,2021-01-11
2020-02-12,30.031123,3379.45,2021-01-11
2020-02-13,30.081656,3373.94,2021-01-11
2020-02-14,30.666397,3380.16,2021-01-11
2020-02-18,30.861311,3370.29,2021-01-11
2020-02-19,30.767463,3386.15,2021-01-11
2020-02-20,30.94072,3373.23,2021-01-11
2020-02-21,30.651959,3337.75,2021-01-11
2020-02-24,29.800115,3225.89,2021-01-11
2020-02-25,28.695605,3128.21,2021-01-11
2020-02-26,28.154178,3116.39,2021-01-11
2020-02-27,25.743025,2978.76,2021-01-11
2020-02-28,25.078875,2954.22,2021-01-11
2020-03-02,24.847867,3090.23,2021-01-11
2020-03-03,25.649178,3003.37,2021-01-11
2020-03-04,26.2267,3130.12,2021-01-11
2020-03-05,24.263126,3023.94,2021-01-11
2020-03-06,23.923832,2972.37,2021-01-11
2020-03-09,21.483804,2746.56,2021-01-11
2020-03-10,21.722031,2882.23,2021-01-11
2020-03-11,18.776671,2741.38,2021-01-11
2020-03-12,17.556657,2480.64,2021-01-11
2020-03-13,17.477247,2711.02,2021-01-11
2020-03-16,12.496124,2386.13,2021-01-11
2020-03-17,10.82853,2529.19,2021-01-11
2020-03-18,9.341412,2398.1,2021-01-11
2020-03-19,13.18915,2409.39,2021-01-11
2020-03-20,14.026556,2304.92,2021-01-11
2020-03-23,12.272334,2237.4,2021-01-11
2020-03-24,13.470691,2447.33,2021-01-11
2020-03-25,14.250345,2475.56,2021-01-11
2020-03-26,15.427046,2630.07,2021-01-11
2020-03-27,15.268227,2541.47,2021-01-11
2020-03-30,15.224913,2626.65,2021-01-11
2020-03-31,14.416383,2584.59,2021-01-11
2020-04-01,13.326311,2470.5,2021-01-11
2020-04-02,12.958141,2526.9,2021-01-11
2020-04-03,12.272334,2488.65,2021-01-11
2020-04-06,13.874956,2663.68,2021-01-11
2020-04-07,14.835086,2659.41,2021-01-11
2020-04-08,16.827536,2749.98,2021-01-11
2020-04-09,16.813098,2789.82,2021-01-11
2020-04-13,16.127291,2761.63,2021-01-11
2020-04-14,16.185043,2846.06,2021-01-11
2020-04-15,15.109409,2783.36,2021-01-11
2020-04-16,15.066095,2799.55,2021-01-11
2020-04-17,15.860187,2874.56,2021-01-11
2020-04-20,14.798991,2823.16,2021-01-11
2020-04-21,14.748458,2736.56,2021-01-11
2020-04-22,16.639841,2799.31,2021-01-11
2020-04-23,16.668717,2797.8,2021-01-11
2020-04-24,17.737132,2836.74,2021-01-11
2020-04-27,17.816541,2878.48,2021-01-11
2020-04-28,19.22425,2863.39,2021-01-11
2020-04-29,20.653616,2939.51,2021-01-11
2020-04-30,19.715144,2912.43,2021-01-11
2020-05-01,18.78389,2830.71,2021-01-11
2020-05-04,18.444596,2842.74,2021-01-11
2020-05-05,18.213587,2868.44,2021-01-11
2020-05-06,17.152392,2848.42,2021-01-11
2020-05-07,17.16683,2881.19,2021-01-11
2020-05-08,18.827204,2929.8,2021-01-11
2020-05-11,17.60719,2930.32,2021-01-11
2020-05-12,16.639841,2870.12,2021-01-11
2020-05-13,16.343861,2820.0,2021-01-11
2020-05-14,16.878069,2852.5,2021-01-11
2020-05-15,17.318429,2863.7,2021-01-11
2020-05-18,18.48791,2953.91,2021-01-11
2020-05-19,18.105302,2922.94,2021-01-11
2020-05-20,18.34353,2971.61,2021-01-11
2020-05-21,18.11974,2948.51,2021-01-11
2020-05-22,17.729913,2955.45,2021-01-11
2020-05-26,19.722363,2991.77,2021-01-11
2020-05-27,20.068876,3036.13,2021-01-11
2020-05-28,19.346974,3029.73,2021-01-11
2020-05-29,18.690043,3044.31,2021-01-11
2020-06-01,18.935489,3055.73,2021-01-11
2020-06-02,19.159279,3080.82,2021-01-11
2020-06-03,20.133847,3122.87,2021-01-11
2020-06-04,20.372074,3112.35,2021-01-11
2020-06-05,21.989135,3193.93,2021-01-11
2020-06-08,23.28134,3232.39,2021-01-11
2020-06-09,21.736469,3207.18,2021-01-11
2020-06-10,19.837867,3190.14,2021-01-11
2020-06-11,17.549438,3002.1,2021-01-11
2020-06-12,18.264121,3041.31,2021-01-11
2020-06-15,18.155835,3066.59,2021-01-11
2020-06-16,18.697262,3124.74,2021-01-11
2020-06-17,17.852636,3113.49,2021-01-11
2020-06-18,18.242464,3115.34,2021-01-11
2020-06-19,17.08742,3097.74,2021-01-11
2020-06-22,16.849193,3117.86,2021-01-11
2020-06-23,17.354524,3131.29,2021-01-11
2020-06-24,16.372737,3050.33,2021-01-11
2020-06-25,16.0551,3083.76,2021-01-11
2020-06-26,15.549769,3009.05,2021-01-11
2020-06-29,16.177824,3053.24,2021-01-11
2020-06-30,16.293328,3100.29,2021-01-11
2020-07-01,16.06232,3115.86,2021-01-11
2020-07-02,15.845749,3130.01,2021-01-11
2020-07-06,16.148948,3179.72,2021-01-11
2020-07-07,15.24657,3145.32,2021-01-11
2020-07-08,15.629178,3169.94,2021-01-11
2020-07-09,14.993905,3152.05,2021-01-11
2020-07-10,15.607521,3185.04,2021-01-11
2020-07-13,15.621959,3155.22,2021-01-11
2020-07-14,15.896282,3197.52,2021-01-11
2020-07-15,17.289553,3226.56,2021-01-11
2020-07-16,16.784222,3215.57,2021-01-11
2020-07-17,16.697593,3224.73,2021-01-11
2020-07-20,16.257233,3251.84,2021-01-11
2020-07-21,16.57487,3257.3,2021-01-11
2020-07-22,16.805879,3276.02,2021-01-11
2020-07-23,16.748126,3235.66,2021-01-11
2020-07-24,16.358299,3215.63,2021-01-11
2020-07-27,15.925158,3239.41,2021-01-11
2020-07-28,15.968472,3218.44,2021-01-11
2020-07-29,16.293328,3258.44,2021-01-11
2020-07-30,15.917939,3246.22,2021-01-11
