Date,Stock,Market,joined date
2020-01-02,5.50102213459524,7604.3,2021-08-24
2020-01-03,5.42238942395772,7622.4,2021-08-24
2020-01-06,5.38576825944418,7575.34,2021-08-24
2020-01-07,5.41182842969981,7573.85,2021-08-24
2020-01-08,5.38430378636087,7574.93,2021-08-24
2020-01-09,5.39180233864659,7598.12,2021-08-24
2020-01-10,5.32604652893873,7587.85,2021-08-24
2020-01-13,5.28173282333677,7617.6,2021-08-24
2020-01-14,5.28577294560213,7622.35,2021-08-24
2020-01-15,5.26129147058426,7642.8,2021-08-24
2020-01-16,5.25678809038113,7609.81,2021-08-24
2020-01-17,5.23971757115367,7674.56,2021-08-24
2020-01-20,5.25426473266571,7651.44,2021-08-24
2020-01-21,5.2773547478017,7610.7,2021-08-24
2020-01-22,5.32662322611145,7571.92,2021-08-24
2020-01-23,5.26967387881493,7507.67,2021-08-24
2020-01-24,5.31750793713044,7585.98,2021-08-24
2020-01-27,5.19336018326335,7412.05,2021-08-24
2020-01-28,5.23577882861758,7480.69,2021-08-24
2020-01-29,5.24070212876776,7483.57,2021-08-24
2020-01-30,5.24590385093819,7381.96,2021-08-24
2020-01-31,5.19541342079917,7286.01,2021-08-24
2020-02-03,5.15278521405845,7326.31,2021-08-24
2020-02-04,5.17223413070685,7439.82,2021-08-24
2020-02-05,5.24550692250692,7482.48,2021-08-24
2020-02-06,5.224146177813,7504.79,2021-08-24
2020-02-07,5.19384494804975,7466.7,2021-08-24
2020-02-10,5.18873111142666,7446.88,2021-08-24
2020-02-11,5.25388833631223,7499.44,2021-08-24
2020-02-12,5.28061351736657,7534.37,2021-08-24
2020-02-13,5.2868393905398,7452.03,2021-08-24
2020-02-14,5.29627583102864,7409.13,2021-08-24
2020-02-17,5.30443422900834,7433.25,2021-08-24
2020-02-18,5.25496238383067,7382.01,2021-08-24
2020-02-19,5.22943649635025,7457.02,2021-08-24
2020-02-20,5.16866965458602,7436.64,2021-08-24
2020-02-21,5.17789202017973,7403.92,2021-08-24
2020-02-24,4.97468730690181,7156.83,2021-08-24
2020-02-25,4.9053858827814,7017.88,2021-08-24
2020-02-26,4.84306092824621,7042.47,2021-08-24
2020-02-27,4.64239886105957,6796.4,2021-08-24
2020-02-28,4.4433060010511,6580.61,2021-08-24
2020-03-02,4.32332089352436,6654.89,2021-08-24
2020-03-03,4.37908366212327,6718.2,2021-08-24
2020-03-04,4.45173226512231,6815.59,2021-08-24
2020-03-05,4.49999481838443,6705.43,2021-08-24
2020-03-06,4.42142813715011,6462.55,2021-08-24
2020-03-09,3.99580730342968,5965.77,2021-08-24
2020-03-10,4.03065858317306,5960.23,2021-08-24
2020-03-11,3.93919090291387,5876.52,2021-08-24
2020-03-12,3.37829510484235,5237.48,2021-08-24
2020-03-13,3.29414949668561,5366.11,2021-08-24
2020-03-16,3.04304603439387,5151.08,2021-08-24
2020-03-17,2.94538683906098,5294.9,2021-08-24
2020-03-18,2.69976699570328,5080.58,2021-08-24
2020-03-19,2.48277131043995,5151.61,2021-08-24
2020-03-20,2.66371753023748,5190.78,2021-08-24
2020-03-23,2.40739626999245,4993.89,2021-08-24
2020-03-24,2.81801815274636,5446.01,2021-08-24
2020-03-25,3.03774885904451,5688.2,2021-08-24
2020-03-26,3.3391487310883,5815.73,2021-08-24
