Date,Stock,Market,joined date
2020-01-02,1.00149791921665,1602.5,2021-01-12
2020-01-03,1.00973295939519,1611.38,2021-01-12
2020-01-06,0.9997506094588,1597.76,2021-01-12
2020-01-07,1.05063285260328,1611.04,2021-01-12
2020-01-08,1.01226048780488,1589.1,2021-01-12
2020-01-09,1.02487769080235,1595.65,2021-01-12
2020-01-10,1.00879386503067,1591.46,2021-01-12
2020-01-13,1.01469908889436,1584.73,2021-01-12
2020-01-14,1.0092892217039,1580.6,2021-01-12
2020-01-15,1.00808165974288,1585.14,2021-01-12
2020-01-16,1.05839423787245,1587.88,2021-01-12
2020-01-17,1.11968740740741,1595.81,2021-01-12
2020-01-20,1.09561631345491,1588.88,2021-01-12
2020-01-21,1.03412750276379,1587.33,2021-01-12
2020-01-22,1.0236530511811,1577.98,2021-01-12
2020-01-23,1.03094586964527,1574.44,2021-01-12
2020-01-24,1.02595251568459,1572.81,2021-01-12
2020-01-28,1.01356425948592,1551.64,2021-01-12
2020-01-29,1.03922309389556,1550.47,2021-01-12
2020-01-30,1.03756969771142,1545.59,2021-01-12
2020-01-31,1.03516263736264,1531.06,2021-01-12
2020-02-03,1.00617496962333,1521.95,2021-01-12
2020-02-04,1.04363129715259,1535.8,2021-01-12
2020-02-05,1.04575749484161,1536.79,2021-01-12
2020-02-06,1.04738775015161,1552.77,2021-01-12
2020-02-07,1.03569158314213,1554.49,2021-01-12
2020-02-10,1.02193611378978,1542.8,2021-01-12
2020-02-11,1.04284628419269,1551.48,2021-01-12
2020-02-12,1.038950688905,1542.94,2021-01-12
2020-02-13,1.04270852451099,1539.16,2021-01-12
2020-02-14,1.04759618403575,1544.46,2021-01-12
2020-02-17,1.03005912162162,1537.12,2021-01-12
2020-02-18,1.02757944150217,1537.08,2021-01-12
2020-02-19,1.01090682036503,1534.16,2021-01-12
2020-02-20,1.00160172125269,1534.98,2021-01-12
2020-02-21,1.00040592168099,1531.2,2021-01-12
2020-02-24,0.967582029397821,1490.06,2021-01-12
2020-02-25,0.980687145557657,1500.88,2021-01-12
2020-02-26,0.968770779067013,1495.19,2021-01-12
2020-02-27,0.983937737642586,1505.59,2021-01-12
2020-02-28,0.978554500118736,1482.64,2021-01-12
2020-03-02,0.95272458938348,1466.94,2021-01-12
2020-03-03,0.957578520286398,1478.64,2021-01-12
2020-03-04,0.953022254127783,1489.95,2021-01-12
2020-03-05,0.95974471153846,1491.03,2021-01-12
2020-03-06,0.945622781774579,1483.1,2021-01-12
2020-03-09,0.930408110030826,1424.16,2021-01-12
2020-03-10,0.927248703441774,1430.47,2021-01-12
2020-03-11,0.921362992683502,1443.83,2021-01-12
2020-03-12,0.909624824355972,1419.43,2021-01-12
2020-03-13,0.898916530278231,1344.75,2021-01-12
2020-03-16,0.835433712560947,1280.63,2021-01-12
2020-03-17,0.770873965041397,1256.58,2021-01-12
2020-03-18,0.726055352241538,1239.01,2021-01-12
2020-03-19,0.692974376417232,1219.72,2021-01-12
2020-03-20,0.712436595225727,1303.28,2021-01-12
2020-03-23,0.692732657657657,1259.88,2021-01-12
2020-03-24,0.728004742547425,1291.14,2021-01-12
2020-03-25,0.770762252108503,1324.5,2021-01-12
2020-03-26,0.774078521939954,1328.09,2021-01-12
2020-03-27,0.770414797687861,1343.09,2021-01-12
2020-03-30,0.733945433526012,1328.88,2021-01-12
2020-03-31,0.749701599814516,1350.89,2021-01-12
2020-04-01,0.725194942528735,1322.66,2021-01-12
2020-04-02,0.726625947187141,1330.9,2021-01-12
2020-04-03,0.724196051423324,1330.65,2021-01-12
2020-04-06,0.741449896812659,1341.69,2021-01-12
2020-04-07,0.789104267589387,1369.92,2021-01-12
2020-04-08,0.805438895281934,1361.39,2021-01-12
2020-04-09,0.821889376443418,1369.76,2021-01-12
2020-04-10,0.815212543554007,1357.5,2021-01-12
2020-04-13,0.818091539528434,1356.03,2021-01-12
2020-04-14,0.821889376443418,1371.66,2021-01-12
2020-04-15,0.845371138773628,1387.79,2021-01-12
2020-04-16,0.838796889295518,1386.53,2021-01-12
2020-04-17,0.860468041237113,1407.34,2021-01-12
2020-04-20,0.868109560841721,1413.12,2021-01-12
2020-04-21,0.841519235146824,1381.73,2021-01-12
2020-04-22,0.8477913083362,1381.89,2021-01-12
2020-04-23,0.869234672789896,1381.64,2021-01-12
2020-04-24,0.835985310993802,1369.85,2021-01-12
2020-04-27,0.839021134849529,1370.16,2021-01-12
2020-04-28,0.837674082568809,1372.2,2021-01-12
2020-04-29,0.845888274591108,1380.3,2021-01-12
2020-04-30,0.905931050547403,1407.78,2021-01-12
2020-05-04,0.866998377752027,1376.59,2021-01-12
2020-05-05,0.888180655661473,1389.55,2021-01-12
2020-05-06,0.883865108745952,1376.93,2021-01-12
2020-05-08,0.886586700531056,1382.31,2021-01-12
2020-05-12,0.887816647398844,1379.93,2021-01-12
2020-05-13,0.894043438077633,1397.13,2021-01-12
2020-05-14,0.896533425541723,1397.25,2021-01-12
2020-05-15,0.882917222349965,1403.44,2021-01-12
2020-05-18,0.878425688073396,1410.16,2021-01-12
2020-05-19,0.888069259088816,1423.97,2021-01-12
2020-05-20,0.876712839392543,1435.12,2021-01-12
2020-05-21,0.856665745856355,1452.11,2021-01-12
2020-05-22,0.837481999541391,1436.76,2021-01-12
2020-05-27,0.839985970561177,1451.73,2021-01-12
2020-05-28,0.849066927322906,1457.5,2021-01-12
2020-05-29,0.863284004602993,1473.25,2021-01-12
2020-06-01,0.876758348794061,1490.14,2021-01-12
2020-06-02,0.891899344569287,1507.69,2021-01-12
2020-06-03,0.879223971797884,1538.53,2021-01-12
2020-06-04,0.864576814988291,1561.84,2021-01-12
2020-06-05,0.86559038686987,1556.33,2021-01-12
2020-06-09,0.842981750116987,1575.16,2021-01-12
2020-06-10,0.857234172746529,1575.27,2021-01-12
2020-06-11,0.839044031080761,1557.25,2021-01-12
2020-06-12,0.839541237113401,1546.02,2021-01-12
2020-06-15,0.807866245761721,1498.83,2021-01-12
2020-06-16,0.80814970760234,1517.71,2021-01-12
2020-06-17,0.807582982702197,1526.32,2021-01-12
2020-06-18,0.800941657897814,1504.91,2021-01-12
2020-06-19,0.800786869871043,1507.26,2021-01-12
2020-06-22,0.810458479532165,1511.24,2021-01-12
2020-06-23,0.80390779311959,1507.04,2021-01-12
2020-06-24,0.803343779232928,1502.63,2021-01-12
2020-06-25,0.782567586529467,1489.2,2021-01-12
2020-06-26,0.796305898810911,1488.14,2021-01-12
2020-06-29,0.825270200840729,1494.43,2021-01-12
2020-06-30,0.818354507239608,1500.97,2021-01-12
2020-07-01,0.817972455648925,1514.43,2021-01-12
2020-07-02,0.808944664954473,1536.28,2021-01-12
2020-07-03,0.806263710618436,1552.65,2021-01-12
