Date,Stock,Market,joined date
2020-01-02,125.85,3257.85,2021-09-16
2020-01-03,124.6,3234.85,2021-09-16
2020-01-06,124.06,3246.28,2021-09-16
2020-01-07,123.41,3237.18,2021-09-16
2020-01-08,125.54,3253.05,2021-09-16
2020-01-09,127.81,3274.7,2021-09-16
2020-01-10,127.28,3265.35,2021-09-16
2020-01-13,128.54,3288.13,2021-09-16
2020-01-14,128.8,3283.15,2021-09-16
2020-01-15,129.82,3289.29,2021-09-16
2020-01-16,130.55,3316.81,2021-09-16
2020-01-17,131.52,3329.62,2021-09-16
2020-01-21,130.53,3320.79,2021-09-16
2020-01-22,131.49,3321.75,2021-09-16
2020-01-23,131.37,3325.54,2021-09-16
2020-01-24,135.11,3295.47,2021-09-16
2020-01-27,130.64,3243.63,2021-09-16
2020-01-28,132.45,3276.24,2021-09-16
2020-01-29,131.68,3273.4,2021-09-16
2020-01-30,133.22,3283.66,2021-09-16
2020-01-31,129.87,3225.52,2021-09-16
2020-02-03,131.0,3248.92,2021-09-16
2020-02-04,131.85,3297.59,2021-09-16
2020-02-05,133.6,3334.69,2021-09-16
2020-02-06,133.25,3345.78,2021-09-16
2020-02-07,131.82,3327.71,2021-09-16
2020-02-10,132.24,3352.09,2021-09-16
2020-02-11,132.63,3357.75,2021-09-16
2020-02-12,133.24,3379.45,2021-09-16
2020-02-13,134.46,3373.94,2021-09-16
2020-02-14,135.87,3380.16,2021-09-16
2020-02-18,135.6,3370.29,2021-09-16
2020-02-19,136.93,3386.15,2021-09-16
2020-02-20,136.58,3373.23,2021-09-16
2020-02-21,134.9,3337.75,2021-09-16
2020-02-24,128.19,3225.89,2021-09-16
2020-02-25,120.9,3128.21,2021-09-16
2020-02-26,118.5,3116.39,2021-09-16
2020-02-27,112.81,2978.76,2021-09-16
2020-02-28,109.93,2954.22,2021-09-16
2020-03-02,113.87,3090.23,2021-09-16
2020-03-03,108.01,3003.37,2021-09-16
2020-03-04,115.7,3130.12,2021-09-16
2020-03-05,110.94,3023.94,2021-09-16
2020-03-06,108.24,2972.37,2021-09-16
2020-03-09,98.29,2746.56,2021-09-16
2020-03-10,103.3,2882.23,2021-09-16
2020-03-11,95.38,2741.38,2021-09-16
2020-03-12,83.53,2480.64,2021-09-16
2020-03-13,99.6,2711.02,2021-09-16
2020-03-16,85.87,2386.13,2021-09-16
2020-03-17,86.58,2529.19,2021-09-16
2020-03-18,73.75,2398.1,2021-09-16
2020-03-19,77.07,2409.39,2021-09-16
2020-03-20,74.12,2304.92,2021-09-16
2020-03-23,68.96,2237.4,2021-09-16
2020-03-24,84.05,2447.33,2021-09-16
2020-03-25,90.17,2475.56,2021-09-16
2020-03-26,93.29,2630.07,2021-09-16
2020-03-27,88.73,2541.47,2021-09-16
2020-03-30,90.27,2626.65,2021-09-16
2020-03-31,85.61,2584.59,2021-09-16
2020-04-01,77.84,2470.5,2021-09-16
2020-04-02,76.66,2526.9,2021-09-16
2020-04-03,73.6,2488.65,2021-09-16
2020-04-06,83.87,2663.68,2021-09-16
2020-04-07,87.58,2659.41,2021-09-16
2020-04-08,92.08,2749.98,2021-09-16
2020-04-09,94.82,2789.82,2021-09-16
2020-04-13,90.33,2761.63,2021-09-16
2020-04-14,88.39,2846.06,2021-09-16
2020-04-15,83.79,2783.36,2021-09-16
2020-04-16,81.35,2799.55,2021-09-16
2020-04-17,87.39,2874.56,2021-09-16
2020-04-20,84.01,2823.16,2021-09-16
2020-04-21,81.52,2736.56,2021-09-16
2020-04-22,82.54,2799.31,2021-09-16
2020-04-23,82.46,2797.8,2021-09-16
2020-04-24,83.17,2836.74,2021-09-16
2020-04-27,85.06,2878.48,2021-09-16
2020-04-28,88.19,2863.39,2021-09-16
2020-04-29,96.12,2939.51,2021-09-16
2020-04-30,91.25,2912.43,2021-09-16
2020-05-01,88.32,2830.71,2021-09-16
2020-05-04,86.38,2842.74,2021-09-16
2020-05-05,86.74,2868.44,2021-09-16
2020-05-06,84.0,2848.42,2021-09-16
2020-05-07,86.73,2881.19,2021-09-16
2020-05-08,89.5,2929.8,2021-09-16
2020-05-11,85.33,2930.32,2021-09-16
2020-05-12,83.14,2870.12,2021-09-16
2020-05-13,78.03,2820.0,2021-09-16
2020-05-14,83.81,2852.5,2021-09-16
2020-05-15,82.22,2863.7,2021-09-16
2020-05-18,88.41,2953.91,2021-09-16
2020-05-19,87.26,2922.94,2021-09-16
2020-05-20,90.73,2971.61,2021-09-16
2020-05-21,89.83,2948.51,2021-09-16
2020-05-22,89.33,2955.45,2021-09-16
2020-05-26,94.32,2991.77,2021-09-16
2020-05-27,101.23,3036.13,2021-09-16
2020-05-28,98.06,3029.73,2021-09-16
2020-05-29,95.07,3044.31,2021-09-16
2020-06-01,96.75,3055.73,2021-09-16
2020-06-02,99.07,3080.82,2021-09-16
2020-06-03,105.4,3122.87,2021-09-16
2020-06-04,106.54,3112.35,2021-09-16
2020-06-05,109.73,3193.93,2021-09-16
2020-06-08,113.67,3232.39,2021-09-16
2020-06-09,110.46,3207.18,2021-09-16
2020-06-10,106.16,3190.14,2021-09-16
2020-06-11,98.6,3002.1,2021-09-16
2020-06-12,101.68,3041.31,2021-09-16
2020-06-15,103.95,3066.59,2021-09-16
2020-06-16,105.62,3124.74,2021-09-16
2020-06-17,103.96,3113.49,2021-09-16
2020-06-18,102.16,3115.34,2021-09-16
2020-06-19,100.94,3097.74,2021-09-16
2020-06-22,99.44,3117.86,2021-09-16
2020-06-23,99.42,3131.29,2021-09-16
2020-06-24,95.48,3050.33,2021-09-16
2020-06-25,97.85,3083.76,2021-09-16
2020-06-26,93.42,3009.05,2021-09-16
2020-06-29,94.52,3053.24,2021-09-16
2020-06-30,95.2,3100.29,2021-09-16
2020-07-01,94.05,3115.86,2021-09-16
2020-07-02,94.33,3130.01,2021-09-16
2020-07-06,96.58,3179.72,2021-09-16
2020-07-07,93.01,3145.32,2021-09-16
2020-07-08,92.9,3169.94,2021-09-16
2020-07-09,90.57,3152.05,2021-09-16
2020-07-10,93.23,3185.04,2021-09-16
2020-07-13,93.56,3155.22,2021-09-16
2020-07-14,94.84,3197.52,2021-09-16
2020-07-15,97.36,3226.56,2021-09-16
2020-07-16,96.32,3215.57,2021-09-16
2020-07-17,95.18,3224.73,2021-09-16
2020-07-20,94.0,3251.84,2021-09-16
2020-07-21,96.33,3257.3,2021-09-16
2020-07-22,96.54,3276.02,2021-09-16
2020-07-23,96.67,3235.66,2021-09-16
2020-07-24,95.33,3215.63,2021-09-16
2020-07-27,95.79,3239.41,2021-09-16
2020-07-28,94.42,3218.44,2021-09-16
2020-07-29,96.69,3258.44,2021-09-16
2020-07-30,94.65,3246.22,2021-09-16
2020-07-31,93.32,3271.12,2021-09-16
2020-08-03,93.54,3294.61,2021-09-16
2020-08-04,93.19,3306.51,2021-09-16
2020-08-05,95.39,3327.77,2021-09-16
2020-08-06,95.92,3349.16,2021-09-16
2020-08-07,99.16,3351.28,2021-09-16
2020-08-10,101.62,3360.47,2021-09-16
2020-08-11,103.26,3333.69,2021-09-16
2020-08-12,101.68,3380.35,2021-09-16
2020-08-13,100.42,3373.43,2021-09-16
2020-08-14,100.41,3372.85,2021-09-16
2020-08-17,97.55,3381.99,2021-09-16
2020-08-18,96.67,3389.78,2021-09-16
2020-08-19,96.89,3374.85,2021-09-16
2020-08-20,96.72,3385.51,2021-09-16
2020-08-21,96.15,3397.16,2021-09-16
2020-08-24,99.33,3431.28,2021-09-16
2020-08-25,99.05,3443.62,2021-09-16
2020-08-26,98.4,3478.73,2021-09-16
2020-08-27,101.53,3484.55,2021-09-16
2020-08-28,102.54,3508.01,2021-09-16
2020-08-31,101.59,3500.31,2021-09-16
2020-09-01,102.47,3526.65,2021-09-16
2020-09-02,104.4,3580.84,2021-09-16
2020-09-03,104.46,3455.06,2021-09-16
2020-09-04,105.67,3426.96,2021-09-16
2020-09-08,103.67,3331.84,2021-09-16
2020-09-09,103.78,3398.96,2021-09-16
2020-09-10,102.77,3339.19,2021-09-16
2020-09-11,103.36,3340.97,2021-09-16
2020-09-14,107.27,3383.54,2021-09-16
2020-09-15,106.68,3401.2,2021-09-16
2020-09-16,105.98,3385.49,2021-09-16
2020-09-17,104.66,3357.01,2021-09-16
2020-09-18,103.44,3319.47,2021-09-16
2020-09-21,98.17,3281.06,2021-09-16
2020-09-22,98.48,3315.57,2021-09-16
2020-09-23,95.56,3236.92,2021-09-16
2020-09-24,95.45,3246.59,2021-09-16
2020-09-25,96.26,3298.46,2021-09-16
2020-09-28,98.82,3351.6,2021-09-16
2020-09-29,97.75,3335.47,2021-09-16
2020-09-30,100.25,3363.0,2021-09-16
2020-10-01,101.33,3380.8,2021-09-16
2020-10-02,101.61,3348.44,2021-09-16
2020-10-05,103.89,3408.63,2021-09-16
2020-10-06,101.76,3360.95,2021-09-16
2020-10-07,103.38,3419.45,2021-09-16
2020-10-08,106.06,3446.83,2021-09-16
2020-10-09,106.34,3477.13,2021-09-16
2020-10-12,106.61,3534.22,2021-09-16
2020-10-13,105.01,3511.93,2021-09-16
2020-10-14,104.81,3488.67,2021-09-16
2020-10-15,104.43,3483.34,2021-09-16
2020-10-16,104.91,3483.81,2021-09-16
2020-10-19,102.47,3426.92,2021-09-16
2020-10-20,103.14,3443.12,2021-09-16
2020-10-21,101.43,3435.56,2021-09-16
2020-10-22,104.79,3453.49,2021-09-16
2020-10-23,100.98,3465.39,2021-09-16
2020-10-26,96.88,3400.97,2021-09-16
2020-10-27,94.93,3390.68,2021-09-16
2020-10-28,91.6,3271.03,2021-09-16
2020-10-29,91.07,3310.11,2021-09-16
2020-10-30,91.24,3269.96,2021-09-16
2020-11-02,93.4,3310.24,2021-09-16
2020-11-03,96.29,3369.02,2021-09-16
2020-11-04,96.4,3443.44,2021-09-16
2020-11-05,98.11,3510.45,2021-09-16
2020-11-06,96.69,3509.44,2021-09-16
2020-11-09,117.37,3550.5,2021-09-16
2020-11-10,115.95,3545.53,2021-09-16
2020-11-11,111.12,3572.66,2021-09-16
2020-11-12,111.1,3537.01,2021-09-16
2020-11-13,114.99,3585.15,2021-09-16
2020-11-16,118.67,3626.91,2021-09-16
2020-11-17,116.48,3609.53,2021-09-16
2020-11-18,114.24,3567.79,2021-09-16
2020-11-19,114.14,3581.87,2021-09-16
2020-11-20,112.58,3557.54,2021-09-16
2020-11-23,116.09,3577.59,2021-09-16
2020-11-24,120.39,3635.41,2021-09-16
2020-11-25,120.58,3629.65,2021-09-16
2020-11-27,120.59,3638.35,2021-09-16
2020-11-30,118.59,3621.63,2021-09-16
2020-12-01,119.93,3662.45,2021-09-16
2020-12-02,122.33,3669.01,2021-09-16
