Date,Stock,Market,joined date
2018-01-02,69.3567013110528,7648.1,2019-07-16
2018-01-03,69.8136410935589,7671.11,2019-07-16
2018-01-04,70.0724981367303,7695.88,2019-07-16
2018-01-05,70.6077093198376,7724.22,2019-07-16
2018-01-08,69.9053097105042,7696.51,2019-07-16
2018-01-09,69.9151108162616,7731.02,2019-07-16
2018-01-10,69.3613515740014,7748.51,2019-07-16
2018-01-11,69.4668164652074,7762.94,2019-07-16
2018-01-12,70.4470891844757,7778.64,2019-07-16
2018-01-15,70.7371556217414,7769.14,2019-07-16
2018-01-16,69.6308146350219,7755.93,2019-07-16
2018-01-17,68.9934054995654,7725.43,2019-07-16
2018-01-18,69.1841809165293,7700.96,2019-07-16
2018-01-19,69.8408741534768,7730.79,2019-07-16
2018-01-22,70.6803720019593,7715.44,2019-07-16
2018-01-23,71.4085729484567,7731.83,2019-07-16
2018-01-24,70.791797208773,7643.43,2019-07-16
2018-01-25,70.7041416770395,7615.84,2019-07-16
2018-01-26,72.185543056305,7665.54,2019-07-16
2018-01-29,71.5702967789137,7671.53,2019-07-16
2018-01-30,70.9233902908225,7587.98,2019-07-16
2018-01-31,69.3395958678606,7533.55,2019-07-16
2018-02-01,69.6934685552093,7490.39,2019-07-16
2018-02-02,71.1078478438926,7443.43,2019-07-16
2018-02-05,68.2005331546845,7334.98,2019-07-16
2018-02-06,65.948396094839,7141.4,2019-07-16
2018-02-07,66.4783610471085,7279.42,2019-07-16
2018-02-08,67.3983807695496,7170.69,2019-07-16
2018-02-09,65.9933591588276,7092.43,2019-07-16
2018-02-12,67.2385168788055,7177.06,2019-07-16
2018-02-13,67.095869100203,7168.01,2019-07-16
2018-02-14,67.6006662094661,7213.97,2019-07-16
2018-02-15,66.4416001804307,7234.81,2019-07-16
2018-02-16,66.5426465426464,7294.7,2019-07-16
2018-02-19,65.9893856860792,7247.66,2019-07-16
2018-02-20,66.0798499839062,7246.77,2019-07-16
2018-02-21,66.7942383967719,7281.57,2019-07-16
2018-02-22,66.5885242241566,7252.39,2019-07-16
2018-02-23,66.3613004133621,7244.41,2019-07-16
2018-02-26,67.2201430007825,7289.58,2019-07-16
2018-02-27,66.6842822573934,7282.45,2019-07-16
2018-02-28,65.7043784572222,7231.91,2019-07-16
2018-03-01,65.6395917411604,7175.64,2019-07-16
2018-03-02,65.3665134638991,7069.9,2019-07-16
2018-03-05,66.4700261725728,7115.98,2019-07-16
2018-03-06,66.5856706470403,7146.75,2019-07-16
2018-03-07,66.1032968254833,7157.84,2019-07-16
2018-03-08,66.4954219662758,7203.24,2019-07-16
2018-03-09,66.2646431637544,7224.51,2019-07-16
2018-03-12,66.7436072138736,7214.76,2019-07-16
2018-03-13,66.7662413802712,7138.78,2019-07-16
2018-03-14,66.5149780842551,7132.69,2019-07-16
2018-03-15,66.8784926906106,7139.76,2019-07-16
2018-03-16,67.8412623186207,7164.14,2019-07-16
2018-03-19,67.9768899608736,7042.93,2019-07-16
2018-03-20,68.1372823470133,7061.27,2019-07-16
2018-03-21,68.6805418092369,7038.97,2019-07-16
2018-03-22,68.1235201262829,6952.59,2019-07-16
2018-03-23,67.6643914020435,6921.94,2019-07-16
2018-03-26,67.7155945030872,6888.69,2019-07-16
2018-03-27,68.873759748622,7000.14,2019-07-16
2018-03-28,69.5916557577823,7044.74,2019-07-16
2018-03-29,68.6105505101446,7056.61,2019-07-16
2018-04-03,69.2398515686492,7030.46,2019-07-16
2018-04-04,68.5270968559499,7034.01,2019-07-16
2018-04-05,70.1034680705113,7199.5,2019-07-16
2018-04-06,70.3164628304127,7183.64,2019-07-16
2018-04-09,70.5747711088496,7194.75,2019-07-16
2018-04-10,71.9509084209617,7266.75,2019-07-16
2018-04-11,71.872076209917,7257.14,2019-07-16
2018-04-12,71.7648899699875,7258.34,2019-07-16
2018-04-13,71.3370354549352,7264.56,2019-07-16
2018-04-16,70.4640261471619,7198.2,2019-07-16
2018-04-17,70.3867198102809,7226.05,2019-07-16
2018-04-18,70.5004402283492,7317.34,2019-07-16
2018-04-19,69.8233106013646,7328.92,2019-07-16
2018-04-20,69.6791900634335,7368.17,2019-07-16
2018-04-23,69.9042388592321,7398.87,2019-07-16
2018-04-24,69.7286041701627,7425.4,2019-07-16
2018-04-25,69.5193124677879,7379.32,2019-07-16
2018-04-26,69.4587449561691,7421.43,2019-07-16
2018-04-27,70.0340318825007,7502.21,2019-07-16
2018-04-30,70.2631252839872,7509.3,2019-07-16
2018-05-01,70.9541309377957,7520.36,2019-07-16
2018-05-02,70.6227344927288,7543.2,2019-07-16
2018-05-03,70.5850414008428,7502.69,2019-07-16
2018-05-04,70.4234880259798,7567.14,2019-07-16
2018-05-07,,7567.14,2019-07-16
2018-05-08,70.9574309590552,7565.75,2019-07-16
2018-05-09,71.2012243847592,7662.52,2019-07-16
2018-05-10,70.9864028329692,7700.97,2019-07-16
2018-05-11,71.4827352742045,7724.55,2019-07-16
2018-05-14,71.7683893790898,7710.98,2019-07-16
2018-05-15,71.4632960622246,7722.98,2019-07-16
2018-05-16,71.7136846647606,7734.2,2019-07-16
2018-05-17,72.2375391934276,7787.97,2019-07-16
2018-05-18,70.601072284936,7778.79,2019-07-16
2018-05-21,72.7397241879372,7859.17,2019-07-16
2018-05-22,73.2690292592487,7877.45,2019-07-16
2018-05-23,72.7889068318004,7788.44,2019-07-16
2018-05-24,72.6212137429091,7716.74,2019-07-16
2018-05-25,72.8961515941877,7730.28,2019-07-16
2018-05-28,,7730.28,2019-07-16
2018-05-29,71.5819044337847,7632.64,2019-07-16
2018-05-30,72.6245847176053,7689.57,2019-07-16
2018-05-31,72.6871367970327,7678.2,2019-07-16
2018-06-01,72.3542837312992,7701.77,2019-07-16
2018-06-04,72.1454622900216,7741.29,2019-07-16
2018-06-05,72.0332172515401,7686.8,2019-07-16
2018-06-06,72.0569696644584,7712.37,2019-07-16
2018-06-07,71.6624617531807,7704.4,2019-07-16
2018-06-08,71.7839374555792,7681.07,2019-07-16
2018-06-11,71.7858193586346,7737.43,2019-07-16
2018-06-12,71.3025108965955,7703.81,2019-07-16
2018-06-13,71.6712138233559,7703.71,2019-07-16
2018-06-14,72.2460183797703,7765.79,2019-07-16
2018-06-15,71.7018224323908,7633.91,2019-07-16
2018-06-18,71.2819630017084,7631.33,2019-07-16
2018-06-19,70.6736597965341,7603.85,2019-07-16
2018-06-20,70.8471629524275,7627.4,2019-07-16
2018-06-21,69.6284714861141,7556.44,2019-07-16
2018-06-22,69.3786570075235,7682.27,2019-07-16
2018-06-25,69.0382956129301,7509.84,2019-07-16
2018-06-26,68.893914745599,7537.92,2019-07-16
2018-06-27,68.6829754319725,7621.69,2019-07-16
2018-06-28,68.3090119776118,7615.63,2019-07-16
2018-06-29,69.3767581916855,7636.93,2019-07-16
2018-07-02,68.0964020079394,7547.85,2019-07-16
2018-07-03,68.6330119115153,7593.29,2019-07-16
2018-07-04,68.5576694096778,7573.09,2019-07-16
2018-07-05,68.5455074457107,7603.22,2019-07-16
2018-07-06,69.085064555551,7617.7,2019-07-16
2018-07-09,69.6653939972409,7687.99,2019-07-16
2018-07-10,70.1002190217042,7692.04,2019-07-16
2018-07-11,69.3160813308705,7591.96,2019-07-16
2018-07-12,71.7501815541019,7651.33,2019-07-16
