Date,Stock,Market,joined date
2020-01-02,30.5,7604.3,2021-05-14
2020-01-03,30.545,7622.4,2021-05-14
2020-01-06,31.51,7575.34,2021-05-14
2020-01-07,31.1,7573.85,2021-05-14
2020-01-08,31.22,7574.93,2021-05-14
2020-01-09,31.25,7598.12,2021-05-14
2020-01-10,31.11,7587.85,2021-05-14
2020-01-13,32.0,7617.6,2021-05-14
2020-01-14,32.04,7622.35,2021-05-14
2020-01-15,32.04,7642.8,2021-05-14
2020-01-16,32.38,7609.81,2021-05-14
2020-01-17,32.65,7674.56,2021-05-14
2020-01-21,33.58,7610.7,2021-05-14
2020-01-22,33.56,7571.92,2021-05-14
2020-01-23,33.73,7507.67,2021-05-14
2020-01-24,33.62,7585.98,2021-05-14
2020-01-27,33.148,7412.05,2021-05-14
2020-01-28,33.074,7480.69,2021-05-14
2020-01-29,33.29,7483.57,2021-05-14
2020-01-30,33.45,7381.96,2021-05-14
2020-01-31,33.255,7286.01,2021-05-14
2020-02-03,33.3475,7326.31,2021-05-14
2020-02-04,33.715,7439.82,2021-05-14
2020-02-05,33.68,7482.48,2021-05-14
2020-02-06,33.75,7504.79,2021-05-14
2020-02-07,33.64,7466.7,2021-05-14
2020-02-10,33.53,7446.88,2021-05-14
2020-02-11,33.79,7499.44,2021-05-14
2020-02-12,33.93,7534.37,2021-05-14
2020-02-13,34.52,7452.03,2021-05-14
2020-02-14,33.5325,7409.13,2021-05-14
2020-02-18,33.11,7382.01,2021-05-14
2020-02-19,32.89,7457.02,2021-05-14
2020-02-20,33.81,7436.64,2021-05-14
2020-02-21,34.56,7403.92,2021-05-14
2020-02-24,33.89,7156.83,2021-05-14
2020-02-25,32.82,7017.88,2021-05-14
2020-02-26,32.66,7042.47,2021-05-14
2020-02-27,32.16,6796.4,2021-05-14
2020-02-28,31.27,6580.61,2021-05-14
2020-03-02,31.43,6654.89,2021-05-14
2020-03-03,30.84,6718.2,2021-05-14
2020-03-04,31.72,6815.59,2021-05-14
2020-03-05,31.16,6705.43,2021-05-14
2020-03-06,31.07,6462.55,2021-05-14
2020-03-09,28.58,5965.77,2021-05-14
2020-03-10,29.12,5960.23,2021-05-14
2020-03-11,27.37,5876.52,2021-05-14
2020-03-12,25.708,5237.48,2021-05-14
2020-03-13,26.825,5366.11,2021-05-14
2020-03-16,22.97,5151.08,2021-05-14
2020-03-17,23.42,5294.9,2021-05-14
2020-03-18,21.96,5080.58,2021-05-14
2020-03-19,22.85,5151.61,2021-05-14
2020-03-20,20.645,5190.78,2021-05-14
2020-03-23,20.0,4993.89,2021-05-14
2020-03-24,22.055,5446.01,2021-05-14
2020-03-25,24.54,5688.2,2021-05-14
2020-03-26,26.33,5815.73,2021-05-14
2020-03-27,24.85,5510.33,2021-05-14
2020-03-30,25.05,5563.74,2021-05-14
2020-03-31,25.55,5671.96,2021-05-14
2020-04-01,23.79,5454.57,2021-05-14
