Date,Stock,Market,joined date
2020-01-02,71.9,3257.85,2021-08-18
2020-01-03,72.67,3234.85,2021-08-18
2020-01-06,73.84,3246.28,2021-08-18
2020-01-07,73.41,3237.18,2021-08-18
2020-01-08,74.06,3253.05,2021-08-18
2020-01-09,76.12,3274.7,2021-08-18
2020-01-10,76.66,3265.35,2021-08-18
2020-01-13,78.41,3288.13,2021-08-18
2020-01-14,78.47,3283.15,2021-08-18
2020-01-15,79.4,3289.29,2021-08-18
2020-01-16,78.99,3316.81,2021-08-18
2020-01-17,79.4,3329.62,2021-08-18
2020-01-21,78.64,3320.79,2021-08-18
2020-01-22,77.75,3321.75,2021-08-18
2020-01-23,78.38,3325.54,2021-08-18
2020-01-24,77.96,3295.47,2021-08-18
2020-01-27,77.57,3243.63,2021-08-18
2020-01-28,78.55,3276.24,2021-08-18
2020-01-29,78.23,3273.4,2021-08-18
2020-01-30,78.75,3283.66,2021-08-18
2020-01-31,78.04,3225.52,2021-08-18
2020-02-03,78.55,3248.92,2021-08-18
2020-02-04,78.45,3297.59,2021-08-18
2020-02-05,78.17,3334.69,2021-08-18
2020-02-06,78.36,3345.78,2021-08-18
2020-02-07,77.43,3327.71,2021-08-18
2020-02-10,77.49,3352.09,2021-08-18
2020-02-11,77.28,3357.75,2021-08-18
2020-02-12,76.07,3379.45,2021-08-18
2020-02-13,76.22,3373.94,2021-08-18
2020-02-14,76.65,3380.16,2021-08-18
2020-02-18,77.37,3370.29,2021-08-18
2020-02-19,76.54,3386.15,2021-08-18
2020-02-20,74.49,3373.23,2021-08-18
2020-02-21,73.14,3337.75,2021-08-18
2020-02-24,72.17,3225.89,2021-08-18
2020-02-25,70.47,3128.21,2021-08-18
2020-02-26,71.91,3116.39,2021-08-18
2020-02-27,71.68,2978.76,2021-08-18
2020-02-28,71.3,2954.22,2021-08-18
2020-03-02,74.05,3090.23,2021-08-18
2020-03-03,74.62,3003.37,2021-08-18
2020-03-04,77.03,3130.12,2021-08-18
2020-03-05,75.49,3023.94,2021-08-18
2020-03-06,76.29,2972.37,2021-08-18
2020-03-09,72.53,2746.56,2021-08-18
2020-03-10,74.65,2882.23,2021-08-18
2020-03-11,73.84,2741.38,2021-08-18
2020-03-12,66.39,2480.64,2021-08-18
2020-03-13,69.99,2711.02,2021-08-18
2020-03-16,63.84,2386.13,2021-08-18
2020-03-17,65.98,2529.19,2021-08-18
2020-03-18,69.64,2398.1,2021-08-18
2020-03-19,64.13,2409.39,2021-08-18
2020-03-20,57.95,2304.92,2021-08-18
2020-03-23,57.38,2237.4,2021-08-18
2020-03-24,63.22,2447.33,2021-08-18
2020-03-25,65.13,2475.56,2021-08-18
2020-03-26,68.41,2630.07,2021-08-18
2020-03-27,68.33,2541.47,2021-08-18
2020-03-30,71.28,2626.65,2021-08-18
2020-03-31,68.64,2584.59,2021-08-18
2020-04-01,69.6,2470.5,2021-08-18
2020-04-02,70.48,2526.9,2021-08-18
