Date,Stock,Market,joined date
2020-01-02,7.88353626098939,2155.04,2021-09-29
2020-01-03,7.87207618054303,2121.59,2021-09-29
2020-01-07,7.8266792584598,2131.33,2021-09-29
2020-01-08,7.80538528220907,2119.96,2021-09-29
2020-01-09,7.86910777143097,2125.55,2021-09-29
2020-01-10,7.86400136856508,2158.93,2021-09-29
2020-01-13,8.00269297828498,2150.89,2021-09-29
2020-01-14,8.10509690168231,2155.0,2021-09-29
2020-01-15,7.82110298469605,2151.87,2021-09-29
2020-01-16,7.95802293592486,2171.37,2021-09-29
2020-01-17,7.99189104853964,2199.79,2021-09-29
2020-01-20,7.95979662620211,2149.44,2021-09-29
2020-01-21,7.86595876678248,2133.59,2021-09-29
2020-01-22,7.87886744577804,2114.94,2021-09-29
2020-01-23,7.81645007973814,2068.61,2021-09-29
2020-01-24,7.96539471483526,2096.08,2021-09-29
2020-01-27,7.7633935419503,2068.65,2021-09-29
2020-01-28,7.77664813600257,2069.84,2021-09-29
2020-01-29,7.89509919108323,2067.38,2021-09-29
2020-01-30,7.86354388077051,2049.4,2021-09-29
2020-01-31,7.91945710100665,2067.6,2021-09-29
2020-02-03,7.96375242280703,2060.75,2021-09-29
2020-02-04,8.16274240480587,2075.08,2021-09-29
2020-02-05,8.24300733521841,2103.2,2021-09-29
2020-02-06,8.20681815819831,2102.14,2021-09-29
2020-02-07,8.22118026506522,2117.86,2021-09-29
2020-02-10,8.28727121171332,2101.1,2021-09-29
2020-02-11,8.42692480126199,2103.44,2021-09-29
2020-02-12,8.37298238873543,2114.23,2021-09-29
2020-02-13,8.58971438912155,2087.74,2021-09-29
2020-02-14,8.69119763435328,2096.9,2021-09-29
2020-02-17,8.78996367051633,2096.74,2021-09-29
2020-02-18,8.77033402133487,2112.96,2021-09-29
2020-02-19,9.07816859811552,2140.01,2021-09-29
2020-02-20,9.01173585559509,2147.68,2021-09-29
2020-02-21,9.09426547652144,2170.55,2021-09-29
2020-02-24,8.90543881461992,2090.91,2021-09-29
2020-02-25,8.78522273583642,2053.37,2021-09-29
2020-02-26,8.74013888318196,2036.13,2021-09-29
2020-02-27,8.40047793584726,1978.34,2021-09-29
2020-02-28,7.84711710209568,1932.92,2021-09-29
2020-03-02,7.76805124386458,1878.4,2021-09-29
2020-03-03,8.35984872014283,1941.29,2021-09-29
2020-03-04,8.57101364255041,1938.57,2021-09-29
2020-03-05,8.61878775350105,1912.66,2021-09-29
2020-03-06,8.37542242719891,1827.46,2021-09-29
2020-03-09,7.64600423796158,1763.3,2021-09-29
2020-03-10,7.29959132873304,1792.71,2021-09-29
2020-03-11,7.09347979150465,1837.8,2021-09-29
2020-03-12,5.79377817270357,1682.65,2021-09-29
2020-03-13,5.5692437243127,1721.05,2021-09-29
