Date,Stock,Market,joined date
2020-01-02,2.43427970557312,7604.3,2021-04-21
2020-01-03,2.39864953283259,7622.4,2021-04-21
2020-01-06,2.382977602802,7575.34,2021-04-21
2020-01-07,2.40334899346465,7573.85,2021-04-21
2020-01-08,2.3841892263566,7574.93,2021-04-21
2020-01-09,2.38907760648033,7598.12,2021-04-21
2020-01-10,2.36366485582957,7587.85,2021-04-21
2020-01-13,2.35966438943289,7617.6,2021-04-21
2020-01-14,2.35606524087834,7622.35,2021-04-21
2020-01-15,2.32691530549719,7642.8,2021-04-21
2020-01-16,2.31183639311672,7609.81,2021-04-21
2020-01-17,2.27951506321874,7674.56,2021-04-21
2020-01-20,2.27657083387545,7651.44,2021-04-21
2020-01-21,2.27539597630671,7610.7,2021-04-21
2020-01-22,2.29633133606636,7571.92,2021-04-21
2020-01-23,2.25024273755479,7507.67,2021-04-21
2020-01-24,2.26790104084935,7585.98,2021-04-21
2020-01-27,2.22787850308696,7412.05,2021-04-21
2020-01-28,2.24089416914178,7480.69,2021-04-21
2020-01-29,2.23969793633231,7483.57,2021-04-21
2020-01-30,2.24561679171413,7381.96,2021-04-21
2020-01-31,2.21744123120789,7286.01,2021-04-21
2020-02-03,2.20463847203279,7326.31,2021-04-21
2020-02-04,2.24098394830109,7439.82,2021-04-21
2020-02-05,2.24848224848225,7482.48,2021-04-21
2020-02-06,2.28465048932795,7504.79,2021-04-21
2020-02-07,2.28375486632125,7466.7,2021-04-21
2020-02-10,2.28431967562398,7446.88,2021-04-21
2020-02-11,2.31849146527839,7499.44,2021-04-21
2020-02-12,2.32426127527219,7534.37,2021-04-21
2020-02-13,2.30008609668919,7452.03,2021-04-21
2020-02-14,2.29504774826493,7409.13,2021-04-21
2020-02-17,2.31115388617206,7433.25,2021-04-21
2020-02-18,2.27568726847346,7382.01,2021-04-21
2020-02-19,2.28331503132868,7457.02,2021-04-21
2020-02-20,2.3352136620044,7436.64,2021-04-21
2020-02-21,2.32949018895819,7403.92,2021-04-21
2020-02-24,2.19786186124076,7156.83,2021-04-21
2020-02-25,2.15685509564498,7017.88,2021-04-21
2020-02-26,2.1411336627915,7042.47,2021-04-21
2020-02-27,1.98979591836734,6796.4,2021-04-21
2020-02-28,1.90684973654853,6580.61,2021-04-21
2020-03-02,1.82708367864752,6654.89,2021-04-21
2020-03-03,1.78776388604218,6718.2,2021-04-21
2020-03-04,1.7830115830116,6815.59,2021-04-21
2020-03-05,1.74464998186437,6705.43,2021-04-21
2020-03-06,1.70837356156881,6462.55,2021-04-21
2020-03-09,1.55076422080987,5965.77,2021-04-21
2020-03-10,1.50794367796806,5960.23,2021-04-21
2020-03-11,1.51199312846937,5876.52,2021-04-21
2020-03-12,1.2259264846382,5237.48,2021-04-21
2020-03-13,1.25681315983309,5366.11,2021-04-21
2020-03-16,1.09241223658708,5151.08,2021-04-21
2020-03-17,1.0575022894876,5294.9,2021-04-21
2020-03-18,0.96620601556153,5080.58,2021-04-21
2020-03-19,0.961754909842684,5151.61,2021-04-21
2020-03-20,1.03628511227776,5190.78,2021-04-21
2020-03-23,0.978116519429511,4993.89,2021-04-21
2020-03-24,1.12890331075994,5446.01,2021-04-21
2020-03-25,1.25719039695748,5688.2,2021-04-21
2020-03-26,1.31747193753049,5815.73,2021-04-21
2020-03-27,1.21283459761091,5510.33,2021-04-21
2020-03-30,1.16710743596433,5563.74,2021-04-21
2020-03-31,1.16866183190941,5671.96,2021-04-21
2020-04-01,1.02546966659237,5454.57,2021-04-21
2020-04-02,1.01143784775142,5480.22,2021-04-21
2020-04-03,0.983743226344338,5415.5,2021-04-21
2020-04-06,1.05854010492463,5582.39,2021-04-21
2020-04-07,1.16942398559043,5704.45,2021-04-21
2020-04-08,1.14746789195345,5677.73,2021-04-21
2020-04-09,1.21535951375654,5842.66,2021-04-21
2020-04-14,1.18088866447863,5791.31,2021-04-21
2020-04-15,1.08871119120017,5597.65,2021-04-21
2020-04-16,1.08458194771387,5628.43,2021-04-21
2020-04-17,1.13378996575255,5786.96,2021-04-21
2020-04-20,1.13171180581466,5812.83,2021-04-21
2020-04-21,1.06346884335012,5641.03,2021-04-21
2020-04-22,1.08151436675303,5770.63,2021-04-21
2020-04-23,1.1181872037915,5826.61,2021-04-21
2020-04-24,1.09584466979963,5752.23,2021-04-21
2020-04-27,1.13170028460283,5846.79,2021-04-21
2020-04-28,1.21427418052639,5958.5,2021-04-21
2020-04-29,1.37328464060023,6115.25,2021-04-21
2020-04-30,1.33348443638558,5901.21,2021-04-21
2020-05-01,1.28445872454276,5763.06,2021-04-21
2020-05-04,1.24021748597162,5753.78,2021-04-21
2020-05-05,1.28566987876902,5849.42,2021-04-21
2020-05-06,1.24470881514478,5853.76,2021-04-21
2020-05-07,1.30309023485787,5935.98,2021-04-21
2020-05-11,1.26557296163813,5939.73,2021-04-21
2020-05-12,1.25041373984036,5994.77,2021-04-21
2020-05-13,1.19856187250073,5904.05,2021-04-21
2020-05-14,1.18763219346398,5741.54,2021-04-21
2020-05-15,1.1795393199947,5799.77,2021-04-21
2020-05-18,1.28228568642511,6048.59,2021-04-21
2020-05-19,1.28292455835149,6002.23,2021-04-21
2020-05-20,1.30614642743496,6067.16,2021-04-21
2020-05-21,1.27010510877531,6015.25,2021-04-21
2020-05-22,1.25459189879572,5993.28,2021-04-21
2020-05-26,1.36603531616855,6067.76,2021-04-21
2020-05-27,1.46803376085648,6144.25,2021-04-21
2020-05-28,1.51019151425583,6218.79,2021-04-21
2020-05-29,1.42252286726499,6076.6,2021-04-21
2020-06-01,1.50878814755598,6166.42,2021-04-21
2020-06-02,1.49959843389222,6220.14,2021-04-21
2020-06-03,1.57551985114788,6382.41,2021-04-21
2020-06-04,1.55560873014873,6341.44,2021-04-21
2020-06-05,1.66392300873753,6484.3,2021-04-21
2020-06-08,1.67675945244516,6472.59,2021-04-21
2020-06-09,1.59468438538203,6335.72,2021-04-21
2020-06-10,1.58038286049301,6329.13,2021-04-21
2020-06-11,1.4490014490015,6076.7,2021-04-21
2020-06-12,1.46792902376321,6105.18,2021-04-21
2020-06-15,1.46310111906439,6064.7,2021-04-21
2020-06-16,1.54258195123795,6242.79,2021-04-21
2020-06-17,1.49869438585914,6253.25,2021-04-21
2020-06-18,1.47399023469042,6224.07,2021-04-21
2020-06-19,1.44022142045176,6292.6,2021-04-21
2020-06-22,1.43676012461057,6244.62,2021-04-21
2020-06-23,1.46335357075793,6320.12,2021-04-21
2020-06-24,1.38908205841448,6123.69,2021-04-21
2020-06-25,1.39806837649281,6147.14,2021-04-21
2020-06-26,1.36872094027104,6159.3,2021-04-21
2020-06-29,1.40789651653208,6225.77,2021-04-21
2020-06-30,1.4186876952834,6169.74,2021-04-21
2020-07-01,1.41585195530729,6157.96,2021-04-21
2020-07-02,1.46974494502486,6240.36,2021-04-21
2020-07-03,1.44453182538788,6157.3,2021-04-21
2020-07-06,1.46518773888925,6285.94,2021-04-21
2020-07-07,1.44159508433127,6189.9,2021-04-21
2020-07-08,1.44247742976755,6156.16,2021-04-21
2020-07-09,1.41114192084695,6049.62,2021-04-21
2020-07-10,1.48613687704285,6095.41,2021-04-21
2020-07-13,1.50070918424984,6176.19,2021-04-21
2020-07-14,1.49772881270858,6179.75,2021-04-21
2020-07-15,1.51337887307992,6292.65,2021-04-21
2020-07-16,1.48805340829238,6250.69,2021-04-21
2020-07-17,1.46256879350641,6290.3,2021-04-21
2020-07-20,1.47134411120537,6261.52,2021-04-21
2020-07-21,1.48459276795605,6269.73,2021-04-21
2020-07-22,1.49499630770798,6207.1,2021-04-21
2020-07-23,1.48358577816283,6211.44,2021-04-21
2020-07-24,1.45283404951917,6123.82,2021-04-21
2020-07-27,1.42978591854088,6104.88,2021-04-21
2020-07-28,1.44634083268683,6129.26,2021-04-21
2020-07-29,1.36472912037217,6131.46,2021-04-21
2020-07-30,1.31950718148134,5989.99,2021-04-21
2020-07-31,1.31612700573253,5897.76,2021-04-21
2020-08-03,1.35714192342381,6032.85,2021-04-21
2020-08-04,1.37521222410862,6036.0,2021-04-21
2020-08-05,1.40744237274806,6104.72,2021-04-21
2020-08-06,1.39136836293363,6026.94,2021-04-21
2020-08-07,1.36514317036878,6032.18,2021-04-21
2020-08-10,1.39378651435744,6050.59,2021-04-21
2020-08-11,1.45824634655528,6154.34,2021-04-21
2020-08-12,1.45307165011596,6280.12,2021-04-21
2020-08-13,1.41185076810539,6185.62,2021-04-21
2020-08-14,1.42877703489514,6090.04,2021-04-21
2020-08-17,1.41423405481891,6127.44,2021-04-21
2020-08-18,1.4309726431701,6076.62,2021-04-21
2020-08-19,1.44339078954262,6111.98,2021-04-21
2020-08-20,1.42134259932087,6013.34,2021-04-21
2020-08-21,1.41339056692662,6001.89,2021-04-21
2020-08-24,1.44215696520017,6104.73,2021-04-21
2020-08-25,1.43518396759859,6037.01,2021-04-21
2020-08-26,1.45815722738804,6045.6,2021-04-21
2020-08-27,1.45890799667408,5999.99,2021-04-21
2020-08-28,1.49455360956855,5963.57,2021-04-21
2020-09-01,1.41704467905743,5862.05,2021-04-21
2020-09-02,1.381934708592,5940.95,2021-04-21
2020-09-03,1.40184061300644,5850.86,2021-04-21
2020-09-04,1.4195776331518,5799.08,2021-04-21
2020-09-07,1.40797598514867,5937.4,2021-04-21
2020-09-08,1.35428571428572,5930.3,2021-04-21
2020-09-09,1.36344136344136,6012.84,2021-04-21
2020-09-10,1.34482184695356,6003.32,2021-04-21
2020-09-11,1.31281342748951,6032.09,2021-04-21
2020-09-14,1.33090152458998,6026.25,2021-04-21
2020-09-15,1.32261223648266,6105.54,2021-04-21
2020-09-16,1.33487184141264,6078.48,2021-04-21
2020-09-17,1.3042068258766,6049.92,2021-04-21
2020-09-18,1.25818491779561,6007.05,2021-04-21
2020-09-21,1.18093285494614,5804.29,2021-04-21
2020-09-22,1.17087640678312,5829.46,2021-04-21
2020-09-23,1.18187369599511,5899.26,2021-04-21
2020-09-24,1.18399245263771,5822.78,2021-04-21
2020-09-25,1.16680686192044,5842.67,2021-04-21
2020-09-28,1.25703877579819,5927.93,2021-04-21
2020-09-29,1.25073951179365,5897.5,2021-04-21
2020-09-30,1.26073647365767,5866.1,2021-04-21
2020-10-01,1.2631144794164,5879.45,2021-04-21
2020-10-02,1.26348048723714,5902.12,2021-04-21
2020-10-05,1.29056956358111,5942.94,2021-04-21
2020-10-06,1.3415230884133,5949.94,2021-04-21
2020-10-07,1.34993734740545,5946.25,2021-04-21
2020-10-08,1.38511678435635,5978.03,2021-04-21
2020-10-09,1.39957209205242,6016.65,2021-04-21
2020-10-12,1.38269798552504,6001.38,2021-04-21
2020-10-13,1.32055460706708,5969.71,2021-04-21
2020-10-14,1.32113768247937,5935.06,2021-04-21
2020-10-15,1.29295538193322,5832.52,2021-04-21
2020-10-16,1.31454914063607,5919.58,2021-04-21
2020-10-19,1.33820140345427,5884.65,2021-04-21
2020-10-20,1.35031583307447,5889.22,2021-04-21
2020-10-21,1.35015772870664,5776.5,2021-04-21
2020-10-22,1.3640823053881,5785.65,2021-04-21
2020-10-23,1.45448381081538,5860.28,2021-04-21
2020-10-26,1.43930613254843,5792.01,2021-04-21
2020-10-27,1.39039246631627,5728.99,2021-04-21
2020-10-28,1.34742198452673,5582.8,2021-04-21
2020-10-29,1.35284309036618,5581.75,2021-04-21
2020-10-30,1.37898905194503,5577.27,2021-04-21
2020-11-02,1.38210647281369,5654.97,2021-04-21
2020-11-03,1.48026272835298,5786.77,2021-04-21
2020-11-04,1.43328312470787,5883.26,2021-04-21
2020-11-05,1.44772117962468,5906.18,2021-04-21
2020-11-06,1.4595255949797,5910.02,2021-04-21
2020-11-09,1.6919614063261,6186.29,2021-04-21
2020-11-10,1.78362883533287,6296.85,2021-04-21
2020-11-11,1.79171569469964,6382.1,2021-04-21
2020-11-12,1.73577779526325,6338.94,2021-04-21
2020-11-13,1.76903399351246,6316.39,2021-04-21
2020-11-16,1.83065335250434,6421.29,2021-04-21
2020-11-17,1.83255432120016,6365.33,2021-04-21
2020-11-18,1.87888116342025,6385.24,2021-04-21
2020-11-19,1.84248564494958,6334.35,2021-04-21
