Date,Stock,Market,joined date
2018-01-02,121.975145588927,6100.35,2020-09-18
2018-01-03,121.519478678679,6150.97,2020-09-18
2018-01-04,123.808986255747,6240.87,2020-09-18
2018-01-05,128.097235954245,6312.79,2020-09-18
2018-01-08,127.025580004068,6335.6,2020-09-18
2018-01-09,125.908534736892,6344.05,2020-09-18
2018-01-10,124.062479544179,6294.64,2020-09-18
2018-01-11,124.884010875973,6257.46,2020-09-18
2018-01-12,125.739876687625,6277.43,2020-09-18
2018-01-15,126.090226707046,6256.33,2020-09-18
2018-01-16,126.092713275226,6278.04,2020-09-18
2018-01-17,124.218388059702,6248.48,2020-09-18
2018-01-18,124.615023433963,6294.68,2020-09-18
2018-01-19,125.162963596593,6367.2,2020-09-18
2018-01-22,127.551336341123,6380.63,2020-09-18
2018-01-23,132.171094797162,6426.09,2020-09-18
2018-01-24,131.634274123515,6357.43,2020-09-18
2018-01-25,130.077457299387,6302.28,2020-09-18
2018-01-26,130.891650728993,6322.08,2020-09-18
2018-01-29,129.833429905038,6314.65,2020-09-18
2018-01-30,128.763970487941,6254.57,2020-09-18
2018-01-31,128.849649133701,6250.68,2020-09-18
2018-02-01,127.349271410524,6145.24,2020-09-18
2018-02-02,125.07032408388,6041.84,2020-09-18
2018-02-05,122.312080138511,5995.77,2020-09-18
2018-02-06,119.890982896463,5856.34,2020-09-18
2018-02-07,119.87296236803,5949.95,2020-09-18
2018-02-08,117.634454975143,5793.91,2020-09-18
2018-02-09,115.737642208793,5721.86,2020-09-18
2018-02-12,118.246222959686,5804.71,2020-09-18
2018-02-13,117.828397470731,5763.91,2020-09-18
2018-02-14,119.817676201857,5831.33,2020-09-18
2018-02-15,119.849204681873,5834.53,2020-09-18
2018-02-16,120.285194557114,5884.51,2020-09-18
2018-02-19,119.3856191067,5853.11,2020-09-18
2018-02-20,120.098339583539,5901.38,2020-09-18
2018-02-21,118.968890935888,5893.3,2020-09-18
2018-02-22,119.435719393416,5889.32,2020-09-18
2018-02-23,118.458679484185,5897.98,2020-09-18
2018-02-26,119.359167436419,5918.47,2020-09-18
2018-02-27,118.078401154612,5901.47,2020-09-18
2018-02-28,115.4674348282,5875.6,2020-09-18
2018-03-01,114.923753680079,5759.86,2020-09-18
2018-03-02,112.349907007107,5629.06,2020-09-18
2018-03-05,114.857615640804,5712.82,2020-09-18
2018-03-06,116.799647782518,5723.68,2020-09-18
2018-03-07,118.603925925007,5785.91,2020-09-18
2018-03-08,118.076863420939,5837.93,2020-09-18
2018-03-09,118.440630998671,5833.68,2020-09-18
2018-03-12,118.870520409422,5867.5,2020-09-18
2018-03-13,117.078983361621,5774.26,2020-09-18
2018-03-14,116.34207090129,5782.15,2020-09-18
2018-03-15,114.835703915152,5833.09,2020-09-18
2018-03-16,115.522670696794,5853.81,2020-09-18
2018-03-19,113.686196860007,5772.28,2020-09-18
2018-03-20,113.503558183087,5814.95,2020-09-18
2018-03-21,114.562623359321,5815.81,2020-09-18
2018-03-22,112.606681344633,5717.03,2020-09-18
2018-03-23,109.816566417588,5616.03,2020-09-18
2018-03-26,109.547957647468,5569.23,2020-09-18
2018-03-27,110.785282555587,5655.96,2020-09-18
2018-03-28,109.848522552458,5641.73,2020-09-18
2018-03-29,111.115309862967,5715.45,2020-09-18
2018-04-03,109.474019090619,5670.9,2020-09-18
2018-04-04,110.439301192098,5649.85,2020-09-18
2018-04-05,113.423894606733,5813.94,2020-09-18
2018-04-06,113.133399241038,5764.74,2020-09-18
2018-04-09,113.266394825993,5774.53,2020-09-18
2018-04-10,118.961882759898,5836.53,2020-09-18
2018-04-11,118.033478416777,5787.86,2020-09-18
2018-04-12,119.470220370735,5844.98,2020-09-18
2018-04-13,119.690509185057,5857.88,2020-09-18
2018-04-16,119.351423478734,5831.67,2020-09-18
2018-04-17,122.559944829975,5923.12,2020-09-18
2018-04-18,122.117000296926,5925.79,2020-09-18
2018-04-19,120.990806186814,5914.74,2020-09-18
2018-04-20,119.697523128525,5902.09,2020-09-18
2018-04-23,118.675225830078,5917.11,2020-09-18
2018-04-24,117.911830100531,5907.01,2020-09-18
2018-04-25,116.628252516901,5840.15,2020-09-18
2018-04-26,115.91738304412,5869.19,2020-09-18
2018-04-27,117.118929342421,5905.28,2020-09-18
2018-04-30,117.993468756793,5916.24,2020-09-18
2018-05-02,117.152486795248,6005.52,2020-09-18
2018-05-03,117.927667098197,5952.66,2020-09-18
2018-05-04,119.890463492215,6002.25,2020-09-18
2018-05-07,119.76696506264,6045.14,2020-09-18
2018-05-08,118.764249196351,6028.75,2020-09-18
2018-05-09,119.134408920699,6041.09,2020-09-18
2018-05-10,120.330121988992,6045.92,2020-09-18
2018-05-11,119.988655090879,6035.78,2020-09-18
