Date,Stock,Market,joined date
2020-01-02,4.60736959761551,49892.99,2021-01-22
2020-01-03,4.5534043128673,49609.37,2021-01-22
2020-01-06,4.49907524128423,49299.33,2021-01-22
2020-01-07,4.45853377913267,49210.82,2021-01-22
2020-01-08,4.42099933574433,49029.99,2021-01-22
2020-01-09,4.30166572999389,48927.06,2021-01-22
2020-01-10,4.19697973632813,48778.81,2021-01-22
2020-01-13,4.19232793131723,49519.69,2021-01-22
2020-01-14,4.18400425882011,49655.09,2021-01-22
2020-01-15,4.06524465307882,49174.44,2021-01-22
2020-01-16,4.07423901354937,49316.8,2021-01-22
2020-01-17,4.15236255286428,50027.26,2021-01-22
2020-01-20,4.09808153133801,50203.8,2021-01-22
2020-01-21,3.95832585523348,49468.42,2021-01-22
2020-01-22,4.0177576148807,50017.8,2021-01-22
2020-01-23,4.25613888689064,50491.6,2021-01-22
2020-01-24,4.18877026833117,50012.56,2021-01-22
2020-01-27,4.12191210723962,48400.42,2021-01-22
2020-01-28,4.16848914002337,49238.6,2021-01-22
2020-01-29,4.03113632602889,48786.8,2021-01-22
2020-01-30,4.04669856233798,48801.2,2021-01-22
2020-01-31,3.90838790284914,48065.13,2021-01-22
2020-02-03,3.9595218476316,48461.06,2021-01-22
2020-02-04,3.91014925373134,48858.24,2021-01-22
2020-02-05,4.10289967652823,49068.23,2021-01-22
2020-02-06,3.98952571108309,48689.25,2021-01-22
2020-02-07,3.95833298613522,48071.11,2021-01-22
2020-02-10,3.915150527192,47508.39,2021-01-22
2020-02-11,4.08491342690922,48710.15,2021-01-22
2020-02-12,4.08690295765592,49268.44,2021-01-22
2020-02-13,4.02818980182997,48858.26,2021-01-22
2020-02-14,3.99948364127147,48345.95,2021-01-22
2020-02-17,3.91236306910099,48749.53,2021-01-22
2020-02-18,3.92378768051059,48626.93,2021-01-22
2020-02-19,3.92499621984468,49266.44,2021-01-22
2020-02-20,3.85959916236088,48469.52,2021-01-22
2020-02-21,3.86608246952956,48123.64,2021-01-22
2020-02-26,3.53551480832322,44791.75,2021-01-22
2020-02-27,3.55064532667574,43628.32,2021-01-22
2020-02-28,3.64401247401248,44113.94,2021-01-22
2020-03-02,3.66599038891372,45195.63,2021-01-22
2020-03-03,3.5268458709906,44736.81,2021-01-22
2020-03-04,3.47656029838375,45504.97,2021-01-22
2020-03-05,3.25489614307729,43365.7,2021-01-22
2020-03-06,3.18021050811558,41554.68,2021-01-22
2020-03-09,2.77148588850544,36525.57,2021-01-22
2020-03-10,2.9679633817986,39093.08,2021-01-22
2020-03-11,2.61531597972412,36155.35,2021-01-22
2020-03-12,2.28040534335212,30772.73,2021-01-22
2020-03-13,2.62605948950186,35005.14,2021-01-22
2020-03-16,2.1255649774009,30205.74,2021-01-22
2020-03-17,2.22469890583819,31621.84,2021-01-22
2020-03-18,1.82187353125489,28282.11,2021-01-22
2020-03-19,1.75434523225464,28910.95,2021-01-22
2020-03-20,1.69879550437513,28404.31,2021-01-22
2020-03-23,1.50395517455875,26895.8,2021-01-22
2020-03-24,1.77745169958614,29402.93,2021-01-22
2020-03-25,2.01562568268027,31581.45,2021-01-22
2020-03-26,2.12294192623277,32827.54,2021-01-22
2020-03-27,1.93601290271977,31054.7,2021-01-22
2020-03-30,1.95149703481207,31522.41,2021-01-22
2020-03-31,1.87348115128924,30840.55,2021-01-22
2020-04-01,1.77893757262873,29954.66,2021-01-22
2020-04-02,1.79821388460587,30477.08,2021-01-22
2020-04-03,1.66619519306246,29359.96,2021-01-22
2020-04-06,1.84254242097497,31249.99,2021-01-22
2020-04-07,1.95315930593328,32207.07,2021-01-22
2020-04-08,2.02877227568169,33163.08,2021-01-22
2020-04-09,2.02977090268259,32813.18,2021-01-22
2020-04-13,2.03337154287033,33273.96,2021-01-22
2020-04-14,2.04603242866275,33767.63,2021-01-22
2020-04-15,1.97949853915634,33329.67,2021-01-22
2020-04-16,1.92399996178319,32917.83,2021-01-22
2020-04-17,1.97497603269485,33387.77,2021-01-22
2020-04-20,1.90627727204333,33410.73,2021-01-22
2020-04-22,1.84863429827775,34157.17,2021-01-22
2020-04-23,1.7722343905304,33718.19,2021-01-22
2020-04-24,1.51959647271362,31852.88,2021-01-22
2020-04-27,1.58892739624244,33083.91,2021-01-22
2020-04-28,1.85234949726359,34385.94,2021-01-22
2020-04-29,1.93720008247732,35151.05,2021-01-22
2020-04-30,1.81632305224397,34006.82,2021-01-22
2020-05-04,1.75027430117222,33312.18,2021-01-22
2020-05-05,1.74233278955954,33560.76,2021-01-22
2020-05-06,1.65139446972349,33357.88,2021-01-22
2020-05-07,1.57457080624968,32914.18,2021-01-22
2020-05-08,1.6529468413615,33789.05,2021-01-22
2020-05-11,1.63870058439326,33300.0,2021-01-22
2020-05-12,1.56285357482669,32785.11,2021-01-22
2020-05-13,1.51781162917148,32720.72,2021-01-22
2020-05-14,1.6032349651553,33251.6,2021-01-22
2020-05-15,1.56136096594597,32670.63,2021-01-22
2020-05-18,1.67501486273824,34222.72,2021-01-22
2020-05-19,1.61986374695863,34040.96,2021-01-22
2020-05-20,1.67851330698287,34268.99,2021-01-22
2020-05-21,1.84295512277731,35025.86,2021-01-22
2020-05-22,1.80120007951136,34683.43,2021-01-22
2020-05-25,2.02214887717817,36167.47,2021-01-22
2020-05-26,2.01395696913003,36096.84,2021-01-22
2020-05-27,2.04863311398935,37151.27,2021-01-22
2020-05-28,1.99178462392451,36732.41,2021-01-22
2020-05-29,2.02059181799441,36903.25,2021-01-22
2020-06-01,2.07292320026849,37428.01,2021-01-22
2020-06-02,2.20600511400776,38435.37,2021-01-22
