Date,Stock,Market,joined date
2020-01-02,5.1529393939394,49892.99,2021-06-07
2020-01-03,5.02151884727926,49609.37,2021-06-07
2020-01-06,4.99923256844594,49299.33,2021-06-07
2020-01-07,4.90690874225589,49210.82,2021-06-07
2020-01-08,4.83548576770733,49029.99,2021-06-07
2020-01-09,4.75541356139279,48927.06,2021-06-07
2020-01-10,4.66841967773437,48778.81,2021-06-07
2020-01-13,4.6679474750398,49519.69,2021-06-07
2020-01-14,4.69368121763538,49655.09,2021-06-07
2020-01-15,4.53907623404307,49174.44,2021-06-07
2020-01-16,4.60305517719312,49316.8,2021-06-07
2020-01-17,4.72570934256055,50027.26,2021-06-07
2020-01-20,4.6212153324741,50203.8,2021-06-07
2020-01-21,4.43663960306721,49468.42,2021-06-07
2020-01-22,4.50594988762971,50017.8,2021-06-07
2020-01-23,4.64141932235092,50491.6,2021-06-07
2020-01-24,4.60388673649973,50012.56,2021-06-07
2020-01-27,4.45433450587061,48400.42,2021-06-07
2020-01-28,4.47941730443698,49238.6,2021-06-07
2020-01-29,4.34715504810533,48786.8,2021-06-07
2020-01-30,4.37555220362952,48801.2,2021-06-07
2020-01-31,4.28782975245213,48065.13,2021-06-07
2020-02-03,4.35426805725586,48461.06,2021-06-07
2020-02-04,4.36335433070865,48858.24,2021-06-07
2020-02-05,4.4633815786367,49068.23,2021-06-07
2020-02-06,4.35291859324646,48689.25,2021-06-07
2020-02-07,4.30096752540333,48071.11,2021-06-07
2020-02-10,4.3195262208657,47508.39,2021-06-07
2020-02-11,4.43043932957798,48710.15,2021-06-07
2020-02-12,4.34359327638468,49268.44,2021-06-07
2020-02-13,4.2462030438181,48858.26,2021-06-07
2020-02-14,4.18207520826546,48345.95,2021-06-07
2020-02-17,4.13044441876589,48749.53,2021-06-07
2020-02-18,4.08007507404091,48626.93,2021-06-07
2020-02-19,4.09568627001765,49266.44,2021-06-07
2020-02-20,3.97700157057338,48469.52,2021-06-07
2020-02-21,3.9282813532293,48123.64,2021-06-07
2020-02-26,3.59105680643567,44791.75,2021-06-07
2020-02-27,3.48772274358575,43628.32,2021-06-07
2020-02-28,3.58170008718396,44113.94,2021-06-07
2020-03-02,3.62313164953062,45195.63,2021-06-07
2020-03-03,3.53309254828991,44736.81,2021-06-07
2020-03-04,3.5058261173032,45504.97,2021-06-07
2020-03-05,3.3853473835001,43365.7,2021-06-07
2020-03-06,3.26435345479694,41554.68,2021-06-07
2020-03-09,2.88442209565752,36525.57,2021-06-07
2020-03-10,3.01928249865374,39093.08,2021-06-07
2020-03-11,2.68129923549942,36155.35,2021-06-07
2020-03-12,2.35061302442079,30772.73,2021-06-07
2020-03-13,2.69669946480033,35005.14,2021-06-07
2020-03-16,2.24404323827047,30205.74,2021-06-07
2020-03-17,2.38347116843702,31621.84,2021-06-07
2020-03-18,2.14905354065486,28282.11,2021-06-07
2020-03-19,2.07862943265891,28910.95,2021-06-07
2020-03-20,1.9714982124163,28404.31,2021-06-07
2020-03-23,1.79059151698935,26895.8,2021-06-07
2020-03-24,2.06143753800286,29402.93,2021-06-07
2020-03-25,2.25290111810617,31581.45,2021-06-07
2020-03-26,2.33878594758225,32827.54,2021-06-07
2020-03-27,2.16915661705591,31054.7,2021-06-07
2020-03-30,2.17744628003696,31522.41,2021-06-07
2020-03-31,2.12317911078661,30840.55,2021-06-07
2020-04-01,2.01333015830682,29954.66,2021-06-07
2020-04-02,2.05850265547371,30477.08,2021-06-07
2020-04-03,1.94194071692894,29359.96,2021-06-07
2020-04-06,2.16467623857897,31249.99,2021-06-07
2020-04-07,2.3132115907611,32207.07,2021-06-07
2020-04-08,2.39997189311577,33163.08,2021-06-07
2020-04-09,2.38114901116115,32813.18,2021-06-07
2020-04-13,2.40216698080548,33273.96,2021-06-07
2020-04-14,2.4785314116348,33767.63,2021-06-07
2020-04-15,2.34687761376439,33329.67,2021-06-07
2020-04-16,2.30267039917451,32917.83,2021-06-07
2020-04-17,2.33099803296221,33387.77,2021-06-07
2020-04-20,2.24095865934396,33410.73,2021-06-07
2020-04-22,2.18298442652986,34157.17,2021-06-07
2020-04-23,2.09124532393602,33718.19,2021-06-07
2020-04-24,1.84307975745435,31852.88,2021-06-07
2020-04-27,1.88240119590984,33083.91,2021-06-07
2020-04-28,2.12519063982981,34385.94,2021-06-07
2020-04-29,2.27583452050686,35151.05,2021-06-07
2020-04-30,2.07051842939954,34006.82,2021-06-07
2020-05-04,1.97025590622182,33312.18,2021-06-07
2020-05-05,1.9558530376638,33560.76,2021-06-07
2020-05-06,1.86521018550928,33357.88,2021-06-07
2020-05-07,1.76791157150942,32914.18,2021-06-07
2020-05-08,1.87858929848741,33789.05,2021-06-07
2020-05-11,1.81851340666896,33300.0,2021-06-07
2020-05-12,1.74041949843686,32785.11,2021-06-07
2020-05-13,1.72733517977299,32720.72,2021-06-07
2020-05-14,1.82500404370645,33251.6,2021-06-07
2020-05-15,1.74829012535438,32670.63,2021-06-07
2020-05-18,1.87490138136038,34222.72,2021-06-07
2020-05-19,1.80048001390337,34040.96,2021-06-07
2020-05-20,1.85405551163812,34268.99,2021-06-07
2020-05-21,2.0180714144162,35025.86,2021-06-07
2020-05-22,1.99147240594167,34683.43,2021-06-07
2020-05-25,2.18523457152825,36167.47,2021-06-07
2020-05-26,2.12602114125351,36096.84,2021-06-07
2020-05-27,2.18930897161171,37151.27,2021-06-07
