Date,Stock,Market,joined date
2020-01-02,9.88433228180877,7604.3,2021-09-03
2020-01-03,9.76209793504151,7622.4,2021-09-03
2020-01-06,9.84634021093675,7575.34,2021-09-03
2020-01-07,10.0023621427256,7573.85,2021-09-03
2020-01-08,9.9694838447739,7574.93,2021-09-03
2020-01-09,9.90331852626101,7598.12,2021-09-03
2020-01-10,9.87515670706255,7587.85,2021-09-03
2020-01-13,9.97999844143678,7617.6,2021-09-03
2020-01-14,10.1662262603645,7622.35,2021-09-03
2020-01-15,10.2618920363439,7642.8,2021-09-03
2020-01-16,10.3561901773102,7609.81,2021-09-03
2020-01-17,10.39856392112,7674.56,2021-09-03
2020-01-20,10.6205281644338,7651.44,2021-09-03
2020-01-21,10.5263157894739,7610.7,2021-09-03
2020-01-22,10.5513507831385,7571.92,2021-09-03
2020-01-23,10.4600204686803,7507.67,2021-09-03
2020-01-24,10.586327736806,7585.98,2021-09-03
2020-01-27,10.3588257560922,7412.05,2021-09-03
2020-01-28,10.5049241832109,7480.69,2021-09-03
2020-01-29,10.4029685567348,7483.57,2021-09-03
2020-01-30,10.5066059106205,7381.96,2021-09-03
2020-01-31,10.5962013119863,7286.01,2021-09-03
2020-02-03,10.5346586110572,7326.31,2021-09-03
2020-02-04,10.6967896602046,7439.82,2021-09-03
2020-02-05,10.9122109122109,7482.48,2021-09-03
2020-02-06,10.3993484247137,7504.79,2021-09-03
2020-02-07,10.3049990976361,7466.7,2021-09-03
2020-02-10,10.6377758551669,7446.88,2021-09-03
2020-02-11,10.7053125080947,7499.44,2021-09-03
2020-02-12,11.0990150336963,7534.37,2021-09-03
2020-02-13,11.2134415194761,7452.03,2021-09-03
2020-02-14,11.3578249752129,7409.13,2021-09-03
2020-02-17,11.3203620851106,7433.25,2021-09-03
2020-02-18,11.3186456099308,7382.01,2021-09-03
2020-02-19,11.3481041276401,7457.02,2021-09-03
2020-02-20,11.1196970867781,7436.64,2021-09-03
2020-02-21,11.1948331539289,7403.92,2021-09-03
2020-02-24,10.8199645798054,7156.83,2021-09-03
2020-02-25,10.4812806408408,7017.88,2021-09-03
2020-02-26,10.1443852337392,7042.47,2021-09-03
2020-02-27,9.90517419088846,6796.4,2021-09-03
2020-02-28,9.70731894927088,6580.61,2021-09-03
2020-03-02,9.56764544631612,6654.89,2021-09-03
2020-03-03,9.70741955318688,6718.2,2021-09-03
2020-03-04,9.95624195624206,6815.59,2021-09-03
2020-03-05,9.76475465050015,6705.43,2021-09-03
2020-03-06,9.55040054275522,6462.55,2021-09-03
2020-03-09,8.83187142181811,5965.77,2021-09-03
2020-03-10,8.61350231663714,5960.23,2021-09-03
2020-03-11,8.27147673807392,5876.52,2021-09-03
2020-03-12,6.97189118519635,5237.48,2021-09-03
2020-03-13,6.46452246501374,5366.11,2021-09-03
2020-03-16,5.56264259254704,5151.08,2021-09-03
2020-03-17,5.42247071865795,5294.9,2021-09-03
2020-03-18,4.58251074207427,5080.58,2021-09-03
2020-03-19,4.18858389801322,5151.61,2021-09-03
2020-03-20,4.75187129669491,5190.78,2021-09-03
2020-03-23,4.48409261504698,4993.89,2021-09-03
2020-03-24,4.81212377727604,5446.01,2021-09-03
2020-03-25,5.08081768481113,5688.2,2021-09-03
2020-03-26,5.83333333333328,5815.73,2021-09-03
2020-03-27,5.64253951646034,5510.33,2021-09-03
2020-03-30,5.53134428427775,5563.74,2021-09-03
2020-03-31,5.47635605006958,5671.96,2021-09-03
2020-04-01,5.09393331848202,5454.57,2021-09-03
2020-04-02,5.17243515867979,5480.22,2021-09-03
2020-04-03,4.71152195767858,5415.5,2021-09-03
2020-04-06,5.47124356450184,5582.39,2021-09-03
2020-04-07,5.81319318504284,5704.45,2021-09-03
2020-04-08,6.01909763075422,5677.73,2021-09-03
2020-04-09,6.38194522288225,5842.66,2021-09-03
2020-04-14,5.86089371370848,5791.31,2021-09-03
2020-04-15,5.42228228904637,5597.65,2021-09-03
2020-04-16,5.7392668983297,5628.43,2021-09-03
2020-04-17,6.07079469039811,5786.96,2021-09-03
2020-04-20,5.73379094232655,5812.83,2021-09-03
2020-04-21,5.56136059104835,5641.03,2021-09-03
2020-04-22,5.85152299913696,5770.63,2021-09-03
2020-04-23,6.36601500789908,5826.61,2021-09-03
2020-04-24,6.40366064803351,5752.23,2021-09-03
2020-04-27,6.38802928053873,5846.79,2021-09-03
2020-04-28,6.71974561850224,5958.5,2021-09-03
2020-04-29,6.80285675113094,6115.25,2021-09-03
2020-04-30,6.53520701118145,5901.21,2021-09-03
2020-05-01,6.63607836273407,5763.06,2021-09-03
2020-05-04,6.64899904196665,5753.78,2021-09-03
2020-05-05,6.43083618277887,5849.42,2021-09-03
2020-05-06,6.38274240722667,5853.76,2021-09-03
2020-05-07,6.56118665018553,5935.98,2021-09-03
2020-05-11,6.2908597508328,5939.73,2021-09-03
2020-05-12,6.02772976352455,5994.77,2021-09-03
2020-05-13,5.85401049246096,5904.05,2021-09-03
2020-05-14,5.682637878547,5741.54,2021-09-03
2020-05-15,5.78694457557174,5799.77,2021-09-03
2020-05-18,6.02747406784424,6048.59,2021-09-03
2020-05-19,6.16715262293867,6002.23,2021-09-03
2020-05-20,5.9236775756983,6067.16,2021-09-03
2020-05-21,5.98142263505232,6015.25,2021-09-03
2020-05-22,6.02116530835644,5993.28,2021-09-03
2020-05-26,6.57245733451737,6067.76,2021-09-03
2020-05-27,6.15927382308612,6144.25,2021-09-03
