Date,Stock,Market,joined date
2020-01-02,265.560523,3257.85,2021-02-09
2020-01-03,262.68607,3234.85,2021-02-09
2020-01-06,266.379012,3246.28,2021-02-09
2020-01-07,265.745657,3237.18,2021-02-09
2020-01-08,266.398499,3253.05,2021-02-09
2020-01-09,266.534914,3274.7,2021-02-09
2020-01-10,267.431354,3265.35,2021-02-09
2020-01-13,269.126794,3288.13,2021-02-09
2020-01-14,268.89294,3283.15,2021-02-09
2020-01-15,270.198624,3289.29,2021-02-09
2020-01-16,269.779636,3316.81,2021-02-09
2020-01-17,269.984258,3329.62,2021-02-09
2020-01-21,270.422734,3320.79,2021-02-09
2020-01-22,271.689443,3321.75,2021-02-09
2020-01-23,271.592003,3325.54,2021-02-09
2020-01-24,271.124296,3295.47,2021-02-09
2020-01-27,272.585882,3243.63,2021-02-09
2020-01-28,275.031604,3276.24,2021-02-09
2020-01-29,274.97314,3273.4,2021-02-09
2020-01-30,273.95003,3283.66,2021-02-09
2020-01-31,268.132915,3225.52,2021-02-09
2020-02-03,272.15715,3248.92,2021-02-09
2020-02-04,277.16552,3297.59,2021-02-09
2020-02-05,278.666082,3334.69,2021-02-09
2020-02-06,245.79013,3345.78,2021-02-09
2020-02-07,240.586882,3327.71,2021-02-09
2020-02-10,245.546532,3352.09,2021-02-09
2020-02-11,249.843596,3357.75,2021-02-09
2020-02-12,245.770642,3379.45,2021-02-09
2020-02-13,247.836351,3373.94,2021-02-09
2020-02-14,253.556026,3380.16,2021-02-09
2020-02-18,249.444096,3370.29,2021-02-09
2020-02-19,249.512303,3386.15,2021-02-09
2020-02-20,246.969143,3373.23,2021-02-09
2020-02-21,250.759524,3337.75,2021-02-09
2020-02-24,244.114177,3225.89,2021-02-09
2020-02-25,239.144783,3128.21,2021-02-09
2020-02-26,239.846345,3116.39,2021-02-09
2020-02-27,236.474952,2978.76,2021-02-09
2020-02-28,231.729668,2954.22,2021-02-09
2020-03-02,239.0376,3090.23,2021-02-09
2020-03-03,233.366645,3003.37,2021-02-09
2020-03-04,240.78176,3130.12,2021-02-09
2020-03-05,237.887819,3023.94,2021-02-09
2020-03-06,232.996376,2972.37,2021-02-09
2020-03-09,224.869955,2746.56,2021-02-09
2020-03-10,231.232728,2882.23,2021-02-09
2020-03-11,225.971017,2741.38,2021-02-09
2020-03-12,214.921423,2480.64,2021-02-09
2020-03-13,230.443472,2711.02,2021-02-09
2020-03-16,217.425608,2386.13,2021-02-09
2020-03-17,242.155651,2529.19,2021-02-09
2020-03-18,228.709056,2398.1,2021-02-09
2020-03-19,215.301435,2409.39,2021-02-09
2020-03-20,214.482947,2304.92,2021-02-09
2020-03-23,195.443347,2237.4,2021-02-09
2020-03-24,197.655214,2447.33,2021-02-09
2020-03-25,198.386008,2475.56,2021-02-09
2020-03-26,213.732666,2630.07,2021-02-09
2020-03-27,211.033603,2541.47,2021-02-09
2020-03-30,217.162522,2626.65,2021-02-09
2020-03-31,223.88582,2584.59,2021-02-09
2020-04-01,219.627731,2470.5,2021-02-09
2020-04-02,227.305932,2526.9,2021-02-09
2020-04-03,220.923671,2488.65,2021-02-09
2020-04-06,231.602997,2663.68,2021-02-09
2020-04-07,231.466582,2659.41,2021-02-09
2020-04-08,243.59775,2749.98,2021-02-09
2020-04-09,241.113053,2789.82,2021-02-09
2020-04-13,241.707431,2761.63,2021-02-09
2020-04-14,243.139786,2846.06,2021-02-09
2020-04-15,246.062959,2783.36,2021-02-09
2020-04-16,254.91043,2799.55,2021-02-09
2020-04-17,254.705807,2874.56,2021-02-09
2020-04-20,256.693565,2823.16,2021-02-09
2020-04-21,249.931292,2736.56,2021-02-09
2020-04-22,259.928543,2799.31,2021-02-09
2020-04-23,258.291566,2797.8,2021-02-09
2020-04-24,261.302434,2836.74,2021-02-09
