Date,Stock,Market,joined date
2017-01-02,85.6112098713797,5645.36,2019-11-29
2017-01-03,84.3867369976173,5638.49,2019-11-29
2017-01-04,84.3915482619407,5638.53,2019-11-29
2017-01-05,85.6721766882615,5638.84,2019-11-29
2017-01-06,84.8084071308978,5645.68,2019-11-29
2017-01-09,85.390478808318,5628.64,2019-11-29
2017-01-10,85.4685521317015,5638.04,2019-11-29
2017-01-11,84.9362026280705,5668.64,2019-11-29
2017-01-12,85.2510848691259,5607.73,2019-11-29
2017-01-13,85.5963224653104,5660.37,2019-11-29
2017-01-16,85.9868560525758,5624.12,2019-11-29
2017-01-17,87.0780799760049,5616.96,2019-11-29
2017-01-18,86.5285469794731,5645.87,2019-11-29
2017-01-19,87.1275937813229,5644.65,2019-11-29
2017-01-20,87.62450918506,5660.83,2019-11-29
2017-01-23,87.8744834710747,5619.76,2019-11-29
2017-01-24,87.6423060828142,5643.7,2019-11-29
2017-01-25,88.1762019876444,5746.46,2019-11-29
2017-01-26,87.8216013584957,5767.18,2019-11-29
2017-01-27,88.7605603678753,5750.46,2019-11-29
2017-01-30,88.0057309041139,5685.65,2019-11-29
2017-01-31,88.4546877530091,5614.3,2019-11-29
2017-02-01,87.8375468366424,5674.75,2019-11-29
2017-02-02,88.8073670847946,5642.14,2019-11-29
2017-02-03,89.2233386519473,5653.69,2019-11-29
2017-02-06,88.4319373978848,5584.9,2019-11-29
2017-02-07,88.9002808838767,5603.96,2019-11-29
2017-02-08,90.3042231825767,5600.89,2019-11-29
2017-02-09,90.3463632392578,5649.22,2019-11-29
2017-02-10,88.8163143729458,5661.01,2019-11-29
2017-02-13,89.0469024860652,5713.09,2019-11-29
2017-02-14,88.4446559839233,5711.8,2019-11-29
2017-02-15,89.0024057568592,5722.46,2019-11-29
2017-02-16,89.3141094735496,5704.67,2019-11-29
2017-02-17,90.97854459795,5703.25,2019-11-29
2017-02-20,89.4546997666028,5737.48,2019-11-29
2017-02-21,89.5893470428348,5805.02,2019-11-29
2017-02-22,91.7122290008657,5820.32,2019-11-29
2017-02-23,91.8467739376053,5795.66,2019-11-29
2017-02-24,91.3650907631711,5725.95,2019-11-29
2017-02-27,91.6452319710392,5734.95,2019-11-29
2017-02-28,91.0715607584359,5740.6,2019-11-29
2017-03-01,91.4967887537832,5853.39,2019-11-29
2017-03-02,91.0237014624305,5849.81,2019-11-29
2017-03-03,91.6611796690813,5834.2,2019-11-29
2017-03-06,91.6582042819668,5800.75,2019-11-29
2017-03-07,90.9647973629715,5804.5,2019-11-29
2017-03-08,90.2029804186075,5805.07,2019-11-29
2017-03-09,91.5580089464164,5810.5,2019-11-29
2017-03-10,92.4367058221043,5803.24,2019-11-29
2017-03-13,92.2019814637266,5816.31,2019-11-29
2017-03-14,92.7461249761451,5815.65,2019-11-29
2017-03-15,93.7228345442643,5825.84,2019-11-29
2017-03-16,94.5620115820974,5861.32,2019-11-29
2017-03-17,94.7340168554406,5867.25,2019-11-29
2017-03-20,94.6143274351486,5846.71,2019-11-29
2017-03-21,94.9807617483032,5802.68,2019-11-29
2017-03-22,94.629459707454,5774.54,2019-11-29
2017-03-23,95.0260877064383,5840.3,2019-11-29
2017-03-24,94.7224081711977,5852.23,2019-11-29
2017-03-27,95.7011092159436,5819.14,2019-11-29
2017-03-28,95.729268028976,5893.53,2019-11-29
2017-03-29,95.1499165634926,5919.52,2019-11-29
2017-03-30,94.4644877569756,5926.02,2019-11-29
2017-03-31,94.4881051264031,5953.44,2019-11-29
2017-04-03,95.1481789669074,5926.64,2019-11-29
2017-04-04,95.503879278145,5939.04,2019-11-29
2017-04-05,95.4355961659437,5907.8,2019-11-29
2017-04-06,95.5973905732862,5914.25,2019-11-29
2017-04-07,95.5562378900334,5909.76,2019-11-29
2017-04-10,96.2691468401095,5897.89,2019-11-29
2017-04-11,96.0009329742791,5868.29,2019-11-29
2017-04-12,97.2241476757704,5875.67,2019-11-29
2017-04-13,97.3225939957343,5853.62,2019-11-29
2017-04-18,97.3287972611855,5801.21,2019-11-29
2017-04-19,96.8847385386436,5808.88,2019-11-29
2017-04-20,97.2507928344901,5814.04,2019-11-29
2017-04-21,95.9659340777212,5823.98,2019-11-29
2017-04-24,99.1936710786552,6020.64,2019-11-29
2017-04-25,98.773120076912,6026.23,2019-11-29
2017-04-26,99.2934865566193,6028.99,2019-11-29
2017-04-27,99.1421955011475,6007.12,2019-11-29
2017-04-28,99.5151713242907,6004.37,2019-11-29
2017-05-02,100.441452860702,6015.3,2019-11-29
2017-05-03,99.7333913705858,6024.77,2019-11-29
2017-05-04,101.788185672547,6061.22,2019-11-29
2017-05-05,102.902693787796,6094.38,2019-11-29
2017-05-08,102.088293759147,6082.15,2019-11-29
2017-05-09,102.392937518347,6108.67,2019-11-29
2017-05-10,102.423122894708,6112.51,2019-11-29
2017-05-11,102.255818752512,6073.27,2019-11-29
2017-05-12,103.488219609214,6091.51,2019-11-29
2017-05-15,103.639735331878,6088.32,2019-11-29
2017-05-16,104.481581630391,6087.47,2019-11-29
2017-05-17,104.170850907143,6002.38,2019-11-29
2017-05-18,102.406696121312,5979.94,2019-11-29
2017-05-19,104.26423465615,6001.5,2019-11-29
2017-05-22,105.696629213483,5992.25,2019-11-29
2017-05-23,105.402050788894,6011.18,2019-11-29
2017-05-24,105.462703309029,6003.61,2019-11-29
2017-05-25,105.712107965117,5993.64,2019-11-29
2017-05-26,105.603327779579,5984.51,2019-11-29
2017-05-29,105.577511331413,5997.14,2019-11-29
2017-05-30,105.758155243176,5982.76,2019-11-29
2017-05-31,107.464028776978,5990.58,2019-11-29
2017-06-01,107.536043409045,6002.71,2019-11-29
2017-06-02,108.965392771737,6077.66,2019-11-29
2017-06-06,108.307400892978,6014.69,2019-11-29
2017-06-07,108.453668583777,6006.46,2019-11-29
2017-06-08,107.164480322906,6026.05,2019-11-29
2017-06-09,107.76720761052,6074.47,2019-11-29
2017-06-12,106.892457944135,6014.38,2019-11-29
2017-06-13,106.286585776123,6049.94,2019-11-29
2017-06-14,108.031407739764,6069.36,2019-11-29
2017-06-15,106.728176327695,6015.27,2019-11-29
2017-06-16,108.621654909865,6044.11,2019-11-29
2017-06-19,108.704376714008,6108.67,2019-11-29
2017-06-20,108.278127261593,6073.52,2019-11-29
2017-06-21,107.662073739923,6054.31,2019-11-29
2017-06-22,107.341168075285,6063.67,2019-11-29
2017-06-23,107.453833240067,6034.95,2019-11-29
2017-06-26,108.761025342917,6052.69,2019-11-29
2017-06-27,108.596823381364,6005.38,2019-11-29
2017-06-28,108.163451037496,5994.13,2019-11-29
2017-06-29,105.270383123792,5884.61,2019-11-29
2017-06-30,105.13690414996,5841.44,2019-11-29
2017-07-03,104.273640205389,5912.63,2019-11-29
2017-07-04,103.711096996642,5894.53,2019-11-29
2017-07-05,103.984561244182,5902.38,2019-11-29
2017-07-06,103.438035408338,5868.05,2019-11-29
2017-07-07,103.215950934233,5871.57,2019-11-29
2017-07-10,104.654211360243,5898.7,2019-11-29
2017-07-11,104.835935887735,5894.48,2019-11-29
2017-07-12,105.896716186303,5984.32,2019-11-29
2017-07-13,106.315093780624,5991.31,2019-11-29
2017-07-14,107.101494146112,5986.76,2019-11-29
2017-07-17,107.032586113885,5965.64,2019-11-29
2017-07-18,107.156472015249,5891.34,2019-11-29
2017-07-19,107.690182035901,5901.6,2019-11-29
2017-07-20,108.696157782119,5899.33,2019-11-29
2017-07-21,107.456038061477,5801.13,2019-11-29
2017-07-24,106.709339540297,5786.39,2019-11-29
2017-07-25,106.687638354888,5812.62,2019-11-29
2017-07-26,108.333235566714,5831.96,2019-11-29
2017-07-27,108.458071597039,5787.85,2019-11-29
2017-07-28,107.877235447559,5764.47,2019-11-29
2017-07-31,109.75739708024,5743.4,2019-11-29
2017-08-01,109.559942883442,5806.45,2019-11-29
2017-08-02,109.103840682788,5773.37,2019-11-29
2017-08-03,107.286968905768,5760.69,2019-11-29
2017-08-04,106.559499152702,5828.46,2019-11-29
2017-08-07,106.597009292891,5809.24,2019-11-29
2017-08-08,105.999013088328,5825.77,2019-11-29
2017-08-09,105.45993227991,5760.34,2019-11-29
2017-08-10,104.258374332055,5694.14,2019-11-29
2017-08-11,104.973877686107,5694.02,2019-11-29
2017-08-14,105.424950532366,5765.62,2019-11-29
2017-08-15,105.232899213892,5771.26,2019-11-29
2017-08-16,105.547448691395,5812.41,2019-11-29
2017-08-17,104.921338303908,5783.79,2019-11-29
2017-08-18,104.934496789519,5765.65,2019-11-29
2017-08-21,104.495244846122,5718.63,2019-11-29
2017-08-22,105.404896864783,5796.05,2019-11-29
2017-08-23,105.477511509858,5769.97,2019-11-29
2017-08-24,105.217832411198,5773.06,2019-11-29
2017-08-25,105.826099399027,5766.95,2019-11-29
2017-08-28,106.128657492245,5745.87,2019-11-29
2017-08-29,106.000383105067,5661.71,2019-11-29
2017-08-30,105.360707157114,5688.53,2019-11-29
2017-08-31,106.791145194518,5713.82,2019-11-29
2017-09-01,106.464464416989,5754.96,2019-11-29
2017-09-04,106.781334380093,5735.8,2019-11-29
2017-09-05,107.029267769717,5745.99,2019-11-29
2017-09-06,107.866266323515,5789.04,2019-11-29
2017-09-07,109.691301630043,5827.94,2019-11-29
2017-09-08,110.222008302749,5831.43,2019-11-29
2017-09-11,110.773827308037,5912.6,2019-11-29
2017-09-12,110.173851657753,5936.07,2019-11-29
2017-09-13,109.721892084621,5949.72,2019-11-29
2017-09-14,110.050412957203,5943.5,2019-11-29
2017-09-15,110.108066153203,5933.24,2019-11-29
2017-09-18,110.352823062581,5952.47,2019-11-29
2017-09-19,110.422237945053,5953.61,2019-11-29
2017-09-20,109.040750561851,5957.11,2019-11-29
2017-09-21,107.9525782304,5971.73,2019-11-29
2017-09-22,108.440502940193,5968.1,2019-11-29
2017-09-25,108.651101081535,5969.26,2019-11-29
2017-09-26,108.489564909799,5974.18,2019-11-29
2017-09-27,106.96713129866,5998.93,2019-11-29
2017-09-28,107.045639339626,6021.32,2019-11-29
2017-09-29,107.524214505079,6080.19,2019-11-29
2017-10-02,107.142438211868,6115.16,2019-11-29
2017-10-04,107.312943168589,6147.33,2019-11-29
2017-10-05,107.380821340329,6146.15,2019-11-29
2017-10-06,106.218467675701,6140.42,2019-11-29
2017-10-09,106.742892024511,6150.11,2019-11-29
2017-10-10,108.083538953756,6137.24,2019-11-29
2017-10-11,109.049301619673,6147.4,2019-11-29
2017-10-12,109.690316780619,6153.19,2019-11-29
2017-10-13,110.961365678347,6157.44,2019-11-29
2017-10-16,110.860795923663,6163.05,2019-11-29
2017-10-17,110.011648292172,6158.96,2019-11-29
2017-10-18,111.045627600514,6181.69,2019-11-29
2017-10-19,110.300042660093,6156.61,2019-11-29
2017-10-20,108.427204600085,6157.16,2019-11-29
2017-10-23,108.072549572409,6162.79,2019-11-29
2017-10-24,107.124798626545,6167.55,2019-11-29
2017-10-25,107.441530829199,6139.22,2019-11-29
2017-10-26,112.352482029893,6224.47,2019-11-29
2017-10-27,111.866925139587,6264.4,2019-11-29
2017-10-30,112.180233912679,6270.1,2019-11-29
2017-11-01,114.032132526342,6381.93,2019-11-29
2017-11-02,113.121117107457,6370.28,2019-11-29
2017-11-03,113.609192734026,6388.25,2019-11-29
2017-11-06,113.303923844904,6383.48,2019-11-29
2017-11-07,112.362284085775,6341.05,2019-11-29
2017-11-08,114.040274058359,6342.54,2019-11-29
2017-11-09,113.862019997439,6247.82,2019-11-29
2017-11-10,113.609591677261,6221.71,2019-11-29
2017-11-13,112.939913912769,6196.57,2019-11-29
2017-11-14,113.985420058037,6177.16,2019-11-29
2017-11-15,113.68942341705,6150.1,2019-11-29
2017-11-16,113.982746648778,6183.68,2019-11-29
2017-11-17,113.86150290108,6158.33,2019-11-29
2017-11-20,114.680244494761,6189.1,2019-11-29
2017-11-21,115.245126230913,6240.7,2019-11-29
2017-11-22,115.080021748895,6168.43,2019-11-29
2017-11-23,115.72735460018,6165.35,2019-11-29
2017-11-24,115.960010498437,6189.66,2019-11-29
2017-11-27,115.307749042374,6161.4,2019-11-29
2017-11-28,116.56623296672,6189.51,2019-11-29
2017-11-29,116.550171780594,6190.62,2019-11-29
2017-11-30,119.00879562956,6172.66,2019-11-29
2017-12-01,117.190379379629,6095.65,2019-11-29
2017-12-04,118.995361197784,6189.05,2019-11-29
2017-12-05,119.185565303757,6184.3,2019-11-29
2017-12-06,118.716236937086,6160.75,2019-11-29
2017-12-07,119.592725560591,6182.7,2019-11-29
2017-12-08,118.875360272925,6234.14,2019-11-29
2017-12-11,118.15100734325,6219.9,2019-11-29
2017-12-12,118.33902722502,6248.28,2019-11-29
2017-12-13,118.249435358946,6220.84,2019-11-29
2017-12-14,117.299289844661,6193.56,2019-11-29
2017-12-15,116.944013538288,6210.38,2019-11-29
2017-12-18,119.106524351452,6309.31,2019-11-29
2017-12-19,119.089897483249,6263.57,2019-11-29
2017-12-20,117.503234306197,6194.08,2019-11-29
2017-12-21,117.102997922232,6213.31,2019-11-29
2017-12-22,116.685242713842,6195.8,2019-11-29
2017-12-27,117.242936778672,6194.48,2019-11-29
2017-12-28,116.568153322587,6151.79,2019-11-29
2017-12-29,117.441009584818,6122.26,2019-11-29
2018-01-02,115.988859282123,6100.35,2019-11-29
2018-01-03,116.132132132132,6150.97,2019-11-29
2018-01-04,118.328486442785,6240.87,2019-11-29
2018-01-05,119.414474554662,6312.79,2019-11-29
2018-01-08,120.009093410867,6335.6,2019-11-29
2018-01-09,119.409932328404,6344.05,2019-11-29
2018-01-10,117.08494093195,6294.64,2019-11-29
2018-01-11,117.518256956893,6257.46,2019-11-29
2018-01-12,117.585416971292,6277.43,2019-11-29
2018-01-15,118.61351904756,6256.33,2019-11-29
2018-01-16,118.519608203695,6278.04,2019-11-29
2018-01-17,118.379530916845,6248.48,2019-11-29
2018-01-18,118.797342111382,6294.68,2019-11-29
2018-01-19,119.193968203537,6367.2,2019-11-29
2018-01-22,119.486060368291,6380.63,2019-11-29
2018-01-23,120.264138414432,6426.09,2019-11-29
2018-01-24,119.79257127261,6357.43,2019-11-29
2018-01-25,117.801631175785,6302.28,2019-11-29
2018-01-26,118.37758624972,6322.08,2019-11-29
2018-01-29,118.065099233617,6314.65,2019-11-29
2018-01-30,118.643437286875,6254.57,2019-11-29
2018-01-31,118.611438862324,6250.68,2019-11-29
2018-02-01,118.850767364194,6145.24,2019-11-29
2018-02-02,118.095617827728,6041.84,2019-11-29
2018-02-05,115.211476626268,5995.77,2019-11-29
2018-02-06,113.017004529591,5856.34,2019-11-29
2018-02-07,113.913651245202,5949.95,2019-11-29
2018-02-08,111.062131119438,5793.91,2019-11-29
2018-02-09,110.90450908913,5721.86,2019-11-29
2018-02-12,112.954768928221,5804.71,2019-11-29
2018-02-13,112.433927777504,5763.91,2019-11-29
2018-02-14,113.99905394976,5831.33,2019-11-29
2018-02-15,114.0706282513,5834.53,2019-11-29
2018-02-16,114.712412706682,5884.51,2019-11-29
2018-02-19,114.069478908189,5853.11,2019-11-29
2018-02-20,113.391887891049,5901.38,2019-11-29
2018-02-21,111.71702284451,5893.3,2019-11-29
2018-02-22,111.231660707681,5889.32,2019-11-29
2018-02-23,112.948234108203,5897.98,2019-11-29
2018-02-26,114.317384075374,5918.47,2019-11-29
2018-02-27,110.49548061987,5901.47,2019-11-29
2018-02-28,109.883678396371,5875.6,2019-11-29
2018-03-01,105.593719332679,5759.86,2019-11-29
2018-03-02,106.763231472244,5629.06,2019-11-29
2018-03-05,108.227457752559,5712.82,2019-11-29
2018-03-06,108.567318186328,5723.68,2019-11-29
2018-03-07,108.50596398029,5785.91,2019-11-29
2018-03-08,109.681787406906,5837.93,2019-11-29
2018-03-09,110.473987301275,5833.68,2019-11-29
2018-03-12,110.420520409422,5867.5,2019-11-29
2018-03-13,108.948548632878,5774.26,2019-11-29
2018-03-14,108.194329380634,5782.15,2019-11-29
2018-03-15,107.611290203509,5833.09,2019-11-29
2018-03-16,107.240714118963,5853.81,2019-11-29
2018-03-19,108.185439611262,5772.28,2019-11-29
2018-03-20,106.463971407239,5814.95,2019-11-29
2018-03-21,107.223921839534,5815.81,2019-11-29
2018-03-22,107.329553142028,5717.03,2019-11-29
2018-03-23,107.330327919471,5616.03,2019-11-29
2018-03-26,107.623206798303,5569.23,2019-11-29
2018-03-27,108.35947866417,5655.96,2019-11-29
2018-03-28,111.328533628699,5641.73,2019-11-29
2018-03-29,113.194085664379,5715.45,2019-11-29
2018-04-03,110.985694304714,5670.9,2019-11-29
2018-04-04,112.580261009416,5649.85,2019-11-29
2018-04-05,114.547256862433,5813.94,2019-11-29
2018-04-06,114.188168543603,5764.74,2019-11-29
2018-04-09,114.813674160764,5774.53,2019-11-29
2018-04-10,114.596330841929,5836.53,2019-11-29
2018-04-11,114.080100898941,5787.86,2019-11-29
2018-04-12,114.104713074344,5844.98,2019-11-29
2018-04-13,114.856367895451,5857.88,2019-11-29
2018-04-16,114.670495618161,5831.67,2019-11-29
2018-04-17,115.411734144803,5923.12,2019-11-29
2018-04-18,115.133369624387,5925.79,2019-11-29
2018-04-19,114.10796064732,5914.74,2019-11-29
2018-04-20,113.498703819739,5902.09,2019-11-29
2018-04-23,112.158203125,5917.11,2019-11-29
2018-04-24,113.07878580339,5907.01,2019-11-29
2018-04-25,112.275667525899,5840.15,2019-11-29
2018-04-26,112.418015924877,5869.19,2019-11-29
2018-04-27,114.318286559779,5905.28,2019-11-29
2018-04-30,113.427211903094,5916.24,2019-11-29
2018-05-02,112.019311201931,6005.52,2019-11-29
2018-05-03,112.797276563099,5952.66,2019-11-29
2018-05-04,112.787888934063,6002.25,2019-11-29
2018-05-07,112.619646454413,6045.14,2019-11-29
2018-05-08,115.156044268887,6028.75,2019-11-29
2018-05-09,115.348153765938,6041.09,2019-11-29
2018-05-10,116.175454480474,6045.92,2019-11-29
2018-05-11,115.956913229358,6035.78,2019-11-29
2018-05-14,115.93546155956,6024.97,2019-11-29
2018-05-15,115.055456256436,6020.94,2019-11-29
2018-05-16,115.070369320866,6033.34,2019-11-29
2018-05-17,115.760177366857,6085.5,2019-11-29
2018-05-18,115.535878294045,6038.64,2019-11-29
2018-05-22,116.178271930651,6079.31,2019-11-29
2018-05-23,115.229417887929,5990.44,2019-11-29
