Date,Stock,Market,joined date
2020-01-02,47.52,3257.85,2021-10-03
2020-01-03,46.53,3234.85,2021-10-03
2020-01-06,45.83,3246.28,2021-10-03
2020-01-07,45.02,3237.18,2021-10-03
2020-01-08,44.77,3253.05,2021-10-03
2020-01-09,44.64,3274.7,2021-10-03
2020-01-10,44.76,3265.35,2021-10-03
2020-01-13,45.52,3288.13,2021-10-03
2020-01-14,46.09,3283.15,2021-10-03
2020-01-15,47.33,3289.29,2021-10-03
2020-01-16,47.66,3316.81,2021-10-03
2020-01-17,48.75,3329.62,2021-10-03
2020-01-21,48.19,3320.79,2021-10-03
2020-01-22,48.28,3321.75,2021-10-03
2020-01-23,47.26,3325.54,2021-10-03
2020-01-24,46.04,3295.47,2021-10-03
2020-01-27,46.1,3243.63,2021-10-03
2020-01-28,45.87,3276.24,2021-10-03
2020-01-29,46.01,3273.4,2021-10-03
2020-01-30,46.13,3283.66,2021-10-03
2020-01-31,42.52,3225.52,2021-10-03
2020-02-03,42.96,3248.92,2021-10-03
2020-02-04,42.6,3297.59,2021-10-03
2020-02-05,44.29,3334.69,2021-10-03
2020-02-06,43.2,3345.78,2021-10-03
2020-02-07,41.95,3327.71,2021-10-03
2020-02-10,41.66,3352.09,2021-10-03
2020-02-11,42.75,3357.75,2021-10-03
2020-02-12,42.69,3379.45,2021-10-03
2020-02-13,42.28,3373.94,2021-10-03
2020-02-14,41.94,3380.16,2021-10-03
2020-02-18,42.28,3370.29,2021-10-03
2020-02-19,42.84,3386.15,2021-10-03
2020-02-20,42.93,3373.23,2021-10-03
2020-02-21,44.24,3337.75,2021-10-03
2020-02-24,44.09,3225.89,2021-10-03
2020-02-25,41.43,3128.21,2021-10-03
2020-02-26,38.89,3116.39,2021-10-03
2020-02-27,37.58,2978.76,2021-10-03
2020-02-28,37.96,2954.22,2021-10-03
2020-03-02,38.34,3090.23,2021-10-03
2020-03-03,36.52,3003.37,2021-10-03
2020-03-04,36.99,3130.12,2021-10-03
2020-03-05,35.26,3023.94,2021-10-03
2020-03-06,34.95,2972.37,2021-10-03
2020-03-09,31.83,2746.56,2021-10-03
2020-03-10,33.05,2882.23,2021-10-03
2020-03-11,30.72,2741.38,2021-10-03
2020-03-12,28.11,2480.64,2021-10-03
2020-03-13,30.22,2711.02,2021-10-03
2020-03-16,26.99,2386.13,2021-10-03
2020-03-17,27.33,2529.19,2021-10-03
2020-03-18,28.15,2398.1,2021-10-03
2020-03-19,28.51,2409.39,2021-10-03
2020-03-20,30.06,2304.92,2021-10-03
2020-03-23,28.5,2237.4,2021-10-03
2020-03-24,30.15,2447.33,2021-10-03
2020-03-25,33.06,2475.56,2021-10-03
2020-03-26,35.78,2630.07,2021-10-03
2020-03-27,34.35,2541.47,2021-10-03
2020-03-30,33.55,2626.65,2021-10-03
2020-03-31,33.71,2584.59,2021-10-03
2020-04-01,33.08,2470.5,2021-10-03
2020-04-02,33.79,2526.9,2021-10-03
2020-04-03,32.25,2488.65,2021-10-03
2020-04-06,34.98,2663.68,2021-10-03
2020-04-07,34.7,2659.41,2021-10-03
2020-04-08,35.97,2749.98,2021-10-03
2020-04-09,37.5,2789.82,2021-10-03
2020-04-13,36.49,2761.63,2021-10-03
2020-04-14,36.68,2846.06,2021-10-03
2020-04-15,35.03,2783.36,2021-10-03
2020-04-16,35.61,2799.55,2021-10-03
2020-04-17,36.94,2874.56,2021-10-03
2020-04-20,36.47,2823.16,2021-10-03
2020-04-21,35.96,2736.56,2021-10-03
2020-04-22,36.36,2799.31,2021-10-03
2020-04-23,36.23,2797.8,2021-10-03
2020-04-24,36.67,2836.74,2021-10-03
2020-04-27,38.19,2878.48,2021-10-03
2020-04-28,40.06,2863.39,2021-10-03
2020-04-29,40.69,2939.51,2021-10-03
2020-04-30,39.79,2912.43,2021-10-03
2020-05-01,41.02,2830.71,2021-10-03
2020-05-04,41.74,2842.74,2021-10-03
2020-05-05,41.96,2868.44,2021-10-03
2020-05-06,41.5,2848.42,2021-10-03
2020-05-07,42.41,2881.19,2021-10-03
2020-05-08,43.86,2929.8,2021-10-03
2020-05-11,42.32,2930.32,2021-10-03
2020-05-12,40.93,2870.12,2021-10-03
2020-05-13,37.65,2820.0,2021-10-03
2020-05-14,39.86,2852.5,2021-10-03
2020-05-15,40.08,2863.7,2021-10-03
2020-05-18,42.11,2953.91,2021-10-03
2020-05-19,40.88,2922.94,2021-10-03
2020-05-20,40.99,2971.61,2021-10-03
2020-05-21,40.66,2948.51,2021-10-03
2020-05-22,40.72,2955.45,2021-10-03
2020-05-26,43.3,2991.77,2021-10-03
2020-05-27,45.53,3036.13,2021-10-03
2020-05-28,45.11,3029.73,2021-10-03
2020-05-29,44.91,3044.31,2021-10-03
2020-06-01,45.61,3055.73,2021-10-03
2020-06-02,44.89,3080.82,2021-10-03
2020-06-03,45.57,3122.87,2021-10-03
2020-06-04,46.03,3112.35,2021-10-03
2020-06-05,47.34,3193.93,2021-10-03
2020-06-08,49.09,3232.39,2021-10-03
2020-06-09,47.3,3207.18,2021-10-03
2020-06-10,44.86,3190.14,2021-10-03
2020-06-11,42.27,3002.1,2021-10-03
2020-06-12,43.19,3041.31,2021-10-03
2020-06-15,43.85,3066.59,2021-10-03
2020-06-16,44.66,3124.74,2021-10-03
2020-06-17,43.74,3113.49,2021-10-03
2020-06-18,43.74,3115.34,2021-10-03
2020-06-19,44.27,3097.74,2021-10-03
2020-06-22,43.23,3117.86,2021-10-03
2020-06-23,42.6,3131.29,2021-10-03
2020-06-24,42.0,3050.33,2021-10-03
2020-06-25,41.66,3083.76,2021-10-03
2020-06-26,40.87,3009.05,2021-10-03
2020-06-29,43.71,3053.24,2021-10-03
2020-06-30,44.32,3100.29,2021-10-03
2020-07-01,44.19,3115.86,2021-10-03
2020-07-02,45.03,3130.01,2021-10-03
2020-07-06,45.22,3179.72,2021-10-03
2020-07-07,44.72,3145.32,2021-10-03
2020-07-08,44.0,3169.94,2021-10-03
2020-07-09,43.16,3152.05,2021-10-03
2020-07-10,43.65,3185.04,2021-10-03
2020-07-13,44.14,3155.22,2021-10-03
2020-07-14,45.08,3197.52,2021-10-03
2020-07-15,46.14,3226.56,2021-10-03
2020-07-16,47.19,3215.57,2021-10-03
2020-07-17,47.38,3224.73,2021-10-03
2020-07-20,47.25,3251.84,2021-10-03
2020-07-21,47.29,3257.3,2021-10-03
2020-07-22,47.34,3276.02,2021-10-03
2020-07-23,48.01,3235.66,2021-10-03
2020-07-24,47.86,3215.63,2021-10-03
2020-07-27,48.46,3239.41,2021-10-03
2020-07-28,47.4,3218.44,2021-10-03
2020-07-29,47.98,3258.44,2021-10-03
2020-07-30,47.5,3246.22,2021-10-03
2020-07-31,49.99,3271.12,2021-10-03
2020-08-03,51.83,3294.61,2021-10-03
2020-08-04,52.22,3306.51,2021-10-03
2020-08-05,53.0,3327.77,2021-10-03
2020-08-06,52.84,3349.16,2021-10-03
2020-08-07,53.77,3351.28,2021-10-03
2020-08-10,53.81,3360.47,2021-10-03
2020-08-11,53.94,3333.69,2021-10-03
2020-08-12,54.31,3380.35,2021-10-03
2020-08-13,54.39,3373.43,2021-10-03
2020-08-14,54.35,3372.85,2021-10-03
2020-08-17,54.21,3381.99,2021-10-03
2020-08-18,54.18,3389.78,2021-10-03
2020-08-19,54.2,3374.85,2021-10-03
2020-08-20,54.11,3385.51,2021-10-03
2020-08-21,52.59,3397.16,2021-10-03
2020-08-24,52.31,3431.28,2021-10-03
2020-08-25,52.2,3443.62,2021-10-03
2020-08-26,51.55,3478.73,2021-10-03
2020-08-27,51.44,3484.55,2021-10-03
2020-08-28,52.48,3508.01,2021-10-03
2020-08-31,51.54,3500.31,2021-10-03
2020-09-01,53.11,3526.65,2021-10-03
2020-09-02,54.17,3580.84,2021-10-03
2020-09-03,52.62,3455.06,2021-10-03
2020-09-04,53.05,3426.96,2021-10-03
2020-09-08,51.3,3331.84,2021-10-03
2020-09-09,52.75,3398.96,2021-10-03
2020-09-10,52.33,3339.19,2021-10-03
2020-09-11,52.09,3340.97,2021-10-03
2020-09-14,52.55,3383.54,2021-10-03
2020-09-15,51.56,3401.2,2021-10-03
2020-09-16,51.16,3385.49,2021-10-03
2020-09-17,51.0,3357.01,2021-10-03
2020-09-18,49.24,3319.47,2021-10-03
2020-09-21,48.07,3281.06,2021-10-03
2020-09-22,48.08,3315.57,2021-10-03
2020-09-23,47.44,3236.92,2021-10-03
2020-09-24,47.75,3246.59,2021-10-03
2020-09-25,47.43,3298.46,2021-10-03
2020-09-28,48.32,3351.6,2021-10-03
2020-09-29,47.67,3335.47,2021-10-03
2020-09-30,48.32,3363.0,2021-10-03
2020-10-01,49.35,3380.8,2021-10-03
2020-10-02,49.97,3348.44,2021-10-03
2020-10-05,50.19,3408.63,2021-10-03
2020-10-06,50.13,3360.95,2021-10-03
2020-10-07,49.68,3419.45,2021-10-03
2020-10-08,50.08,3446.83,2021-10-03
2020-10-09,49.39,3477.13,2021-10-03
2020-10-12,48.96,3534.22,2021-10-03
2020-10-13,49.89,3511.93,2021-10-03
2020-10-14,50.15,3488.67,2021-10-03
2020-10-15,50.38,3483.34,2021-10-03
2020-10-16,50.39,3483.81,2021-10-03
2020-10-19,49.56,3426.92,2021-10-03
2020-10-20,49.91,3443.12,2021-10-03
2020-10-21,49.64,3435.56,2021-10-03
2020-10-22,49.96,3453.49,2021-10-03
2020-10-23,50.44,3465.39,2021-10-03
2020-10-26,48.28,3400.97,2021-10-03
2020-10-27,47.17,3390.68,2021-10-03
2020-10-28,46.31,3271.03,2021-10-03
2020-10-29,46.79,3310.11,2021-10-03
2020-10-30,46.63,3269.96,2021-10-03
2020-11-02,47.33,3310.24,2021-10-03
2020-11-03,48.83,3369.02,2021-10-03
2020-11-04,47.84,3443.44,2021-10-03
2020-11-05,50.04,3510.45,2021-10-03
2020-11-06,50.29,3509.44,2021-10-03
2020-11-09,50.79,3550.5,2021-10-03
2020-11-10,52.48,3545.53,2021-10-03
2020-11-11,52.67,3572.66,2021-10-03
2020-11-12,52.65,3537.01,2021-10-03
2020-11-13,53.54,3585.15,2021-10-03
2020-11-16,54.12,3626.91,2021-10-03
2020-11-17,54.69,3609.53,2021-10-03
2020-11-18,53.48,3567.79,2021-10-03
2020-11-19,55.15,3581.87,2021-10-03
2020-11-20,54.0,3557.54,2021-10-03
2020-11-23,54.22,3577.59,2021-10-03
2020-11-24,54.43,3635.41,2021-10-03
2020-11-25,53.94,3629.65,2021-10-03
2020-11-27,53.62,3638.35,2021-10-03
2020-11-30,53.0,3621.63,2021-10-03
2020-12-01,55.07,3662.45,2021-10-03
2020-12-02,54.26,3669.01,2021-10-03
2020-12-03,53.59,3666.72,2021-10-03
2020-12-04,54.83,3699.12,2021-10-03
2020-12-07,54.2,3691.96,2021-10-03
2020-12-08,53.49,3702.25,2021-10-03
2020-12-09,53.97,3672.82,2021-10-03
2020-12-10,53.18,3668.1,2021-10-03
2020-12-11,53.15,3663.46,2021-10-03
2020-12-14,52.9,3647.49,2021-10-03
2020-12-15,54.24,3694.62,2021-10-03
2020-12-16,54.24,3701.17,2021-10-03
2020-12-17,54.29,3722.48,2021-10-03
2020-12-18,54.07,3709.41,2021-10-03
2020-12-21,53.83,3694.92,2021-10-03
2020-12-22,53.45,3687.26,2021-10-03
2020-12-23,54.84,3690.01,2021-10-03
2020-12-24,55.66,3703.06,2021-10-03
2020-12-28,55.13,3735.36,2021-10-03
2020-12-29,54.96,3727.04,2021-10-03
2020-12-30,56.15,3732.04,2021-10-03
2020-12-31,56.19,3756.07,2021-10-03
2021-01-04,55.87,3700.65,2021-10-03
