Date,Stock,Market,joined date
2020-01-02,66.146978,3257.85,2021-10-14
2020-01-03,66.423166,3234.85,2021-10-14
2020-01-06,66.56126,3246.28,2021-10-14
2020-01-07,66.058203,3237.18,2021-10-14
2020-01-08,66.225889,3253.05,2021-10-14
2020-01-09,66.462621,3274.7,2021-10-14
2020-01-10,66.363983,3265.35,2021-10-14
2020-01-13,67.153091,3288.13,2021-10-14
2020-01-14,67.952063,3283.15,2021-10-14
2020-01-15,68.751035,3289.29,2021-10-14
2020-01-16,69.845922,3316.81,2021-10-14
2020-01-17,69.776875,3329.62,2021-10-14
2020-01-21,70.062927,3320.79,2021-10-14
2020-01-22,70.792851,3321.75,2021-10-14
2020-01-23,70.921082,3325.54,2021-10-14
2020-01-24,70.812579,3295.47,2021-10-14
2020-01-27,69.520415,3243.63,2021-10-14
2020-01-28,69.510551,3276.24,2021-10-14
2020-01-29,68.435391,3273.4,2021-10-14
2020-01-30,67.883016,3283.66,2021-10-14
2020-01-31,66.719081,3225.52,2021-10-14
2020-02-03,67.804105,3248.92,2021-10-14
2020-02-04,68.859537,3297.59,2021-10-14
2020-02-05,68.10002,3334.69,2021-10-14
2020-02-06,68.317025,3345.78,2021-10-14
2020-02-07,67.863288,3327.71,2021-10-14
2020-02-10,68.356481,3352.09,2021-10-14
2020-02-11,69.392185,3357.75,2021-10-14
2020-02-12,69.727556,3379.45,2021-10-14
2020-02-13,70.240476,3373.94,2021-10-14
2020-02-14,70.427889,3380.16,2021-10-14
2020-02-18,69.836058,3370.29,2021-10-14
2020-02-19,70.418025,3386.15,2021-10-14
2020-02-20,70.575847,3373.23,2021-10-14
2020-02-21,69.185044,3337.75,2021-10-14
2020-02-24,66.738809,3225.89,2021-10-14
2020-02-25,65.328279,3128.21,2021-10-14
2020-02-26,63.552786,3116.39,2021-10-14
2020-02-27,61.649063,2978.76,2021-10-14
2020-02-28,60.573903,2954.22,2021-10-14
2020-03-02,63.444283,3090.23,2021-10-14
2020-03-03,62.941227,3003.37,2021-10-14
2020-03-04,63.681016,3130.12,2021-10-14
2020-03-05,60.978321,3023.94,2021-10-14
2020-03-06,61.402466,2972.37,2021-10-14
2020-03-09,57.752842,2746.56,2021-10-14
2020-03-10,57.121555,2882.23,2021-10-14
2020-03-11,54.971236,2741.38,2021-10-14
2020-03-12,49.289658,2480.64,2021-10-14
2020-03-13,52.426363,2711.02,2021-10-14
2020-03-16,49.83217,2386.13,2021-10-14
2020-03-17,57.170875,2529.19,2021-10-14
2020-03-18,53.846757,2398.1,2021-10-14
2020-03-19,55.740616,2409.39,2021-10-14
2020-03-20,48.184907,2304.92,2021-10-14
2020-03-23,45.847175,2237.4,2021-10-14
2020-03-24,48.303273,2447.33,2021-10-14
2020-03-25,51.380795,2475.56,2021-10-14
2020-03-26,54.527363,2630.07,2021-10-14
2020-03-27,53.757983,2541.47,2021-10-14
2020-03-30,55.858983,2626.65,2021-10-14
2020-03-31,54.754231,2584.59,2021-10-14
2020-04-01,52.742006,2470.5,2021-10-14
2020-04-02,53.896076,2526.9,2021-10-14
2020-04-03,54.685184,2488.65,2021-10-14
2020-04-06,56.608635,2663.68,2021-10-14
2020-04-07,57.85148,2659.41,2021-10-14
2020-04-08,60.38649,2749.98,2021-10-14
2020-04-09,62.033753,2789.82,2021-10-14
2020-04-13,58.699771,2761.63,2021-10-14
2020-04-14,61.97457,2846.06,2021-10-14
2020-04-15,59.972208,2783.36,2021-10-14
2020-04-16,61.658926,2799.55,2021-10-14
2020-04-17,63.099048,2874.56,2021-10-14
2020-04-20,60.623222,2823.16,2021-10-14
2020-04-21,59.469152,2736.56,2021-10-14
2020-04-22,59.094325,2799.31,2021-10-14
2020-04-23,59.636837,2797.8,2021-10-14
2020-04-24,60.297715,2836.74,2021-10-14
2020-04-27,59.942616,2878.48,2021-10-14
2020-04-28,63.473875,2863.39,2021-10-14
2020-04-29,62.398715,2939.51,2021-10-14
2020-04-30,61.353147,2912.43,2021-10-14
2020-05-01,60.189213,2830.71,2021-10-14
2020-05-04,61.185462,2842.74,2021-10-14
2020-05-05,62.378987,2868.44,2021-10-14
2020-05-06,63.710607,2848.42,2021-10-14
2020-05-07,63.76979,2881.19,2021-10-14
2020-05-08,65.071818,2929.8,2021-10-14
2020-05-11,65.880654,2930.32,2021-10-14
2020-05-12,65.821471,2870.12,2021-10-14
2020-05-13,65.002772,2820.0,2021-10-14
2020-05-14,64.667401,2852.5,2021-10-14
2020-05-15,65.417053,2863.7,2021-10-14
2020-05-18,66.748673,2953.91,2021-10-14
2020-05-19,66.196297,2922.94,2021-10-14
2020-05-20,67.754786,2971.61,2021-10-14
2020-05-21,64.756175,2948.51,2021-10-14
2020-05-22,63.89802,2955.45,2021-10-14
2020-05-26,62.674903,2991.77,2021-10-14
2020-05-27,64.923861,3036.13,2021-10-14
2020-05-28,65.091546,3029.73,2021-10-14
2020-05-29,65.032363,3044.31,2021-10-14
2020-06-01,64.627945,3055.73,2021-10-14
2020-06-02,64.46026,3080.82,2021-10-14
2020-06-03,64.894269,3122.87,2021-10-14
2020-06-04,64.509579,3112.35,2021-10-14
2020-06-05,66.502077,3193.93,2021-10-14
2020-06-08,66.985405,3232.39,2021-10-14
2020-06-09,68.198659,3207.18,2021-10-14
2020-06-10,67.45887,3190.14,2021-10-14
2020-06-11,64.706856,3002.1,2021-10-14
2020-06-12,64.361621,3041.31,2021-10-14
2020-06-15,64.923861,3066.59,2021-10-14
2020-06-16,65.200049,3124.74,2021-10-14
2020-06-17,66.196297,3113.49,2021-10-14
2020-06-18,65.851063,3115.34,2021-10-14
2020-06-19,64.430668,3097.74,2021-10-14
2020-06-22,64.815358,3117.86,2021-10-14
2020-06-23,64.262983,3131.29,2021-10-14
2020-06-24,62.941227,3050.33,2021-10-14
2020-06-25,62.477626,3083.76,2021-10-14
2020-06-26,60.169485,3009.05,2021-10-14
2020-06-29,62.378987,3053.24,2021-10-14
2020-06-30,62.793269,3100.29,2021-10-14
2020-07-01,63.64156,3115.86,2021-10-14
2020-07-02,63.552786,3130.01,2021-10-14
2020-07-06,63.838837,3179.72,2021-10-14
2020-07-07,63.296325,3145.32,2021-10-14
2020-07-08,63.168095,3169.94,2021-10-14
2020-07-09,62.388851,3152.05,2021-10-14
2020-07-10,63.917748,3185.04,2021-10-14
2020-07-13,63.799382,3155.22,2021-10-14
2020-07-14,65.318415,3197.52,2021-10-14
2020-07-15,65.35787,3226.56,2021-10-14
2020-07-16,65.811607,3215.57,2021-10-14
2020-07-17,66.531668,3224.73,2021-10-14
2020-07-20,65.318415,3251.84,2021-10-14
2020-07-21,66.196297,3257.3,2021-10-14
2020-07-22,66.620443,3276.02,2021-10-14
2020-07-23,67.527917,3235.66,2021-10-14
2020-07-24,67.07418,3215.63,2021-10-14
2020-07-27,67.961927,3239.41,2021-10-14
2020-07-28,67.379959,3218.44,2021-10-14
2020-07-29,68.267706,3258.44,2021-10-14
2020-07-30,68.267706,3246.22,2021-10-14
2020-07-31,68.395936,3271.12,2021-10-14
2020-08-03,68.119748,3294.61,2021-10-14
2020-08-04,67.449006,3306.51,2021-10-14
2020-08-05,66.610579,3327.77,2021-10-14
2020-08-06,66.709218,3349.16,2021-10-14
2020-08-07,67.784377,3351.28,2021-10-14
2020-08-10,68.455119,3360.47,2021-10-14
2020-08-11,68.66226,3333.69,2021-10-14
2020-08-12,70.240476,3380.35,2021-10-14
2020-08-13,70.5068,3373.43,2021-10-14
2020-08-14,70.161565,3372.85,2021-10-14
2020-08-17,71.059175,3381.99,2021-10-14
2020-08-18,71.493185,3389.78,2021-10-14
2020-08-19,71.739781,3374.85,2021-10-14
2020-08-20,71.315636,3385.51,2021-10-14
2020-08-21,71.098631,3397.16,2021-10-14
2020-08-24,71.83842,3431.28,2021-10-14
2020-08-25,71.493185,3443.62,2021-10-14
2020-08-26,71.798964,3478.73,2021-10-14
2020-08-27,71.907467,3484.55,2021-10-14
2020-08-28,72.597936,3508.01,2021-10-14
2020-08-31,72.17379,3500.31,2021-10-14
2020-09-01,71.611551,3526.65,2021-10-14
2020-09-02,78.802298,3580.84,2021-10-14
2020-09-03,78.26965,3455.06,2021-10-14
2020-09-04,79.029166,3426.96,2021-10-14
2020-09-08,77.875096,3331.84,2021-10-14
2020-09-09,80.035279,3398.96,2021-10-14
2020-09-10,78.486654,3339.19,2021-10-14
2020-09-11,78.26965,3340.97,2021-10-14
2020-09-14,78.407744,3383.54,2021-10-14
2020-09-15,77.88496,3401.2,2021-10-14
2020-09-16,76.878847,3385.49,2021-10-14
2020-09-17,76.247561,3357.01,2021-10-14
2020-09-18,75.320359,3319.47,2021-10-14
2020-09-21,74.807438,3281.06,2021-10-14
2020-09-22,75.113218,3315.57,2021-10-14
2020-09-23,74.314246,3236.92,2021-10-14
2020-09-24,73.771734,3246.59,2021-10-14
2020-09-25,73.485683,3298.46,2021-10-14
2020-09-28,74.600298,3351.6,2021-10-14
2020-09-29,74.205744,3335.47,2021-10-14
2020-09-30,74.294518,3363.0,2021-10-14
2020-10-01,74.45234,3380.8,2021-10-14
2020-10-02,74.600298,3348.44,2021-10-14
2020-10-05,75.359814,3408.63,2021-10-14
2020-10-06,75.123082,3360.95,2021-10-14
2020-10-07,76.099603,3419.45,2021-10-14
