Date,Stock,Market,joined date
2018-01-02,334.17,2695.81,2020-08-09
2018-01-03,339.85,2713.06,2020-08-09
2018-01-04,339.99,2723.99,2020-08-09
2018-01-05,342.49,2743.15,2020-08-09
2018-01-08,329.65,2747.71,2020-08-09
2018-01-09,336.36,2751.29,2020-08-09
2018-01-10,336.72,2748.23,2020-08-09
2018-01-11,333.07,2767.56,2020-08-09
2018-01-12,335.95,2786.24,2020-08-09
2018-01-16,338.85,2776.42,2020-08-09
2018-01-17,344.87,2802.56,2020-08-09
2018-01-18,344.44,2798.03,2020-08-09
2018-01-19,342.41,2810.3,2020-08-09
2018-01-22,347.64,2832.97,2020-08-09
2018-01-23,346.75,2839.13,2020-08-09
2018-01-24,346.5,2837.54,2020-08-09
2018-01-25,353.74,2839.25,2020-08-09
2018-01-26,367.91,2872.87,2020-08-09
2018-01-29,358.48,2853.53,2020-08-09
2018-01-30,352.59,2822.43,2020-08-09
2018-01-31,347.81,2823.81,2020-08-09
2018-02-01,346.0,2821.98,2020-08-09
2018-02-02,343.83,2762.13,2020-08-09
2018-02-05,328.31,2648.94,2020-08-09
2018-02-06,332.86,2695.14,2020-08-09
2018-02-07,326.89,2681.66,2020-08-09
2018-02-08,311.79,2581.0,2020-08-09
2018-02-09,316.78,2619.55,2020-08-09
2018-02-12,316.63,2656.0,2020-08-09
2018-02-13,316.99,2662.94,2020-08-09
2018-02-14,296.08,2698.63,2020-08-09
2018-02-15,299.38,2731.2,2020-08-09
2018-02-16,291.87,2732.22,2020-08-09
2018-02-20,287.45,2716.26,2020-08-09
2018-02-21,286.1,2701.33,2020-08-09
2018-02-22,284.81,2703.96,2020-08-09
2018-02-23,292.78,2747.3,2020-08-09
2018-02-26,290.01,2779.6,2020-08-09
2018-02-27,290.1,2744.28,2020-08-09
2018-02-28,288.99,2713.83,2020-08-09
2018-03-01,282.35,2677.67,2020-08-09
2018-03-02,286.96,2691.25,2020-08-09
2018-03-05,286.95,2720.94,2020-08-09
2018-03-06,285.98,2728.12,2020-08-09
2018-03-07,284.54,2726.8,2020-08-09
2018-03-08,284.69,2738.97,2020-08-09
2018-03-09,286.1,2786.57,2020-08-09
2018-03-12,279.9,2783.02,2020-08-09
2018-03-13,283.24,2765.31,2020-08-09
2018-03-14,285.72,2749.48,2020-08-09
2018-03-15,286.7,2747.33,2020-08-09
2018-03-16,287.62,2752.01,2020-08-09
2018-03-19,278.37,2712.92,2020-08-09
2018-03-20,279.68,2716.94,2020-08-09
2018-03-21,277.29,2711.93,2020-08-09
2018-03-22,271.89,2643.69,2020-08-09
2018-03-23,260.13,2588.26,2020-08-09
2018-03-26,268.2,2658.55,2020-08-09
2018-03-27,265.16,2612.62,2020-08-09
2018-03-28,271.82,2605.0,2020-08-09
2018-03-29,273.82,2640.87,2020-08-09
2018-04-02,266.89,2581.88,2020-08-09
2018-04-03,266.48,2614.45,2020-08-09
2018-04-04,272.4,2644.69,2020-08-09
2018-04-05,264.98,2662.84,2020-08-09
2018-04-06,257.65,2604.47,2020-08-09
2018-04-09,257.52,2613.16,2020-08-09
2018-04-10,265.09,2656.87,2020-08-09
2018-04-11,265.99,2642.19,2020-08-09
2018-04-12,267.44,2663.99,2020-08-09
2018-04-13,265.39,2656.3,2020-08-09
2018-04-16,263.11,2677.84,2020-08-09
2018-04-17,264.75,2706.39,2020-08-09
2018-04-18,268.03,2708.64,2020-08-09
2018-04-19,266.02,2693.13,2020-08-09
2018-04-20,263.02,2670.14,2020-08-09
2018-04-23,259.3,2670.29,2020-08-09
2018-04-24,262.15,2634.56,2020-08-09
2018-04-25,269.45,2639.4,2020-08-09
2018-04-26,273.86,2666.94,2020-08-09
2018-04-27,276.8,2669.91,2020-08-09
2018-04-30,273.6,2648.05,2020-08-09
2018-05-01,274.61,2654.8,2020-08-09
2018-05-02,274.13,2635.67,2020-08-09
2018-05-03,266.44,2629.73,2020-08-09
2018-05-04,270.34,2663.42,2020-08-09
2018-05-07,269.7,2672.63,2020-08-09
2018-05-08,269.73,2671.92,2020-08-09
2018-05-09,274.03,2697.79,2020-08-09
2018-05-10,274.0,2723.07,2020-08-09
2018-05-11,282.39,2727.72,2020-08-09
2018-05-14,282.34,2730.13,2020-08-09
2018-05-15,276.06,2711.45,2020-08-09
2018-05-16,281.51,2722.46,2020-08-09
2018-05-17,280.57,2720.13,2020-08-09
2018-05-18,280.4,2712.97,2020-08-09
2018-05-21,277.67,2733.01,2020-08-09
2018-05-22,279.69,2724.44,2020-08-09
2018-05-23,283.75,2733.29,2020-08-09
2018-05-24,284.41,2727.76,2020-08-09
2018-05-25,286.21,2721.33,2020-08-09
2018-05-29,287.09,2689.86,2020-08-09
2018-05-30,294.4,2724.01,2020-08-09
2018-05-31,293.96,2705.27,2020-08-09
2018-06-01,297.09,2734.62,2020-08-09
2018-06-04,298.91,2746.87,2020-08-09
2018-06-05,298.64,2748.8,2020-08-09
2018-06-06,303.75,2772.35,2020-08-09
2018-06-07,305.37,2770.37,2020-08-09
2018-06-08,303.29,2779.03,2020-08-09
2018-06-11,306.68,2782.0,2020-08-09
2018-06-12,306.19,2786.85,2020-08-09
2018-06-13,306.91,2775.63,2020-08-09
2018-06-14,305.68,2782.49,2020-08-09
2018-06-15,305.03,2779.66,2020-08-09
2018-06-18,289.12,2773.75,2020-08-09
2018-06-19,292.04,2762.59,2020-08-09
2018-06-20,296.86,2767.32,2020-08-09
2018-06-21,297.34,2749.76,2020-08-09
2018-06-22,296.04,2754.88,2020-08-09
2018-06-25,292.19,2717.07,2020-08-09
2018-06-26,291.92,2723.06,2020-08-09
2018-06-27,287.93,2699.63,2020-08-09
2018-06-28,288.75,2716.31,2020-08-09
2018-06-29,290.24,2718.37,2020-08-09
2018-07-02,295.77,2726.71,2020-08-09
2018-07-03,293.51,2713.22,2020-08-09
2018-07-05,298.81,2736.61,2020-08-09
2018-07-06,357.48,2759.82,2020-08-09
2018-07-09,354.0,2784.17,2020-08-09
2018-07-10,344.82,2793.84,2020-08-09
2018-07-11,344.1,2774.02,2020-08-09
2018-07-12,347.66,2798.29,2020-08-09
2018-07-13,348.48,2801.31,2020-08-09
2018-07-16,353.03,2798.43,2020-08-09
2018-07-17,354.98,2809.55,2020-08-09
2018-07-18,358.51,2815.62,2020-08-09
2018-07-19,358.11,2804.49,2020-08-09
2018-07-20,358.71,2801.83,2020-08-09
2018-07-23,358.13,2806.98,2020-08-09
2018-07-24,372.84,2820.4,2020-08-09
2018-07-25,383.83,2846.07,2020-08-09
2018-07-26,344.74,2837.44,2020-08-09
2018-07-27,340.4,2818.82,2020-08-09
2018-07-30,331.46,2802.6,2020-08-09
2018-07-31,334.37,2816.29,2020-08-09
2018-08-01,344.06,2813.36,2020-08-09
2018-08-02,347.93,2827.22,2020-08-09
2018-08-03,344.21,2840.35,2020-08-09
2018-08-06,341.17,2850.4,2020-08-09
2018-08-07,350.1,2858.45,2020-08-09
2018-08-08,350.09,2857.7,2020-08-09
2018-08-09,346.9,2853.58,2020-08-09
2018-08-10,343.0,2833.28,2020-08-09
2018-08-13,340.79,2821.93,2020-08-09
2018-08-14,343.63,2839.96,2020-08-09
2018-08-15,340.72,2818.37,2020-08-09
2018-08-16,342.93,2840.69,2020-08-09
2018-08-17,345.22,2850.13,2020-08-09
2018-08-20,344.11,2857.05,2020-08-09
2018-08-21,343.28,2862.96,2020-08-09
2018-08-22,344.98,2861.82,2020-08-09
2018-08-23,341.89,2856.98,2020-08-09
2018-08-24,342.33,2874.69,2020-08-09
2018-08-27,342.7,2896.74,2020-08-09
2018-08-28,345.53,2897.52,2020-08-09
2018-08-29,349.99,2914.04,2020-08-09
2018-08-30,352.74,2901.13,2020-08-09
2018-08-31,353.49,2901.52,2020-08-09
2018-09-04,346.72,2896.72,2020-08-09
2018-09-05,346.6,2888.6,2020-08-09
2018-09-06,341.34,2878.05,2020-08-09
2018-09-07,339.65,2871.68,2020-08-09
2018-09-10,340.25,2877.13,2020-08-09
2018-09-11,337.7,2887.89,2020-08-09
2018-09-12,340.03,2888.92,2020-08-09
2018-09-13,340.58,2904.18,2020-08-09
2018-09-14,338.68,2904.98,2020-08-09
2018-09-17,334.4,2888.8,2020-08-09
2018-09-18,336.89,2904.31,2020-08-09
2018-09-19,338.91,2907.95,2020-08-09
2018-09-20,341.24,2930.75,2020-08-09
2018-09-21,345.41,2929.67,2020-08-09
2018-09-24,347.02,2919.37,2020-08-09
2018-09-25,341.65,2915.56,2020-08-09
2018-09-26,349.37,2905.97,2020-08-09
2018-09-27,355.6,2914.0,2020-08-09
