Date,Stock,Market,joined date
2020-01-02,65.1742046398538,7604.3,2021-01-03
2020-01-03,63.8931175770108,7622.4,2021-01-03
2020-01-06,63.8293083597784,7575.34,2021-01-03
2020-01-07,63.5109084800901,7573.85,2021-01-03
2020-01-08,63.4245293046788,7574.93,2021-01-03
2020-01-09,62.9956783250603,7598.12,2021-01-03
2020-01-10,62.809625300357,7587.85,2021-01-03
2020-01-13,62.8576025144803,7617.6,2021-01-03
2020-01-14,63.4393312549615,7622.35,2021-01-03
2020-01-15,62.9984003858621,7642.8,2021-01-03
2020-01-16,64.5495494534213,7609.81,2021-01-03
2020-01-17,65.3953739008288,7674.56,2021-01-03
2020-01-20,66.7251106673627,7651.44,2021-01-03
2020-01-21,67.4150493437377,7610.7,2021-01-03
2020-01-22,71.4368402974852,7571.92,2021-01-03
2020-01-23,70.1024882042672,7507.67,2021-01-03
2020-01-24,70.8282821669521,7585.98,2021-01-03
2020-01-27,69.6089104958797,7412.05,2021-01-03
2020-01-28,69.7562710124537,7480.69,2021-01-03
2020-01-29,68.1853190026704,7483.57,2021-01-03
2020-01-30,68.3113726283538,7381.96,2021-01-03
2020-01-31,68.7541623747753,7286.01,2021-01-03
2020-02-03,68.7439811602691,7326.31,2021-01-03
2020-02-04,69.3249542682949,7439.82,2021-01-03
2020-02-05,68.5998283868284,7482.48,2021-01-03
2020-02-06,67.1877836356372,7504.79,2021-01-03
2020-02-07,65.8621918426295,7466.7,2021-01-03
2020-02-10,66.5940661664996,7446.88,2021-01-03
2020-02-11,67.2811367498143,7499.44,2021-01-03
2020-02-12,68.7772547822714,7534.37,2021-01-03
2020-02-13,69.774592501761,7452.03,2021-01-03
2020-02-14,69.5716777383512,7409.13,2021-01-03
2020-02-17,69.3841015633118,7433.25,2021-01-03
2020-02-18,69.7569342951864,7382.01,2021-01-03
2020-02-19,70.6746436405902,7457.02,2021-01-03
2020-02-20,69.1953148391394,7436.64,2021-01-03
2020-02-21,70.7406373221624,7403.92,2021-01-03
2020-02-24,68.0084818439191,7156.83,2021-01-03
2020-02-25,66.518203695758,7017.88,2021-01-03
2020-02-26,65.1256158114105,7042.47,2021-01-03
2020-02-27,62.3410117501545,6796.4,2021-01-03
2020-02-28,60.7903141161218,6580.61,2021-01-03
2020-03-02,60.3440266986284,6654.89,2021-01-03
2020-03-03,61.4845136554606,6718.2,2021-01-03
2020-03-04,62.7489871814678,6815.59,2021-01-03
2020-03-05,61.9172170449254,6705.43,2021-01-03
2020-03-06,60.5380891240261,6462.55,2021-01-03
2020-03-09,57.3096969509936,5965.77,2021-01-03
2020-03-10,54.949619813378,5960.23,2021-01-03
2020-03-11,52.1132966552552,5876.52,2021-01-03
