Date,Stock,Market,joined date
2020-01-02,82.9032906641644,5970.73,2021-07-28
2020-01-03,81.8102697998259,5896.33,2021-07-28
2020-01-06,81.7644556871349,5855.23,2021-07-28
2020-01-07,82.762773478445,5899.76,2021-07-28
2020-01-08,82.6171918370971,5941.4,2021-07-28
2020-01-09,82.5763464741812,6019.41,2021-07-28
2020-01-10,82.9218930700119,6014.16,2021-07-28
2020-01-13,81.9723233470272,5999.99,2021-07-28
2020-01-14,81.5613490447417,6002.2,2021-07-28
2020-01-15,80.4847592927061,5991.41,2021-07-28
2020-01-16,79.2477201109042,5990.13,2021-07-28
2020-01-17,78.7909699738321,6033.27,2021-07-28
2020-01-20,79.4772517999974,6043.44,2021-07-28
2020-01-21,79.1369298284497,6046.53,2021-07-28
2020-01-22,78.6908155229974,6028.64,2021-07-28
2020-01-23,77.0216951625205,5971.84,2021-07-28
2020-01-24,76.5109844685239,6055.81,2021-07-28
2020-01-27,74.5783623605101,5889.92,2021-07-28
2020-01-28,73.635722472009,5942.97,2021-07-28
2020-01-29,73.2647107392523,5952.47,2021-07-28
2020-01-30,72.3125454986656,5868.67,2021-07-28
2020-01-31,71.3723141091773,5790.54,2021-07-28
2020-02-03,71.1916135881101,5818.74,2021-07-28
2020-02-04,71.7180305422743,5924.26,2021-07-28
2020-02-05,72.8220467591881,6011.95,2021-07-28
2020-02-06,72.8300850947021,6038.41,2021-07-28
2020-02-07,70.7899718766073,6011.25,2021-07-28
2020-02-10,69.6106559612512,6002.43,2021-07-28
2020-02-11,70.2974079126879,6061.94,2021-07-28
2020-02-12,72.9116841327126,6116.31,2021-07-28
2020-02-13,72.1834993658602,6114.74,2021-07-28
2020-02-14,71.3264598856352,6114.27,2021-07-28
2020-02-17,72.0569435115166,6131.79,2021-07-28
2020-02-18,70.3571813963528,6086.13,2021-07-28
2020-02-19,70.7124181594247,6134.21,2021-07-28
2020-02-20,70.4234464464785,6078.56,2021-07-28
2020-02-21,69.948495527243,6039.07,2021-07-28
2020-02-24,66.6746247924554,5797.14,2021-07-28
2020-02-25,66.3946910356835,5688.2,2021-07-28
2020-02-26,67.2106179286339,5681.34,2021-07-28
2020-02-27,65.8117590128234,5499.98,2021-07-28
2020-02-28,64.9702876420849,5287.76,2021-07-28
2020-03-02,64.565684451915,5273.53,2021-07-28
2020-03-03,64.5233360888314,5330.32,2021-07-28
2020-03-04,65.2118243055169,5393.8,2021-07-28
2020-03-05,65.2647905053051,5309.98,2021-07-28
2020-03-06,64.572918194847,5130.98,2021-07-28
2020-03-09,58.4026831808973,4723.32,2021-07-28
2020-03-10,56.7674261222651,4656.77,2021-07-28
2020-03-11,57.0672074812687,4640.31,2021-07-28
2020-03-12,49.2949083548608,4072.35,2021-07-28
2020-03-13,50.4386451971128,4103.92,2021-07-28
2020-03-16,44.8248487762336,3886.24,2021-07-28
2020-03-17,44.3744364540038,3973.66,2021-07-28
2020-03-18,42.7079468319618,3753.08,2021-07-28
2020-03-19,40.2586990218612,3828.28,2021-07-28
2020-03-20,44.241257619506,3969.36,2021-07-28
2020-03-23,42.6695255963547,3885.87,2021-07-28
2020-03-24,49.1456679323438,4312.38,2021-07-28
2020-03-25,50.8638697884933,4389.6,2021-07-28
2020-03-26,52.1625973223935,4445.92,2021-07-28
2020-03-27,50.7034879187229,4282.13,2021-07-28
2020-03-30,50.5130839160066,4363.68,2021-07-28
2020-03-31,51.9631631190031,4416.97,2021-07-28
2020-04-01,48.6549592212577,4243.12,2021-07-28
2020-04-02,48.7054225696141,4254.7,2021-07-28
2020-04-03,48.3658294064243,4234.68,2021-07-28
2020-04-06,52.4009927700443,4478.91,2021-07-28
2020-04-07,54.1345441874646,4604.07,2021-07-28
2020-04-08,53.3680725180481,4593.48,2021-07-28
2020-04-09,55.5312732199834,4696.55,2021-07-28
2020-04-14,56.3881295082506,4755.15,2021-07-28
2020-04-15,52.9972514288207,4569.86,2021-07-28
2020-04-16,53.4547582156824,4579.54,2021-07-28
2020-04-17,56.4570508776889,4723.68,2021-07-28
2020-04-20,55.7981404240527,4745.96,2021-07-28
2020-04-21,52.7167128046464,4556.57,2021-07-28
2020-04-22,53.0442405090688,4630.0,2021-07-28
2020-04-23,54.1708423582153,4673.9,2021-07-28
2020-04-24,52.6503716687765,4594.9,2021-07-28
2020-04-27,55.4394551341051,4738.89,2021-07-28
2020-04-28,56.9132076288147,4799.19,2021-07-28
2020-04-29,60.5299496580445,4921.7,2021-07-28
2020-04-30,59.2114632516461,4804.6,2021-07-28
2020-05-04,56.2420250182673,4629.93,2021-07-28
2020-05-05,57.9941041314432,4746.36,2021-07-28
2020-05-06,54.6392642804717,4691.87,2021-07-28
2020-05-07,53.4721996555422,4735.99,2021-07-28
2020-05-08,55.7392331790439,4800.55,2021-07-28
2020-05-11,55.5105304675768,4765.55,2021-07-28
2020-05-12,55.1626898047721,4763.74,2021-07-28
2020-05-13,52.7061521156011,4641.75,2021-07-28
2020-05-14,50.8654033146786,4551.65,2021-07-28
2020-05-15,50.4520678318047,4602.82,2021-07-28
2020-05-18,54.8329368630105,4863.89,2021-07-28
2020-05-19,54.6594297072088,4870.83,2021-07-28
2020-05-20,55.8177826564216,4933.81,2021-07-28
2020-05-21,54.821367961197,4857.76,2021-07-28
2020-05-22,54.5872709634521,4861.16,2021-07-28
2020-05-25,54.8107943151101,4999.89,2021-07-28
2020-05-26,56.9530606642876,5049.42,2021-07-28
2020-05-27,59.8455173627919,5116.1,2021-07-28
