Date,Stock,Market,joined date
2020-01-02,63.34,3257.85,2022-05-19
2020-01-03,62.78,3234.85,2022-05-19
2020-01-06,62.98,3246.28,2022-05-19
2020-01-07,63.93,3237.18,2022-05-19
2020-01-08,63.86,3253.05,2022-05-19
2020-01-09,65.45,3274.7,2022-05-19
2020-01-10,65.23,3265.35,2022-05-19
2020-01-13,66.15,3288.13,2022-05-19
2020-01-14,66.44,3283.15,2022-05-19
2020-01-15,66.58,3289.29,2022-05-19
2020-01-16,66.78,3316.81,2022-05-19
2020-01-17,66.72,3329.62,2022-05-19
2020-01-21,67.43,3320.79,2022-05-19
2020-01-22,67.43,3321.75,2022-05-19
2020-01-23,66.87,3325.54,2022-05-19
2020-01-24,64.16,3295.47,2022-05-19
2020-01-27,63.7,3243.63,2022-05-19
2020-01-28,64.81,3276.24,2022-05-19
2020-01-29,64.14,3273.4,2022-05-19
2020-01-30,63.81,3283.66,2022-05-19
2020-01-31,62.95,3225.52,2022-05-19
2020-02-03,63.58,3248.92,2022-05-19
2020-02-04,64.29,3297.59,2022-05-19
2020-02-05,65.59,3334.69,2022-05-19
2020-02-06,67.1,3345.78,2022-05-19
2020-02-07,66.25,3327.71,2022-05-19
2020-02-10,66.91,3352.09,2022-05-19
2020-02-11,66.99,3357.75,2022-05-19
2020-02-12,67.0,3379.45,2022-05-19
2020-02-13,66.08,3373.94,2022-05-19
2020-02-14,66.38,3380.16,2022-05-19
2020-02-18,66.07,3370.29,2022-05-19
2020-02-19,65.71,3386.15,2022-05-19
2020-02-20,65.17,3373.23,2022-05-19
2020-02-21,65.63,3337.75,2022-05-19
2020-02-24,63.97,3225.89,2022-05-19
2020-02-25,62.14,3128.21,2022-05-19
2020-02-26,62.04,3116.39,2022-05-19
2020-02-27,59.58,2978.76,2022-05-19
2020-02-28,59.06,2954.22,2022-05-19
2020-03-02,60.34,3090.23,2022-05-19
2020-03-03,59.2,3003.37,2022-05-19
2020-03-04,61.48,3130.12,2022-05-19
2020-03-05,60.5,3023.94,2022-05-19
2020-03-06,60.31,2972.37,2022-05-19
2020-03-09,57.66,2746.56,2022-05-19
2020-03-10,57.93,2882.23,2022-05-19
2020-03-11,56.51,2741.38,2022-05-19
2020-03-12,52.75,2480.64,2022-05-19
2020-03-13,54.99,2711.02,2022-05-19
2020-03-16,51.11,2386.13,2022-05-19
2020-03-17,54.09,2529.19,2022-05-19
2020-03-18,50.24,2398.1,2022-05-19
2020-03-19,48.79,2409.39,2022-05-19
2020-03-20,48.4,2304.92,2022-05-19
2020-03-23,46.4,2237.4,2022-05-19
2020-03-24,49.24,2447.33,2022-05-19
2020-03-25,49.35,2475.56,2022-05-19
2020-03-26,52.25,2630.07,2022-05-19
2020-03-27,52.79,2541.47,2022-05-19
2020-03-30,54.39,2626.65,2022-05-19
2020-03-31,55.74,2584.59,2022-05-19
2020-04-01,54.82,2470.5,2022-05-19
2020-04-02,55.21,2526.9,2022-05-19
2020-04-03,55.53,2488.65,2022-05-19
2020-04-06,57.87,2663.68,2022-05-19
2020-04-07,56.9,2659.41,2022-05-19
2020-04-08,58.25,2749.98,2022-05-19
2020-04-09,58.91,2789.82,2022-05-19
2020-04-13,58.92,2761.63,2022-05-19
2020-04-14,60.04,2846.06,2022-05-19
2020-04-15,59.46,2783.36,2022-05-19
2020-04-16,59.56,2799.55,2022-05-19
2020-04-17,60.6,2874.56,2022-05-19
2020-04-20,61.68,2823.16,2022-05-19
2020-04-21,60.59,2736.56,2022-05-19
2020-04-22,60.93,2799.31,2022-05-19
2020-04-23,60.95,2797.8,2022-05-19
2020-04-24,62.25,2836.74,2022-05-19
2020-04-27,62.56,2878.48,2022-05-19
2020-04-28,62.14,2863.39,2022-05-19
2020-04-29,61.63,2939.51,2022-05-19
2020-04-30,60.81,2912.43,2022-05-19
2020-05-01,60.26,2830.71,2022-05-19
2020-05-04,60.17,2842.74,2022-05-19
2020-05-05,61.36,2868.44,2022-05-19
2020-05-06,61.13,2848.42,2022-05-19
2020-05-07,61.04,2881.19,2022-05-19
2020-05-08,61.05,2929.8,2022-05-19
2020-05-11,62.66,2930.32,2022-05-19
2020-05-12,63.35,2870.12,2022-05-19
2020-05-13,63.27,2820.0,2022-05-19
2020-05-14,63.77,2852.5,2022-05-19
2020-05-15,64.09,2863.7,2022-05-19
2020-05-18,63.6,2953.91,2022-05-19
2020-05-19,62.71,2922.94,2022-05-19
2020-05-20,61.68,2971.61,2022-05-19
2020-05-21,61.14,2948.51,2022-05-19
2020-05-22,60.79,2955.45,2022-05-19
2020-05-26,60.32,2991.77,2022-05-19
2020-05-27,60.4,3036.13,2022-05-19
2020-05-28,59.81,3029.73,2022-05-19
2020-05-29,59.72,3044.31,2022-05-19
2020-06-01,60.29,3055.73,2022-05-19
2020-06-02,60.65,3080.82,2022-05-19
2020-06-03,60.21,3122.87,2022-05-19
2020-06-04,60.89,3112.35,2022-05-19
2020-06-05,61.33,3193.93,2022-05-19
2020-06-08,61.43,3232.39,2022-05-19
2020-06-09,60.93,3207.18,2022-05-19
2020-06-10,60.16,3190.14,2022-05-19
2020-06-11,56.71,3002.1,2022-05-19
2020-06-12,56.17,3041.31,2022-05-19
2020-06-15,55.1,3066.59,2022-05-19
2020-06-16,57.06,3124.74,2022-05-19
2020-06-17,56.95,3113.49,2022-05-19
2020-06-18,55.97,3115.34,2022-05-19
2020-06-19,56.41,3097.74,2022-05-19
2020-06-22,57.56,3117.86,2022-05-19
2020-06-23,58.38,3131.29,2022-05-19
2020-06-24,57.76,3050.33,2022-05-19
2020-06-25,58.18,3083.76,2022-05-19
2020-06-26,57.54,3009.05,2022-05-19
2020-06-29,57.8,3053.24,2022-05-19
2020-06-30,58.8,3100.29,2022-05-19
2020-07-01,59.43,3115.86,2022-05-19
2020-07-02,59.14,3130.01,2022-05-19
