Date,Stock,Market,joined date
2021-01-04,31.910954,17527.77,2023-06-01
2021-01-05,31.563129,17682.51,2023-06-01
2021-01-06,32.064644,17828.11,2023-06-01
2021-01-07,31.530773,18027.57,2023-06-01
2021-01-08,31.724908,18042.07,2023-06-01
2021-01-11,31.150592,17934.45,2023-06-01
2021-01-12,31.32046,17985.8,2023-06-01
2021-01-13,30.891745,17934.74,2023-06-01
2021-01-14,31.280015,17958.09,2023-06-01
2021-01-15,31.336638,17909.03,2023-06-01
2021-01-19,30.964545,17957.37,2023-06-01
2021-01-20,31.749175,18014.91,2023-06-01
2021-01-21,31.39326,17916.2,2023-06-01
2021-01-22,31.102058,17845.91,2023-06-01
2021-01-25,31.174858,17906.02,2023-06-01
2021-01-26,31.70873,17779.41,2023-06-01
2021-01-27,31.069702,17424.43,2023-06-01
2021-01-28,32.153623,17657.2,2023-06-01
2021-01-29,31.417527,17337.02,2023-06-01
2021-02-01,31.635929,17692.45,2023-06-01
2021-02-02,32.024199,17874.49,2023-06-01
2021-02-03,32.517626,17915.91,2023-06-01
2021-02-04,33.011053,18041.97,2023-06-01
2021-02-05,33.091942,18135.9,2023-06-01
2021-02-08,33.3427,18330.26,2023-06-01
2021-02-09,33.49639,18408.62,2023-06-01
2021-02-10,33.180921,18457.78,2023-06-01
2021-02-11,34.43471,18392.99,2023-06-01
2021-02-12,34.742091,18460.21,2023-06-01
2021-02-16,35.340674,18492.72,2023-06-01
2021-02-17,35.567165,18374.78,2023-06-01
2021-02-18,35.437741,18274.07,2023-06-01
2021-02-19,35.146539,18384.27,2023-06-01
2021-02-22,35.122272,18416.74,2023-06-01
2021-02-23,34.944315,18330.09,2023-06-01
2021-02-24,35.7613,18484.53,2023-06-01
2021-02-25,33.650081,18223.54,2023-06-01
2021-02-26,32.63896,18060.26,2023-06-01
2021-03-01,33.399323,18299.62,2023-06-01
2021-03-02,33.981728,18421.6,2023-06-01
2021-03-03,33.407412,18320.67,2023-06-01
2021-03-04,33.043409,18125.72,2023-06-01
2021-03-05,33.65817,18380.96,2023-06-01
2021-03-08,33.844216,18457.78,2023-06-01
2021-03-09,34.216308,18599.19,2023-06-01
2021-03-10,34.475155,18690.0,2023-06-01
2021-03-11,34.944315,18844.57,2023-06-01
2021-03-12,35.227428,18851.32,2023-06-01
2021-03-15,35.203161,18954.75,2023-06-01
2021-03-16,35.389207,18874.01,2023-06-01
2021-03-17,36.909932,18983.1,2023-06-01
2021-03-18,36.440772,18836.47,2023-06-01
2021-03-19,36.521662,18854.0,2023-06-01
2021-03-22,36.634908,18815.13,2023-06-01
2021-03-23,36.238548,18669.8,2023-06-01
2021-03-24,36.392239,18628.29,2023-06-01
2021-03-25,36.723886,18651.1,2023-06-01
2021-03-26,36.942288,18752.58,2023-06-01
2021-03-29,36.901843,18719.22,2023-06-01
2021-03-30,36.683441,18705.56,2023-06-01
2021-03-31,35.99588,18700.67,2023-06-01
2021-04-01,36.198104,18990.32,2023-06-01
2021-04-05,36.723886,19026.79,2023-06-01
2021-04-06,36.424595,19104.14,2023-06-01
2021-04-07,36.594463,19129.07,2023-06-01
2021-04-08,36.610641,19228.87,2023-06-01
2021-04-09,36.829043,19228.03,2023-06-01
2021-04-12,37.176868,19201.28,2023-06-01
2021-04-13,36.812865,19203.7,2023-06-01
2021-04-14,36.715797,19171.66,2023-06-01
2021-04-15,37.419537,19321.92,2023-06-01
2021-04-16,37.298202,19351.32,2023-06-01
2021-04-19,37.039356,19204.42,2023-06-01
2021-04-20,35.7613,19040.78,2023-06-01
2021-04-21,36.521662,19143.25,2023-06-01
2021-04-22,36.416506,19031.64,2023-06-01
2021-04-23,36.667263,19102.33,2023-06-01
2021-04-26,36.731975,19170.56,2023-06-01
2021-04-27,36.748153,19175.09,2023-06-01
2021-04-28,36.966555,19356.95,2023-06-01
2021-04-29,37.233491,19255.92,2023-06-01
2021-04-30,36.869487,19108.33,2023-06-01
2021-05-03,36.990822,19213.16,2023-06-01
2021-05-04,36.610641,19188.03,2023-06-01
2021-05-05,36.756242,19310.74,2023-06-01
2021-05-06,36.998911,19290.98,2023-06-01
2021-05-07,37.565138,19472.74,2023-06-01
2021-05-10,37.249669,19361.88,2023-06-01
2021-05-11,37.055534,19274.04,2023-06-01
2021-05-12,36.190015,19107.77,2023-06-01
2021-05-13,36.829043,19135.81,2023-06-01
2021-05-14,39.134397,19366.69,2023-06-01
2021-05-17,39.433688,19474.65,2023-06-01
2021-05-18,39.635912,19507.05,2023-06-01
2021-05-19,39.4984,19417.03,2023-06-01
2021-05-20,39.724891,19542.95,2023-06-01
2021-05-21,39.546934,19527.3,2023-06-01
2021-05-25,39.910937,19564.12,2023-06-01
2021-05-26,40.20214,19745.47,2023-06-01
2021-05-27,40.582321,19774.41,2023-06-01
2021-05-28,40.719833,19852.18,2023-06-01
2021-06-01,40.59041,19976.01,2023-06-01
2021-06-02,40.420542,19971.15,2023-06-01
2021-06-03,40.444809,19941.39,2023-06-01
2021-06-04,40.493342,20029.19,2023-06-01
2021-06-07,40.549965,20035.3,2023-06-01
2021-06-08,40.469075,20065.92,2023-06-01
2021-06-09,40.080805,20002.27,2023-06-01
2021-06-10,40.347741,20049.47,2023-06-01
2021-06-11,40.145517,20138.35,2023-06-01
2021-06-14,40.113161,20157.65,2023-06-01
2021-06-15,40.517609,20231.32,2023-06-01
2021-06-16,40.566143,20230.96,2023-06-01
2021-06-17,39.854314,20144.04,2023-06-01
2021-06-18,39.538845,19999.59,2023-06-01
2021-06-21,40.210229,20156.36,2023-06-01
2021-06-22,40.695566,20200.65,2023-06-01
2021-06-23,40.606588,20164.39,2023-06-01
2021-06-24,41.803754,20215.12,2023-06-01
2021-06-25,42.22438,20230.26,2023-06-01
2021-06-28,42.342908,20145.25,2023-06-01
2021-06-29,42.72577,20171.02,2023-06-01
2021-06-30,41.528308,20165.58,2023-06-01
2021-07-02,41.813418,20226.11,2023-06-01
2021-07-06,41.58533,20300.03,2023-06-01
2021-07-07,41.46314,20290.6,2023-06-01
2021-07-08,40.982526,20061.21,2023-06-01
2021-07-09,41.756396,20257.95,2023-06-01
2021-07-12,41.560892,20233.08,2023-06-01
2021-07-13,41.129154,20270.65,2023-06-01
2021-07-14,41.25949,20147.24,2023-06-01
2021-07-15,41.080278,20183.72,2023-06-01
2021-07-16,40.379722,19985.54,2023-06-01
2021-07-19,39.003048,19726.45,2023-06-01
2021-07-20,40.062028,19942.71,2023-06-01
2021-07-21,41.520162,20110.05,2023-06-01
2021-07-22,41.894878,20097.52,2023-06-01
2021-07-23,41.70752,20188.43,2023-06-01
2021-07-26,41.292074,20164.96,2023-06-01
2021-07-27,42.48139,20173.35,2023-06-01
2021-07-28,43.638122,20230.4,2023-06-01
2021-07-29,44.47716,20311.78,2023-06-01
2021-07-30,43.980254,20287.8,2023-06-01
2021-08-03,44.346824,20365.85,2023-06-01
2021-08-04,44.908898,20329.73,2023-06-01
2021-08-05,45.479118,20375.48,2023-06-01
2021-08-06,46.195966,20475.42,2023-06-01
2021-08-09,46.47293,20437.42,2023-06-01
2021-08-10,46.660288,20495.74,2023-06-01
2021-08-11,46.741748,20554.01,2023-06-01
2021-08-12,46.06563,20520.6,2023-06-01
2021-08-13,46.171528,20518.07,2023-06-01
2021-08-16,46.163382,20483.42,2023-06-01
2021-08-17,45.00665,20363.59,2023-06-01
2021-08-18,45.405804,20302.11,2023-06-01
2021-08-19,44.47716,20215.36,2023-06-01
2021-08-20,45.356928,20339.02,2023-06-01
2021-08-23,45.6176,20477.26,2023-06-01
2021-08-24,45.405804,20547.76,2023-06-01
2021-08-25,45.935294,20587.32,2023-06-01
2021-08-26,45.886418,20504.15,2023-06-01
2021-08-27,46.399616,20644.64,2023-06-01
2021-08-30,45.919002,20594.97,2023-06-01
2021-08-31,45.25103,20582.94,2023-06-01
2021-09-01,46.041192,20689.58,2023-06-01
2021-09-02,46.383324,20795.12,2023-06-01
2021-09-03,46.326302,20821.43,2023-06-01
2021-09-07,45.910856,20806.63,2023-06-01
2021-09-08,45.544286,20741.79,2023-06-01
2021-09-09,45.544286,20705.27,2023-06-01
2021-09-10,44.876314,20633.06,2023-06-01
2021-09-13,45.446534,20666.41,2023-06-01
2021-09-14,44.96592,20553.25,2023-06-01
2021-09-15,45.242884,20693.79,2023-06-01
2021-09-16,44.941482,20602.1,2023-06-01
2021-09-17,43.955816,20490.36,2023-06-01
2021-09-20,42.64431,20154.54,2023-06-01
2021-09-21,44.35497,20244.29,2023-06-01
2021-09-22,45.299906,20401.49,2023-06-01
2021-09-23,45.772374,20461.93,2023-06-01
2021-09-24,45.609454,20402.66,2023-06-01
2021-09-27,45.267322,20463.42,2023-06-01
2021-09-28,43.939524,20174.14,2023-06-01
2021-09-29,43.450764,20158.14,2023-06-01
2021-09-30,43.589246,20070.25,2023-06-01
2021-10-01,44.493452,20150.87,2023-06-01
2021-10-04,43.817334,20052.25,2023-06-01
2021-10-05,44.183904,20183.43,2023-06-01
2021-10-06,44.265364,20191.66,2023-06-01
2021-10-07,45.45468,20416.21,2023-06-01
2021-10-08,45.86198,20416.31,2023-06-01
2021-10-12,45.94344,20437.12,2023-06-01
2021-10-13,46.244842,20618.47,2023-06-01
2021-10-14,47.320114,20819.94,2023-06-01
2021-10-15,47.841458,20928.1,2023-06-01
2021-10-18,47.702976,20985.37,2023-06-01
2021-10-19,47.784436,21086.99,2023-06-01
2021-10-20,48.623474,21188.19,2023-06-01
2021-10-21,49.185548,21212.39,2023-06-01
2021-10-22,49.698746,21216.15,2023-06-01
2021-10-25,50.0979,21284.84,2023-06-01
2021-10-26,49.902396,21173.45,2023-06-01
2021-10-27,49.429928,20954.99,2023-06-01
2021-10-28,50.38301,21197.53,2023-06-01
2021-10-29,49.193694,21037.07,2023-06-01
2021-11-01,49.112234,21247.01,2023-06-01
2021-11-02,49.193694,21170.01,2023-06-01
2021-11-03,49.44622,21265.1,2023-06-01
2021-11-04,49.332176,21342.13,2023-06-01
2021-11-05,50.163068,21455.82,2023-06-01
2021-11-08,50.089754,21556.54,2023-06-01
2021-11-09,50.040878,21594.52,2023-06-01
2021-11-10,49.20184,21461.93,2023-06-01
2021-11-11,48.012524,21581.98,2023-06-01
2021-11-12,49.169256,21768.53,2023-06-01
2021-11-15,48.240612,21683.08,2023-06-01
2021-11-16,48.444262,21717.16,2023-06-01
2021-11-17,48.354656,21653.02,2023-06-01
2021-11-18,48.362802,21637.54,2023-06-01
2021-11-19,48.55016,21555.03,2023-06-01
2021-11-22,47.93921,21420.77,2023-06-01
2021-11-23,47.629662,21453.77,2023-06-01
2021-11-24,48.159152,21548.43,2023-06-01
2021-11-26,46.88023,21125.9,2023-06-01
2021-11-29,47.181632,21149.0,2023-06-01
2021-11-30,45.756082,20659.99,2023-06-01
2021-12-01,45.12884,20464.6,2023-06-01
2021-12-02,46.521806,20762.03,2023-06-01
2021-12-03,45.2103,20633.27,2023-06-01
2021-12-06,46.668434,20861.1,2023-06-01
2021-12-07,47.996232,21162.65,2023-06-01
2021-12-08,47.556348,21077.35,2023-06-01
2021-12-09,47.157194,20925.49,2023-06-01
2021-12-10,47.556348,20890.62,2023-06-01
2021-12-13,47.279384,20748.45,2023-06-01
2021-12-14,46.937252,20648.57,2023-06-01
2021-12-15,48.085838,20769.16,2023-06-01
2021-12-16,47.499326,20739.78,2023-06-01
2021-12-17,46.692872,20739.19,2023-06-01
2021-12-20,46.090068,20538.22,2023-06-01
2021-12-21,47.132756,20924.87,2023-06-01
2021-12-22,47.890334,21070.05,2023-06-01
2021-12-23,48.827124,21218.93,2023-06-01
2021-12-29,49.625432,21344.65,2023-06-01
2021-12-30,49.307738,21294.64,2023-06-01
2021-12-31,49.185548,21222.84,2023-06-01
2022-01-04,49.299592,21236.52,2023-06-01
2022-01-05,47.067588,21039.66,2023-06-01
2022-01-06,46.88023,21072.2,2023-06-01
2022-01-07,46.733602,21084.45,2023-06-01
2022-01-10,46.171528,21072.32,2023-06-01
