Date,Stock,Market,joined date
2020-01-02,56.7575897672985,17099.95,2021-10-14
2020-01-03,56.6120470805447,17066.12,2021-10-14
2020-01-06,55.8666975237213,17105.47,2021-10-14
2020-01-07,55.1718834115204,17168.06,2021-10-14
2020-01-08,55.5265782005062,17167.82,2021-10-14
2020-01-09,55.3700015320974,17235.57,2021-10-14
2020-01-10,55.1647509578544,17234.49,2021-10-14
2020-01-13,55.3615196078432,17293.42,2021-10-14
2020-01-14,55.2143950995406,17352.9,2021-10-14
2020-01-15,55.4328655777931,17415.17,2021-10-14
2020-01-16,55.6288343558282,17484.77,2021-10-14
2020-01-17,55.484957513588,17559.02,2021-10-14
2020-01-20,55.6875670703664,17597.39,2021-10-14
2020-01-21,55.5827657457718,17572.28,2021-10-14
2020-01-22,55.8474189127456,17599.86,2021-10-14
2020-01-23,55.9746989788142,17621.78,2021-10-14
2020-01-24,55.8058134226145,17565.34,2021-10-14
2020-01-27,55.5412371134021,17442.52,2021-10-14
2020-01-28,55.57582668187,17500.88,2021-10-14
2020-01-29,55.2667474992422,17511.75,2021-10-14
2020-01-30,54.9666868564506,17490.56,2021-10-14
2020-01-31,54.6127691726482,17318.49,2021-10-14
2020-02-03,54.4113218909967,17379.76,2021-10-14
2020-02-04,54.9879445449066,17512.73,2021-10-14
2020-02-05,55.2040970025606,17651.59,2021-10-14
2020-02-06,55.736224028907,17757.49,2021-10-14
2020-02-07,55.8560588986552,17655.49,2021-10-14
2020-02-10,55.8392790086369,17740.57,2021-10-14
2020-02-11,55.9084750865573,17777.11,2021-10-14
2020-02-12,56.3363272699827,17832.85,2021-10-14
2020-02-13,56.2975804628025,17821.17,2021-10-14
2020-02-14,56.3914880772713,17848.36,2021-10-14
2020-02-18,56.2914906457454,17858.34,2021-10-14
2020-02-19,56.4608866696928,17925.36,2021-10-14
2020-02-20,56.2862961007617,17944.06,2021-10-14
2020-02-21,56.1488428376947,17843.53,2021-10-14
2020-02-24,55.0331026181162,17562.74,2021-10-14
2020-02-25,54.590645477141,17177.37,2021-10-14
2020-02-26,54.3885971492873,17041.92,2021-10-14
2020-02-27,53.346280250971,16767.72,2021-10-14
2020-02-28,52.4186324275903,16263.05,2021-10-14
2020-03-02,52.9725266476505,16553.26,2021-10-14
2020-03-03,52.0283899887934,16423.62,2021-10-14
2020-03-04,52.8466826060968,16779.53,2021-10-14
2020-03-05,51.2942931741887,16553.99,2021-10-14
2020-03-06,49.9813752514341,16175.02,2021-10-14
2020-03-09,43.3472009342384,14514.24,2021-10-14
2020-03-10,43.9440314822912,14958.09,2021-10-14
2020-03-11,42.4506387921022,14270.09,2021-10-14
2020-03-12,36.3779979893724,12508.45,2021-10-14
2020-03-13,42.8819821777875,13716.33,2021-10-14
2020-03-16,37.5713470319635,12360.4,2021-10-14
2020-03-17,38.0449327417424,12685.21,2021-10-14
2020-03-18,34.4411501068744,11721.42,2021-10-14
2020-03-19,34.9276361130255,12170.52,2021-10-14
2020-03-20,34.8349812003899,11851.81,2021-10-14
2020-03-23,32.2295805739515,11228.49,2021-10-14
2020-03-24,36.1435783940798,12571.08,2021-10-14
2020-03-25,40.3453136011276,13139.23,2021-10-14
2020-03-26,41.4312214611872,13371.17,2021-10-14
2020-03-27,38.8423839164342,12687.74,2021-10-14
2020-03-30,38.683040440398,13038.5,2021-10-14
2020-03-31,40.8777295682481,13378.75,2021-10-14
2020-04-01,38.3281646461799,12876.37,2021-10-14
2020-04-02,39.0135163824216,13097.84,2021-10-14
2020-04-03,38.4409548623337,12938.3,2021-10-14
2020-04-06,39.1877524984053,13592.7,2021-10-14
2020-04-07,39.6698349174587,13614.14,2021-10-14
2020-04-08,40.2512132457893,13925.71,2021-10-14
2020-04-09,41.079224218135,14166.63,2021-10-14
