Date,Stock,Market,joined date
2020-01-02,27.4973711882233,7604.3,2021-09-28
2020-01-03,27.4019210133739,7622.4,2021-09-28
2020-01-06,27.2295153198946,7575.34,2021-09-28
2020-01-07,26.9284270754039,7573.85,2021-09-28
2020-01-08,26.5870365277076,7574.93,2021-09-28
2020-01-09,26.6788607264182,7598.12,2021-09-28
2020-01-10,26.6402005850405,7587.85,2021-09-28
2020-01-13,27.0280801101379,7617.6,2021-09-28
2020-01-14,27.3095296981367,7622.35,2021-09-28
2020-01-15,27.3885101224067,7642.8,2021-09-28
2020-01-16,27.1326952246448,7609.81,2021-09-28
2020-01-17,27.1346063791046,7674.56,2021-09-28
2020-01-20,26.9936256016661,7651.44,2021-09-28
2020-01-21,27.0072802233652,7610.7,2021-09-28
2020-01-22,27.1996215704816,7571.92,2021-09-28
2020-01-23,26.6092843834467,7507.67,2021-09-28
2020-01-24,26.6619593074943,7585.98,2021-09-28
2020-01-27,26.2364412421185,7412.05,2021-09-28
2020-01-28,26.1190141212026,7480.69,2021-09-28
2020-01-29,26.0790313130661,7483.57,2021-09-28
2020-01-30,25.8147726231161,7381.96,2021-09-28
2020-01-31,25.9361429721637,7286.01,2021-09-28
2020-02-03,25.7129864224003,7326.31,2021-09-28
2020-02-04,25.9016051698987,7439.82,2021-09-28
2020-02-05,25.9480259480259,7482.48,2021-09-28
2020-02-06,25.8690902509349,7504.79,2021-09-28
2020-02-07,25.5175703199533,7466.7,2021-09-28
2020-02-10,25.6582430495469,7446.88,2021-09-28
2020-02-11,25.5135079130736,7499.44,2021-09-28
2020-02-12,25.2592016588909,7534.37,2021-09-28
2020-02-13,25.3985233113308,7452.03,2021-09-28
2020-02-14,25.2439597140327,7409.13,2021-09-28
2020-02-17,25.1794818437203,7433.25,2021-09-28
2020-02-18,24.8456489244175,7382.01,2021-09-28
2020-02-19,24.8045991860986,7457.02,2021-09-28
2020-02-20,24.8242021482103,7436.64,2021-09-28
2020-02-21,25.2700792405358,7403.92,2021-09-28
2020-02-24,25.867083780395,7156.83,2021-09-28
2020-02-25,26.6583440616918,7017.88,2021-09-28
2020-02-26,25.9093431052509,7042.47,2021-09-28
2020-02-27,25.5359719645433,6796.4,2021-09-28
2020-02-28,23.9734369190921,6580.61,2021-09-28
2020-03-02,24.3526156749251,6654.89,2021-09-28
2020-03-03,25.1140090182408,6718.2,2021-09-28
2020-03-04,25.5598455598458,6815.59,2021-09-28
2020-03-05,25.4417327322662,6705.43,2021-09-28
2020-03-06,25.024136941263,6462.55,2021-09-28
2020-03-09,24.1609328221013,5965.77,2021-09-28
2020-03-10,22.9534220409637,5960.23,2021-09-28
2020-03-11,22.6016948066093,5876.52,2021-09-28
