Date,Stock,Market,joined date
2021-01-04,151.51,3700.65,2022-05-26
2021-01-05,151.72,3726.86,2022-05-26
2021-01-06,155.78,3748.14,2022-05-26
2021-01-07,155.62,3803.79,2022-05-26
2021-01-08,156.21,3824.68,2022-05-26
2021-01-11,155.01,3799.61,2022-05-26
2021-01-12,154.76,3801.19,2022-05-26
2021-01-13,154.22,3809.84,2022-05-26
2021-01-14,153.57,3795.54,2022-05-26
2021-01-15,151.57,3768.25,2022-05-26
2021-01-19,151.56,3798.91,2022-05-26
2021-01-20,152.49,3851.85,2022-05-26
2021-01-21,151.1,3853.07,2022-05-26
2021-01-22,148.94,3841.47,2022-05-26
2021-01-25,150.67,3855.36,2022-05-26
2021-01-26,151.79,3849.62,2022-05-26
2021-01-27,143.63,3750.77,2022-05-26
2021-01-28,144.83,3787.38,2022-05-26
2021-01-29,141.31,3714.24,2022-05-26
2021-02-01,146.07,3773.86,2022-05-26
2021-02-02,146.5,3826.31,2022-05-26
2021-02-03,144.55,3830.17,2022-05-26
2021-02-04,143.17,3871.74,2022-05-26
2021-02-05,144.13,3886.83,2022-05-26
2021-02-08,143.09,3915.59,2022-05-26
2021-02-09,141.67,3911.23,2022-05-26
2021-02-10,144.38,3909.88,2022-05-26
2021-02-11,145.35,3916.38,2022-05-26
2021-02-12,148.07,3934.83,2022-05-26
2021-02-16,146.24,3932.59,2022-05-26
2021-02-17,147.43,3931.33,2022-05-26
2021-02-18,149.28,3913.97,2022-05-26
2021-02-19,149.54,3906.71,2022-05-26
2021-02-22,147.5,3876.5,2022-05-26
2021-02-23,143.66,3881.37,2022-05-26
2021-02-24,145.08,3925.43,2022-05-26
2021-02-25,143.26,3829.34,2022-05-26
2021-02-26,142.49,3811.15,2022-05-26
2021-03-01,146.48,3901.82,2022-05-26
2021-03-02,143.84,3870.29,2022-05-26
2021-03-03,141.89,3819.72,2022-05-26
2021-03-04,139.17,3768.47,2022-05-26
2021-03-05,142.48,3841.94,2022-05-26
2021-03-08,141.82,3821.35,2022-05-26
2021-03-09,141.98,3875.44,2022-05-26
2021-03-10,142.38,3898.81,2022-05-26
2021-03-11,144.49,3939.34,2022-05-26
2021-03-12,144.06,3943.34,2022-05-26
2021-03-15,146.39,3968.94,2022-05-26
2021-03-16,147.63,3962.71,2022-05-26
2021-03-17,146.75,3974.12,2022-05-26
2021-03-18,145.46,3915.46,2022-05-26
2021-03-19,146.18,3913.1,2022-05-26
2021-03-22,147.59,3940.59,2022-05-26
2021-03-23,147.27,3910.52,2022-05-26
2021-03-24,148.87,3889.14,2022-05-26
2021-03-25,148.24,3909.52,2022-05-26
2021-03-26,153.44,3974.54,2022-05-26
2021-03-29,157.31,3971.09,2022-05-26
2021-03-30,152.98,3958.55,2022-05-26
2021-03-31,153.1,3972.89,2022-05-26
2021-04-01,154.92,4019.87,2022-05-26
2021-04-05,158.6,4077.91,2022-05-26
2021-04-06,156.13,4073.94,2022-05-26
2021-04-07,154.68,4079.95,2022-05-26
2021-04-08,154.37,4097.17,2022-05-26
2021-04-09,156.0,4128.8,2022-05-26
2021-04-12,155.93,4127.99,2022-05-26
2021-04-13,155.77,4141.59,2022-05-26
2021-04-14,155.88,4124.66,2022-05-26
2021-04-15,155.57,4170.42,2022-05-26
2021-04-16,157.0,4185.47,2022-05-26
2021-04-19,155.94,4163.26,2022-05-26
2021-04-20,158.85,4134.94,2022-05-26
2021-04-21,160.75,4173.42,2022-05-26
2021-04-22,161.28,4134.98,2022-05-26
2021-04-23,162.63,4180.17,2022-05-26
2021-04-26,161.02,4187.62,2022-05-26
2021-04-27,161.23,4186.72,2022-05-26
2021-04-28,161.01,4183.18,2022-05-26
2021-04-29,161.46,4211.47,2022-05-26
2021-04-30,158.63,4181.17,2022-05-26
2021-05-03,159.98,4192.66,2022-05-26
2021-05-04,162.86,4164.66,2022-05-26
2021-05-05,165.04,4167.59,2022-05-26
2021-05-06,164.9,4201.62,2022-05-26
2021-05-07,164.2,4232.6,2022-05-26
2021-05-10,165.63,4188.43,2022-05-26
2021-05-11,163.79,4152.1,2022-05-26
2021-05-12,159.02,4063.04,2022-05-26
2021-05-13,160.97,4112.5,2022-05-26
2021-05-14,163.18,4173.85,2022-05-26
2021-05-17,162.24,4163.29,2022-05-26
2021-05-18,160.54,4127.83,2022-05-26
2021-05-19,159.42,4115.68,2022-05-26
2021-05-20,160.22,4159.12,2022-05-26
2021-05-21,159.27,4155.86,2022-05-26
2021-05-24,159.45,4197.05,2022-05-26
2021-05-25,159.17,4188.13,2022-05-26
2021-05-26,158.76,4195.99,2022-05-26
2021-05-27,159.64,4200.88,2022-05-26
2021-05-28,159.48,4204.11,2022-05-26
2021-06-01,158.16,4202.04,2022-05-26
2021-06-02,158.51,4208.12,2022-05-26
2021-06-03,158.6,4192.85,2022-05-26
2021-06-04,160.87,4229.89,2022-05-26
2021-06-07,158.28,4226.52,2022-05-26
2021-06-08,158.23,4227.26,2022-05-26
2021-06-09,159.07,4219.55,2022-05-26
2021-06-10,161.37,4239.18,2022-05-26
2021-06-11,162.76,4247.44,2022-05-26
2021-06-14,160.96,4255.15,2022-05-26
2021-06-15,161.63,4246.59,2022-05-26
2021-06-16,160.22,4223.7,2022-05-26
2021-06-17,159.72,4221.86,2022-05-26
2021-06-18,158.33,4166.45,2022-05-26
2021-06-21,160.89,4224.79,2022-05-26
2021-06-22,161.07,4246.44,2022-05-26
2021-06-23,159.7,4241.84,2022-05-26
2021-06-24,160.32,4266.49,2022-05-26
2021-06-25,160.69,4280.7,2022-05-26
2021-06-28,160.81,4290.61,2022-05-26
2021-06-29,162.05,4291.8,2022-05-26
2021-06-30,161.53,4297.5,2022-05-26
2021-07-01,162.93,4319.94,2022-05-26
2021-07-02,164.41,4352.34,2022-05-26
2021-07-06,164.66,4343.54,2022-05-26
2021-07-07,168.18,4358.13,2022-05-26
2021-07-08,166.45,4320.82,2022-05-26
2021-07-09,168.7,4369.55,2022-05-26
2021-07-12,168.46,4384.63,2022-05-26
2021-07-13,168.26,4369.21,2022-05-26
2021-07-14,170.05,4374.3,2022-05-26
2021-07-15,170.66,4360.03,2022-05-26
2021-07-16,169.87,4327.16,2022-05-26
2021-07-19,166.62,4258.49,2022-05-26
2021-07-20,169.15,4323.06,2022-05-26
2021-07-21,169.7,4358.69,2022-05-26
2021-07-22,170.54,4367.48,2022-05-26
2021-07-23,172.49,4411.79,2022-05-26
2021-07-26,172.37,4422.3,2022-05-26
2021-07-27,171.89,4401.46,2022-05-26
2021-07-28,170.84,4400.64,2022-05-26
2021-07-29,172.47,4419.15,2022-05-26
2021-07-30,173.49,4395.26,2022-05-26
2021-08-02,173.39,4387.16,2022-05-26
2021-08-03,174.99,4423.15,2022-05-26
2021-08-04,174.04,4402.66,2022-05-26
2021-08-05,173.93,4429.1,2022-05-26
2021-08-06,173.37,4436.52,2022-05-26
2021-08-09,172.93,4432.35,2022-05-26
2021-08-10,171.53,4436.75,2022-05-26
2021-08-11,172.12,4447.7,2022-05-26
2021-08-12,172.9,4460.83,2022-05-26
2021-08-13,174.36,4468.0,2022-05-26
2021-08-16,176.99,4479.71,2022-05-26
2021-08-17,176.8,4448.08,2022-05-26
2021-08-18,173.67,4400.27,2022-05-26
2021-08-19,173.73,4405.8,2022-05-26
2021-08-20,174.54,4441.67,2022-05-26
2021-08-23,172.5,4479.53,2022-05-26
2021-08-24,171.27,4486.23,2022-05-26
2021-08-25,170.98,4496.19,2022-05-26
2021-08-26,169.81,4470.0,2022-05-26
2021-08-27,171.58,4509.37,2022-05-26
2021-08-30,172.33,4528.79,2022-05-26
2021-08-31,172.22,4522.68,2022-05-26
2021-09-01,171.43,4524.09,2022-05-26
2021-09-02,171.02,4536.95,2022-05-26
2021-09-03,170.75,4535.43,2022-05-26
2021-09-07,168.78,4520.03,2022-05-26
2021-09-08,171.81,4514.07,2022-05-26
2021-09-09,170.73,4493.28,2022-05-26
2021-09-10,169.96,4458.58,2022-05-26
2021-09-13,170.31,4468.73,2022-05-26
2021-09-14,169.67,4443.05,2022-05-26
2021-09-15,169.65,4480.7,2022-05-26
2021-09-16,168.66,4473.75,2022-05-26
2021-09-17,166.56,4432.99,2022-05-26
2021-09-20,164.44,4357.73,2022-05-26
2021-09-21,162.51,4354.19,2022-05-26
2021-09-22,164.1,4395.64,2022-05-26
2021-09-23,168.07,4448.98,2022-05-26
2021-09-24,169.01,4455.48,2022-05-26
2021-09-27,168.24,4443.11,2022-05-26
2021-09-28,166.84,4352.63,2022-05-26
2021-09-29,168.4,4359.46,2022-05-26
2021-09-30,166.64,4307.54,2022-05-26
2021-10-01,166.02,4357.04,2022-05-26
2021-10-04,162.55,4300.46,2022-05-26
2021-10-05,164.44,4345.72,2022-05-26
2021-10-06,166.98,4363.55,2022-05-26
2021-10-07,168.9,4399.76,2022-05-26
2021-10-08,168.94,4391.34,2022-05-26
2021-10-11,168.33,4361.19,2022-05-26
2021-10-12,170.71,4350.65,2022-05-26
2021-10-13,172.67,4363.8,2022-05-26
2021-10-14,178.05,4438.26,2022-05-26
2021-10-15,179.94,4471.37,2022-05-26
2021-10-18,178.02,4486.46,2022-05-26
2021-10-19,180.93,4519.63,2022-05-26
2021-10-20,181.3,4536.19,2022-05-26
2021-10-21,182.32,4549.78,2022-05-26
2021-10-22,184.07,4544.9,2022-05-26
2021-10-25,183.43,4566.48,2022-05-26
2021-10-26,184.23,4574.79,2022-05-26
2021-10-27,181.3,4551.68,2022-05-26
2021-10-28,179.62,4596.42,2022-05-26
2021-10-29,178.41,4605.38,2022-05-26
2021-11-01,177.24,4613.67,2022-05-26
2021-11-02,178.87,4630.65,2022-05-26
2021-11-03,169.87,4660.57,2022-05-26
2021-11-04,171.37,4680.06,2022-05-26
2021-11-05,173.81,4697.53,2022-05-26
2021-11-08,175.07,4701.7,2022-05-26
2021-11-09,178.36,4685.25,2022-05-26
2021-11-10,178.83,4646.71,2022-05-26
2021-11-11,175.79,4649.27,2022-05-26
2021-11-12,176.61,4682.85,2022-05-26
2021-11-15,177.08,4682.8,2022-05-26
2021-11-16,177.12,4700.9,2022-05-26
2021-11-17,174.65,4688.67,2022-05-26
2021-11-18,173.0,4704.54,2022-05-26
2021-11-19,174.13,4697.96,2022-05-26
2021-11-22,174.07,4682.94,2022-05-26
2021-11-23,173.06,4690.7,2022-05-26
2021-11-24,173.13,4701.46,2022-05-26
2021-11-26,171.57,4594.62,2022-05-26
2021-11-29,175.51,4655.27,2022-05-26
2021-11-30,168.57,4567.0,2022-05-26
2021-12-01,168.25,4513.04,2022-05-26
2021-12-02,173.5,4577.1,2022-05-26
2021-12-03,170.67,4538.43,2022-05-26
2021-12-06,171.71,4591.67,2022-05-26
2021-12-07,174.22,4686.75,2022-05-26
2021-12-08,173.97,4701.21,2022-05-26
2021-12-09,175.45,4667.45,2022-05-26
2021-12-10,178.36,4712.02,2022-05-26
2021-12-13,179.38,4668.97,2022-05-26
2021-12-14,177.48,4634.09,2022-05-26
2021-12-15,178.02,4709.85,2022-05-26
2021-12-16,180.06,4668.67,2022-05-26
2021-12-17,175.79,4620.64,2022-05-26
2021-12-20,171.86,4568.02,2022-05-26
2021-12-21,175.07,4649.23,2022-05-26
2021-12-22,179.27,4696.56,2022-05-26
2021-12-23,180.29,4725.79,2022-05-26
2021-12-27,184.48,4791.19,2022-05-26
2021-12-28,183.96,4786.35,2022-05-26
2021-12-29,183.21,4793.06,2022-05-26
2021-12-30,182.87,4778.73,2022-05-26
2021-12-31,182.82,4766.18,2022-05-26
2022-01-03,180.95,4796.56,2022-05-26
2022-01-04,180.57,4793.54,2022-05-26
2022-01-05,177.46,4700.58,2022-05-26
2022-01-06,174.27,4696.05,2022-05-26
2022-01-07,171.5,4677.03,2022-05-26
2022-01-10,168.25,4670.29,2022-05-26
2022-01-11,167.94,4713.07,2022-05-26
2022-01-12,170.44,4726.35,2022-05-26
2022-01-13,163.48,4659.03,2022-05-26
2022-01-14,160.06,4662.85,2022-05-26
2022-01-18,159.92,4577.11,2022-05-26
2022-01-19,160.48,4532.76,2022-05-26
2022-01-20,159.79,4482.73,2022-05-26
2022-01-21,156.6,4397.94,2022-05-26
2022-01-24,157.92,4410.13,2022-05-26
2022-01-25,152.01,4356.45,2022-05-26
2022-01-26,148.97,4349.93,2022-05-26
2022-01-27,150.15,4326.51,2022-05-26
2022-01-28,154.15,4431.85,2022-05-26
2022-01-31,159.22,4515.55,2022-05-26
2022-02-01,153.33,4546.54,2022-05-26
2022-02-02,154.3,4589.38,2022-05-26
2022-02-03,148.39,4477.44,2022-05-26
2022-02-04,149.88,4500.53,2022-05-26
2022-02-07,147.87,4483.87,2022-05-26
2022-02-08,148.8,4521.54,2022-05-26
2022-02-09,150.86,4587.18,2022-05-26
2022-02-10,146.45,4504.08,2022-05-26
2022-02-11,144.62,4418.64,2022-05-26
2022-02-14,144.84,4401.67,2022-05-26
2022-02-15,147.63,4471.07,2022-05-26
2022-02-16,145.97,4475.01,2022-05-26
2022-02-17,142.38,4380.26,2022-05-26
2022-02-18,142.38,4348.87,2022-05-26
2022-02-22,142.88,4304.76,2022-05-26
2022-02-23,140.89,4225.5,2022-05-26
2022-02-24,145.29,4288.7,2022-05-26
2022-02-25,148.25,4384.65,2022-05-26
2022-02-28,146.21,4373.94,2022-05-26
2022-03-01,146.3,4306.26,2022-05-26
2022-03-02,148.18,4386.54,2022-05-26
2022-03-03,146.3,4363.49,2022-05-26
2022-03-04,147.44,4328.87,2022-05-26
2022-03-07,147.28,4201.09,2022-05-26
2022-03-08,145.08,4170.7,2022-05-26
2022-03-09,147.07,4277.88,2022-05-26
2022-03-10,145.66,4259.52,2022-05-26
2022-03-11,144.6,4204.31,2022-05-26
2022-03-14,143.31,4173.11,2022-05-26
2022-03-15,146.28,4262.45,2022-05-26
2022-03-16,150.88,4357.86,2022-05-26
2022-03-17,152.29,4411.67,2022-05-26
2022-03-18,153.59,4463.12,2022-05-26
2022-03-21,151.96,4461.18,2022-05-26
2022-03-22,152.72,4511.61,2022-05-26
2022-03-23,150.56,4456.24,2022-05-26
2022-03-24,151.92,4520.16,2022-05-26
2022-03-25,152.77,4543.06,2022-05-26
2022-03-28,154.42,4575.52,2022-05-26
2022-03-29,157.48,4631.6,2022-05-26
2022-03-30,155.84,4602.45,2022-05-26
2022-03-31,155.71,4530.41,2022-05-26
2022-04-01,156.31,4545.86,2022-05-26
2022-04-04,156.61,4582.64,2022-05-26
2022-04-05,159.51,4525.12,2022-05-26
2022-04-06,159.6,4481.15,2022-05-26
2022-04-07,158.86,4500.21,2022-05-26
2022-04-08,160.84,4488.28,2022-05-26
2022-04-11,154.83,4412.53,2022-05-26
2022-04-12,154.07,4397.45,2022-05-26
2022-04-13,155.48,4446.59,2022-05-26
2022-04-14,153.52,4392.59,2022-05-26
2022-04-18,151.62,4391.69,2022-05-26
2022-04-19,154.64,4462.21,2022-05-26
2022-04-20,155.46,4459.45,2022-05-26
2022-04-21,154.47,4393.66,2022-05-26
2022-04-22,148.3,4271.78,2022-05-26
2022-04-25,151.04,4296.12,2022-05-26
2022-04-26,146.44,4175.2,2022-05-26
2022-04-27,146.82,4183.96,2022-05-26
2022-04-28,150.22,4287.5,2022-05-26
2022-04-29,144.13,4131.93,2022-05-26
2022-05-02,143.26,4155.38,2022-05-26
2022-05-03,146.44,4175.48,2022-05-26
2022-05-04,149.35,4300.17,2022-05-26
2022-05-05,143.07,4146.87,2022-05-26
2022-05-06,141.84,4123.34,2022-05-26
2022-05-09,137.71,3991.24,2022-05-26
2022-05-10,136.77,4001.05,2022-05-26
2022-05-11,134.93,3935.18,2022-05-26
2022-05-12,136.41,3930.08,2022-05-26
2022-05-13,139.34,4023.89,2022-05-26
2022-05-16,138.96,4008.01,2022-05-26
2022-05-17,140.48,4088.85,2022-05-26
2022-05-18,136.6,3923.68,2022-05-26
2022-05-19,138.02,3900.79,2022-05-26
2022-05-20,138.98,3901.36,2022-05-26
2022-05-23,140.39,3973.75,2022-05-26
2022-05-24,139.69,3941.48,2022-05-26
2022-05-25,140.52,3978.73,2022-05-26
2022-05-26,144.44,4057.84,2022-05-26
2022-05-27,146.8,4158.24,2022-05-26
2022-05-31,146.22,4132.15,2022-05-26
2022-06-01,144.73,4101.23,2022-05-26
2022-06-02,147.63,4176.82,2022-05-26
2022-06-03,146.29,4108.54,2022-05-26
2022-06-06,145.36,4121.43,2022-05-26
2022-06-07,147.73,4160.68,2022-05-26
2022-06-08,145.49,4115.77,2022-05-26
2022-06-09,142.49,4017.82,2022-05-26
2022-06-10,140.09,3900.86,2022-05-26
2022-06-13,135.15,3749.63,2022-05-26
2022-06-14,134.42,3735.48,2022-05-26
2022-06-15,137.95,3789.99,2022-05-26
2022-06-16,134.16,3666.77,2022-05-26
2022-06-17,133.41,3674.84,2022-05-26
2022-06-21,134.72,3764.79,2022-05-26
2022-06-22,135.64,3759.89,2022-05-26
2022-06-23,138.71,3795.73,2022-05-26
2022-06-24,145.59,3911.74,2022-05-26
2022-06-27,146.89,3900.11,2022-05-26
2022-06-28,141.16,3821.55,2022-05-26
2022-06-29,143.89,3818.83,2022-05-26
