Date,Stock,Market,joined date
2020-01-02,45.33,3257.85,2021-09-16
2020-01-03,44.98,3234.85,2021-09-16
2020-01-06,45.35,3246.28,2021-09-16
2020-01-07,45.4,3237.18,2021-09-16
2020-01-08,45.64,3253.05,2021-09-16
2020-01-09,45.71,3274.7,2021-09-16
2020-01-10,45.67,3265.35,2021-09-16
2020-01-13,45.47,3288.13,2021-09-16
2020-01-14,42.66,3283.15,2021-09-16
2020-01-15,42.57,3289.29,2021-09-16
2020-01-16,43.2,3316.81,2021-09-16
2020-01-17,44.28,3329.62,2021-09-16
2020-01-21,44.07,3320.79,2021-09-16
2020-01-22,44.05,3321.75,2021-09-16
2020-01-23,43.57,3325.54,2021-09-16
2020-01-24,43.21,3295.47,2021-09-16
2020-01-27,42.65,3243.63,2021-09-16
2020-01-28,43.45,3276.24,2021-09-16
2020-01-29,43.95,3273.4,2021-09-16
2020-01-30,43.41,3283.66,2021-09-16
2020-01-31,41.87,3225.52,2021-09-16
2020-02-03,42.23,3248.92,2021-09-16
2020-02-04,42.88,3297.59,2021-09-16
2020-02-05,42.62,3334.69,2021-09-16
2020-02-06,43.01,3345.78,2021-09-16
2020-02-07,42.19,3327.71,2021-09-16
2020-02-10,42.22,3352.09,2021-09-16
2020-02-11,42.57,3357.75,2021-09-16
2020-02-12,42.23,3379.45,2021-09-16
2020-02-13,42.18,3373.94,2021-09-16
2020-02-14,42.31,3380.16,2021-09-16
2020-02-18,42.16,3370.29,2021-09-16
2020-02-19,43.02,3386.15,2021-09-16
2020-02-20,42.5,3373.23,2021-09-16
2020-02-21,42.62,3337.75,2021-09-16
2020-02-24,41.08,3225.89,2021-09-16
2020-02-25,39.91,3128.21,2021-09-16
2020-02-26,39.39,3116.39,2021-09-16
2020-02-27,37.92,2978.76,2021-09-16
2020-02-28,37.39,2954.22,2021-09-16
2020-03-02,38.27,3090.23,2021-09-16
2020-03-03,37.23,3003.37,2021-09-16
2020-03-04,38.75,3130.12,2021-09-16
2020-03-05,37.46,3023.94,2021-09-16
2020-03-06,37.6,2972.37,2021-09-16
2020-03-09,34.09,2746.56,2021-09-16
2020-03-10,35.18,2882.23,2021-09-16
2020-03-11,33.86,2741.38,2021-09-16
2020-03-12,31.0,2480.64,2021-09-16
2020-03-13,32.33,2711.02,2021-09-16
2020-03-16,27.55,2386.13,2021-09-16
2020-03-17,28.79,2529.19,2021-09-16
2020-03-18,27.24,2398.1,2021-09-16
2020-03-19,28.27,2409.39,2021-09-16
2020-03-20,27.24,2304.92,2021-09-16
2020-03-23,25.83,2237.4,2021-09-16
2020-03-24,28.22,2447.33,2021-09-16
2020-03-25,29.92,2475.56,2021-09-16
2020-03-26,31.42,2630.07,2021-09-16
2020-03-27,30.61,2541.47,2021-09-16
2020-03-30,31.64,2626.65,2021-09-16
2020-03-31,32.63,2584.59,2021-09-16
2020-04-01,30.19,2470.5,2021-09-16
2020-04-02,31.05,2526.9,2021-09-16
2020-04-03,31.17,2488.65,2021-09-16
2020-04-06,32.88,2663.68,2021-09-16
2020-04-07,33.69,2659.41,2021-09-16
2020-04-08,35.13,2749.98,2021-09-16
2020-04-09,36.83,2789.82,2021-09-16
2020-04-13,35.21,2761.63,2021-09-16
2020-04-14,35.92,2846.06,2021-09-16
2020-04-15,34.79,2783.36,2021-09-16
2020-04-16,35.45,2799.55,2021-09-16
2020-04-17,38.29,2874.56,2021-09-16
2020-04-20,37.25,2823.16,2021-09-16
2020-04-21,35.05,2736.56,2021-09-16
2020-04-22,35.49,2799.31,2021-09-16
2020-04-23,36.4,2797.8,2021-09-16
2020-04-24,36.9,2836.74,2021-09-16
2020-04-27,37.0,2878.48,2021-09-16
2020-04-28,35.93,2863.39,2021-09-16
2020-04-29,37.43,2939.51,2021-09-16
2020-04-30,37.48,2912.43,2021-09-16
2020-05-01,35.99,2830.71,2021-09-16
2020-05-04,35.83,2842.74,2021-09-16
2020-05-05,36.81,2868.44,2021-09-16
2020-05-06,35.89,2848.42,2021-09-16
2020-05-07,37.0,2881.19,2021-09-16
2020-05-08,38.18,2929.8,2021-09-16
2020-05-11,37.78,2930.32,2021-09-16
2020-05-12,36.98,2870.12,2021-09-16
2020-05-13,35.77,2820.0,2021-09-16
2020-05-14,35.5,2852.5,2021-09-16
2020-05-15,34.83,2863.7,2021-09-16
2020-05-18,36.42,2953.91,2021-09-16
2020-05-19,35.43,2922.94,2021-09-16
2020-05-20,37.18,2971.61,2021-09-16
2020-05-21,34.79,2948.51,2021-09-16
2020-05-22,35.91,2955.45,2021-09-16
2020-05-26,36.19,2991.77,2021-09-16
2020-05-27,37.14,3036.13,2021-09-16
2020-05-28,37.47,3029.73,2021-09-16
2020-05-29,37.99,3044.31,2021-09-16
2020-06-01,37.5,3055.73,2021-09-16
2020-06-02,37.54,3080.82,2021-09-16
2020-06-03,37.91,3122.87,2021-09-16
2020-06-04,37.42,3112.35,2021-09-16
2020-06-05,38.83,3193.93,2021-09-16
2020-06-08,39.11,3232.39,2021-09-16
2020-06-09,38.26,3207.18,2021-09-16
2020-06-10,37.49,3190.14,2021-09-16
2020-06-11,35.05,3002.1,2021-09-16
2020-06-12,35.35,3041.31,2021-09-16
2020-06-15,35.87,3066.59,2021-09-16
2020-06-16,36.7,3124.74,2021-09-16
2020-06-17,36.89,3113.49,2021-09-16
2020-06-18,36.68,3115.34,2021-09-16
2020-06-19,36.59,3097.74,2021-09-16
2020-06-22,35.97,3117.86,2021-09-16
2020-06-23,36.25,3131.29,2021-09-16
2020-06-24,33.85,3050.33,2021-09-16
2020-06-25,33.89,3083.76,2021-09-16
2020-06-26,33.28,3009.05,2021-09-16
2020-06-29,34.65,3053.24,2021-09-16
2020-06-30,35.11,3100.29,2021-09-16
2020-07-01,35.28,3115.86,2021-09-16
2020-07-02,35.38,3130.01,2021-09-16
2020-07-06,35.59,3179.72,2021-09-16
2020-07-07,34.64,3145.32,2021-09-16
2020-07-08,34.55,3169.94,2021-09-16
2020-07-09,34.5,3152.05,2021-09-16
2020-07-10,34.68,3185.04,2021-09-16
2020-07-13,34.44,3155.22,2021-09-16
2020-07-14,35.22,3197.52,2021-09-16
2020-07-15,36.7,3226.56,2021-09-16
2020-07-16,36.37,3215.57,2021-09-16
2020-07-17,37.71,3224.73,2021-09-16
2020-07-20,37.17,3251.84,2021-09-16
2020-07-21,37.48,3257.3,2021-09-16
2020-07-22,38.39,3276.02,2021-09-16
2020-07-23,38.43,3235.66,2021-09-16
2020-07-24,38.6,3215.63,2021-09-16
2020-07-27,38.35,3239.41,2021-09-16
2020-07-28,38.27,3218.44,2021-09-16
2020-07-29,39.81,3258.44,2021-09-16
2020-07-30,38.94,3246.22,2021-09-16
2020-07-31,38.57,3271.12,2021-09-16
2020-08-03,38.0,3294.61,2021-09-16
2020-08-04,37.15,3306.51,2021-09-16
2020-08-05,37.73,3327.77,2021-09-16
2020-08-06,37.89,3349.16,2021-09-16
2020-08-07,38.97,3351.28,2021-09-16
2020-08-10,38.98,3360.47,2021-09-16
2020-08-11,39.31,3333.69,2021-09-16
2020-08-12,39.96,3380.35,2021-09-16
2020-08-13,39.75,3373.43,2021-09-16
2020-08-14,39.16,3372.85,2021-09-16
2020-08-17,39.35,3381.99,2021-09-16
2020-08-18,39.33,3389.78,2021-09-16
2020-08-19,39.35,3374.85,2021-09-16
2020-08-20,38.86,3385.51,2021-09-16
2020-08-21,38.43,3397.16,2021-09-16
2020-08-24,38.94,3431.28,2021-09-16
2020-08-25,39.64,3443.62,2021-09-16
2020-08-26,39.35,3478.73,2021-09-16
2020-08-27,40.78,3484.55,2021-09-16
2020-08-28,41.03,3508.01,2021-09-16
2020-08-31,41.02,3500.31,2021-09-16
2020-09-01,41.47,3526.65,2021-09-16
2020-09-02,42.23,3580.84,2021-09-16
2020-09-03,41.49,3455.06,2021-09-16
2020-09-04,41.48,3426.96,2021-09-16
2020-09-08,40.92,3331.84,2021-09-16
2020-09-09,41.53,3398.96,2021-09-16
2020-09-10,40.97,3339.19,2021-09-16
2020-09-11,40.29,3340.97,2021-09-16
2020-09-14,41.12,3383.54,2021-09-16
2020-09-15,41.02,3401.2,2021-09-16
2020-09-16,40.19,3385.49,2021-09-16
2020-09-17,39.67,3357.01,2021-09-16
2020-09-18,38.48,3319.47,2021-09-16
2020-09-21,38.55,3281.06,2021-09-16
2020-09-22,38.6,3315.57,2021-09-16
2020-09-23,37.72,3236.92,2021-09-16
2020-09-24,37.12,3246.59,2021-09-16
2020-09-25,37.34,3298.46,2021-09-16
2020-09-28,38.0,3351.6,2021-09-16
2020-09-29,37.76,3335.47,2021-09-16
2020-09-30,38.21,3363.0,2021-09-16
2020-10-01,38.42,3380.8,2021-09-16
2020-10-02,38.48,3348.44,2021-09-16
2020-10-05,39.24,3408.63,2021-09-16
2020-10-06,39.33,3360.95,2021-09-16
2020-10-07,40.18,3419.45,2021-09-16
2020-10-08,40.49,3446.83,2021-09-16
2020-10-09,41.14,3477.13,2021-09-16
2020-10-12,41.97,3534.22,2021-09-16
2020-10-13,40.92,3511.93,2021-09-16
2020-10-14,40.62,3488.67,2021-09-16
2020-10-15,39.0,3483.34,2021-09-16
2020-10-16,38.44,3483.81,2021-09-16
2020-10-19,37.77,3426.92,2021-09-16
2020-10-20,37.54,3443.12,2021-09-16
2020-10-21,37.15,3435.56,2021-09-16
2020-10-22,36.86,3453.49,2021-09-16
2020-10-23,37.17,3465.39,2021-09-16
2020-10-26,36.86,3400.97,2021-09-16
2020-10-27,36.05,3390.68,2021-09-16
2020-10-28,34.07,3271.03,2021-09-16
2020-10-29,33.5,3310.11,2021-09-16
2020-10-30,34.27,3269.96,2021-09-16
2020-11-02,34.55,3310.24,2021-09-16
2020-11-03,35.15,3369.02,2021-09-16
2020-11-04,35.29,3443.44,2021-09-16
2020-11-05,35.21,3510.45,2021-09-16
2020-11-06,35.7,3509.44,2021-09-16
2020-11-09,38.21,3550.5,2021-09-16
2020-11-10,38.2,3545.53,2021-09-16
2020-11-11,37.4,3572.66,2021-09-16
2020-11-12,36.74,3537.01,2021-09-16
2020-11-13,37.98,3585.15,2021-09-16
2020-11-16,38.03,3626.91,2021-09-16
2020-11-17,35.03,3609.53,2021-09-16
2020-11-18,34.26,3567.79,2021-09-16
2020-11-19,34.21,3581.87,2021-09-16
2020-11-20,33.7,3557.54,2021-09-16
2020-11-23,33.33,3577.59,2021-09-16
2020-11-24,33.79,3635.41,2021-09-16
2020-11-25,33.55,3629.65,2021-09-16
2020-11-27,33.6,3638.35,2021-09-16
2020-11-30,33.15,3621.63,2021-09-16
2020-12-01,33.65,3662.45,2021-09-16
2020-12-02,34.15,3669.01,2021-09-16
2020-12-03,33.81,3666.72,2021-09-16
2020-12-04,34.41,3699.12,2021-09-16
2020-12-07,34.25,3691.96,2021-09-16
2020-12-08,33.97,3702.25,2021-09-16
2020-12-09,34.13,3672.82,2021-09-16
2020-12-10,34.0,3668.1,2021-09-16
2020-12-11,33.6,3663.46,2021-09-16
2020-12-14,33.45,3647.49,2021-09-16
2020-12-15,34.67,3694.62,2021-09-16
2020-12-16,35.13,3701.17,2021-09-16
2020-12-17,35.39,3722.48,2021-09-16
2020-12-18,35.45,3709.41,2021-09-16
2020-12-21,34.82,3694.92,2021-09-16
2020-12-22,34.36,3687.26,2021-09-16
2020-12-23,34.37,3690.01,2021-09-16
2020-12-24,34.59,3703.06,2021-09-16
2020-12-28,34.92,3735.36,2021-09-16
2020-12-29,35.5,3727.04,2021-09-16
2020-12-30,35.55,3732.04,2021-09-16
