Date,Stock,Market,joined date
2020-01-02,26.3945669414471,6041.5,2021-03-18
2020-01-03,26.3216620918971,6044.16,2021-03-18
2020-01-06,26.2474536052473,6013.59,2021-03-18
2020-01-07,26.0933562300675,6012.35,2021-03-18
2020-01-08,26.12528590145,6031.0,2021-03-18
2020-01-09,26.2409772348696,6042.55,2021-03-18
2020-01-10,26.06529668179,6037.11,2021-03-18
2020-01-13,27.0754706478297,6036.14,2021-03-18
2020-01-14,27.2167885079725,6040.89,2021-03-18
2020-01-15,27.5603719312328,6032.61,2021-03-18
2020-01-16,27.6036389145611,6039.03,2021-03-18
2020-01-17,27.9416330332194,6100.72,2021-03-18
2020-01-20,27.7904125850075,6078.54,2021-03-18
2020-01-21,27.7162108249479,6045.99,2021-03-18
2020-01-22,27.9937446624447,6010.98,2021-03-18
2020-01-23,27.8511510703905,5971.79,2021-03-18
2020-01-24,28.1308215478567,6024.26,2021-03-18
2020-01-27,28.1899600118974,5863.02,2021-03-18
2020-01-28,28.2883716829762,5925.82,2021-03-18
2020-01-29,28.0398524797709,5954.89,2021-03-18
2020-01-30,27.5749487105955,5871.77,2021-03-18
2020-01-31,27.6326444584956,5806.34,2021-03-18
2020-02-03,27.3243984430289,5832.51,2021-03-18
2020-02-04,27.0861168468359,5935.05,2021-03-18
2020-02-05,27.0415906041745,5985.4,2021-03-18
2020-02-06,27.4169640406258,6038.18,2021-03-18
2020-02-07,27.2151275401333,6029.75,2021-03-18
2020-02-10,27.2835371507741,6015.67,2021-03-18
2020-02-11,27.8635743519783,6054.76,2021-03-18
2020-02-12,27.9927816671739,6104.73,2021-03-18
2020-02-13,27.631136789845,6093.14,2021-03-18
2020-02-14,27.6598509790331,6069.35,2021-03-18
2020-02-17,27.150007583801,6085.95,2021-03-18
2020-02-18,27.0853566418475,6056.82,2021-03-18
2020-02-19,27.1073272974785,6111.24,2021-03-18
2020-02-20,26.7632818986617,6062.3,2021-03-18
2020-02-21,26.8907563025209,6029.72,2021-03-18
2020-02-24,26.0664792889775,5791.87,2021-03-18
2020-02-25,25.6962576153178,5679.68,2021-03-18
2020-02-26,25.9355961705832,5684.55,2021-03-18
2020-02-27,25.1853155313111,5495.6,2021-03-18
2020-02-28,24.3101110216863,5309.9,2021-03-18
2020-03-02,24.2343956985895,5333.52,2021-03-18
2020-03-03,24.5425501016556,5393.17,2021-03-18
2020-03-04,25.0737627345098,5464.89,2021-03-18
2020-03-05,24.2874483006654,5361.1,2021-03-18
2020-03-06,23.2132982745195,5139.11,2021-03-18
2020-03-09,21.8981444384666,4707.91,2021-03-18
2020-03-10,21.8982630272954,4636.61,2021-03-18
2020-03-11,21.6832854487071,4610.25,2021-03-18
2020-03-12,19.676586036837,4044.26,2021-03-18
2020-03-13,19.9611327040533,4118.36,2021-03-18
2020-03-16,18.3481109607881,3881.46,2021-03-18
2020-03-17,19.001121593983,3991.78,2021-03-18
2020-03-18,17.5753541261977,3754.84,2021-03-18
2020-03-19,18.8091292960607,3855.5,2021-03-18
