Date,Stock,Market,joined date
2018-01-02,7.61191889141157,6090.1,2020-11-09
2018-01-03,7.5872007020183,5973.3,2020-11-09
2018-01-05,7.65166281428369,6015.2,2020-11-09
2018-01-08,7.6684737869558,6275.7,2020-11-09
2018-01-10,7.70104847943036,6172.3,2020-11-09
2018-01-11,7.79430422192942,5840.8,2020-11-09
2018-01-15,7.84312833947811,6077.1,2020-11-09
2018-01-16,7.79361846085267,6048.6,2020-11-09
2018-01-17,7.72472467048117,6015.8,2020-11-09
2018-01-18,7.69823803696684,6014.6,2020-11-09
2018-01-19,7.62821438844322,6005.8,2020-11-09
2018-01-22,7.66959714594941,5991.9,2020-11-09
2018-01-23,7.63388692099182,6037.0,2020-11-09
2018-01-24,7.77458848565947,6054.7,2020-11-09
2018-01-25,7.76624385857872,6050.0,2020-11-09
2018-01-29,7.86760210068054,6075.4,2020-11-09
2018-01-30,7.80270261532991,6022.8,2020-11-09
2018-01-31,7.77568015979123,6037.7,2020-11-09
2018-02-01,7.78375840976136,6061.3,2020-11-09
2018-02-02,7.70808233607628,6121.4,2020-11-09
2018-02-05,7.62784044363224,6050.2,2020-11-09
2018-02-07,7.36768287437139,6177.8,2020-11-09
2018-02-08,7.41916904574838,6240.9,2020-11-09
2018-02-13,7.48010656774832,5855.9,2020-11-09
2018-02-14,7.41740759814602,5841.2,2020-11-09
2018-02-15,7.42065100836398,5909.0,2020-11-09
2018-02-16,7.42840407524007,5904.0,2020-11-09
2018-02-19,7.51420739521859,5941.6,2020-11-09
2018-02-20,7.40886694460426,5940.9,2020-11-09
2018-02-21,7.28223805362215,5943.7,2020-11-09
2018-02-22,7.30612771632541,5950.9,2020-11-09
2018-02-23,7.37220549255792,5999.8,2020-11-09
2018-02-26,7.41407511545349,6042.2,2020-11-09
2018-02-27,7.30717134266976,6056.9,2020-11-09
2018-02-28,7.26577699477684,6016.0,2020-11-09
2018-03-01,7.19113022036816,6070.4,2020-11-09
2018-03-05,7.13225621118012,6098.3,2020-11-09
2018-03-07,7.06442563444629,6210.2,2020-11-09
2018-03-08,7.05650927671242,6234.8,2020-11-09
2018-03-09,7.21034967230486,6310.9,2020-11-09
2018-03-12,7.22378751977833,5771.2,2020-11-09
2018-03-13,7.22537654684738,5974.7,2020-11-09
2018-03-14,7.22839655932951,5935.3,2020-11-09
2018-03-15,7.26237230774029,5920.9,2020-11-09
2018-03-16,7.27533598728572,5949.4,2020-11-09
2018-03-19,7.45033337449068,5959.4,2020-11-09
2018-03-20,7.48398912225176,5936.4,2020-11-09
2018-03-21,7.54210726571054,5950.3,2020-11-09
2018-03-22,7.46273707526419,5937.2,2020-11-09
2018-03-23,7.30244962982345,5820.7,2020-11-09
2018-03-26,7.35746132812803,5790.5,2020-11-09
2018-03-27,7.40423924642443,5832.3,2020-11-09
2018-03-28,7.44663883889251,5789.5,2020-11-09
2018-03-29,7.47161885167244,5759.4,2020-11-09
2018-04-04,7.4794546338377,5761.4,2020-11-09
2018-04-05,7.36599226992262,6062.9,2020-11-09
2018-04-06,7.35739909281389,6025.5,2020-11-09
2018-04-09,7.42350197427668,6293.1,2020-11-09
2018-04-10,7.48328949512348,6176.3,2020-11-09
2018-04-12,7.27430873253415,5713.1,2020-11-09
2018-04-13,7.25531351443705,5829.1,2020-11-09
2018-04-16,7.32716772447266,5841.3,2020-11-09
2018-04-17,7.32911257763975,5841.5,2020-11-09
2018-04-18,7.36887597080201,5861.4,2020-11-09
2018-04-19,7.31773802163834,5881.0,2020-11-09
2018-04-20,7.21236804149021,5868.8,2020-11-09
2018-04-23,7.1261751958026,5886.0,2020-11-09
2018-04-24,7.22164194423958,5921.6,2020-11-09
2018-04-26,7.24233811563655,5910.8,2020-11-09
2018-04-27,7.32640835727661,5953.6,2020-11-09
2018-04-30,7.24875286179058,5982.7,2020-11-09
2018-05-01,7.15718682832943,6122.3,2020-11-09
2018-05-02,7.2131175059952,6026.2,2020-11-09
2018-05-03,7.25413040204789,5895.0,2020-11-09
2018-05-04,7.2059173917633,5788.8,2020-11-09
2018-05-07,7.19766702493067,6215.5,2020-11-09
2018-05-09,7.25509954332448,6230.4,2020-11-09
2018-05-10,7.28640701379108,6185.5,2020-11-09
2018-05-11,7.24459427864636,5818.1,2020-11-09
2018-05-14,7.25030927835052,6135.3,2020-11-09
2018-05-15,7.15454049652226,6097.8,2020-11-09
2018-05-16,7.04184017733028,6107.0,2020-11-09
2018-05-17,6.87603436106147,6094.3,2020-11-09
2018-05-18,6.76802340428728,6087.4,2020-11-09
2018-05-21,6.87543837039171,6084.5,2020-11-09
2018-05-22,6.84786043798717,6041.9,2020-11-09
2018-05-23,6.81862456819332,6032.5,2020-11-09
2018-05-24,6.72874930887444,6037.1,2020-11-09
2018-05-25,6.7056912103257,6032.8,2020-11-09
2018-05-28,6.7168132713721,6004.0,2020-11-09
2018-05-29,6.69586453752757,6013.6,2020-11-09
2018-05-30,6.69273101891481,5984.7,2020-11-09
2018-05-31,6.6635029095064,6011.9,2020-11-09
2018-06-04,6.67825036877383,5788.7,2020-11-09
2018-06-06,6.82545957714303,6025.1,2020-11-09
2018-06-07,6.81866822216123,6272.3,2020-11-09
2018-06-08,6.713938873522,6273.0,2020-11-09
2018-06-12,6.65226789215872,5657.7,2020-11-09
2018-06-13,6.70098109033607,6023.5,2020-11-09
2018-06-14,6.5851210684534,6016.6,2020-11-09
2018-06-15,6.66774620747123,6094.0,2020-11-09
2018-06-18,6.60730299139908,6104.1,2020-11-09
2018-06-19,6.60769173992309,6102.1,2020-11-09
2018-06-20,6.48023206129365,6172.6,2020-11-09
2018-06-21,6.47636068476977,6232.1,2020-11-09
2018-06-22,6.55803596003779,6225.2,2020-11-09
2018-06-25,6.45561831902623,6210.4,2020-11-09
2018-06-26,6.42377886044225,6197.6,2020-11-09
2018-06-27,6.17013285378743,6195.9,2020-11-09
2018-06-28,6.3809994338943,6215.4,2020-11-09
2018-06-29,6.40992161303933,6194.6,2020-11-09
2018-07-02,6.38402735986145,5876.8,2020-11-09
2018-07-03,6.63285946385052,5902.0,2020-11-09
2018-07-05,6.54015333367801,6084.5,2020-11-09
2018-07-06,6.64522594021,6057.3,2020-11-09
2018-07-09,6.70560545314728,6143.8,2020-11-09
2018-07-11,6.60774873505822,5896.9,2020-11-09
2018-07-12,6.70227807977722,5681.5,2020-11-09
2018-07-13,6.81180706077972,6268.4,2020-11-09
2018-07-16,6.88678258547405,6241.5,2020-11-09
2018-07-17,6.83546912276296,6203.6,2020-11-09
2018-07-18,6.86005843627487,6245.1,2020-11-09
2018-07-19,6.88132164878667,6262.7,2020-11-09
2018-07-20,6.96914873880359,6285.9,2020-11-09
2018-07-23,6.92970557851239,6227.6,2020-11-09
2018-07-24,7.01886978652678,6265.8,2020-11-09
2018-07-25,7.02102717367001,6247.6,2020-11-09
2018-07-26,6.97724580490503,6244.5,2020-11-09
2018-07-27,7.10099382099382,6300.2,2020-11-09
2018-07-30,7.0831706919785,6278.4,2020-11-09
2018-07-31,7.15490338774116,6280.2,2020-11-09
2018-08-01,7.13276280722534,6130.4,2020-11-09
2018-08-02,7.096587347137,5890.7,2020-11-09
2018-08-03,7.15055677639416,5942.9,2020-11-09
2018-08-06,7.12358133110768,6045.2,2020-11-09
2018-08-08,7.07278091119186,6268.5,2020-11-09
2018-08-10,6.8991654985106,6100.3,2020-11-09
2018-08-13,6.87511428965979,6252.2,2020-11-09
2018-08-14,6.90891810641458,6299.6,2020-11-09
2018-08-15,7.03631087212963,6329.0,2020-11-09
2018-08-16,7.15681692799071,6328.3,2020-11-09
2018-08-17,7.08590559872514,6339.2,2020-11-09
2018-08-20,7.12119655359686,6345.0,2020-11-09
2018-08-21,7.11433708660025,6284.4,2020-11-09
2018-08-22,7.08496205804788,6266.0,2020-11-09
2018-08-23,7.03510835554525,6244.4,2020-11-09
2018-08-24,7.57089799834477,6247.3,2020-11-09
2018-08-27,7.69812280418069,6268.9,2020-11-09
2018-08-28,7.77037162038226,6304.7,2020-11-09
2018-08-29,7.7539039434067,6352.2,2020-11-09
2018-08-30,7.72739606635485,6351.8,2020-11-09
2018-08-31,7.6917933305532,6319.5,2020-11-09
2018-09-03,7.70019253372946,5963.2,2020-11-09
2018-09-04,7.6638839048617,5808.7,2020-11-09
2018-09-05,7.63465683208604,6108.0,2020-11-09
2018-09-07,7.5672867842474,6286.0,2020-11-09
2018-09-10,7.72841827442945,6041.1,2020-11-09
2018-09-11,7.79267787194644,5921.8,2020-11-09
2018-09-13,7.84123688355401,6128.7,2020-11-09
2018-09-14,7.73965036465036,6165.3,2020-11-09
2018-09-17,7.73009204744537,6185.0,2020-11-09
2018-09-18,7.70764022722187,6161.5,2020-11-09
2018-09-19,7.6424014409808,6190.0,2020-11-09
2018-09-20,7.59867121500368,6169.5,2020-11-09
2018-09-21,7.59867121500368,6194.6,2020-11-09
2018-09-24,7.53180872125489,6186.9,2020-11-09
2018-09-25,7.706488026622,6185.9,2020-11-09
2018-09-26,7.73409085961819,6192.3,2020-11-09
2018-09-27,7.58242885863965,6181.2,2020-11-09
2018-09-28,7.6830930025804,6207.6,2020-11-09
2018-10-01,7.71298475228788,6096.7,2020-11-09
2018-10-04,7.58622872216289,5857.0,2020-11-09
2018-10-05,7.52245318140794,6118.7,2020-11-09
2018-10-08,7.41111071800061,6278.4,2020-11-09
2018-10-09,7.36219097333192,6141.7,2020-11-09
2018-10-10,7.29797942715135,6049.8,2020-11-09
2018-10-12,7.23889145891011,5552.5,2020-11-09
2018-10-15,7.12004534694693,5837.1,2020-11-09
2018-10-16,7.20660164505626,5869.9,2020-11-09
2018-10-17,7.29904895263954,5939.1,2020-11-09
2018-10-18,7.3175174812764,5942.4,2020-11-09
2018-10-19,7.35307834160443,5939.5,2020-11-09
2018-10-22,7.19334999256705,5904.9,2020-11-09
2018-10-23,7.18462911669489,5843.1,2020-11-09
2018-10-24,7.39227994890001,5829.0,2020-11-09
2018-10-25,7.283093945336,5664.1,2020-11-09
2018-10-26,7.25011634176102,5665.2,2020-11-09
2018-10-29,7.20339064362967,5728.2,2020-11-09
2018-10-30,7.31677560996404,5805.1,2020-11-09
2018-10-31,7.32519539124223,5830.3,2020-11-09
2018-11-01,7.34947007413919,6067.6,2020-11-09
2018-11-05,7.39578344086797,6116.2,2020-11-09
2018-11-07,7.51918662166488,6215.6,2020-11-09
2018-11-09,7.43934998230114,6179.7,2020-11-09
2018-11-12,7.54664601128873,5575.9,2020-11-09
2018-11-13,7.4250638703252,5834.2,2020-11-09
2018-11-14,7.39319280071762,5732.8,2020-11-09
2018-11-15,7.39354618082336,5736.0,2020-11-09
2018-11-16,7.38811889901797,5730.6,2020-11-09
2018-11-19,7.29700695751105,5693.7,2020-11-09
2018-11-20,7.25915651440071,5671.8,2020-11-09
2018-11-21,7.42786555524898,5642.8,2020-11-09
2018-11-22,7.44192158427333,5691.3,2020-11-09
2018-11-23,7.33675598252265,5716.2,2020-11-09
2018-11-26,7.3014367816092,5671.6,2020-11-09
2018-11-27,7.38192521325851,5728.3,2020-11-09
2018-11-28,7.50035643593284,5725.1,2020-11-09
2018-11-29,7.47905509736625,5758.4,2020-11-09
2018-11-30,7.32618558209282,5667.2,2020-11-09
2018-12-03,7.35904885188508,5996.1,2020-11-09
2018-12-04,7.32675886863055,5815.5,2020-11-09
2018-12-06,7.21076495655382,6054.4,2020-11-09
2018-12-07,7.25211938837216,6268.3,2020-11-09
2018-12-10,7.04575739929979,5895.7,2020-11-09
2018-12-11,7.11862898402427,5941.3,2020-11-09
2018-12-12,7.11035640290782,5653.5,2020-11-09
2018-12-13,7.04677322619572,5661.6,2020-11-09
2018-12-14,6.92804604134823,5602.0,2020-11-09
2018-12-17,7.07104661086845,5658.3,2020-11-09
2018-12-18,7.03690442000058,5589.5,2020-11-09
2018-12-19,6.94459582391654,5580.6,2020-11-09
2018-12-20,6.98811732673619,5505.8,2020-11-09
2018-12-21,6.88501058316398,5467.6,2020-11-09
2018-12-24,6.8269154499199,5493.8,2020-11-09
2018-12-27,6.9819990575791,5597.2,2020-11-09
2018-12-28,7.02429501848266,5654.3,2020-11-09
2018-12-31,6.97727330400948,5646.4,2020-11-09
2019-01-02,6.79716728126048,5862.8,2020-11-09
2019-01-03,6.87224335399811,6192.7,2020-11-09
2019-01-04,6.9841636618376,6217.0,2020-11-09
2019-01-07,7.0742636811298,6648.1,2020-11-09
2019-01-08,7.12899140466604,6788.9,2020-11-09
2019-01-10,7.34310061144282,6742.8,2020-11-09
2019-01-11,7.40895598845599,6669.1,2020-11-09
2019-01-14,7.37439939561823,5773.4,2020-11-09
2019-01-15,7.37949657640274,5814.6,2020-11-09
2019-01-16,7.39356565482845,5835.2,2020-11-09
2019-01-17,7.41233901181479,5850.1,2020-11-09
2019-01-18,7.40860400779772,5879.6,2020-11-09
2019-01-21,7.44813391169902,5890.4,2020-11-09
2019-01-22,7.45235595755288,5858.8,2020-11-09
2019-01-23,7.45136750549858,5843.7,2020-11-09
2019-01-24,7.39539527822707,5865.7,2020-11-09
2019-01-25,7.52214138483306,5905.6,2020-11-09
2019-01-29,7.47086859178404,5874.2,2020-11-09
2019-01-30,7.49025556674662,5886.7,2020-11-09
2019-01-31,7.54547536978053,5864.7,2020-11-09
2019-02-01,7.5711119971004,5557.8,2020-11-09
2019-02-04,7.55206787693152,6242.4,2020-11-09
2019-02-05,7.67537544489135,6338.4,2020-11-09
2019-02-07,7.78135235864125,6653.2,2020-11-09
2019-02-08,7.70015239148309,6768.6,2020-11-09
2019-02-12,7.76786727571923,6862.3,2020-11-09
2019-02-13,7.79692240083921,6063.6,2020-11-09
2019-02-14,7.80871783212311,6059.4,2020-11-09
2019-02-15,7.82518204403324,6066.1,2020-11-09
2019-02-18,7.69715868579415,6089.8,2020-11-09
2019-02-19,7.95630703551424,6106.9,2020-11-09
2019-02-20,7.91439479678524,6096.5,2020-11-09
2019-02-21,8.02266105926073,6139.2,2020-11-09
2019-02-22,8.06228520928509,6167.3,2020-11-09
2019-02-25,8.33584443313964,6186.3,2020-11-09
2019-02-26,8.17808190630862,6128.4,2020-11-09
2019-02-27,8.15128662693173,6150.3,2020-11-09
2019-02-28,8.13562611730655,6169.0,2020-11-09
2019-03-01,8.25073950567462,5633.4,2020-11-09
2019-03-04,8.29238815920116,6285.0,2020-11-09
2019-03-05,8.19091945638549,6335.8,2020-11-09
2019-03-06,8.13309049484202,6320.6,2020-11-09
2019-03-07,8.17952199281867,6685.5,2020-11-09
2019-03-12,8.16788655012992,6712.3,2020-11-09
2019-03-13,8.17597457867559,6161.2,2020-11-09
2019-03-14,8.17697844775824,6179.6,2020-11-09
2019-03-15,8.23819195906536,6175.2,2020-11-09
2019-03-18,8.25562728596286,6190.5,2020-11-09
2019-03-19,8.25201448587202,6184.8,2020-11-09
2019-03-20,8.27766172410849,6165.3,2020-11-09
2019-03-21,8.36316141281547,6167.2,2020-11-09
2019-03-22,8.3635779693066,6195.2,2020-11-09
2019-03-25,8.25914226997661,6126.2,2020-11-09
2019-03-26,8.24409091557636,6130.6,2020-11-09
2019-03-27,8.17251546085022,6136.0,2020-11-09
2019-03-28,8.24490211754384,6176.1,2020-11-09
2019-03-29,8.13562611730655,6180.7,2020-11-09
2019-04-01,8.18286104375405,5619.4,2020-11-09
2019-04-02,8.135653231337,5891.2,2020-11-09
2019-04-03,8.28805962718783,6217.4,2020-11-09
2019-04-04,8.1967303576127,6232.8,2020-11-09
2019-04-09,8.15383519692329,6553.0,2020-11-09
2019-04-10,8.25074352907435,6517.1,2020-11-09
2019-04-11,8.22446043165467,6686.9,2020-11-09
2019-04-12,8.37774343676274,6606.5,2020-11-09
2019-04-15,8.36609760996184,6251.4,2020-11-09
2019-04-16,8.27747698621684,6277.4,2020-11-09
2019-04-17,8.38592183181997,6256.4,2020-11-09
2019-04-18,8.27654511654512,6259.8,2020-11-09
2019-04-23,8.2475299130126,6319.4,2020-11-09
2019-04-24,8.26390860878838,6382.1,2020-11-09
2019-04-26,8.41573775569102,6385.6,2020-11-09
2019-04-29,8.31107497372004,6359.5,2020-11-09
2019-04-30,8.28219601928336,6325.5,2020-11-09
2019-05-02,8.3008764008764,6005.9,2020-11-09
2019-05-03,8.3761006819347,6199.3,2020-11-09
2019-05-06,8.23329768943683,6358.5,2020-11-09
2019-05-07,8.24554135438503,6751.3,2020-11-09
2019-05-08,8.14355634442566,6640.3,2020-11-09
2019-05-09,8.30710891531915,6613.2,2020-11-09
2019-05-13,8.40254252586266,6297.6,2020-11-09
2019-05-14,8.29861804249294,6239.9,2020-11-09
2019-05-15,8.34938453758927,6284.2,2020-11-09
2019-05-16,8.40802020731103,6327.8,2020-11-09
2019-05-17,8.42562653242035,6365.3,2020-11-09
2019-05-20,8.41835679065207,6476.1,2020-11-09
2019-05-21,8.37694531438207,6500.1,2020-11-09
2019-05-22,8.31287315358207,6510.7,2020-11-09
2019-05-23,8.34254116965278,6491.8,2020-11-09
2019-05-24,8.21631267047893,6456.0,2020-11-09
2019-05-27,8.22269957322008,6451.9,2020-11-09
2019-05-28,8.22186866204739,6484.8,2020-11-09
2019-05-29,8.18222672596855,6440.0,2020-11-09
2019-05-30,8.19532056642501,6392.1,2020-11-09
2019-05-31,8.19350257399364,6396.9,2020-11-09
2019-06-03,8.21796245526652,6245.6,2020-11-09
2019-06-05,8.52233697811044,6283.7,2020-11-09
2019-06-06,8.62613970100942,6383.0,2020-11-09
2019-06-11,8.88466919082949,6660.2,2020-11-09
2019-06-12,8.74245611118039,6707.0,2020-11-09
2019-06-13,8.79095433963568,6542.4,2020-11-09
2019-06-14,8.6919082175401,6554.0,2020-11-09
2019-06-17,8.70000685199016,6530.9,2020-11-09
2019-06-18,8.73722126339964,6570.0,2020-11-09
2019-06-19,8.72340292304305,6648.1,2020-11-09
2019-06-20,8.78889365737504,6687.4,2020-11-09
2019-06-21,8.71590767484042,6650.8,2020-11-09
2019-06-24,8.73656322655195,6665.4,2020-11-09
2019-06-25,8.67051899262558,6658.0,2020-11-09
2019-06-26,8.75057993785133,6640.5,2020-11-09
2019-06-27,8.85709209917727,6666.3,2020-11-09
2019-06-28,8.81749666549666,6618.8,2020-11-09
2019-07-01,8.66010656451332,5683.2,2020-11-09
2019-07-02,8.62111973702615,6092.5,2020-11-09
2019-07-03,8.73158382997864,6263.9,2020-11-09
2019-07-05,8.41208344092625,6295.7,2020-11-09
2019-07-08,8.33326502732241,6519.5,2020-11-09
2019-07-10,8.37878808960624,6563.6,2020-11-09
2019-07-11,8.31646747088767,6726.6,2020-11-09
2019-07-15,8.34022989314826,6653.0,2020-11-09
2019-07-16,8.35610638581335,6641.0,2020-11-09
2019-07-17,8.40721504969371,6673.3,2020-11-09
2019-07-18,8.60367545615984,6649.1,2020-11-09
2019-07-19,8.57730150346819,6700.3,2020-11-09
2019-07-22,8.45777571447664,6691.2,2020-11-09
2019-07-23,8.48317224183336,6724.6,2020-11-09
2019-07-24,8.60573076896246,6776.7,2020-11-09
2019-07-25,8.79055565208326,6818.0,2020-11-09
2019-07-26,8.74415791655154,6793.4,2020-11-09
2019-07-29,8.78239629555509,6825.8,2020-11-09
2019-07-30,8.78446258391221,6845.1,2020-11-09
2019-07-31,8.75662740481682,6812.6,2020-11-09
2019-08-01,8.73220764209954,5722.4,2020-11-09
2019-08-02,8.82503263530052,6071.5,2020-11-09
2019-08-05,8.61763378530844,6269.1,2020-11-09
2019-08-07,8.51101203744985,6672.3,2020-11-09
2019-08-08,8.62072161513406,6568.1,2020-11-09
2019-08-13,8.61409026309168,6568.5,2020-11-09
2019-08-14,8.54696250016868,6595.9,2020-11-09
2019-08-15,8.37103610409143,6408.1,2020-11-09
2019-08-16,8.3705538567932,6405.5,2020-11-09
2019-08-19,8.42749704162018,6467.4,2020-11-09
2019-08-20,8.59689592085649,6545.0,2020-11-09
2019-08-21,7.79532587987226,6483.3,2020-11-09
2019-08-22,7.46466284278157,6501.8,2020-11-09
2019-08-23,7.42956233959206,6523.1,2020-11-09
2019-08-26,7.39210217919972,6440.1,2020-11-09
2019-08-27,7.30774813334593,6471.2,2020-11-09
2019-08-28,7.34735796716985,6500.6,2020-11-09
2019-08-29,7.35719837817121,6507.4,2020-11-09
2019-08-30,7.42288220078676,6604.2,2020-11-09
2019-09-04,7.46913452716708,6221.8,2020-11-09
2019-09-05,7.52103039965117,6295.3,2020-11-09
2019-09-09,7.56064383777813,6648.0,2020-11-09
2019-09-10,7.47145904495383,6546.7,2020-11-09
2019-09-12,7.47910261251674,6730.0,2020-11-09
2019-09-13,7.5648570957005,6669.2,2020-11-09
2019-09-16,7.49028265883258,6673.5,2020-11-09
2019-09-17,7.55721953764209,6695.3,2020-11-09
2019-09-18,7.49653938843642,6681.6,2020-11-09
2019-09-19,7.58059838285912,6717.5,2020-11-09
2019-09-20,7.57035207168672,6730.8,2020-11-09
2019-09-23,7.47026042195808,6749.7,2020-11-09
2019-09-24,7.49232662496601,6748.9,2020-11-09
2019-09-25,7.41856656856657,6710.2,2020-11-09
2019-09-26,7.41636390628375,6677.6,2020-11-09
2019-09-27,7.52079150317955,6716.1,2020-11-09
2019-09-30,7.50302625362759,6688.3,2020-11-09
2019-10-01,7.52920869384555,5795.3,2020-11-09
2019-10-04,7.22054495986572,6223.5,2020-11-09
2019-10-07,7.18108046255537,6689.8,2020-11-09
2019-10-09,7.21842843024546,6614.1,2020-11-09
2019-10-10,7.51636771755225,6547.1,2020-11-09
2019-10-14,7.72914789700792,6642.6,2020-11-09
2019-10-15,7.78506995084535,6652.0,2020-11-09
2019-10-16,7.87747353344548,6736.5,2020-11-09
2019-10-17,7.95562317911069,6684.7,2020-11-09
2019-10-18,8.18486553924829,6649.7,2020-11-09
2019-10-21,8.32846990971197,6652.5,2020-11-09
2019-10-22,8.3151104682648,6672.2,2020-11-09
2019-10-23,8.33327622480658,6673.1,2020-11-09
