Date,Stock,Market,joined date
2020-01-02,81.23,3257.85,2021-04-21
2020-01-03,79.7,3234.85,2021-04-21
2020-01-06,79.45,3246.28,2021-04-21
2020-01-07,78.76,3237.18,2021-04-21
2020-01-08,79.36,3253.05,2021-04-21
2020-01-09,80.08,3274.7,2021-04-21
2020-01-10,79.25,3265.35,2021-04-21
2020-01-13,80.65,3288.13,2021-04-21
2020-01-14,81.91,3283.15,2021-04-21
2020-01-15,81.24,3289.29,2021-04-21
2020-01-16,81.0,3316.81,2021-04-21
2020-01-17,81.12,3329.62,2021-04-21
2020-01-21,79.9,3320.79,2021-04-21
2020-01-22,80.1,3321.75,2021-04-21
2020-01-23,79.8,3325.54,2021-04-21
2020-01-24,78.42,3295.47,2021-04-21
2020-01-27,76.71,3243.63,2021-04-21
2020-01-28,77.24,3276.24,2021-04-21
2020-01-29,76.48,3273.4,2021-04-21
2020-01-30,77.43,3283.66,2021-04-21
2020-01-31,74.41,3225.52,2021-04-21
2020-02-03,75.13,3248.92,2021-04-21
2020-02-04,76.5,3297.59,2021-04-21
2020-02-05,78.85,3334.69,2021-04-21
2020-02-06,78.97,3345.78,2021-04-21
2020-02-07,78.69,3327.71,2021-04-21
2020-02-10,78.48,3352.09,2021-04-21
2020-02-11,79.09,3357.75,2021-04-21
2020-02-12,79.33,3379.45,2021-04-21
2020-02-13,79.0,3373.94,2021-04-21
2020-02-14,78.79,3380.16,2021-04-21
2020-02-18,77.58,3370.29,2021-04-21
2020-02-19,78.05,3386.15,2021-04-21
2020-02-20,78.22,3373.23,2021-04-21
2020-02-21,76.44,3337.75,2021-04-21
2020-02-24,72.53,3225.89,2021-04-21
2020-02-25,69.43,3128.21,2021-04-21
2020-02-26,68.18,3116.39,2021-04-21
2020-02-27,64.45,2978.76,2021-04-21
2020-02-28,63.46,2954.22,2021-04-21
2020-03-02,67.59,3090.23,2021-04-21
2020-03-03,65.05,3003.37,2021-04-21
2020-03-04,67.39,3130.12,2021-04-21
2020-03-05,63.49,3023.94,2021-04-21
2020-03-06,61.28,2972.37,2021-04-21
2020-03-09,51.37,2746.56,2021-04-21
2020-03-10,55.58,2882.23,2021-04-21
2020-03-11,50.79,2741.38,2021-04-21
2020-03-12,43.26,2480.64,2021-04-21
