Date,Stock,Market,joined date
2020-01-02,50.09,3257.85,2021-12-16
2020-01-03,49.36,3234.85,2021-12-16
2020-01-06,49.77,3246.28,2021-12-16
2020-01-07,49.79,3237.18,2021-12-16
2020-01-08,50.06,3253.05,2021-12-16
2020-01-09,50.3,3274.7,2021-12-16
2020-01-10,50.63,3265.35,2021-12-16
2020-01-13,50.44,3288.13,2021-12-16
2020-01-14,52.45,3283.15,2021-12-16
2020-01-15,53.81,3289.29,2021-12-16
2020-01-16,54.42,3316.81,2021-12-16
2020-01-17,53.93,3329.62,2021-12-16
2020-01-21,54.01,3320.79,2021-12-16
2020-01-22,55.32,3321.75,2021-12-16
2020-01-23,54.87,3325.54,2021-12-16
2020-01-24,53.82,3295.47,2021-12-16
2020-01-27,53.38,3243.63,2021-12-16
2020-01-28,53.8,3276.24,2021-12-16
2020-01-29,53.74,3273.4,2021-12-16
2020-01-30,53.29,3283.66,2021-12-16
2020-01-31,51.21,3225.52,2021-12-16
2020-02-03,51.26,3248.92,2021-12-16
2020-02-04,51.59,3297.59,2021-12-16
2020-02-05,52.68,3334.69,2021-12-16
2020-02-06,58.26,3345.78,2021-12-16
2020-02-07,58.24,3327.71,2021-12-16
2020-02-10,59.19,3352.09,2021-12-16
2020-02-11,59.41,3357.75,2021-12-16
2020-02-12,60.13,3379.45,2021-12-16
2020-02-13,59.4,3373.94,2021-12-16
2020-02-14,59.62,3380.16,2021-12-16
2020-02-18,59.01,3370.29,2021-12-16
2020-02-19,59.35,3386.15,2021-12-16
2020-02-20,60.42,3373.23,2021-12-16
2020-02-21,59.72,3337.75,2021-12-16
2020-02-24,58.14,3225.89,2021-12-16
2020-02-25,55.44,3128.21,2021-12-16
2020-02-26,55.01,3116.39,2021-12-16
2020-02-27,52.25,2978.76,2021-12-16
2020-02-28,52.12,2954.22,2021-12-16
2020-03-02,54.02,3090.23,2021-12-16
2020-03-03,52.96,3003.37,2021-12-16
2020-03-04,54.63,3130.12,2021-12-16
2020-03-05,52.48,3023.94,2021-12-16
2020-03-06,51.27,2972.37,2021-12-16
2020-03-09,47.93,2746.56,2021-12-16
2020-03-10,49.71,2882.23,2021-12-16
2020-03-11,48.65,2741.38,2021-12-16
2020-03-12,42.39,2480.64,2021-12-16
2020-03-13,47.62,2711.02,2021-12-16
2020-03-16,44.22,2386.13,2021-12-16
2020-03-17,47.76,2529.19,2021-12-16
2020-03-18,45.7,2398.1,2021-12-16
2020-03-19,43.79,2409.39,2021-12-16
2020-03-20,43.33,2304.92,2021-12-16
2020-03-23,41.0,2237.4,2021-12-16
2020-03-24,43.54,2447.33,2021-12-16
2020-03-25,42.25,2475.56,2021-12-16
2020-03-26,45.4,2630.07,2021-12-16
2020-03-27,44.38,2541.47,2021-12-16
2020-03-30,48.44,2626.65,2021-12-16
2020-03-31,47.94,2584.59,2021-12-16
2020-04-01,47.71,2470.5,2021-12-16
2020-04-02,46.42,2526.9,2021-12-16
2020-04-03,46.61,2488.65,2021-12-16
2020-04-06,49.35,2663.68,2021-12-16
2020-04-07,47.88,2659.41,2021-12-16
2020-04-08,49.4,2749.98,2021-12-16
2020-04-09,50.43,2789.82,2021-12-16
2020-04-13,49.03,2761.63,2021-12-16
2020-04-14,50.69,2846.06,2021-12-16
2020-04-15,50.07,2783.36,2021-12-16
2020-04-16,50.06,2799.55,2021-12-16
2020-04-17,51.23,2874.56,2021-12-16
2020-04-20,50.74,2823.16,2021-12-16
2020-04-21,48.27,2736.56,2021-12-16
2020-04-22,49.04,2799.31,2021-12-16
2020-04-23,49.32,2797.8,2021-12-16
2020-04-24,50.32,2836.74,2021-12-16
2020-04-27,51.93,2878.48,2021-12-16
2020-04-28,51.45,2863.39,2021-12-16
2020-04-29,51.36,2939.51,2021-12-16
2020-04-30,49.48,2912.43,2021-12-16
2020-05-01,47.42,2830.71,2021-12-16
2020-05-04,47.02,2842.74,2021-12-16
2020-05-05,47.45,2868.44,2021-12-16
2020-05-06,47.4,2848.42,2021-12-16
2020-05-07,48.52,2881.19,2021-12-16
2020-05-08,49.88,2929.8,2021-12-16
2020-05-11,53.24,2930.32,2021-12-16
2020-05-12,50.1,2870.12,2021-12-16
2020-05-13,47.6,2820.0,2021-12-16
2020-05-14,47.3,2852.5,2021-12-16
2020-05-15,48.95,2863.7,2021-12-16
2020-05-18,52.21,2953.91,2021-12-16
2020-05-19,51.56,2922.94,2021-12-16
2020-05-20,52.95,2971.61,2021-12-16
2020-05-21,53.18,2948.51,2021-12-16
2020-05-22,53.59,2955.45,2021-12-16
2020-05-26,52.6,2991.77,2021-12-16
2020-05-27,53.75,3036.13,2021-12-16
2020-05-28,54.37,3029.73,2021-12-16
2020-05-29,54.69,3044.31,2021-12-16
2020-06-01,54.7,3055.73,2021-12-16
2020-06-02,55.77,3080.82,2021-12-16
2020-06-03,56.62,3122.87,2021-12-16
2020-06-04,56.49,3112.35,2021-12-16
2020-06-05,57.27,3193.93,2021-12-16
2020-06-08,59.31,3232.39,2021-12-16
2020-06-09,57.65,3207.18,2021-12-16
2020-06-10,55.47,3190.14,2021-12-16
2020-06-11,52.49,3002.1,2021-12-16
2020-06-12,52.89,3041.31,2021-12-16
2020-06-15,53.46,3066.59,2021-12-16
2020-06-16,54.5,3124.74,2021-12-16
2020-06-17,53.66,3113.49,2021-12-16
2020-06-18,53.11,3115.34,2021-12-16
2020-06-19,53.81,3097.74,2021-12-16
2020-06-22,53.82,3117.86,2021-12-16
2020-06-23,53.48,3131.29,2021-12-16
2020-06-24,52.01,3050.33,2021-12-16
2020-06-25,51.87,3083.76,2021-12-16
2020-06-26,50.55,3009.05,2021-12-16
2020-06-29,51.97,3053.24,2021-12-16
2020-06-30,52.19,3100.29,2021-12-16
2020-07-01,51.68,3115.86,2021-12-16
2020-07-02,51.8,3130.01,2021-12-16
2020-07-06,51.74,3179.72,2021-12-16
2020-07-07,50.22,3145.32,2021-12-16
2020-07-08,50.29,3169.94,2021-12-16
2020-07-09,48.88,3152.05,2021-12-16
2020-07-10,49.36,3185.04,2021-12-16
2020-07-13,49.87,3155.22,2021-12-16
2020-07-14,50.93,3197.52,2021-12-16
2020-07-15,52.09,3226.56,2021-12-16
2020-07-16,52.42,3215.57,2021-12-16
2020-07-17,53.13,3224.73,2021-12-16
2020-07-20,53.15,3251.84,2021-12-16
2020-07-21,55.99,3257.3,2021-12-16
2020-07-22,56.16,3276.02,2021-12-16
2020-07-23,56.55,3235.66,2021-12-16
2020-07-24,56.5,3215.63,2021-12-16
2020-07-27,57.48,3239.41,2021-12-16
2020-07-28,56.58,3218.44,2021-12-16
2020-07-29,57.7,3258.44,2021-12-16
2020-07-30,56.48,3246.22,2021-12-16
2020-07-31,54.62,3271.12,2021-12-16
2020-08-03,58.04,3294.61,2021-12-16
2020-08-04,57.83,3306.51,2021-12-16
2020-08-05,57.6,3327.77,2021-12-16
2020-08-06,53.11,3349.16,2021-12-16
2020-08-07,52.58,3351.28,2021-12-16
2020-08-10,53.06,3360.47,2021-12-16
2020-08-11,53.04,3333.69,2021-12-16
2020-08-12,53.82,3380.35,2021-12-16
2020-08-13,52.43,3373.43,2021-12-16
2020-08-14,53.68,3372.85,2021-12-16
2020-08-17,52.73,3381.99,2021-12-16
2020-08-18,52.05,3389.78,2021-12-16
2020-08-19,51.64,3374.85,2021-12-16
2020-08-20,50.16,3385.51,2021-12-16
2020-08-21,49.85,3397.16,2021-12-16
2020-08-24,49.8,3431.28,2021-12-16
2020-08-25,50.56,3443.62,2021-12-16
2020-08-26,50.95,3478.73,2021-12-16
2020-08-27,50.67,3484.55,2021-12-16
2020-08-28,50.5,3508.01,2021-12-16
2020-08-31,50.76,3500.31,2021-12-16
2020-09-01,49.34,3526.65,2021-12-16
2020-09-02,50.99,3580.84,2021-12-16
2020-09-03,50.02,3455.06,2021-12-16
2020-09-04,49.72,3426.96,2021-12-16
2020-09-08,49.27,3331.84,2021-12-16
2020-09-09,49.54,3398.96,2021-12-16
2020-09-10,48.54,3339.19,2021-12-16
2020-09-11,48.38,3340.97,2021-12-16
2020-09-14,47.05,3383.54,2021-12-16
2020-09-15,46.55,3401.2,2021-12-16
2020-09-16,47.21,3385.49,2021-12-16
2020-09-17,47.3,3357.01,2021-12-16
2020-09-18,47.68,3319.47,2021-12-16
2020-09-21,47.1,3281.06,2021-12-16
2020-09-22,47.08,3315.57,2021-12-16
2020-09-23,45.25,3236.92,2021-12-16
2020-09-24,45.81,3246.59,2021-12-16
2020-09-25,47.43,3298.46,2021-12-16
2020-09-28,47.55,3351.6,2021-12-16
2020-09-29,46.89,3335.47,2021-12-16
2020-09-30,46.95,3363.0,2021-12-16
2020-10-01,46.08,3380.8,2021-12-16
2020-10-02,46.3,3348.44,2021-12-16
2020-10-05,47.15,3408.63,2021-12-16
2020-10-06,46.47,3360.95,2021-12-16
2020-10-07,47.15,3419.45,2021-12-16
2020-10-08,48.68,3446.83,2021-12-16
2020-10-09,48.03,3477.13,2021-12-16
2020-10-12,48.32,3534.22,2021-12-16
2020-10-13,47.92,3511.93,2021-12-16
2020-10-14,48.37,3488.67,2021-12-16
2020-10-15,48.92,3483.34,2021-12-16
2020-10-16,48.79,3483.81,2021-12-16
2020-10-19,47.9,3426.92,2021-12-16
2020-10-20,47.71,3443.12,2021-12-16
2020-10-21,47.83,3435.56,2021-12-16
2020-10-22,48.77,3453.49,2021-12-16
2020-10-23,49.34,3465.39,2021-12-16
2020-10-26,48.03,3400.97,2021-12-16
2020-10-27,47.48,3390.68,2021-12-16
2020-10-28,45.96,3271.03,2021-12-16
2020-10-29,45.61,3310.11,2021-12-16
2020-10-30,45.79,3269.96,2021-12-16
2020-11-02,47.52,3310.24,2021-12-16
2020-11-03,48.79,3369.02,2021-12-16
2020-11-04,49.44,3443.44,2021-12-16
2020-11-05,53.06,3510.45,2021-12-16
2020-11-06,52.64,3509.44,2021-12-16
2020-11-09,55.41,3550.5,2021-12-16
2020-11-10,57.37,3545.53,2021-12-16
2020-11-11,56.23,3572.66,2021-12-16
2020-11-12,56.0,3537.01,2021-12-16
2020-11-13,57.43,3585.15,2021-12-16
2020-11-16,58.47,3626.91,2021-12-16
2020-11-17,54.68,3609.53,2021-12-16
2020-11-18,53.32,3567.79,2021-12-16
2020-11-19,52.29,3581.87,2021-12-16
2020-11-20,51.86,3557.54,2021-12-16
2020-11-23,52.29,3577.59,2021-12-16
2020-11-24,53.97,3635.41,2021-12-16
2020-11-25,53.77,3629.65,2021-12-16
2020-11-27,53.78,3638.35,2021-12-16
2020-11-30,54.59,3621.63,2021-12-16
2020-12-01,54.03,3662.45,2021-12-16
2020-12-02,55.65,3669.01,2021-12-16
2020-12-03,55.43,3666.72,2021-12-16
2020-12-04,56.99,3699.12,2021-12-16
2020-12-07,55.4,3691.96,2021-12-16
2020-12-08,56.47,3702.25,2021-12-16
2020-12-09,56.15,3672.82,2021-12-16
2020-12-10,55.45,3668.1,2021-12-16
2020-12-11,54.28,3663.46,2021-12-16
2020-12-14,53.55,3647.49,2021-12-16
2020-12-15,54.92,3694.62,2021-12-16
2020-12-16,54.24,3701.17,2021-12-16
2020-12-17,54.22,3722.48,2021-12-16
2020-12-18,54.96,3709.41,2021-12-16
2020-12-21,54.02,3694.92,2021-12-16
2020-12-22,53.63,3687.26,2021-12-16
2020-12-23,53.86,3690.01,2021-12-16
2020-12-24,53.8,3703.06,2021-12-16
2020-12-28,53.66,3735.36,2021-12-16
2020-12-29,53.5,3727.04,2021-12-16
2020-12-30,53.49,3732.04,2021-12-16
2020-12-31,53.56,3756.07,2021-12-16
2021-01-04,52.93,3700.65,2021-12-16
2021-01-05,53.12,3726.86,2021-12-16
2021-01-06,55.06,3748.14,2021-12-16
2021-01-07,56.31,3803.79,2021-12-16
2021-01-08,55.91,3824.68,2021-12-16
2021-01-11,55.74,3799.61,2021-12-16
2021-01-12,55.99,3801.19,2021-12-16
2021-01-13,55.4,3809.84,2021-12-16
2021-01-14,55.39,3795.54,2021-12-16
2021-01-15,55.44,3768.25,2021-12-16
2021-01-19,54.81,3798.91,2021-12-16
2021-01-20,54.59,3851.85,2021-12-16
2021-01-21,55.07,3853.07,2021-12-16
2021-01-22,55.39,3841.47,2021-12-16
2021-01-25,55.03,3855.36,2021-12-16
2021-01-26,55.48,3849.62,2021-12-16
2021-01-27,55.29,3750.77,2021-12-16
2021-01-28,55.57,3787.38,2021-12-16
2021-01-29,53.73,3714.24,2021-12-16
2021-02-01,54.48,3773.86,2021-12-16
2021-02-02,54.54,3826.31,2021-12-16
2021-02-03,54.4,3830.17,2021-12-16
2021-02-04,55.98,3871.74,2021-12-16
2021-02-05,54.26,3886.83,2021-12-16
2021-02-08,52.91,3915.59,2021-12-16
2021-02-09,52.95,3911.23,2021-12-16
2021-02-10,53.06,3909.88,2021-12-16
2021-02-11,52.41,3916.38,2021-12-16
2021-02-12,51.86,3934.83,2021-12-16
2021-02-16,51.75,3932.59,2021-12-16
2021-02-17,51.72,3931.33,2021-12-16
2021-02-18,51.37,3913.97,2021-12-16
2021-02-19,52.0,3906.71,2021-12-16
