Date,Stock,Market,joined date
2020-01-02,6.58467931103811,5970.73,2021-04-21
2020-01-03,6.46046729597643,5896.33,2021-04-21
2020-01-06,6.27812227171991,5855.23,2021-04-21
2020-01-07,6.36276455763955,5899.76,2021-04-21
2020-01-08,6.47081029467278,5941.4,2021-04-21
2020-01-09,6.49750138811772,6019.41,2021-04-21
2020-01-10,6.39734009429769,6014.16,2021-04-21
2020-01-13,6.31575431682311,5999.99,2021-04-21
2020-01-14,6.3235081394443,6002.2,2021-04-21
2020-01-15,6.08624880148057,5991.41,2021-04-21
2020-01-16,6.08527174941817,5990.13,2021-04-21
2020-01-17,5.85887257728299,6033.27,2021-04-21
2020-01-20,5.72671096861511,6043.44,2021-04-21
2020-01-21,5.68952524491333,6046.53,2021-04-21
2020-01-22,5.68525891995609,6028.64,2021-04-21
2020-01-23,5.61333318597276,5971.84,2021-04-21
2020-01-24,5.66584728667646,6055.81,2021-04-21
2020-01-27,5.59613117860253,5889.92,2021-04-21
2020-01-28,5.7656704575509,5942.97,2021-04-21
2020-01-29,5.7907194363406,5952.47,2021-04-21
2020-01-30,5.76757627230815,5868.67,2021-04-21
2020-01-31,5.76835612943304,5790.54,2021-04-21
2020-02-03,5.78113941967443,5818.74,2021-04-21
2020-02-04,5.99030509148327,5924.26,2021-04-21
2020-02-05,6.07033672773661,6011.95,2021-04-21
2020-02-06,6.26626406807576,6038.41,2021-04-21
2020-02-07,6.36113938040993,6011.25,2021-04-21
2020-02-10,6.28143170388473,6002.43,2021-04-21
2020-02-11,6.35743519781722,6061.94,2021-04-21
2020-02-12,6.41170587467928,6116.31,2021-04-21
2020-02-13,6.96469414965688,6114.74,2021-04-21
2020-02-14,7.15863801767459,6114.27,2021-04-21
2020-02-17,7.31295096530954,6131.79,2021-04-21
2020-02-18,7.25369591021907,6086.13,2021-04-21
2020-02-19,7.21709630718039,6134.21,2021-04-21
2020-02-20,7.27849124963604,6078.56,2021-04-21
2020-02-21,7.06966657630792,6039.07,2021-04-21
2020-02-24,6.64792889776337,5797.14,2021-04-21
2020-02-25,6.2750217580505,5688.2,2021-04-21
2020-02-26,6.25326370757183,5681.34,2021-04-21
2020-02-27,5.98948595561224,5499.98,2021-04-21
2020-02-28,5.74512419655362,5287.76,2021-04-21
2020-03-02,5.5660072803375,5273.53,2021-04-21
2020-03-03,5.48325476440494,5330.32,2021-04-21
2020-03-04,5.38328786950955,5393.8,2021-04-21
2020-03-05,5.20702211832406,5309.98,2021-04-21
2020-03-06,4.85312538792275,5130.98,2021-04-21
2020-03-09,4.16270790645498,4723.32,2021-04-21
2020-03-10,4.23246108729981,4656.77,2021-04-21
2020-03-11,4.46397386062757,4640.31,2021-04-21
2020-03-12,3.49079075384977,4072.35,2021-04-21
2020-03-13,3.59744586340922,4103.92,2021-04-21
2020-03-16,3.35767076265975,3886.24,2021-04-21
2020-03-17,3.46374612390316,3973.66,2021-04-21
2020-03-18,3.38793460942444,3753.08,2021-04-21
2020-03-19,3.55764605270191,3828.28,2021-04-21
2020-03-20,3.49588279328415,3969.36,2021-04-21
2020-03-23,3.39962476547841,3885.87,2021-04-21
2020-03-24,3.79541335864688,4312.38,2021-04-21
2020-03-25,4.03592566803029,4389.6,2021-04-21
2020-03-26,4.2016806722689,4445.92,2021-04-21
2020-03-27,3.99367250771441,4282.13,2021-04-21
2020-03-30,3.68713479360661,4363.68,2021-04-21
2020-03-31,3.64894672989964,4416.97,2021-04-21
2020-04-01,3.39822853635009,4243.12,2021-04-21
2020-04-02,3.39792650491234,4254.7,2021-04-21
2020-04-03,3.33967403052181,4234.68,2021-04-21
2020-04-06,3.59015862738751,4478.91,2021-04-21
2020-04-07,3.81005270264385,4604.07,2021-04-21
2020-04-08,3.64435759648266,4593.48,2021-04-21
2020-04-09,3.71191922723895,4696.55,2021-04-21
2020-04-14,3.69992204912003,4755.15,2021-04-21
2020-04-15,3.32009947209982,4569.86,2021-04-21
2020-04-16,3.24293283347598,4579.54,2021-04-21
2020-04-17,3.46072694842624,4723.68,2021-04-21
2020-04-20,3.476929092805,4745.96,2021-04-21
2020-04-21,3.29262335124572,4556.57,2021-04-21
2020-04-22,3.34184667330418,4630.0,2021-04-21
2020-04-23,3.456933803166,4673.9,2021-04-21
2020-04-24,3.33041191936897,4594.9,2021-04-21
2020-04-27,3.52993405736685,4738.89,2021-04-21
2020-04-28,3.71380045219009,4799.19,2021-04-21
2020-04-29,3.96429309238783,4921.7,2021-04-21
2020-04-30,3.69619753951996,4804.6,2021-04-21
2020-05-04,3.49754070648795,4629.93,2021-04-21
2020-05-05,3.58087310877011,4746.36,2021-04-21
2020-05-06,3.46703510211132,4691.87,2021-04-21
2020-05-07,3.51715248215427,4735.99,2021-04-21
2020-05-08,3.51649304614583,4800.55,2021-04-21
2020-05-11,3.46116856312339,4765.55,2021-04-21
2020-05-12,3.48590021691973,4763.74,2021-04-21
2020-05-13,3.22964437137667,4641.75,2021-04-21
2020-05-14,3.1925927526524,4551.65,2021-04-21
2020-05-15,3.11797023706523,4602.82,2021-04-21
2020-05-18,3.40127888959211,4863.89,2021-04-21
2020-05-19,3.57989231928533,4870.83,2021-04-21
2020-05-20,3.7080131723381,4933.81,2021-04-21
2020-05-21,3.60439271676174,4857.76,2021-04-21
2020-05-22,3.60136468177408,4861.16,2021-04-21
2020-05-25,3.63588804603713,4999.89,2021-04-21
2020-05-26,3.88471040351359,5049.42,2021-04-21
2020-05-27,4.11183486642312,5116.1,2021-04-21
2020-05-28,4.1679127208285,5171.09,2021-04-21
2020-05-29,3.88542383415089,5079.39,2021-04-21
2020-06-02,4.21627538141936,5266.8,2021-04-21
2020-06-03,4.39172872370299,5469.82,2021-04-21
2020-06-04,4.50376920024941,5445.52,2021-04-21
2020-06-05,4.99542997709348,5627.52,2021-04-21
2020-06-08,5.262088123038,5614.55,2021-04-21
2020-06-09,4.99075785582255,5526.3,2021-04-21
2020-06-10,4.9796493781123,5487.83,2021-04-21
2020-06-11,4.56851071521368,5242.19,2021-04-21
2020-06-12,4.68167955253947,5232.76,2021-04-21
2020-06-15,4.68162673791949,5216.2,2021-04-21
2020-06-16,4.82395873223255,5393.16,2021-04-21
2020-06-17,4.75692570606225,5422.54,2021-04-21
2020-06-18,4.39565363503978,5376.27,2021-04-21
2020-06-19,4.30463206123931,5379.83,2021-04-21
2020-06-22,4.34107130795039,5339.27,2021-04-21
2020-06-23,4.54951440943369,5452.82,2021-04-21
2020-06-24,4.25474468156916,5265.58,2021-04-21
2020-06-25,4.39932697700504,5302.1,2021-04-21
2020-06-26,4.21200224340997,5263.64,2021-04-21
2020-06-29,4.45890657314988,5322.92,2021-04-21
2020-06-30,4.45535102595493,5357.17,2021-04-21
2020-07-01,4.45499443125697,5330.75,2021-04-21
2020-07-02,4.64016002876922,5482.11,2021-04-21
2020-07-03,4.64203363140431,5447.18,2021-04-21
2020-07-06,5.01622697409338,5536.55,2021-04-21
2020-07-07,5.17744643923768,5485.82,2021-04-21
2020-07-08,5.1558304727594,5432.62,2021-04-21
2020-07-09,4.90721416887586,5426.16,2021-04-21
2020-07-10,5.14512320502536,5488.84,2021-04-21
2020-07-13,5.14044657133461,5561.17,2021-04-21
2020-07-14,5.28660968660969,5516.47,2021-04-21
2020-07-15,5.37185367746058,5616.31,2021-04-21
2020-07-16,5.37051792828686,5591.86,2021-04-21
2020-07-17,5.29593235831811,5611.13,2021-04-21
2020-07-20,5.29971847748966,5666.5,2021-04-21
2020-07-21,5.38381742738589,5720.78,2021-04-21
2020-07-22,5.33287061137141,5691.47,2021-04-21
2020-07-23,5.24625515930065,5690.92,2021-04-21
2020-07-24,5.34338690316641,5575.65,2021-04-21
2020-07-27,5.3490640313047,5576.1,2021-04-21
2020-07-28,5.35915096991846,5574.54,2021-04-21
2020-07-29,5.31608856610627,5568.82,2021-04-21
2020-07-30,5.09968371299618,5376.33,2021-04-21
2020-07-31,5.12050675238131,5346.62,2021-04-21
2020-08-03,5.2359838639491,5491.48,2021-04-21
2020-08-04,5.35482500648998,5471.16,2021-04-21
2020-08-05,5.64464476337325,5496.82,2021-04-21
2020-08-06,5.69759295103964,5466.98,2021-04-21
2020-08-07,5.62195035711762,5502.97,2021-04-21
2020-08-10,5.67787062247677,5508.37,2021-04-21
2020-08-11,5.74507548188672,5621.15,2021-04-21
2020-08-12,5.79440353460972,5669.58,2021-04-21
2020-08-13,5.66619418851878,5641.11,2021-04-21
2020-08-14,5.66357220669732,5600.82,2021-04-21
2020-08-17,5.60217440328534,5609.34,2021-04-21
2020-08-18,5.59472259003445,5592.52,2021-04-21
2020-08-19,5.66470978127071,5634.15,2021-04-21
2020-08-20,5.46819410843886,5570.1,2021-04-21
2020-08-21,5.42567997924088,5541.87,2021-04-21
2020-08-24,5.56347906033783,5672.9,2021-04-21
2020-08-25,5.6218864262978,5670.84,2021-04-21
2020-08-26,5.77136908845726,5726.74,2021-04-21
2020-08-27,5.72019622909156,5685.93,2021-04-21
2020-08-28,5.91701185544921,5650.8,2021-04-21
2020-08-31,5.80448794461685,5610.72,2021-04-21
2020-09-01,5.79302788132866,5623.37,2021-04-21
2020-09-02,5.62542226225896,5737.43,2021-04-21
2020-09-03,5.59630309852478,5656.75,2021-04-21
2020-09-04,6.09655041788004,5563.7,2021-04-21
2020-09-07,5.95103044053695,5675.42,2021-04-21
2020-09-08,5.70927123455481,5618.02,2021-04-21
2020-09-09,5.79716986699081,5734.57,2021-04-21
2020-09-10,5.85094444378818,5722.24,2021-04-21
2020-09-11,5.73059793423672,5719.65,2021-04-21
2020-09-14,5.67885117493474,5715.78,2021-04-21
2020-09-15,5.53278688524591,5726.22,2021-04-21
2020-09-16,5.62230492055054,5742.46,2021-04-21
2020-09-17,5.4803933183272,5721.91,2021-04-21
2020-09-18,5.30533492738013,5682.19,2021-04-21
2020-09-21,4.98887829679059,5433.6,2021-04-21
2020-09-22,4.95867768595042,5456.11,2021-04-21
2020-09-23,4.81048372993201,5477.16,2021-04-21
2020-09-24,4.77385468339657,5461.39,2021-04-21
2020-09-25,4.65430016863405,5401.88,2021-04-21
2020-09-28,4.92919961742133,5575.89,2021-04-21
2020-09-29,4.82246019444835,5556.37,2021-04-21
2020-09-30,4.91334559814387,5528.17,2021-04-21
2020-10-01,5.00540362747862,5510.1,2021-04-21
2020-10-02,5.03894582723279,5492.11,2021-04-21
2020-10-05,5.16835135835629,5552.34,2021-04-21
2020-10-06,5.47863227805027,5585.9,2021-04-21
2020-10-07,5.48368887739022,5595.61,2021-04-21
2020-10-08,5.56862007337031,5644.88,2021-04-21
2020-10-09,5.55489866862155,5648.8,2021-04-21
2020-10-12,5.58869738816109,5686.5,2021-04-21
2020-10-13,5.31180270111569,5634.8,2021-04-21
2020-10-14,5.31743701180479,5638.7,2021-04-21
2020-10-15,5.11905040619952,5498.36,2021-04-21
2020-10-16,5.05982024631176,5587.15,2021-04-21
2020-10-19,5.18172512383666,5563.58,2021-04-21
2020-10-20,5.37029375258586,5512.62,2021-04-21
2020-10-21,5.32439805479776,5434.99,2021-04-21
2020-10-22,5.24157814512411,5428.65,2021-04-21
2020-10-23,5.42431573454768,5473.08,2021-04-21
2020-10-26,5.24985830341961,5270.22,2021-04-21
2020-10-27,5.00342053737822,5221.14,2021-04-21
2020-10-28,4.80446271285967,5003.45,2021-04-21
2020-10-29,4.69297221573662,5019.67,2021-04-21
2020-10-30,4.71121256944525,5001.72,2021-04-21
2020-11-02,4.91788013176427,5102.04,2021-04-21
2020-11-03,5.12472186438692,5232.16,2021-04-21
2020-11-04,4.99472512015006,5334.05,2021-04-21
2020-11-05,4.74732549205037,5439.56,2021-04-21
2020-11-06,4.73454269161363,5401.51,2021-04-21
2020-11-09,5.43512929252361,5668.0,2021-04-21
2020-11-10,5.83732057416268,5696.8,2021-04-21
2020-11-11,5.6141136013002,5719.79,2021-04-21
2020-11-12,5.62578939291994,5649.05,2021-04-21
2020-11-13,5.83314599429701,5659.36,2021-04-21
2020-11-16,5.95019379615254,5686.05,2021-04-21
2020-11-17,6.0206381212193,5683.82,2021-04-21
2020-11-18,6.1345912247849,5713.42,2021-04-21
2020-11-19,5.8581181359454,5663.36,2021-04-21
2020-11-20,5.88737302499795,5685.51,2021-04-21
2020-11-23,6.206561763696,5681.14,2021-04-21
2020-11-24,6.50276991844787,5752.6,2021-04-21
2020-11-25,6.33056157823257,5751.59,2021-04-21
2020-11-26,6.30673560315454,5750.33,2021-04-21
2020-11-27,6.44991506973853,5771.71,2021-04-21
2020-11-30,6.2145140512429,5752.6,2021-04-21
2020-12-01,6.52021726010862,5791.85,2021-04-21
2020-12-02,6.66327445421726,5759.83,2021-04-21
2020-12-03,6.69887825960275,5733.74,2021-04-21
2020-12-04,6.69510835312939,5753.75,2021-04-21
2020-12-07,6.53832183073009,5741.63,2021-04-21
2020-12-08,6.47885960454027,5744.92,2021-04-21
2020-12-09,6.47780126849892,5771.55,2021-04-21
2020-12-10,6.30590177065256,5752.37,2021-04-21
2020-12-11,6.14993338985106,5673.94,2021-04-21
2020-12-14,6.23178550612008,5721.11,2021-04-21
2020-12-15,6.42785972927652,5781.24,2021-04-21
2020-12-16,6.45468183980385,5869.02,2021-04-21
2020-12-17,6.49363393273313,5912.91,2021-04-21
2020-12-18,6.47802056397751,5897.03,2021-04-21
2020-12-21,6.21893592537277,5730.81,2021-04-21
2020-12-22,6.31399732457738,5805.14,2021-04-21
2020-12-23,6.53360627772093,5878.31,2021-04-21
2020-12-28,6.54672480549146,5966.16,2021-04-21
2020-12-29,6.46638825272801,5953.65,2021-04-21
2020-12-30,6.47453709395826,5935.22,2021-04-21
2021-01-04,6.40325306812335,5938.66,2021-04-21
2021-01-05,6.58962380132776,5905.99,2021-04-21
2021-01-06,6.97840662591202,6010.14,2021-04-21
2021-01-07,7.00368098159512,6043.15,2021-04-21
2021-01-08,6.67839601202256,6078.31,2021-04-21
2021-01-11,6.78159662742523,6029.48,2021-04-21
2021-01-12,6.91162109375,6024.46,2021-04-21
2021-01-13,6.84926510813667,6030.8,2021-04-21
2021-01-14,6.98239813284059,6052.0,2021-04-21
2021-01-15,6.84582402318979,5965.05,2021-04-21
2021-01-18,6.97991764180222,5991.27,2021-04-21
2021-01-19,7.01967157445364,5976.87,2021-04-21
2021-01-20,7.07118389677667,6022.86,2021-04-21
2021-01-21,7.11479756272574,6016.51,2021-04-21
2021-01-22,7.06168633653731,6002.36,2021-04-21
2021-01-25,6.67046957872637,5902.84,2021-04-21
2021-01-26,6.87038680885731,6001.07,2021-04-21
2021-01-27,6.55769463615447,5892.68,2021-04-21
2021-01-28,6.97446091562526,5912.36,2021-04-21
2021-01-29,6.65056614764742,5811.52,2021-04-21
2021-02-01,6.51665340182816,5893.36,2021-04-21
2021-02-02,6.71700203509023,5985.57,2021-04-21
2021-02-03,6.79438734987608,6028.17,2021-04-21
2021-02-04,6.74657288451879,6068.2,2021-04-21
2021-02-05,6.77721180593185,6066.97,2021-04-21
2021-02-08,6.73967783520682,6068.44,2021-04-21
2021-02-09,6.62312641616884,6047.76,2021-04-21
2021-02-10,6.58145029381475,6013.42,2021-04-21
2021-02-11,6.19496931622481,6060.24,2021-04-21
2021-02-12,6.20440609776789,6063.93,2021-04-21
2021-02-15,6.33511599422756,6089.94,2021-04-21
2021-02-16,6.3667283973032,6070.69,2021-04-21
2021-02-17,6.31168456020415,6003.45,2021-04-21
2021-02-18,6.24221838093972,5993.92,2021-04-21
2021-02-19,6.45591246713275,6039.59,2021-04-21
2021-02-22,6.4027614035514,6021.01,2021-04-21
2021-02-23,6.4025464397225,5984.34,2021-04-21
2021-02-24,6.61719985403235,6032.3,2021-04-21
2021-02-25,6.82097675607884,5990.56,2021-04-21
2021-02-26,6.55614986175336,5948.94,2021-04-21
2021-03-01,6.57526985350807,6046.64,2021-04-21
2021-03-02,6.61992263056093,6058.45,2021-04-21
2021-03-03,6.67269766600323,6075.53,2021-04-21
2021-03-04,6.53105181285151,6063.06,2021-04-21
2021-03-05,6.56386300259793,6004.7,2021-04-21
2021-03-08,6.89736848338423,6203.01,2021-04-21
2021-03-09,6.7509042451932,6227.54,2021-04-21
2021-03-10,6.57786469823627,6271.77,2021-04-21
2021-03-11,6.50008987956139,6284.17,2021-04-21
2021-03-12,6.59511402208732,6255.35,2021-04-21
2021-03-15,6.27892552125578,6237.67,2021-04-21
2021-03-16,6.21653140395554,6279.15,2021-04-21
2021-03-17,6.29806195050667,6295.99,2021-04-21
2021-03-18,6.53655514250307,6372.86,2021-04-21
2021-03-19,6.32528686378136,6306.39,2021-04-21
2021-03-22,6.27334009425523,6322.01,2021-04-21
2021-03-23,6.25155518691864,6324.08,2021-04-21
2021-03-24,6.33120718166784,6301.81,2021-04-21
2021-03-25,6.15022645726723,6306.55,2021-04-21
2021-03-26,6.15282987708497,6361.58,2021-04-21
2021-03-29,6.04798870853919,6391.24,2021-04-21
2021-03-30,6.22012932246274,6473.57,2021-04-21
2021-03-31,6.13140055825302,6473.46,2021-04-21
2021-04-01,6.17007747921722,6509.88,2021-04-21
2021-04-06,6.20465259882911,6544.93,2021-04-21
2021-04-07,6.19257887614842,6529.25,2021-04-21
2021-04-08,6.09774982429807,6540.68,2021-04-21
2021-04-09,6.01579786348174,6554.32,2021-04-21
2021-04-12,6.00333452423484,6546.06,2021-04-21
2021-04-13,5.9264126149803,6554.57,2021-04-21
2021-04-14,5.99501712862037,6543.73,2021-04-21
2021-04-15,5.87302726826759,6563.7,2021-04-21
2021-04-16,5.9543210468293,6651.62,2021-04-21
2021-04-19,6.13440827868359,6604.37,2021-04-21
2021-04-20,5.84140545093556,6501.63,2021-04-21
2021-04-21,5.79146862402983,6530.35,2021-04-21
2021-04-22,5.82008674860926,6583.55,2021-04-21
2021-04-23,5.9720995511246,6566.04,2021-04-21
2021-04-26,6.12365727818656,6572.17,2021-04-21
2021-04-27,6.25052893741011,6551.91,2021-04-21
2021-04-28,6.46275821937738,6559.52,2021-04-21
2021-04-29,6.59702867114226,6489.96,2021-04-21
2021-04-30,6.59904577629823,6465.5,2021-04-21
2021-05-03,6.75053068313391,6508.68,2021-04-21
2021-05-04,6.7585262424468,6345.82,2021-04-21
2021-05-05,6.80680440341423,6480.13,2021-04-21
2021-05-06,6.80170344186947,6469.27,2021-04-21
2021-05-07,6.82827152535365,6547.17,2021-04-21
2021-05-10,7.01177726296895,6547.21,2021-04-21
2021-05-11,7.0069960647136,6428.09,2021-04-21
2021-05-12,7.55880613587265,6439.99,2021-04-21
2021-05-13,7.56929766290233,6444.41,2021-04-21
2021-05-14,7.88617491380563,6536.83,2021-04-21
2021-05-17,7.87260929791732,6527.93,2021-04-21
2021-05-18,7.96622389500569,6523.68,2021-04-21
2021-05-19,7.81196747650809,6407.95,2021-04-21
2021-05-20,7.91999315344831,6508.79,2021-04-21
2021-05-21,7.92117794638834,6535.77,2021-04-21
2021-05-25,8.09109061286492,6546.32,2021-04-21
2021-05-26,7.87356461954797,6540.25,2021-04-21
2021-05-27,8.08939174113945,6521.75,2021-04-21
2021-05-28,8.06791726088178,6570.0,2021-04-21
2021-05-31,8.06601466992663,6528.32,2021-04-21
2021-06-01,8.17896523512388,6590.28,2021-04-21
2021-06-02,8.3204121747836,6600.98,2021-04-21
2021-06-03,8.31100495871774,6613.4,2021-04-21
2021-06-04,8.24787416517645,6638.85,2021-04-21
2021-06-07,8.30072768493804,6631.82,2021-04-21
2021-06-08,8.17886396553193,6616.29,2021-04-21
2021-06-09,8.06186445838157,6591.23,2021-04-21
2021-06-10,8.07778426791277,6586.86,2021-04-21
2021-06-11,7.8930802382451,6638.65,2021-04-21
2021-06-14,7.79186156418896,6630.24,2021-04-21
2021-06-15,7.79573477528156,6653.88,2021-04-21
2021-06-16,7.5226386806597,6645.68,2021-04-21
2021-06-17,7.53533116643448,6652.85,2021-04-21
2021-06-18,7.29153077078168,6534.44,2021-04-21
2021-06-21,7.33604994757408,6600.09,2021-04-21
2021-06-22,7.38605161998903,6614.08,2021-04-21
2021-06-23,7.35537879962315,6537.97,2021-04-21
2021-06-24,7.40855622628904,6594.16,2021-04-21
2021-06-25,7.46411140678513,6602.09,2021-04-21
2021-06-28,7.27010397786891,6579.34,2021-04-21
2021-06-29,7.22025954870405,6637.04,2021-04-21
2021-06-30,7.09162685381667,6569.55,2021-04-21
2021-07-01,7.11357550768936,6600.33,2021-04-21
2021-07-02,7.01752304571176,6619.9,2021-04-21
2021-07-05,7.13082671094768,6624.93,2021-04-21
2021-07-06,6.88631957251619,6561.23,2021-04-21
2021-07-07,6.70439139404658,6637.94,2021-04-21
2021-07-08,6.61614068328498,6522.85,2021-04-21
2021-07-09,6.77471059661622,6635.91,2021-04-21
2021-07-12,6.75489777524784,6679.3,2021-04-21
2021-07-13,6.56870709853652,6678.94,2021-04-21
2021-07-14,6.6098585715131,6678.66,2021-04-21
2021-07-15,6.62060004724781,6611.26,2021-04-21
2021-07-16,6.47031047101879,6573.47,2021-04-21
2021-07-19,6.26120811703636,6401.26,2021-04-21
2021-07-20,6.31824446093501,6436.4,2021-04-21
2021-07-21,6.49269483390916,6523.64,2021-04-21
2021-07-22,6.41463242390718,6562.57,2021-04-21
2021-07-23,6.41280678006005,6623.05,2021-04-21
2021-07-26,6.51894328224367,6601.81,2021-04-21
2021-07-27,6.35123161438951,6559.68,2021-04-21
2021-07-28,6.34377405411807,6581.31,2021-04-21
2021-07-29,6.47783866021656,6610.9,2021-04-21
2021-07-30,6.4572798708544,6570.29,2021-04-21
2021-08-02,6.4224429491972,6580.58,2021-04-21
2021-08-03,6.45421445260149,6574.82,2021-04-21
2021-08-04,6.06663116160719,6632.81,2021-04-21
2021-08-05,6.13012766662329,6655.0,2021-04-21
2021-08-06,6.24456099912976,6662.07,2021-04-21
2021-08-09,6.39077006138427,6655.32,2021-04-21
2021-08-10,6.32301761211169,6666.02,2021-04-21
2021-08-11,6.41659135456158,6689.45,2021-04-21
2021-08-12,6.39710107536972,6736.5,2021-04-21
2021-08-13,6.4343827378847,6753.41,2021-04-21
2021-08-16,6.24065197677569,6731.65,2021-04-21
2021-08-17,6.0436472626797,6730.12,2021-04-21
2021-08-18,6.18522898930878,6748.78,2021-04-21
2021-08-19,6.04716320336211,6664.2,2021-04-21
2021-08-20,6.03632791026797,6682.11,2021-04-21
2021-08-23,6.09462522164944,6701.0,2021-04-21
2021-08-24,6.1526708585532,6723.34,2021-04-21
2021-08-25,6.31223370447967,6704.21,2021-04-21
2021-08-26,6.21930298686342,6675.84,2021-04-21
2021-08-27,6.2160950988254,6700.41,2021-04-21
2021-08-30,6.19589063716355,6715.45,2021-04-21
2021-08-31,6.2694814395013,6693.35,2021-04-21
2021-09-01,6.35290775440632,6688.79,2021-04-21
2021-09-02,6.42327100029684,6693.18,2021-04-21
2021-09-03,6.47568351136511,6668.09,2021-04-21
2021-09-06,6.58912888677903,6731.87,2021-04-21
2021-09-07,6.79910497590772,6694.3,2021-04-21
2021-09-08,6.62469138719243,6596.0,2021-04-21
2021-09-09,6.49189400120614,6601.36,2021-04-21
2021-09-10,6.47646051154823,6595.76,2021-04-21
2021-09-13,6.56055167201964,6634.46,2021-04-21
2021-09-14,6.43212047538679,6643.59,2021-04-21
2021-09-15,6.3328528556913,6598.35,2021-04-21
2021-09-16,6.35727310158227,6613.54,2021-04-21
2021-09-17,6.41004596191727,6545.31,2021-04-21
2021-09-20,5.90235437576213,6393.99,2021-04-21
2021-09-21,5.97172399240345,6485.46,2021-04-21
2021-09-22,6.17842284859532,6552.31,2021-04-21
2021-09-23,6.34916909210403,6610.3,2021-04-21
2021-09-24,6.41341017711553,6562.88,2021-04-21
2021-09-27,6.60125827349908,6580.68,2021-04-21
2021-09-28,6.57173895268023,6443.22,2021-04-21
2021-09-29,6.68916098511201,6492.53,2021-04-21
2021-09-30,6.66489090656414,6448.35,2021-04-21
2021-10-01,6.50767518434355,6404.29,2021-04-21
2021-10-04,6.61351988936792,6353.63,2021-04-21
2021-10-05,6.79174832148611,6420.37,2021-04-21
2021-10-06,6.89778702259201,6326.92,2021-04-21
2021-10-07,7.15061215061212,6444.19,2021-04-21
2021-10-08,7.23745850346429,6425.29,2021-04-21
2021-10-11,7.34755639749116,6422.34,2021-04-21
2021-10-12,7.35075444076859,6400.25,2021-04-21
2021-10-13,6.98421162451025,6443.57,2021-04-21
2021-10-14,7.00389556184204,6533.72,2021-04-21
2021-10-15,7.07715150741819,6586.38,2021-04-21
2021-10-18,7.2033898305085,6538.68,2021-04-21
2021-10-19,7.40607188554147,6556.16,2021-04-21
2021-10-20,7.32724476958204,6559.15,2021-04-21
2021-10-21,7.40607314267119,6537.87,2021-04-21
2021-10-22,7.40167018017913,6567.63,2021-04-21
2021-10-25,7.51375316264713,6591.4,2021-04-21
2021-10-26,7.47182412689579,6658.09,2021-04-21
2021-10-27,7.28616684266104,6636.43,2021-04-21
2021-10-28,7.21059516023546,6632.42,2021-04-21
2021-10-29,7.30190293417188,6629.23,2021-04-21
2021-11-01,7.39188969615378,6678.88,2021-04-21
2021-11-02,7.43013267267126,6741.49,2021-04-21
2021-11-03,7.48377509200885,6743.83,2021-04-21
2021-11-04,7.56079246808757,6773.26,2021-04-21
2021-11-05,7.76775387462407,6783.7,2021-04-21
2021-11-08,7.88891334824067,6780.39,2021-04-21
2021-11-09,7.7659549806431,6777.84,2021-04-21
2021-11-10,7.97722759776411,6789.4,2021-04-21
