Date,Stock,Market,joined date
2018-01-02,56.93,2695.81,2020-07-21
2018-01-03,57.09,2713.06,2020-07-21
2018-01-04,57.0,2723.99,2020-07-21
2018-01-05,56.74,2743.15,2020-07-21
2018-01-08,56.81,2747.71,2020-07-21
2018-01-09,56.57,2751.29,2020-07-21
2018-01-10,56.58,2748.23,2020-07-21
2018-01-11,57.47,2767.56,2020-07-21
2018-01-12,58.1,2786.24,2020-07-21
2018-01-16,57.79,2776.42,2020-07-21
2018-01-17,57.27,2802.56,2020-07-21
2018-01-18,57.29,2798.03,2020-07-21
2018-01-19,57.89,2810.3,2020-07-21
2018-01-22,57.74,2832.97,2020-07-21
2018-01-23,58.21,2839.13,2020-07-21
2018-01-24,58.18,2837.54,2020-07-21
2018-01-25,59.26,2839.25,2020-07-21
2018-01-26,58.25,2872.87,2020-07-21
2018-01-29,57.84,2853.53,2020-07-21
2018-01-30,57.55,2822.43,2020-07-21
2018-01-31,58.05,2823.81,2020-07-21
2018-02-01,58.3,2821.98,2020-07-21
2018-02-02,56.88,2762.13,2020-07-21
2018-02-05,54.53,2648.94,2020-07-21
2018-02-06,54.55,2695.14,2020-07-21
2018-02-07,55.14,2681.66,2020-07-21
2018-02-08,52.2,2581.0,2020-07-21
2018-02-09,51.12,2619.55,2020-07-21
2018-02-12,51.03,2656.0,2020-07-21
2018-02-13,50.62,2662.94,2020-07-21
2018-02-14,50.65,2698.63,2020-07-21
2018-02-15,51.47,2731.2,2020-07-21
2018-02-16,51.5,2732.22,2020-07-21
2018-02-20,50.58,2716.26,2020-07-21
2018-02-21,50.31,2701.33,2020-07-21
2018-02-22,50.87,2703.96,2020-07-21
2018-02-23,50.87,2747.3,2020-07-21
2018-02-26,51.24,2779.6,2020-07-21
2018-02-27,50.64,2744.28,2020-07-21
2018-02-28,49.84,2713.83,2020-07-21
2018-03-01,49.46,2677.67,2020-07-21
2018-03-02,49.63,2691.25,2020-07-21
2018-03-05,49.5,2720.94,2020-07-21
2018-03-06,50.27,2728.12,2020-07-21
2018-03-07,50.24,2726.8,2020-07-21
2018-03-08,50.0,2738.97,2020-07-21
2018-03-09,51.29,2786.57,2020-07-21
2018-03-12,51.24,2783.02,2020-07-21
2018-03-13,51.34,2765.31,2020-07-21
2018-03-14,51.02,2749.48,2020-07-21
2018-03-15,51.21,2747.33,2020-07-21
2018-03-16,51.31,2752.01,2020-07-21
2018-03-19,50.8,2712.92,2020-07-21
2018-03-20,49.95,2716.94,2020-07-21
