Date,Stock,Market,joined date
2020-01-02,1.75859,49892.99,2022-06-16
2020-01-03,1.707616,49609.37,2022-06-16
2020-01-06,1.702519,49299.33,2022-06-16
2020-01-07,1.794271,49210.82,2022-06-16
2020-01-08,1.824856,49029.99,2022-06-16
2020-01-09,1.814661,48927.06,2022-06-16
2020-01-10,1.83505,48778.81,2022-06-16
2020-01-13,1.85544,49519.69,2022-06-16
2020-01-14,1.886024,49655.09,2022-06-16
2020-01-15,1.85544,49174.44,2022-06-16
2020-01-16,1.850342,49316.8,2022-06-16
2020-01-17,1.880926,50027.26,2022-06-16
2020-01-21,1.824856,49468.42,2022-06-16
2020-01-22,1.809563,50017.8,2022-06-16
2020-01-23,1.83505,50491.6,2022-06-16
2020-01-24,1.860537,50012.56,2022-06-16
2020-01-27,1.819758,48400.42,2022-06-16
2020-01-28,1.865634,49238.6,2022-06-16
2020-01-29,1.83505,48786.8,2022-06-16
2020-01-30,1.794271,48801.2,2022-06-16
2020-01-31,1.763687,48065.13,2022-06-16
2020-02-03,1.804466,48461.06,2022-06-16
2020-02-04,1.829953,48858.24,2022-06-16
2020-02-05,1.896219,49068.23,2022-06-16
2020-02-06,1.860537,48689.25,2022-06-16
2020-02-07,1.778979,48071.11,2022-06-16
2020-02-10,1.712714,47508.39,2022-06-16
2020-02-11,1.748395,48710.15,2022-06-16
2020-02-12,1.743298,49268.44,2022-06-16
2020-02-13,1.722908,48858.26,2022-06-16
2020-02-14,1.722908,48345.95,2022-06-16
2020-02-18,1.728006,48626.93,2022-06-16
2020-02-19,1.7382,49266.44,2022-06-16
2020-02-20,1.682129,48469.52,2022-06-16
2020-02-21,1.702519,48123.64,2022-06-16
2020-02-26,1.569987,44791.75,2022-06-16
2020-02-27,1.534306,43628.32,2022-06-16
2020-02-28,1.544501,44113.94,2022-06-16
2020-03-02,1.610766,45195.63,2022-06-16
2020-03-03,1.595474,44736.81,2022-06-16
2020-03-04,1.656643,45504.97,2022-06-16
2020-03-05,1.575085,43365.7,2022-06-16
2020-03-06,1.503722,41554.68,2022-06-16
2020-03-09,1.315119,36525.57,2022-06-16
2020-03-10,1.360996,39093.08,2022-06-16
2020-03-11,1.228464,36155.35,2022-06-16
2020-03-12,0.968499,30772.73,2022-06-16
2020-03-13,1.085738,35005.14,2022-06-16
2020-03-16,0.912428,30205.74,2022-06-16
2020-03-17,1.039862,31621.84,2022-06-16
2020-03-18,0.881844,28282.11,2022-06-16
2020-03-19,0.932817,28910.95,2022-06-16
2020-03-20,0.876746,28404.31,2022-06-16
2020-03-23,0.795188,26895.8,2022-06-16
2020-03-24,0.851259,29402.93,2022-06-16
2020-03-25,0.886941,31581.45,2022-06-16
2020-03-26,1.009278,32827.54,2022-06-16
2020-03-27,0.917525,31054.7,2022-06-16
2020-03-30,0.876746,31522.41,2022-06-16
2020-03-31,0.866552,30840.55,2022-06-16
2020-04-01,0.795188,29954.66,2022-06-16
2020-04-02,0.805383,30477.08,2022-06-16
2020-04-03,0.75441,29359.96,2022-06-16
2020-04-06,0.805383,31249.99,2022-06-16
2020-04-07,0.835967,32207.07,2022-06-16
2020-04-08,0.861454,33163.08,2022-06-16
2020-04-09,0.92772,32813.18,2022-06-16
2020-04-13,0.932817,33273.96,2022-06-16
2020-04-14,0.978693,33767.63,2022-06-16
2020-04-15,0.978693,33329.67,2022-06-16
2020-04-16,0.958304,32917.83,2022-06-16
2020-04-17,0.978693,33387.77,2022-06-16
2020-04-20,0.963401,33410.73,2022-06-16
2020-04-22,0.953207,34157.17,2022-06-16
2020-04-23,0.917525,33718.19,2022-06-16
2020-04-24,0.784994,31852.88,2022-06-16
2020-04-27,0.790091,33083.91,2022-06-16
2020-04-28,0.871649,34385.94,2022-06-16
2020-04-29,0.937915,35151.05,2022-06-16
2020-04-30,0.876746,34006.82,2022-06-16
2020-05-04,0.846162,33312.18,2022-06-16
2020-05-05,0.851259,33560.76,2022-06-16
2020-05-06,0.790091,33357.88,2022-06-16
2020-05-07,0.718728,32914.18,2022-06-16
2020-05-08,0.764604,33789.05,2022-06-16
2020-05-11,0.739117,33300.0,2022-06-16
2020-05-12,0.713631,32785.11,2022-06-16
2020-05-13,0.693241,32720.72,2022-06-16
2020-05-14,0.75441,33251.6,2022-06-16
2020-05-15,0.739117,32670.63,2022-06-16
2020-05-18,0.800286,34222.72,2022-06-16
2020-05-19,0.779896,34040.96,2022-06-16
2020-05-20,0.805383,34268.99,2022-06-16
2020-05-21,0.866552,35025.86,2022-06-16
2020-05-22,0.871649,34683.43,2022-06-16
2020-05-26,0.993986,36096.84,2022-06-16
2020-05-27,1.065349,37151.27,2022-06-16
2020-05-28,1.014375,36732.41,2022-06-16
2020-05-29,1.014375,36903.25,2022-06-16
2020-06-01,1.039862,37428.01,2022-06-16
2020-06-02,1.095933,38435.37,2022-06-16
2020-06-03,1.136712,39287.64,2022-06-16
2020-06-04,1.126517,39622.49,2022-06-16
2020-06-05,1.167296,39960.35,2022-06-16
2020-06-08,1.284535,41240.74,2022-06-16
2020-06-09,1.259048,40859.84,2022-06-16
2020-06-10,1.208075,39971.83,2022-06-16
2020-06-12,1.126517,39182.38,2022-06-16
2020-06-15,1.090835,39024.7,2022-06-16
2020-06-16,1.10103,39481.22,2022-06-16
2020-06-17,1.146906,40345.86,2022-06-16
2020-06-18,1.10103,40593.34,2022-06-16
2020-06-19,1.095933,40795.38,2022-06-16
2020-06-22,1.136712,40330.7,2022-06-16
2020-06-23,1.126517,40588.98,2022-06-16
2020-06-24,1.060251,39913.31,2022-06-16
2020-06-25,1.085738,40585.66,2022-06-16
2020-06-26,1.00418,39674.56,2022-06-16
2020-06-29,1.02457,40472.57,2022-06-16
2020-06-30,1.044959,40213.02,2022-06-16
2020-07-01,1.090835,40728.68,2022-06-16
2020-07-02,1.060251,40741.76,2022-06-16
2020-07-06,1.10103,41876.71,2022-06-16
2020-07-07,1.085738,41387.13,2022-06-16
2020-07-08,1.111225,42221.46,2022-06-16
2020-07-09,1.116322,41970.26,2022-06-16
