Date,Stock,Market,joined date
2020-01-02,1.25964993880049,1602.5,2021-09-23
2020-01-03,1.25971491281551,1611.38,2021-09-23
2020-01-06,1.2592542662116,1597.76,2021-09-23
2020-01-07,1.27957223172819,1611.04,2021-09-23
2020-01-08,1.24780097560975,1589.1,2021-09-23
2020-01-09,1.26840802348337,1595.65,2021-09-23
2020-01-10,1.26274110429448,1591.46,2021-09-23
2020-01-13,1.26709431174588,1584.73,2021-09-23
2020-01-14,1.25850208691382,1580.6,2021-09-23
2020-01-15,1.26001794449498,1585.14,2021-09-23
2020-01-16,1.25978428958385,1587.88,2021-09-23
2020-01-17,1.2607624691358,1595.81,2021-09-23
2020-01-20,1.24852291769345,1588.88,2021-09-23
2020-01-21,1.2471200098268,1587.33,2021-09-23
2020-01-22,1.2247655019685,1577.98,2021-09-23
2020-01-23,1.22676764453173,1574.44,2021-09-23
2020-01-24,1.2319185631689,1572.81,2021-09-23
2020-01-28,1.2015123623011,1551.64,2021-09-23
2020-01-29,1.21055748958078,1550.47,2021-09-23
2020-01-30,1.19894309142088,1545.59,2021-09-23
2020-01-31,1.19132869352869,1531.06,2021-09-23
2020-02-03,1.16630060753341,1521.95,2021-09-23
2020-02-04,1.18486152348503,1535.8,2021-09-23
2020-02-05,1.19625415705789,1536.79,2021-09-23
2020-02-06,1.2049850818678,1552.77,2021-09-23
2020-02-07,1.23081584349716,1554.49,2021-09-23
2020-02-10,1.20950554484089,1542.8,2021-09-23
2020-02-11,1.21687823771484,1551.48,2021-09-23
2020-02-12,1.18401788735799,1542.94,2021-09-23
2020-02-13,1.16614682443854,1539.16,2021-09-23
2020-02-14,1.16389759690859,1544.46,2021-09-23
2020-02-17,1.17485424710425,1537.12,2021-09-23
2020-02-18,1.18155464612422,1537.08,2021-09-23
2020-02-19,1.17634053794429,1534.16,2021-09-23
2020-02-20,1.17809442983505,1534.98,2021-09-23
2020-02-21,1.18141356255969,1531.2,2021-09-23
2020-02-24,1.14016666666667,1490.06,2021-09-23
2020-02-25,1.14574787334594,1500.88,2021-09-23
2020-02-26,1.1505327965901,1495.19,2021-09-23
2020-02-27,1.14287618821293,1505.59,2021-09-23
2020-02-28,1.13266231298979,1482.64,2021-09-23
2020-03-02,1.08353701499643,1466.94,2021-09-23
2020-03-03,1.0627646778043,1478.64,2021-09-23
2020-03-04,1.07503374012922,1489.95,2021-09-23
2020-03-05,1.07042884615384,1491.03,2021-09-23
2020-03-06,1.05362374100719,1483.1,2021-09-23
2020-03-09,0.98556272231444,1424.16,2021-09-23
2020-03-10,1.0147456388496,1430.47,2021-09-23
2020-03-11,1.0252851073873,1443.83,2021-09-23
2020-03-12,0.989551990632318,1419.43,2021-09-23
2020-03-13,0.927777414075285,1344.75,2021-09-23
2020-03-16,0.827115625725563,1280.63,2021-09-23
2020-03-17,0.79428150873965,1256.58,2021-09-23
2020-03-18,0.758233989021044,1239.01,2021-09-23
2020-03-19,0.704578911564624,1219.72,2021-09-23
2020-03-20,0.813471171435668,1303.28,2021-09-23
2020-03-23,0.733249099099098,1259.88,2021-09-23
2020-03-24,0.768757678410117,1291.14,2021-09-23
2020-03-25,0.793987462958742,1324.5,2021-09-23
2020-03-26,0.799868822170901,1328.09,2021-09-23
2020-03-27,0.816809479768786,1343.09,2021-09-23
2020-03-30,0.80308161849711,1328.88,2021-09-23
2020-03-31,0.825964989566429,1350.89,2021-09-23
2020-04-01,0.803015862068964,1322.66,2021-09-23
2020-04-02,0.799821584385763,1330.9,2021-09-23
2020-04-03,0.795094582185491,1330.65,2021-09-23
2020-04-06,0.794182985553773,1341.69,2021-09-23
2020-04-07,0.812642445213378,1369.92,2021-09-23
2020-04-08,0.801662370540852,1361.39,2021-09-23
2020-04-09,0.809010161662817,1369.76,2021-09-23
2020-04-10,0.809111033681766,1357.5,2021-09-23
2020-04-13,0.800608414239483,1356.03,2021-09-23
2020-04-14,0.815866281755196,1371.66,2021-09-23
2020-04-15,0.812080451821115,1387.79,2021-09-23
2020-04-16,0.803501829826168,1386.53,2021-09-23
2020-04-17,0.822926460481099,1407.34,2021-09-23
2020-04-20,0.853296203110706,1413.12,2021-09-23
2020-04-21,0.813176189392214,1381.73,2021-09-23
2020-04-22,0.792004586629974,1381.89,2021-09-23
2020-04-23,0.793004822043627,1381.64,2021-09-23
2020-04-24,0.79491209547854,1369.85,2021-09-23
2020-04-27,0.800189065012635,1370.16,2021-09-23
2020-04-28,0.773938532110093,1372.2,2021-09-23
2020-04-29,0.768207786224372,1380.3,2021-09-23
2020-04-30,0.795237363149313,1407.78,2021-09-23
2020-05-04,0.782009733487833,1376.59,2021-09-23
2020-05-05,0.789156707742384,1389.55,2021-09-23
2020-05-06,0.780743174456271,1376.93,2021-09-23
2020-05-08,0.785975294389287,1382.31,2021-09-23
2020-05-12,0.78020161849711,1379.93,2021-09-23
2020-05-13,0.800238447319777,1397.13,2021-09-23
2020-05-14,0.777863531581373,1397.25,2021-09-23
2020-05-15,0.787272936307197,1403.44,2021-09-23
