Date,Stock,Market,joined date
2018-01-02,75.14,2695.81,2020-01-05
2018-01-03,74.85,2713.06,2020-01-05
2018-01-04,75.33,2723.99,2020-01-05
2018-01-05,75.42,2743.15,2020-01-05
2018-01-08,75.53,2747.71,2020-01-05
2018-01-09,75.64,2751.29,2020-01-05
2018-01-10,74.82,2748.23,2020-01-05
2018-01-11,74.55,2767.56,2020-01-05
2018-01-12,74.62,2786.24,2020-01-05
2018-01-16,75.42,2776.42,2020-01-05
2018-01-17,76.68,2802.56,2020-01-05
2018-01-18,76.63,2798.03,2020-01-05
2018-01-19,77.5,2810.3,2020-01-05
2018-01-22,77.38,2832.97,2020-01-05
2018-01-23,76.9,2839.13,2020-01-05
2018-01-24,76.8,2837.54,2020-01-05
2018-01-25,77.31,2839.25,2020-01-05
2018-01-26,73.56,2872.87,2020-01-05
2018-01-29,73.79,2853.53,2020-01-05
2018-01-30,74.67,2822.43,2020-01-05
2018-01-31,74.24,2823.81,2020-01-05
2018-02-01,73.33,2821.98,2020-01-05
2018-02-02,72.43,2762.13,2020-01-05
2018-02-05,69.81,2648.94,2020-01-05
2018-02-06,70.41,2695.14,2020-01-05
2018-02-07,70.17,2681.66,2020-01-05
2018-02-08,68.95,2581.0,2020-01-05
2018-02-09,69.76,2619.55,2020-01-05
2018-02-12,70.19,2656.0,2020-01-05
2018-02-13,70.3,2662.94,2020-01-05
2018-02-14,69.62,2698.63,2020-01-05
2018-02-15,71.22,2731.2,2020-01-05
2018-02-16,71.46,2732.22,2020-01-05
2018-02-20,70.03,2716.26,2020-01-05
2018-02-21,69.14,2701.33,2020-01-05
2018-02-22,69.39,2703.96,2020-01-05
2018-02-23,70.3,2747.3,2020-01-05
2018-02-26,71.07,2779.6,2020-01-05
2018-02-27,69.92,2744.28,2020-01-05
2018-02-28,68.97,2713.83,2020-01-05
2018-03-01,68.86,2677.67,2020-01-05
2018-03-02,69.27,2691.25,2020-01-05
2018-03-05,70.07,2720.94,2020-01-05
2018-03-06,69.64,2728.12,2020-01-05
2018-03-07,69.68,2726.8,2020-01-05
2018-03-08,71.02,2738.97,2020-01-05
2018-03-09,71.24,2786.57,2020-01-05
2018-03-12,71.08,2783.02,2020-01-05
2018-03-13,70.87,2765.31,2020-01-05
2018-03-14,69.99,2749.48,2020-01-05
2018-03-15,69.56,2747.33,2020-01-05
2018-03-16,69.62,2752.01,2020-01-05
2018-03-19,70.06,2712.92,2020-01-05
2018-03-20,69.69,2716.94,2020-01-05
2018-03-21,68.69,2711.93,2020-01-05
2018-03-22,68.82,2643.69,2020-01-05
2018-03-23,68.38,2588.26,2020-01-05
2018-03-26,68.19,2658.55,2020-01-05
2018-03-27,69.28,2612.62,2020-01-05
2018-03-28,70.8,2605.0,2020-01-05
2018-03-29,71.68,2640.87,2020-01-05
2018-04-02,70.15,2581.88,2020-01-05
2018-04-03,70.95,2614.45,2020-01-05
2018-04-04,71.65,2644.69,2020-01-05
2018-04-05,71.81,2662.84,2020-01-05
2018-04-06,71.64,2604.47,2020-01-05
2018-04-09,71.42,2613.16,2020-01-05
2018-04-10,71.73,2656.87,2020-01-05
2018-04-11,71.38,2642.19,2020-01-05
2018-04-12,70.94,2663.99,2020-01-05
2018-04-13,71.6,2656.3,2020-01-05
2018-04-16,72.44,2677.84,2020-01-05
2018-04-17,72.23,2706.39,2020-01-05
2018-04-18,72.08,2708.64,2020-01-05
2018-04-19,69.77,2693.13,2020-01-05
2018-04-20,67.52,2670.14,2020-01-05
2018-04-23,66.37,2670.29,2020-01-05
2018-04-24,66.63,2634.56,2020-01-05
2018-04-25,66.41,2639.4,2020-01-05
2018-04-26,66.59,2666.94,2020-01-05
2018-04-27,66.58,2669.91,2020-01-05
2018-04-30,65.23,2648.05,2020-01-05
2018-05-01,65.0,2654.8,2020-01-05
2018-05-02,63.14,2635.67,2020-01-05
2018-05-03,63.32,2629.73,2020-01-05
2018-05-04,63.71,2663.42,2020-01-05
2018-05-07,62.82,2672.63,2020-01-05
2018-05-08,62.28,2671.92,2020-01-05
2018-05-09,61.91,2697.79,2020-01-05
2018-05-10,62.48,2723.07,2020-01-05
2018-05-11,62.71,2727.72,2020-01-05
2018-05-14,62.04,2730.13,2020-01-05
2018-05-15,61.65,2711.45,2020-01-05
2018-05-16,62.09,2722.46,2020-01-05
