Date,Stock,Market,joined date
2020-01-02,152.61,3257.85,2021-09-20
2020-01-03,152.91,3234.85,2021-09-20
2020-01-06,153.37,3246.28,2021-09-20
2020-01-07,151.52,3237.18,2021-09-20
2020-01-08,151.97,3253.05,2021-09-20
2020-01-09,152.8,3274.7,2021-09-20
2020-01-10,153.67,3265.35,2021-09-20
2020-01-13,156.2,3288.13,2021-09-20
2020-01-14,156.25,3283.15,2021-09-20
2020-01-15,156.67,3289.29,2021-09-20
2020-01-16,157.13,3316.81,2021-09-20
2020-01-17,157.7,3329.62,2021-09-20
2020-01-21,159.1,3320.79,2021-09-20
2020-01-22,159.63,3321.75,2021-09-20
2020-01-23,159.07,3325.54,2021-09-20
2020-01-24,158.28,3295.47,2021-09-20
2020-01-27,159.96,3243.63,2021-09-20
2020-01-28,156.07,3276.24,2021-09-20
2020-01-29,155.21,3273.4,2021-09-20
2020-01-30,155.86,3283.66,2021-09-20
2020-01-31,157.31,3225.52,2021-09-20
2020-02-03,155.84,3248.92,2021-09-20
2020-02-04,163.62,3297.59,2021-09-20
2020-02-05,165.34,3334.69,2021-09-20
2020-02-06,165.07,3345.78,2021-09-20
2020-02-07,166.23,3327.71,2021-09-20
2020-02-10,167.66,3352.09,2021-09-20
2020-02-11,164.76,3357.75,2021-09-20
2020-02-12,164.23,3379.45,2021-09-20
2020-02-13,164.77,3373.94,2021-09-20
2020-02-14,164.83,3380.16,2021-09-20
2020-02-18,164.82,3370.29,2021-09-20
2020-02-19,164.84,3386.15,2021-09-20
2020-02-20,164.17,3373.23,2021-09-20
2020-02-21,164.64,3337.75,2021-09-20
2020-02-24,167.19,3225.89,2021-09-20
2020-02-25,167.85,3128.21,2021-09-20
2020-02-26,168.03,3116.39,2021-09-20
2020-02-27,168.7,2978.76,2021-09-20
2020-02-28,159.42,2954.22,2021-09-20
2020-03-02,172.01,3090.23,2021-09-20
2020-03-03,167.87,3003.37,2021-09-20
2020-03-04,172.52,3130.12,2021-09-20
2020-03-05,175.85,3023.94,2021-09-20
2020-03-06,173.26,2972.37,2021-09-20
2020-03-09,174.9,2746.56,2021-09-20
2020-03-10,175.0,2882.23,2021-09-20
2020-03-11,169.4,2741.38,2021-09-20
2020-03-12,158.7,2480.64,2021-09-20
2020-03-13,167.77,2711.02,2021-09-20
2020-03-16,174.69,2386.13,2021-09-20
2020-03-17,197.88,2529.19,2021-09-20
2020-03-18,190.95,2398.1,2021-09-20
2020-03-19,191.78,2409.39,2021-09-20
2020-03-20,177.4,2304.92,2021-09-20
2020-03-23,170.14,2237.4,2021-09-20
2020-03-24,168.32,2447.33,2021-09-20
2020-03-25,165.66,2475.56,2021-09-20
2020-03-26,173.11,2630.07,2021-09-20
2020-03-27,173.19,2541.47,2021-09-20
2020-03-30,174.48,2626.65,2021-09-20
2020-03-31,173.25,2584.59,2021-09-20
2020-04-01,174.66,2470.5,2021-09-20
2020-04-02,179.7,2526.9,2021-09-20
2020-04-03,177.54,2488.65,2021-09-20
2020-04-06,181.38,2663.68,2021-09-20
2020-04-07,181.5,2659.41,2021-09-20
2020-04-08,181.04,2749.98,2021-09-20
2020-04-09,184.21,2789.82,2021-09-20
2020-04-13,185.47,2761.63,2021-09-20
2020-04-14,194.37,2846.06,2021-09-20
2020-04-15,195.64,2783.36,2021-09-20
2020-04-16,196.49,2799.55,2021-09-20
2020-04-17,193.5,2874.56,2021-09-20
2020-04-20,192.43,2823.16,2021-09-20
2020-04-21,190.77,2736.56,2021-09-20
2020-04-22,191.93,2799.31,2021-09-20
2020-04-23,189.92,2797.8,2021-09-20
2020-04-24,190.65,2836.74,2021-09-20
2020-04-27,189.05,2878.48,2021-09-20
2020-04-28,186.94,2863.39,2021-09-20
2020-04-29,183.93,2939.51,2021-09-20
2020-04-30,186.44,2912.43,2021-09-20
2020-05-01,192.71,2830.71,2021-09-20
2020-05-04,199.27,2842.74,2021-09-20
2020-05-05,203.48,2868.44,2021-09-20
2020-05-06,199.79,2848.42,2021-09-20
2020-05-07,201.99,2881.19,2021-09-20
2020-05-08,204.05,2929.8,2021-09-20
2020-05-11,205.81,2930.32,2021-09-20
2020-05-12,205.68,2870.12,2021-09-20
2020-05-13,206.74,2820.0,2021-09-20
2020-05-14,206.21,2852.5,2021-09-20
2020-05-15,209.83,2863.7,2021-09-20
2020-05-18,203.95,2953.91,2021-09-20
2020-05-19,201.72,2922.94,2021-09-20
2020-05-20,204.24,2971.61,2021-09-20
2020-05-21,199.4,2948.51,2021-09-20
2020-05-22,198.59,2955.45,2021-09-20
2020-05-26,197.13,2991.77,2021-09-20
2020-05-27,200.0,3036.13,2021-09-20
2020-05-28,204.96,3029.73,2021-09-20
2020-05-29,206.25,3044.31,2021-09-20
2020-06-01,204.21,3055.73,2021-09-20
2020-06-02,206.76,3080.82,2021-09-20
2020-06-03,205.97,3122.87,2021-09-20
2020-06-04,204.25,3112.35,2021-09-20
2020-06-05,197.57,3193.93,2021-09-20
2020-06-08,198.76,3232.39,2021-09-20
2020-06-09,202.07,3207.18,2021-09-20
2020-06-10,207.3,3190.14,2021-09-20
2020-06-11,204.93,3002.1,2021-09-20
2020-06-12,205.12,3041.31,2021-09-20
2020-06-15,208.03,3066.59,2021-09-20
2020-06-16,208.73,3124.74,2021-09-20
2020-06-17,212.0,3113.49,2021-09-20
2020-06-18,214.59,3115.34,2021-09-20
2020-06-19,217.64,3097.74,2021-09-20
2020-06-22,216.9,3117.86,2021-09-20
2020-06-23,213.38,3131.29,2021-09-20
2020-06-24,212.03,3050.33,2021-09-20
2020-06-25,214.92,3083.76,2021-09-20
2020-06-26,215.3,3009.05,2021-09-20
2020-06-29,217.58,3053.24,2021-09-20
2020-06-30,219.37,3100.29,2021-09-20
2020-07-01,219.57,3115.86,2021-09-20
2020-07-02,222.16,3130.01,2021-09-20
2020-07-06,221.42,3179.72,2021-09-20
2020-07-07,223.81,3145.32,2021-09-20
2020-07-08,225.57,3169.94,2021-09-20
2020-07-09,229.5,3152.05,2021-09-20
2020-07-10,229.76,3185.04,2021-09-20
2020-07-13,225.74,3155.22,2021-09-20
2020-07-14,230.52,3197.52,2021-09-20
2020-07-15,225.5,3226.56,2021-09-20
2020-07-16,227.91,3215.57,2021-09-20
2020-07-17,228.38,3224.73,2021-09-20
2020-07-20,227.74,3251.84,2021-09-20
2020-07-21,226.73,3257.3,2021-09-20
2020-07-22,227.55,3276.02,2021-09-20
2020-07-23,227.84,3235.66,2021-09-20
2020-07-24,227.04,3215.63,2021-09-20
2020-07-27,229.22,3239.41,2021-09-20
2020-07-28,228.55,3218.44,2021-09-20
2020-07-29,231.0,3258.44,2021-09-20
2020-07-30,231.26,3246.22,2021-09-20
2020-07-31,236.51,3271.12,2021-09-20
2020-08-03,231.96,3294.61,2021-09-20
2020-08-04,237.74,3306.51,2021-09-20
2020-08-05,237.16,3327.77,2021-09-20
2020-08-06,236.15,3349.16,2021-09-20
2020-08-07,237.49,3351.28,2021-09-20
2020-08-10,233.36,3360.47,2021-09-20
2020-08-11,222.3,3333.69,2021-09-20
2020-08-12,226.95,3380.35,2021-09-20
2020-08-13,224.7,3373.43,2021-09-20
2020-08-14,224.25,3372.85,2021-09-20
2020-08-17,226.78,3381.99,2021-09-20
