Date,Stock,Market,joined date
2020-01-02,41.6974880567113,17099.95,2021-10-14
2020-01-03,41.4916532040926,17066.12,2021-10-14
2020-01-06,41.4795957725835,17105.47,2021-10-14
2020-01-07,41.2712450972853,17168.06,2021-10-14
2020-01-08,41.4013960266932,17167.82,2021-10-14
2020-01-09,41.2249119043971,17235.57,2021-10-14
2020-01-10,41.2988505747127,17234.49,2021-10-14
2020-01-13,41.4177389705883,17293.42,2021-10-14
2020-01-14,41.1753445635528,17352.9,2021-10-14
2020-01-15,41.4845487309256,17415.17,2021-10-14
2020-01-16,41.6411042944785,17484.77,2021-10-14
2020-01-17,41.6328561586159,17559.02,2021-10-14
2020-01-20,41.851908630998,17597.39,2021-10-14
2020-01-21,41.3790464528966,17572.28,2021-10-14
2020-01-22,41.3887619917771,17599.86,2021-10-14
2020-01-23,41.5180612711477,17621.78,2021-10-14
2020-01-24,41.4510728960584,17565.34,2021-10-14
2020-01-27,41.2219526986053,17442.52,2021-10-14
2020-01-28,41.6001520334473,17500.88,2021-10-14
2020-01-29,41.3989087602303,17511.75,2021-10-14
2020-01-30,41.3120835857056,17490.56,2021-10-14
2020-01-31,40.7706837929732,17318.49,2021-10-14
2020-02-03,40.5713640469738,17379.76,2021-10-14
2020-02-04,40.8001808318264,17512.73,2021-10-14
2020-02-05,41.1357132098207,17651.59,2021-10-14
2020-02-06,41.4972899728997,17757.49,2021-10-14
2020-02-07,41.3417474269401,17655.49,2021-10-14
2020-02-10,41.33308298911,17740.57,2021-10-14
2020-02-11,41.5888905614933,17777.11,2021-10-14
2020-02-12,41.7088082119405,17832.85,2021-10-14
2020-02-13,41.6899072887616,17821.17,2021-10-14
2020-02-14,41.5220344099004,17848.36,2021-10-14
2020-02-18,41.1624924562462,17858.34,2021-10-14
2020-02-19,41.2467846875473,17925.36,2021-10-14
2020-02-20,41.1946602307866,17944.06,2021-10-14
2020-02-21,41.2834669490243,17843.53,2021-10-14
2020-02-24,40.4378573578092,17562.74,2021-10-14
2020-02-25,39.9261881449123,17177.37,2021-10-14
2020-02-26,40.1612903225807,17041.92,2021-10-14
2020-02-27,39.117119808784,16767.72,2021-10-14
2020-02-28,38.1307853090475,16263.05,2021-10-14
2020-03-02,38.8229995496172,16553.26,2021-10-14
2020-03-03,37.9529323870004,16423.62,2021-10-14
