Date,Stock,Market,joined date
2020-01-02,179.32,3257.85,2021-06-10
2020-01-03,176.81,3234.85,2021-06-10
2020-01-06,174.13,3246.28,2021-06-10
2020-01-07,174.26,3237.18,2021-06-10
2020-01-08,174.35,3253.05,2021-06-10
2020-01-09,173.52,3274.7,2021-06-10
2020-01-10,171.43,3265.35,2021-06-10
2020-01-13,172.49,3288.13,2021-06-10
2020-01-14,172.4,3283.15,2021-06-10
2020-01-15,172.61,3289.29,2021-06-10
2020-01-16,175.26,3316.81,2021-06-10
2020-01-17,173.8,3329.62,2021-06-10
2020-01-21,171.07,3320.79,2021-06-10
2020-01-22,170.11,3321.75,2021-06-10
2020-01-23,171.66,3325.54,2021-06-10
2020-01-24,169.15,3295.47,2021-06-10
2020-01-27,164.77,3243.63,2021-06-10
2020-01-28,166.08,3276.24,2021-06-10
2020-01-29,165.69,3273.4,2021-06-10
2020-01-30,166.1,3283.66,2021-06-10
2020-01-31,159.97,3225.52,2021-06-10
2020-02-03,162.89,3248.92,2021-06-10
2020-02-04,161.0,3297.59,2021-06-10
2020-02-05,166.43,3334.69,2021-06-10
2020-02-06,165.95,3345.78,2021-06-10
2020-02-07,160.8,3327.71,2021-06-10
2020-02-10,162.23,3352.09,2021-06-10
2020-02-11,164.3,3357.75,2021-06-10
2020-02-12,168.04,3379.45,2021-06-10
2020-02-13,166.1,3373.94,2021-06-10
2020-02-14,166.78,3380.16,2021-06-10
2020-02-18,166.06,3370.29,2021-06-10
2020-02-19,167.84,3386.15,2021-06-10
2020-02-20,167.12,3373.23,2021-06-10
2020-02-21,167.46,3337.75,2021-06-10
2020-02-24,162.78,3225.89,2021-06-10
2020-02-25,161.01,3128.21,2021-06-10
2020-02-26,157.97,3116.39,2021-06-10
2020-02-27,154.46,2978.76,2021-06-10
2020-02-28,151.29,2954.22,2021-06-10
2020-03-02,155.66,3090.23,2021-06-10
2020-03-03,152.15,3003.37,2021-06-10
2020-03-04,156.44,3130.12,2021-06-10
2020-03-05,148.66,3023.94,2021-06-10
2020-03-06,148.6,2972.37,2021-06-10
2020-03-09,139.27,2746.56,2021-06-10
2020-03-10,145.63,2882.23,2021-06-10
2020-03-11,141.07,2741.38,2021-06-10
2020-03-12,129.09,2480.64,2021-06-10
2020-03-13,136.84,2711.02,2021-06-10
2020-03-16,131.45,2386.13,2021-06-10
2020-03-17,136.8,2529.19,2021-06-10
2020-03-18,123.47,2398.1,2021-06-10
2020-03-19,118.55,2409.39,2021-06-10
2020-03-20,116.48,2304.92,2021-06-10
2020-03-23,102.76,2237.4,2021-06-10
2020-03-24,124.49,2447.33,2021-06-10
2020-03-25,127.77,2475.56,2021-06-10
2020-03-26,134.96,2630.07,2021-06-10
2020-03-27,131.66,2541.47,2021-06-10
2020-03-30,134.48,2626.65,2021-06-10
2020-03-31,135.32,2584.59,2021-06-10
2020-04-01,130.39,2470.5,2021-06-10
2020-04-02,132.76,2526.9,2021-06-10
2020-04-03,132.27,2488.65,2021-06-10
2020-04-06,142.12,2663.68,2021-06-10
2020-04-07,145.84,2659.41,2021-06-10
2020-04-08,149.56,2749.98,2021-06-10
2020-04-09,150.7,2789.82,2021-06-10
2020-04-13,146.45,2761.63,2021-06-10
2020-04-14,148.14,2846.06,2021-06-10
2020-04-15,145.46,2783.36,2021-06-10
2020-04-16,145.04,2799.55,2021-06-10
2020-04-17,149.18,2874.56,2021-06-10
2020-04-20,146.1,2823.16,2021-06-10
2020-04-21,142.38,2736.56,2021-06-10
2020-04-22,144.93,2799.31,2021-06-10
2020-04-23,145.43,2797.8,2021-06-10
2020-04-24,147.77,2836.74,2021-06-10
2020-04-27,151.44,2878.48,2021-06-10
2020-04-28,161.08,2863.39,2021-06-10
2020-04-29,165.2,2939.51,2021-06-10
2020-04-30,163.5,2912.43,2021-06-10
2020-05-01,157.43,2830.71,2021-06-10
2020-05-04,153.96,2842.74,2021-06-10
2020-05-05,153.83,2868.44,2021-06-10
2020-05-06,153.65,2848.42,2021-06-10
2020-05-07,155.72,2881.19,2021-06-10
2020-05-08,161.29,2929.8,2021-06-10
2020-05-11,161.81,2930.32,2021-06-10
2020-05-12,153.61,2870.12,2021-06-10
2020-05-13,147.68,2820.0,2021-06-10
2020-05-14,155.51,2852.5,2021-06-10
2020-05-15,155.64,2863.7,2021-06-10
2020-05-18,162.03,2953.91,2021-06-10
2020-05-19,157.79,2922.94,2021-06-10
2020-05-20,161.84,2971.61,2021-06-10
2020-05-21,157.55,2948.51,2021-06-10
2020-05-22,155.04,2955.45,2021-06-10
2020-05-26,167.11,2991.77,2021-06-10
2020-05-27,171.63,3036.13,2021-06-10
2020-05-28,169.79,3029.73,2021-06-10
2020-05-29,169.6,3044.31,2021-06-10
2020-06-01,169.83,3055.73,2021-06-10
2020-06-02,171.47,3080.82,2021-06-10
2020-06-03,174.96,3122.87,2021-06-10
2020-06-04,174.81,3112.35,2021-06-10
2020-06-05,180.01,3193.93,2021-06-10
2020-06-08,183.9,3232.39,2021-06-10
2020-06-09,181.75,3207.18,2021-06-10
2020-06-10,176.21,3190.14,2021-06-10
2020-06-11,166.37,3002.1,2021-06-10
2020-06-12,167.08,3041.31,2021-06-10
2020-06-15,169.14,3066.59,2021-06-10
2020-06-16,171.35,3124.74,2021-06-10
2020-06-17,171.42,3113.49,2021-06-10
2020-06-18,171.23,3115.34,2021-06-10
2020-06-19,174.29,3097.74,2021-06-10
2020-06-22,171.99,3117.86,2021-06-10
2020-06-23,172.43,3131.29,2021-06-10
2020-06-24,166.61,3050.33,2021-06-10
2020-06-25,169.71,3083.76,2021-06-10
2020-06-26,168.75,3009.05,2021-06-10
2020-06-29,173.07,3053.24,2021-06-10
2020-06-30,173.26,3100.29,2021-06-10
2020-07-01,170.95,3115.86,2021-06-10
2020-07-02,173.45,3130.01,2021-06-10
2020-07-06,178.16,3179.72,2021-06-10
2020-07-07,175.57,3145.32,2021-06-10
2020-07-08,174.04,3169.94,2021-06-10
2020-07-09,172.17,3152.05,2021-06-10
2020-07-10,173.8,3185.04,2021-06-10
2020-07-13,174.38,3155.22,2021-06-10
2020-07-14,178.31,3197.52,2021-06-10
2020-07-15,181.72,3226.56,2021-06-10
2020-07-16,183.73,3215.57,2021-06-10
2020-07-17,183.11,3224.73,2021-06-10
2020-07-20,180.3,3251.84,2021-06-10
2020-07-21,186.18,3257.3,2021-06-10
2020-07-22,190.26,3276.02,2021-06-10
2020-07-23,189.94,3235.66,2021-06-10
2020-07-24,188.24,3215.63,2021-06-10
2020-07-27,190.96,3239.41,2021-06-10
2020-07-28,195.02,3218.44,2021-06-10
2020-07-29,198.88,3258.44,2021-06-10
2020-07-30,194.48,3246.22,2021-06-10
2020-07-31,193.26,3271.12,2021-06-10
2020-08-03,195.31,3294.61,2021-06-10
2020-08-04,193.01,3306.51,2021-06-10
2020-08-05,198.34,3327.77,2021-06-10
2020-08-06,196.22,3349.16,2021-06-10
2020-08-07,199.27,3351.28,2021-06-10
2020-08-10,210.17,3360.47,2021-06-10
2020-08-11,212.04,3333.69,2021-06-10
2020-08-12,213.2,3380.35,2021-06-10
2020-08-13,210.23,3373.43,2021-06-10
2020-08-14,213.51,3372.85,2021-06-10
2020-08-17,210.46,3381.99,2021-06-10
2020-08-18,209.91,3389.78,2021-06-10
2020-08-19,211.17,3374.85,2021-06-10
2020-08-20,209.0,3385.51,2021-06-10
2020-08-21,209.03,3397.16,2021-06-10
2020-08-24,211.12,3431.28,2021-06-10
2020-08-25,210.06,3443.62,2021-06-10
2020-08-26,209.15,3478.73,2021-06-10
2020-08-27,207.67,3484.55,2021-06-10
2020-08-28,208.72,3508.01,2021-06-10
2020-08-31,207.25,3500.31,2021-06-10
2020-09-01,211.06,3526.65,2021-06-10
2020-09-02,212.84,3580.84,2021-06-10
2020-09-03,204.56,3455.06,2021-06-10
