Date,Stock,Market,joined date
2020-01-02,91.8246262906457,17099.95,2021-10-28
2020-01-03,91.083929533041,17066.12,2021-10-28
2020-01-06,90.9511687109465,17105.47,2021-10-28
2020-01-07,90.6867645927863,17168.06,2021-10-28
2020-01-08,91.6698626984736,17167.82,2021-10-28
2020-01-09,92.1480006128389,17235.57,2021-10-28
2020-01-10,91.9693486590039,17234.49,2021-10-28
2020-01-13,93.3670343137255,17293.42,2021-10-28
2020-01-14,94.1424196018377,17352.9,2021-10-28
2020-01-15,94.3332566520973,17415.17,2021-10-28
2020-01-16,95.6288343558282,17484.77,2021-10-28
2020-01-17,96.1647401056419,17559.02,2021-10-28
2020-01-20,96.8879349992335,17597.39,2021-10-28
2020-01-21,95.7450065049361,17572.28,2021-10-28
2020-01-22,94.3200852748592,17599.86,2021-10-28
2020-01-23,95.3741807651273,17621.78,2021-10-28
2020-01-24,94.5898645563841,17565.34,2021-10-28
2020-01-27,92.6470588235295,17442.52,2021-10-28
2020-01-28,93.8578487267198,17500.88,2021-10-28
2020-01-29,93.9224007274931,17511.75,2021-10-28
2020-01-30,94.9954572986069,17490.56,2021-10-28
2020-01-31,93.4416320362674,17318.49,2021-10-28
2020-02-03,92.9388738331828,17379.76,2021-10-28
2020-02-04,94.3640747438216,17512.73,2021-10-28
2020-02-05,95.5339659587287,17651.59,2021-10-28
2020-02-06,96.0629328515507,17757.49,2021-10-28
2020-02-07,94.1176470588235,17655.49,2021-10-28
2020-02-10,94.4874202027789,17740.57,2021-10-28
2020-02-11,94.3248532289628,17777.11,2021-10-28
2020-02-12,94.7090346441241,17832.85,2021-10-28
2020-02-13,93.8644757669406,17821.17,2021-10-28
2020-02-14,93.9480833081798,17848.36,2021-10-28
2020-02-18,92.5995775497888,17858.34,2021-10-28
2020-02-19,93.1532758359812,17925.36,2021-10-28
2020-02-20,93.6269703597556,17944.06,2021-10-28
2020-02-21,93.594009983361,17843.53,2021-10-28
2020-02-24,91.9726151068312,17562.74,2021-10-28
2020-02-25,89.2068991489042,17177.37,2021-10-28
2020-02-26,88.3495873968492,17041.92,2021-10-28
2020-02-27,86.8240215118016,16767.72,2021-10-28
2020-02-28,84.9432666467602,16263.05,2021-10-28
2020-03-02,86.3083621077917,16553.26,2021-10-28
2020-03-03,85.1400821815465,16423.62,2021-10-28
2020-03-04,88.1724447101016,16779.53,2021-10-28
2020-03-05,85.5352480417754,16553.99,2021-10-28
2020-03-06,86.0612381732846,16175.02,2021-10-28
2020-03-09,75.6076198817605,14514.24,2021-10-28
2020-03-10,79.879026380994,14958.09,2021-10-28
2020-03-11,77.2575493612079,14270.09,2021-10-28
2020-03-12,70.3504236679592,12508.45,2021-10-28
2020-03-13,77.4614214301239,13716.33,2021-10-28
2020-03-16,68.421803652968,12360.4,2021-10-28
2020-03-17,71.3571378266075,12685.21,2021-10-28
2020-03-18,69.2063710956354,11721.42,2021-10-28
2020-03-19,72.1364576154376,12170.52,2021-10-28
2020-03-20,69.1616766467067,11851.81,2021-10-28
2020-03-23,67.991169977925,11228.49,2021-10-28
2020-03-24,75.2472508472231,12571.08,2021-10-28
2020-03-25,74.7004933051445,13139.23,2021-10-28
2020-03-26,78.0179794520548,13371.17,2021-10-28
2020-03-27,73.871360091579,12687.74,2021-10-28
2020-03-30,76.4556426000423,13038.5,2021-10-28
2020-03-31,78.2630343552173,13378.75,2021-10-28
2020-04-01,75.0281928390189,12876.37,2021-10-28
2020-04-02,76.9301535630882,13097.84,2021-10-28
2020-04-03,75.8608548693754,12938.3,2021-10-28
2020-04-06,80.1403359557729,13592.7,2021-10-28
2020-04-07,80.0543128707211,13614.14,2021-10-28
2020-04-08,80.6522980302598,13925.71,2021-10-28
2020-04-09,79.5748944392758,14166.63,2021-10-28
2020-04-13,78.9670550999856,14075.94,2021-10-28
2020-04-14,79.1873784309487,14258.43,2021-10-28
2020-04-15,77.039189284955,13958.58,2021-10-28
2020-04-16,78.0808296043753,13899.32,2021-10-28
2020-04-17,79.9185597942563,14359.88,2021-10-28
2020-04-20,78.1477553905974,14388.28,2021-10-28
2020-04-21,75.8077004293659,13940.06,2021-10-28
2020-04-22,77.0393389363655,14288.16,2021-10-28
2020-04-23,77.265297420226,14251.09,2021-10-28
2020-04-24,79.0171606864275,14420.36,2021-10-28
2020-04-27,81.1960938056882,14642.11,2021-10-28
2020-04-28,82.4340741799471,14798.29,2021-10-28
2020-04-29,84.8958708654609,15228.11,2021-10-28
2020-04-30,82.5693996126533,14780.74,2021-10-28
2020-05-01,80.3890940073842,14620.34,2021-10-28
2020-05-04,79.3935951146773,14745.04,2021-10-28
2020-05-05,80.3417586329655,14811.56,2021-10-28
2020-05-06,80.5416106908011,14830.74,2021-10-28
2020-05-07,80.8732999284181,14833.69,2021-10-28
2020-05-08,81.967684021544,14966.56,2021-10-28
2020-05-11,83.0572611737826,15103.22,2021-10-28
2020-05-12,81.3880798465582,14881.16,2021-10-28
2020-05-13,79.2467550890135,14503.21,2021-10-28
2020-05-14,78.4453302961276,14509.66,2021-10-28
2020-05-15,77.9628579529346,14638.9,2021-10-28
2020-05-19,81.3284556344595,14885.48,2021-10-28
2020-05-20,83.589928057554,14997.63,2021-10-28
2020-05-21,82.052752293578,14884.85,2021-10-28
2020-05-22,82.3567243104188,14913.64,2021-10-28
2020-05-25,83.7099542334096,15075.42,2021-10-28
2020-05-26,85.4903099368513,15148.12,2021-10-28
2020-05-27,86.2618181818181,15272.03,2021-10-28
2020-05-28,86.4980742678585,15262.73,2021-10-28
2020-05-29,86.1355218243881,15192.83,2021-10-28
2020-06-01,86.6848426792425,15236.21,2021-10-28
2020-06-02,87.6146788990826,15396.33,2021-10-28
2020-06-03,89.5427258578523,15572.63,2021-10-28
2020-06-04,89.0576381686176,15527.87,2021-10-28
2020-06-05,91.0905840286054,15854.07,2021-10-28
2020-06-08,90.9430578388881,15974.91,2021-10-28
2020-06-09,91.6952437751603,15833.74,2021-10-28
2020-06-10,90.9029900827679,15701.33,2021-10-28
2020-06-11,86.6559013505578,15050.92,2021-10-28
2020-06-12,87.9923433703894,15256.57,2021-10-28
2020-06-15,87.6934414148858,15359.66,2021-10-28
2020-06-16,89.2334957908728,15515.83,2021-10-28
2020-06-17,90.031703900317,15428.69,2021-10-28
2020-06-18,88.8888888888889,15479.83,2021-10-28
2020-06-19,87.4660001470265,15474.2,2021-10-28
2020-06-22,87.9437869822485,15516.9,2021-10-28
2020-06-23,87.6338132152086,15564.75,2021-10-28
2020-06-24,85.4073476571094,15294.38,2021-10-28
2020-06-25,86.9829862129656,15446.14,2021-10-28
2020-06-26,86.3383985973116,15188.98,2021-10-28
2020-06-29,87.0689023943765,15389.72,2021-10-28
2020-06-30,88.4918588373977,15515.22,2021-10-28
2020-07-02,88.7266828872668,15622.4,2021-10-28
2020-07-03,88.1506090808417,15596.75,2021-10-28
2020-07-06,88.7854609929078,15669.67,2021-10-28
2020-07-07,88.303190707249,15595.5,2021-10-28
2020-07-08,89.7927461139897,15629.19,2021-10-28
2020-07-09,88.920789163722,15568.64,2021-10-28
2020-07-10,89.6769921271429,15713.82,2021-10-28
2020-07-13,89.6678424456202,15639.41,2021-10-28
2020-07-14,91.8748163385248,15908.45,2021-10-28
2020-07-15,93.4853420195439,16063.33,2021-10-28
2020-07-16,94.1414885777451,16024.5,2021-10-28
2020-07-17,95.3889216263995,16123.48,2021-10-28
2020-07-20,95.9136924554792,16183.66,2021-10-28
2020-07-21,95.6305268633425,16162.96,2021-10-28
2020-07-22,96.8095415579575,16171.06,2021-10-28
2020-07-23,95.6891408114559,16018.65,2021-10-28
2020-07-24,96.5704913143965,15997.06,2021-10-28
2020-07-27,96.9372472667365,16161.33,2021-10-28
2020-07-28,95.9778708133971,16121.32,2021-10-28
2020-07-29,98.7631184407796,16294.66,2021-10-28
2020-07-30,97.7425122932499,16299.29,2021-10-28
2020-07-31,97.5471557444271,16169.2,2021-10-28
2020-08-04,97.4844184125553,16368.03,2021-10-28
2020-08-05,98.5600120627262,16501.61,2021-10-28
2020-08-06,99.5565243535779,16579.1,2021-10-28
2020-08-07,100.052305163267,16544.48,2021-10-28
2020-08-10,101.475655430712,16605.5,2021-10-28
2020-08-11,102.157894736842,16497.01,2021-10-28
2020-08-12,103.012684989429,16575.28,2021-10-28
2020-08-13,102.564296520424,16530.06,2021-10-28
2020-08-14,102.442333785617,16514.61,2021-10-28
2020-08-17,104.003329801725,16656.12,2021-10-28
2020-08-18,104.518872939926,16626.06,2021-10-28
2020-08-19,104.404752894876,16577.38,2021-10-28
2020-08-20,104.938552571689,16606.76,2021-10-28
2020-08-21,105.859582542695,16517.85,2021-10-28
2020-08-24,106.007869249395,16626.64,2021-10-28
2020-08-25,106.242405832321,16617.48,2021-10-28
2020-08-26,106.621508486186,16789.97,2021-10-28
2020-08-27,106.934390002286,16731.49,2021-10-28
2020-08-28,106.360235168359,16705.79,2021-10-28
2020-08-31,105.067075507857,16514.44,2021-10-28
2020-09-01,105.389679987751,16644.99,2021-10-28
2020-09-02,105.083576138629,16697.97,2021-10-28
2020-09-03,103.740667377724,16448.89,2021-10-28
2020-09-04,103.652094020366,16218.01,2021-10-28
2020-09-08,101.738210399033,16099.52,2021-10-28
2020-09-09,104.444106232402,16383.6,2021-10-28
2020-09-10,103.768006065201,16185.32,2021-10-28
2020-09-11,105.57917109458,16222.46,2021-10-28
2020-09-14,106.831638074996,16360.14,2021-10-28
2020-09-15,108.125331917154,16431.27,2021-10-28
2020-09-16,105.654219793564,16295.66,2021-10-28
2020-09-17,106.965967790945,16246.72,2021-10-28
2020-09-18,105.028779157831,16198.97,2021-10-28
2020-09-21,103.291748083571,15981.77,2021-10-28
2020-09-22,105.149988722652,16142.89,2021-10-28
2020-09-23,104.871124392977,15817.11,2021-10-28
2020-09-24,105.829965574016,15912.26,2021-10-28
2020-09-25,106.193962940825,16065.35,2021-10-28
2020-09-28,106.70056835178,16242.81,2021-10-28
2020-09-29,106.51378202734,16211.52,2021-10-28
2020-09-30,106.471957354156,16121.38,2021-10-28
2020-10-01,106.404756528938,16184.54,2021-10-28
2020-10-02,106.658149845946,16199.25,2021-10-28
2020-10-05,108.209574067094,16410.19,2021-10-28
2020-10-06,107.597505072518,16236.13,2021-10-28
2020-10-07,109.914736286124,16428.3,2021-10-28
2020-10-08,109.43610732151,16534.54,2021-10-28
2020-10-09,110.100625095289,16562.81,2021-10-28
2020-10-13,110.847225393926,16510.83,2021-10-28
2020-10-14,111.274248763789,16455.4,2021-10-28
2020-10-15,111.1960057493,16501.03,2021-10-28
2020-10-16,111.791916281186,16438.75,2021-10-28
2020-10-19,111.029411764706,16274.07,2021-10-28
2020-10-20,111.970435842731,16273.26,2021-10-28
2020-10-21,105.013313046786,16230.23,2021-10-28
2020-10-22,104.591487093581,16279.36,2021-10-28
2020-10-23,105.159667708254,16304.08,2021-10-28
2020-10-26,101.991368213826,16079.55,2021-10-28
2020-10-27,102.047936893204,16020.94,2021-10-28
2020-10-28,100.030032284706,15586.57,2021-10-28
2020-10-29,100.510395556556,15670.7,2021-10-28
2020-10-30,99.3842457009837,15580.64,2021-10-28
2020-11-02,102.603102534998,15696.87,2021-10-28
2020-11-03,105.118050266565,15939.15,2021-10-28
2020-11-04,102.085394626684,15998.74,2021-10-28
2020-11-05,104.629416724151,16298.17,2021-10-28
2020-11-06,105.03255457679,16282.83,2021-10-28
2020-11-09,107.988006458061,16475.86,2021-10-28
2020-11-10,109.12579630056,16615.37,2021-10-28
2020-11-11,108.773541570969,16774.14,2021-10-28
2020-11-12,107.725093233884,16582.18,2021-10-28
2020-11-13,108.491356332343,16675.64,2021-10-28
2020-11-16,109.363525091799,16889.81,2021-10-28
2020-11-17,108.769653488017,16948.06,2021-10-28
2020-11-18,109.058940447978,16889.82,2021-10-28
2020-11-19,109.325988830235,16909.81,2021-10-28
2020-11-20,108.743127672572,17019.1,2021-10-28
2020-11-23,109.07700542938,17094.53,2021-10-28
2020-11-24,110.928120671079,17274.25,2021-10-28
2020-11-25,110.530769230769,17313.07,2021-10-28
2020-11-26,109.329132406055,17351.34,2021-10-28
2020-11-27,108.991531947652,17396.56,2021-10-28
2020-11-30,104.615384615385,17190.25,2021-10-28
2020-12-01,106.572842561089,17296.93,2021-10-28
2020-12-02,106.487072302214,17358.21,2021-10-28
2020-12-03,106.928460342146,17398.02,2021-10-28
2020-12-04,108.763693270736,17520.97,2021-10-28
2020-12-07,108.838699593623,17582.35,2021-10-28
2020-12-08,108.818479787732,17639.0,2021-10-28
2020-12-09,110.597783674106,17559.86,2021-10-28
2020-12-10,109.994504200361,17593.34,2021-10-28
2020-12-11,110.25681177576,17548.92,2021-10-28
2020-12-14,109.42789968652,17387.4,2021-10-28
2020-12-15,110.734819248641,17506.48,2021-10-28
2020-12-16,110.249568356616,17567.42,2021-10-28
2020-12-17,111.219435490212,17652.94,2021-10-28
2020-12-18,110.725181882187,17534.63,2021-10-28
2020-12-21,109.148903065194,17500.89,2021-10-28
2020-12-22,108.925389323623,17552.46,2021-10-28
2020-12-23,108.99961074348,17593.57,2021-10-28
2020-12-24,109.298531810767,17623.88,2021-10-28
2020-12-29,110.033549192479,17543.43,2021-10-28
2020-12-30,109.452892302869,17545.81,2021-10-28
2020-12-31,109.929300864101,17433.36,2021-10-28
2021-01-04,109.595366674493,17527.77,2021-10-28
2021-01-05,111.018153117601,17682.51,2021-10-28
2021-01-06,112.86097522487,17828.11,2021-10-28
2021-01-07,113.541420351541,18027.57,2021-10-28
2021-01-08,116.171252858157,18042.07,2021-10-28
2021-01-11,113.963858249237,17934.45,2021-10-28
2021-01-12,114.117091595845,17985.8,2021-10-28
2021-01-13,113.75452969907,17934.74,2021-10-28
2021-01-14,112.394143252869,17958.09,2021-10-28
2021-01-15,111.624253848571,17909.03,2021-10-28
2021-01-18,110.992629763211,17944.88,2021-10-28
2021-01-19,109.842117665541,17957.37,2021-10-28
2021-01-20,110.230422044501,18014.91,2021-10-28
2021-01-21,108.287817620518,17916.2,2021-10-28
2021-01-22,106.792304672163,17845.91,2021-10-28
2021-01-25,108.015387030931,17906.02,2021-10-28
2021-01-26,107.39222949011,17779.41,2021-10-28
2021-01-27,101.437724644476,17424.43,2021-10-28
2021-01-28,103.765201122544,17657.2,2021-10-28
2021-01-29,101.369648587305,17337.02,2021-10-28
2021-02-01,102.443769943186,17692.45,2021-10-28
2021-02-02,105.712050078247,17874.49,2021-10-28
2021-02-03,104.655347781864,17915.91,2021-10-28
2021-02-04,104.350877192982,18041.97,2021-10-28
2021-02-05,106.203435024704,18135.9,2021-10-28
2021-02-08,106.280420788193,18330.26,2021-10-28
2021-02-09,107.350508154101,18408.62,2021-10-28
2021-02-10,106.591070163005,18457.78,2021-10-28
2021-02-11,108.10108644308,18392.99,2021-10-28
2021-02-12,110.67433433118,18460.21,2021-10-28
2021-02-16,110.145041778338,18492.72,2021-10-28
2021-02-17,108.890463816049,18374.78,2021-10-28
2021-02-18,107.967184665142,18274.07,2021-10-28
2021-02-19,109.318001586043,18384.27,2021-10-28
2021-02-22,107.422680412371,18416.74,2021-10-28
2021-02-23,108.723285929928,18330.09,2021-10-28
2021-02-24,110.606666133802,18484.53,2021-10-28
2021-02-25,110.834193189936,18223.54,2021-10-28
2021-02-26,109.043096004396,18060.26,2021-10-28
2021-03-01,111.981020166073,18299.62,2021-10-28
2021-03-02,111.954714591085,18421.6,2021-10-28
2021-03-03,111.349087173003,18320.67,2021-10-28
2021-03-04,108.859060402685,18125.72,2021-10-28
2021-03-05,112.145397076254,18380.96,2021-10-28
2021-03-08,113.372827804107,18457.78,2021-10-28
2021-03-09,112.99667563717,18599.19,2021-10-28
2021-03-10,114.496314496314,18690.0,2021-10-28
2021-03-11,115.320134121028,18844.57,2021-10-28
2021-03-12,115.700424985967,18851.32,2021-10-28
2021-03-15,116.57844080847,18954.75,2021-10-28
2021-03-16,117.592220525597,18874.01,2021-10-28
2021-03-17,118.217741935484,18983.1,2021-10-28
2021-03-18,118.455623197693,18836.47,2021-10-28
2021-03-19,117.268144354645,18854.0,2021-10-28
2021-03-22,113.107028753994,18815.13,2021-10-28
2021-03-23,113.714739769567,18669.8,2021-10-28
2021-03-24,116.294234592445,18628.29,2021-10-28
2021-03-25,116.304520222046,18651.1,2021-10-28
2021-03-26,116.825699745547,18752.58,2021-10-28
2021-03-29,116.84938036225,18719.22,2021-10-28
2021-03-30,115.980687034985,18705.56,2021-10-28
2021-03-31,116.133142220099,18700.67,2021-10-28
2021-04-01,117.807891590275,18990.32,2021-10-28
2021-04-05,118.201421611692,19026.79,2021-10-28
2021-04-06,116.69187296028,19104.14,2021-10-28
2021-04-07,116.673276751011,19129.07,2021-10-28
2021-04-08,116.223531284827,19228.87,2021-10-28
2021-04-09,117.522152151353,19228.03,2021-10-28
2021-04-12,117.092588169732,19201.28,2021-10-28
2021-04-13,117.093607852526,19203.7,2021-10-28
2021-04-14,116.948881789137,19171.66,2021-10-28
2021-04-15,117.343114584164,19321.92,2021-10-28
2021-04-16,118.89795265515,19351.32,2021-10-28
2021-04-19,118.225343121609,19204.42,2021-10-28
2021-04-20,110.137225350995,19040.78,2021-10-28
2021-04-21,110.907490396927,19143.25,2021-10-28
2021-04-22,109.748880358285,19031.64,2021-10-28
2021-04-23,108.897795591182,19102.33,2021-10-28
2021-04-26,110.068576038725,19170.56,2021-10-28
2021-04-27,108.0367949649,19175.09,2021-10-28
2021-04-28,108.991228070175,19356.95,2021-10-28
2021-04-29,108.127697695252,19255.92,2021-10-28
2021-04-30,107.681666531044,19108.33,2021-10-28
2021-05-03,109.20495275334,19213.16,2021-10-28
2021-05-04,108.619709155902,19188.03,2021-10-28
2021-05-05,110.037508153946,19310.74,2021-10-28
2021-05-06,110.322686862035,19290.98,2021-10-28
2021-05-07,112.464962901896,19472.74,2021-10-28
2021-05-10,113.102422088121,19361.88,2021-10-28
2021-05-11,112.422514257377,19274.04,2021-10-28
2021-05-12,110.856483389663,19107.77,2021-10-28
2021-05-13,111.08552631579,19135.81,2021-10-28
2021-05-14,107.478102792927,19366.69,2021-10-28
2021-05-17,108.552958727001,19474.65,2021-10-28
2021-05-18,108.413461538461,19507.05,2021-10-28
2021-05-19,106.330887808095,19417.03,2021-10-28
2021-05-20,106.377508707912,19542.95,2021-10-28
2021-05-21,104.259903862092,19527.3,2021-10-28
2021-05-25,105.488310396286,19564.12,2021-10-28
2021-05-26,107.75769579929,19745.47,2021-10-28
2021-05-27,111.190318302387,19774.41,2021-10-28
2021-05-28,112.694729864103,19852.18,2021-10-28
2021-05-31,111.507212734207,19730.99,2021-10-28
2021-06-01,112.178956089478,19976.01,2021-10-28
2021-06-02,111.677194148936,19971.15,2021-10-28
2021-06-03,111.609651297306,19941.39,2021-10-28
2021-06-04,112.467919529762,20029.19,2021-10-28
2021-06-07,111.002566437619,20035.3,2021-10-28
2021-06-08,110.206440957886,20065.92,2021-10-28
2021-06-09,109.95127591048,20002.27,2021-10-28
2021-06-10,110.228212336696,20049.47,2021-10-28
2021-06-11,110.415466886055,20138.35,2021-10-28
2021-06-14,111.004035911375,20157.65,2021-10-28
2021-06-15,110.08210180624,20231.32,2021-10-28
2021-06-16,107.771260997067,20230.96,2021-10-28
2021-06-17,105.962300784726,20144.04,2021-10-28
2021-06-18,104.244904509709,19999.59,2021-10-28
2021-06-21,105.024678372037,20156.36,2021-10-28
2021-06-22,105.599349857781,20200.65,2021-10-28
2021-06-23,105.428687525396,20164.39,2021-10-28
2021-06-24,105.948709625061,20215.12,2021-10-28
2021-06-25,106.588579795022,20230.26,2021-10-28
2021-06-28,105.59383867045,20145.25,2021-10-28
2021-06-29,106.29787920329,20171.02,2021-10-28
2021-06-30,105.526867839277,20165.58,2021-10-28
2021-07-02,106.79438266093,20226.11,2021-10-28
2021-07-05,106.208461663154,20281.46,2021-10-28
2021-07-06,104.204782538918,20300.03,2021-10-28
2021-07-07,106.043119339585,20290.6,2021-10-28
2021-07-08,105.386211299074,20061.21,2021-10-28
2021-07-09,107.456210830789,20257.95,2021-10-28
2021-07-12,105.766605091961,20233.08,2021-10-28
2021-07-13,105.523581135092,20270.65,2021-10-28
2021-07-14,104.965616504078,20147.24,2021-10-28
2021-07-15,105.019059720457,20183.72,2021-10-28
2021-07-16,104.39299024661,19985.54,2021-10-28
2021-07-19,101.388453090681,19726.45,2021-10-28
2021-07-20,102.382267097894,19942.71,2021-10-28
2021-07-21,104.461440407903,20110.05,2021-10-28
