Date,Stock,Market,joined date
2020-01-02,25.0131440588858,7604.3,2021-01-10
2020-01-03,24.7323928917271,7622.4,2021-01-10
2020-01-06,24.4775962184159,7575.34,2021-01-10
2020-01-07,24.4219311829077,7573.85,2021-01-10
2020-01-08,24.8516757691257,7574.93,2021-01-10
2020-01-09,24.9542722759347,7598.12,2021-01-10
2020-01-10,24.9751880484754,7587.85,2021-01-10
2020-01-13,25.0668883289602,7617.6,2021-01-10
2020-01-14,25.461124923525,7622.35,2021-01-10
2020-01-15,25.7003558811637,7642.8,2021-01-10
2020-01-16,25.1843715675498,7609.81,2021-01-10
2020-01-17,25.1899162287326,7674.56,2021-01-10
2020-01-20,25.1723689345657,7651.44,2021-01-10
2020-01-21,25.2655063538873,7610.7,2021-01-10
2020-01-22,25.1300851466406,7571.92,2021-01-10
2020-01-23,24.7592305875562,7507.67,2021-01-10
2020-01-24,25.1974475652484,7585.98,2021-01-10
2020-01-27,24.7940896215941,7412.05,2021-01-10
2020-01-28,25.2396956906883,7480.69,2021-01-10
2020-01-29,25.213202265478,7483.57,2021-01-10
2020-01-30,24.8720063898601,7381.96,2021-01-10
2020-01-31,24.7746261367691,7286.01,2021-01-10
2020-02-03,24.5176378873519,7326.31,2021-01-10
2020-02-04,24.6377944548684,7439.82,2021-01-10
2020-02-05,24.7845247845248,7482.48,2021-01-10
2020-02-06,25.3131827642832,7504.79,2021-01-10
2020-02-07,25.1501791837478,7466.7,2021-01-10
2020-02-10,25.6969822187208,7446.88,2021-01-10
2020-02-11,25.4746548553379,7499.44,2021-01-10
2020-02-12,25.5378434421983,7534.37,2021-01-10
2020-02-13,25.4050457877847,7452.03,2021-01-10
2020-02-14,25.3222355581072,7409.13,2021-01-10
2020-02-17,25.2900322547077,7433.25,2021-01-10
2020-02-18,25.2810814323788,7382.01,2021-01-10
2020-02-19,25.1857115173433,7457.02,2021-01-10
2020-02-20,25.0946603817316,7436.64,2021-01-10
2020-02-21,25.3284397006756,7403.92,2021-01-10
2020-02-24,24.4386416226071,7156.83,2021-01-10
2020-02-25,24.3241134475095,7017.88,2021-01-10
2020-02-26,23.6835653733506,7042.47,2021-01-10
2020-02-27,22.8496701710987,6796.4,2021-01-10
2020-02-28,21.9286437701107,6580.61,2021-01-10
2020-03-02,21.681477987021,6654.89,2021-01-10
2020-03-03,21.9435335109648,6718.2,2021-01-10
2020-03-04,21.3256113256115,6815.59,2021-01-10
2020-03-05,20.9920203119335,6705.43,2021-01-10
2020-03-06,20.6468700258335,6462.55,2021-01-10
2020-03-09,19.3944009664367,5965.77,2021-01-10
2020-03-10,18.5653627247266,5960.23,2021-01-10
2020-03-11,17.4865069292201,5876.52,2021-01-10
2020-03-12,15.6006436365465,5237.48,2021-01-10
2020-03-13,14.6022587773145,5366.11,2021-01-10
2020-03-16,13.7563476682282,5151.08,2021-01-10
2020-03-17,12.941630115197,5294.9,2021-01-10
2020-03-18,11.7872488677278,5080.58,2021-01-10
2020-03-19,12.1166877225225,5151.61,2021-01-10
2020-03-20,12.9157305332754,5190.78,2021-01-10
2020-03-23,11.5711068768403,4993.89,2021-01-10
2020-03-24,12.4623777276145,5446.01,2021-01-10
2020-03-25,13.299263132874,5688.2,2021-01-10
2020-03-26,15.1537335285504,5815.73,2021-01-10
2020-03-27,14.9720364211597,5510.33,2021-01-10
2020-03-30,14.7812915161227,5563.74,2021-01-10
2020-03-31,15.6964037353468,5671.96,2021-01-10
2020-04-01,14.3684562263305,5454.57,2021-01-10
2020-04-02,13.6312378403157,5480.22,2021-01-10
2020-04-03,13.4860113282499,5415.5,2021-01-10
2020-04-06,14.0633216342806,5582.39,2021-01-10
2020-04-07,15.3163822988767,5704.45,2021-01-10
2020-04-08,15.8218049861904,5677.73,2021-01-10
2020-04-09,16.9325810509532,5842.66,2021-01-10
2020-04-14,15.8167129512744,5791.31,2021-01-10
2020-04-15,15.5610616811197,5597.65,2021-01-10
2020-04-16,16.0046830823647,5628.43,2021-01-10
2020-04-17,16.6487513436489,5786.96,2021-01-10
2020-04-20,16.4080181053999,5812.83,2021-01-10
2020-04-21,15.5445191586663,5641.03,2021-01-10
2020-04-22,16.2165495128875,5770.63,2021-01-10
2020-04-23,16.6247037914697,5826.61,2021-01-10
2020-04-24,15.6628741033882,5752.23,2021-01-10
2020-04-27,16.6411891179793,5846.79,2021-01-10
2020-04-28,16.6627333590032,5958.5,2021-01-10
2020-04-29,17.6801984270415,6115.25,2021-01-10
2020-04-30,16.8228064873573,5901.21,2021-01-10
2020-05-01,15.8900821383478,5763.06,2021-01-10
2020-05-04,15.5587075261589,5753.78,2021-01-10
2020-05-05,16.2200808206401,5849.42,2021-01-10
2020-05-06,16.0926065333016,5853.76,2021-01-10
2020-05-07,15.9085290482079,5935.98,2021-01-10
2020-05-11,15.6654742814856,5939.73,2021-01-10
2020-05-12,15.2991798756938,5994.77,2021-01-10
2020-05-13,14.0144057329439,5904.05,2021-01-10
2020-05-14,13.5280525228319,5741.54,2021-01-10
2020-05-15,13.1934105571495,5799.77,2021-01-10
2020-05-18,14.0600431491574,6048.59,2021-01-10
2020-05-19,13.6476122804006,6002.23,2021-01-10
2020-05-20,13.9708222162389,6067.16,2021-01-10
2020-05-21,13.8780249327787,6015.25,2021-01-10
2020-05-22,13.9824838827388,5993.28,2021-01-10
2020-05-26,14.8281049620209,6067.76,2021-01-10
2020-05-27,15.2940600002447,6144.25,2021-01-10
2020-05-28,15.7583595048959,6218.79,2021-01-10
2020-05-29,14.6152991569051,6076.6,2021-01-10
2020-06-01,14.940475446903,6166.42,2021-01-10
2020-06-02,15.6736271458694,6220.14,2021-01-10
2020-06-03,16.0858414422576,6382.41,2021-01-10
2020-06-04,16.2210495825094,6341.44,2021-01-10
2020-06-05,16.9178168924911,6484.3,2021-01-10
2020-06-08,16.5449595440434,6472.59,2021-01-10
2020-06-09,16.1021371927544,6335.72,2021-01-10
2020-06-10,15.7146134434506,6329.13,2021-01-10
2020-06-11,14.6286146286151,6076.7,2021-01-10
2020-06-12,14.4209668317759,6105.18,2021-01-10
2020-06-15,13.9883052727086,6064.7,2021-01-10
2020-06-16,14.3281067283636,6242.79,2021-01-10
2020-06-17,14.0730139600276,6253.25,2021-01-10
2020-06-18,14.2131222900021,6224.07,2021-01-10
2020-06-19,14.5677853012408,6292.6,2021-01-10
2020-06-22,14.6417445482864,6244.62,2021-01-10
2020-06-23,14.7336796645174,6320.12,2021-01-10
2020-06-24,13.8212795549375,6123.69,2021-01-10
2020-06-25,13.332671251583,6147.14,2021-01-10
2020-06-26,13.5231799514075,6159.3,2021-01-10
2020-06-29,13.746972100287,6225.77,2021-01-10
2020-06-30,13.787630808907,6169.74,2021-01-10
2020-07-01,14.2034118116523,6157.96,2021-01-10
2020-07-02,14.2736044279344,6240.36,2021-01-10
2020-07-03,14.3866481918384,6157.3,2021-01-10
2020-07-06,14.7518049414169,6285.94,2021-01-10
2020-07-07,14.2830271490372,6189.9,2021-01-10
2020-07-08,14.185201997277,6156.16,2021-01-10
2020-07-09,13.8517771615827,6049.62,2021-01-10
2020-07-10,14.0713537525712,6095.41,2021-01-10
2020-07-13,14.3719640010544,6176.19,2021-01-10
2020-07-14,13.821617687655,6179.75,2021-01-10
2020-07-15,14.9010579814062,6292.65,2021-01-10
2020-07-16,14.4375564702343,6250.69,2021-01-10
2020-07-17,14.2613022390875,6290.3,2021-01-10
2020-07-20,14.109559558926,6261.52,2021-01-10
2020-07-21,14.6881006020343,6269.73,2021-01-10
2020-07-22,14.5909195080339,6207.1,2021-01-10
2020-07-23,14.3059147250288,6211.44,2021-01-10
2020-07-24,14.3237159811749,6123.82,2021-01-10
2020-07-27,13.9436329443288,6104.88,2021-01-10
2020-07-28,13.9578484613395,6129.26,2021-01-10
2020-07-29,13.9890582563382,6131.46,2021-01-10
2020-07-30,14.0029066341962,5989.99,2021-01-10
2020-07-31,13.7489202418657,5897.76,2021-01-10
2020-08-03,14.0916874730386,6032.85,2021-01-10
2020-08-04,14.2418701841448,6036.0,2021-01-10
2020-08-05,15.1705871554826,6104.72,2021-01-10
2020-08-06,15.3741997397097,6026.94,2021-01-10
2020-08-07,15.3545978961651,6032.18,2021-01-10
2020-08-10,15.3899439296313,6050.59,2021-01-10
2020-08-11,16.1795407098116,6154.34,2021-01-10
2020-08-12,16.0489483149579,6280.12,2021-01-10
2020-08-13,15.8519699028117,6185.62,2021-01-10
2020-08-14,15.6354263434037,6090.04,2021-01-10
2020-08-17,15.6045280645666,6127.44,2021-01-10
2020-08-18,15.5908784096779,6076.62,2021-01-10
2020-08-19,15.0560590978153,6111.98,2021-01-10
2020-08-20,14.92951419625,6013.34,2021-01-10
2020-08-21,15.2266659686956,6001.89,2021-01-10
2020-08-24,15.1922875953605,6104.73,2021-01-10
2020-08-25,15.1750256423747,6037.01,2021-01-10
2020-08-26,15.341029163145,6045.6,2021-01-10
2020-08-27,16.015784819649,5999.99,2021-01-10
2020-08-28,16.2924498077743,5963.57,2021-01-10
2020-09-01,15.7360202320259,5862.05,2021-01-10
2020-09-02,16.3829361105544,5940.95,2021-01-10
2020-09-03,16.8922059467999,5850.86,2021-01-10
2020-09-04,16.6024704476025,5799.08,2021-01-10
2020-09-07,16.7669479809878,5937.4,2021-01-10
2020-09-08,16.3246753246753,5930.3,2021-01-10
2020-09-09,16.2825162825163,6012.84,2021-01-10
2020-09-10,16.5542140909268,6003.32,2021-01-10
2020-09-11,16.2918329751305,6032.09,2021-01-10
2020-09-14,16.8706731571988,6026.25,2021-01-10
2020-09-15,16.9514458017628,6105.54,2021-01-10
2020-09-16,16.9776095214632,6078.48,2021-01-10
2020-09-17,17.1165795379368,6049.92,2021-01-10
2020-09-18,16.3117178318195,6007.05,2021-01-10
2020-09-21,15.4728344438744,5804.29,2021-01-10
2020-09-22,15.2836482151043,5829.46,2021-01-10
2020-09-23,15.4317846420028,5899.26,2021-01-10
2020-09-24,15.2222137229398,5822.78,2021-01-10
2020-09-25,15.0901073130945,5842.67,2021-01-10
2020-09-28,15.7771193288956,5927.93,2021-01-10
2020-09-29,15.5361782030512,5897.5,2021-01-10
2020-09-30,15.0988724280895,5866.1,2021-01-10
2020-10-01,15.054262366922,5879.45,2021-01-10
2020-10-02,15.0063361522741,5902.12,2021-01-10
2020-10-05,15.2740108228755,5942.94,2021-01-10
2020-10-06,15.5618223492751,5949.94,2021-01-10
2020-10-07,15.6502305873847,5946.25,2021-01-10
2020-10-08,15.6876438788446,5978.03,2021-01-10
2020-10-09,16.3661743985809,6016.65,2021-01-10
2020-10-12,15.9838528466543,6001.38,2021-01-10
2020-10-13,15.7147291634329,5969.71,2021-01-10
2020-10-14,15.4505711832209,5935.06,2021-01-10
2020-10-15,15.1352747465615,5832.52,2021-01-10
2020-10-16,15.2180369571671,5919.58,2021-01-10
2020-10-19,15.5493409979545,5884.65,2021-01-10
2020-10-20,15.5586621103864,5889.22,2021-01-10
2020-10-21,15.0499474237647,5776.5,2021-01-10
2020-10-22,14.9776969665264,5785.65,2021-01-10
2020-10-23,14.9960227939545,5860.28,2021-01-10
2020-10-26,14.2602263403957,5792.01,2021-01-10
2020-10-27,14.0930493419768,5728.99,2021-01-10
2020-10-28,13.7338387247523,5582.8,2021-01-10
2020-10-29,13.8115119630829,5581.75,2021-01-10
2020-10-30,13.652716308202,5577.27,2021-01-10
2020-11-02,13.7384275698222,5654.97,2021-01-10
2020-11-03,14.2202373956986,5786.77,2021-01-10
2020-11-04,14.2899807822161,5883.26,2021-01-10
2020-11-05,14.8898701571783,5906.18,2021-01-10
2020-11-06,14.8268013840105,5910.02,2021-01-10
2020-11-09,18.0463597951851,6186.29,2021-01-10
2020-11-10,19.1700286654638,6296.85,2021-01-10
2020-11-11,18.9523645834706,6382.1,2021-01-10
2020-11-12,18.35969260629,6338.94,2021-01-10
2020-11-13,18.1109733906482,6316.39,2021-01-10
2020-11-16,18.6785210199319,6421.29,2021-01-10
2020-11-17,18.4116097083007,6365.33,2021-01-10
2020-11-18,17.8599862003083,6385.24,2021-01-10
2020-11-19,17.9023723958682,6334.35,2021-01-10
2020-11-20,17.7580023907556,6351.45,2021-01-10
2020-11-23,17.8994910602462,6333.84,2021-01-10
2020-11-24,18.3911423343533,6432.17,2021-01-10
2020-11-25,18.7415525847411,6391.09,2021-01-10
2020-11-26,18.596917652715,6362.93,2021-01-10
2020-11-27,18.8792288540654,6367.58,2021-01-10
2020-11-30,17.6371071947141,6266.19,2021-01-10
2020-12-01,18.801228820949,6384.73,2021-01-10
2020-12-02,19.0891718894074,6463.39,2021-01-10
2020-12-03,19.566036212973,6490.27,2021-01-10
2020-12-04,19.6517112105454,6550.23,2021-01-10
2020-12-07,19.8833616457786,6555.39,2021-01-10
2020-12-08,19.3817599145408,6558.82,2021-01-10
2020-12-09,19.4108427440416,6564.29,2021-01-10
2020-12-10,19.3877279736271,6599.76,2021-01-10
2020-12-11,19.1733001877658,6546.75,2021-01-10
2020-12-14,19.3035276564004,6531.83,2021-01-10
2020-12-15,19.329914253793,6513.32,2021-01-10
2020-12-16,19.105570263115,6570.91,2021-01-10
2020-12-17,19.1030464367695,6551.06,2021-01-10
2020-12-18,19.0092477421455,6529.18,2021-01-10
2020-12-21,18.6327041654323,6416.32,2021-01-10
2020-12-22,18.5504342017371,6453.16,2021-01-10
2020-12-23,18.8415769448716,6495.75,2021-01-10
2020-12-24,18.8074389351261,6502.11,2021-01-10
2020-12-29,19.1025191025198,6602.65,2021-01-10
2020-12-30,18.9617359796222,6555.82,2021-01-10
2020-12-31,18.6362579815959,6460.52,2021-01-10
2021-01-04,18.6099841241846,6571.88,2021-01-10
2021-01-05,18.9918256130792,6612.25,2021-01-10
2021-01-06,19.1381374843514,6841.86,2021-01-10
2021-01-07,19.171300691713,6856.96,2021-01-10
2021-01-08,19.9850806998508,6873.26,2021-01-10
2021-01-11,19.0548265470225,6798.48,2021-01-10
2021-01-12,19.1966115589566,6754.11,2021-01-10
2021-01-13,19.09177689895,6745.52,2021-01-10
2021-01-14,19.5450439352875,6801.96,2021-01-10
2021-01-15,19.0340330140617,6735.71,2021-01-10
2021-01-18,19.1330688980658,6720.65,2021-01-10
2021-01-19,19.0588459756325,6712.95,2021-01-10
2021-01-20,19.3462945770309,6740.39,2021-01-10
2021-01-21,19.3620147480881,6715.42,2021-01-10
2021-01-22,19.0823503653634,6695.07,2021-01-10
2021-01-25,18.0703121795136,6638.85,2021-01-10
2021-01-26,18.9584849691689,6654.01,2021-01-10
2021-01-27,18.7567574965438,6567.37,2021-01-10
2021-01-28,18.4026777507991,6526.15,2021-01-10
2021-01-29,17.9564824203234,6407.46,2021-01-10
2021-02-01,18.3194218658219,6466.42,2021-01-10
2021-02-02,18.5843126537307,6516.65,2021-01-10
2021-02-03,18.4126507667957,6507.82,2021-01-10
2021-02-04,19.2678359055675,6503.72,2021-01-10
2021-02-05,19.8580001922624,6489.33,2021-01-10
2021-02-08,20.0436867195113,6523.53,2021-01-10
2021-02-09,20.2928581295763,6531.56,2021-01-10
2021-02-10,19.3315541297346,6524.36,2021-01-10
2021-02-11,19.3824687435246,6528.72,2021-01-10
2021-02-12,19.5132418700596,6589.79,2021-01-10
2021-02-15,20.798865516426,6756.11,2021-01-10
2021-02-16,20.4275963690454,6748.86,2021-01-10
2021-02-17,20.0590133957634,6710.9,2021-01-10
2021-02-18,19.859731477989,6617.15,2021-01-10
2021-02-19,19.9840239920396,6624.02,2021-01-10
2021-02-22,20.8945570100816,6612.24,2021-01-10
2021-02-23,21.2919065357267,6625.94,2021-01-10
2021-02-24,21.1167038995564,6658.97,2021-01-10
2021-02-25,20.7113029343342,6651.96,2021-01-10
2021-02-26,20.2711174888891,6483.43,2021-01-10
2021-03-01,20.9525400604211,6588.53,2021-01-10
2021-03-02,21.2783769830745,6613.75,2021-01-10
2021-03-03,21.780686210216,6675.47,2021-01-10
2021-03-04,22.0287881735068,6650.88,2021-01-10
2021-03-05,21.4051405555786,6630.52,2021-01-10
2021-03-08,21.9041167850928,6719.13,2021-01-10
2021-03-09,21.8535961877776,6730.34,2021-01-10
2021-03-10,21.479913077395,6725.6,2021-01-10
2021-03-11,22.0691102406263,6736.96,2021-01-10
2021-03-12,22.1637500174022,6761.47,2021-01-10
2021-03-15,22.3259561816648,6749.7,2021-01-10
2021-03-16,22.1566449104285,6803.61,2021-01-10
2021-03-17,21.5029741126539,6762.67,2021-01-10
2021-03-18,20.9705034869632,6779.68,2021-01-10
2021-03-19,20.5109003161927,6708.71,2021-01-10
2021-03-22,20.3648764798841,6726.1,2021-01-10
2021-03-23,20.0063250237183,6699.19,2021-01-10
2021-03-24,20.1141168260745,6712.89,2021-01-10
2021-03-25,20.4056410749354,6674.83,2021-01-10
2021-03-26,20.4323608889871,6740.59,2021-01-10
2021-03-29,20.1362135388009,6736.17,2021-01-10
2021-03-30,20.2854944632203,6772.12,2021-01-10
2021-03-31,20.1380659740399,6713.63,2021-01-10
2021-04-01,20.6757298740097,6737.3,2021-01-10
2021-04-06,21.3496813789868,6823.55,2021-01-10
2021-04-07,21.459374828325,6885.32,2021-01-10
2021-04-08,21.7050963373933,6942.22,2021-01-10
2021-04-09,21.3639479095273,6915.75,2021-01-10
2021-04-12,21.6130805166259,6889.12,2021-01-10
2021-04-13,21.4262146333411,6890.49,2021-01-10
2021-04-14,22.0862784000883,6939.58,2021-01-10
2021-04-15,21.6923776831128,6983.5,2021-01-10
2021-04-16,21.9688273611133,7019.53,2021-01-10
2021-04-19,22.0303432846254,7000.08,2021-01-10
2021-04-20,21.6146159956527,6859.87,2021-01-10
2021-04-21,21.7569958073902,6895.29,2021-01-10
2021-04-22,21.8609477689381,6938.24,2021-01-10
2021-04-23,21.7475755095243,6938.56,2021-01-10
2021-04-26,22.2058557870011,6963.12,2021-01-10
2021-04-27,21.8697829716198,6944.97,2021-01-10
2021-04-28,21.8524039734176,6963.67,2021-01-10
2021-04-29,21.8370134939216,6961.48,2021-01-10
2021-04-30,21.7226136206663,6969.81,2021-01-10
2021-05-04,21.5356845320737,6923.17,2021-01-10
2021-05-05,21.6678020771056,7039.3,2021-01-10
2021-05-06,21.8480977506241,7076.17,2021-01-10
2021-05-07,22.7044095456328,7129.71,2021-01-10
2021-05-10,22.5989099432387,7123.68,2021-01-10
2021-05-11,21.6146275241816,6947.99,2021-01-10
2021-05-12,21.2185936709566,7004.63,2021-01-10
2021-05-13,21.3842133363312,6963.33,2021-01-10
2021-05-14,21.707874037947,7043.61,2021-01-10
2021-05-17,21.42019194075,7032.85,2021-01-10
2021-05-18,21.7061302084068,7034.24,2021-01-10
2021-05-19,21.0070988046351,6950.2,2021-01-10
