Date,Stock,Market,joined date
2017-01-03,70.54,2257.83,2019-09-09
2017-01-04,72.8,2270.75,2019-09-09
2017-01-05,72.79,2269.0,2019-09-09
2017-01-06,73.8,2276.98,2019-09-09
2017-01-09,73.96,2268.9,2019-09-09
2017-01-10,73.98,2268.9,2019-09-09
2017-01-11,75.77,2275.32,2019-09-09
2017-01-12,75.21,2270.44,2019-09-09
2017-01-13,75.64,2274.64,2019-09-09
2017-01-17,75.02,2267.89,2019-09-09
2017-01-18,75.78,2271.89,2019-09-09
2017-01-19,75.57,2263.69,2019-09-09
2017-01-20,76.03,2271.31,2019-09-09
2017-01-23,76.16,2265.2,2019-09-09
2017-01-24,77.11,2280.07,2019-09-09
2017-01-25,78.47,2298.37,2019-09-09
2017-01-26,77.95,2296.68,2019-09-09
2017-01-27,78.21,2294.69,2019-09-09
2017-01-30,78.71,2280.9,2019-09-09
2017-01-31,79.1,2278.87,2019-09-09
2017-02-01,78.58,2279.55,2019-09-09
2017-02-02,80.13,2280.85,2019-09-09
2017-02-03,80.21,2297.42,2019-09-09
2017-02-06,79.75,2292.56,2019-09-09
2017-02-07,80.21,2293.08,2019-09-09
2017-02-08,80.7,2294.67,2019-09-09
2017-02-09,81.03,2307.87,2019-09-09
2017-02-10,80.64,2316.1,2019-09-09
2017-02-13,80.91,2328.25,2019-09-09
2017-02-14,80.92,2337.58,2019-09-09
2017-02-15,81.67,2349.25,2019-09-09
2017-02-16,80.82,2347.22,2019-09-09
2017-02-17,81.47,2351.16,2019-09-09
2017-02-21,82.18,2365.38,2019-09-09
2017-02-22,82.08,2362.82,2019-09-09
2017-02-23,82.07,2363.81,2019-09-09
2017-02-24,81.78,2367.34,2019-09-09
2017-02-27,81.54,2369.75,2019-09-09
2017-02-28,81.35,2363.64,2019-09-09
2017-03-01,83.81,2395.96,2019-09-09
2017-03-02,82.67,2381.92,2019-09-09
2017-03-03,82.22,2383.12,2019-09-09
2017-03-06,82.5,2375.31,2019-09-09
2017-03-07,82.97,2368.39,2019-09-09
2017-03-08,83.48,2362.98,2019-09-09
2017-03-09,83.28,2364.87,2019-09-09
2017-03-10,83.51,2372.6,2019-09-09
2017-03-13,83.61,2373.47,2019-09-09
2017-03-14,83.51,2365.45,2019-09-09
2017-03-15,83.48,2385.26,2019-09-09
2017-03-16,83.52,2381.38,2019-09-09
2017-03-17,83.03,2378.25,2019-09-09
2017-03-20,82.9,2373.47,2019-09-09
2017-03-21,81.55,2344.02,2019-09-09
2017-03-22,81.88,2348.45,2019-09-09
2017-03-23,81.52,2345.96,2019-09-09
2017-03-24,81.61,2343.98,2019-09-09
2017-03-27,81.61,2341.59,2019-09-09
2017-03-28,82.14,2358.57,2019-09-09
2017-03-29,82.38,2361.13,2019-09-09
2017-03-30,82.56,2368.06,2019-09-09
2017-03-31,82.49,2362.72,2019-09-09
2017-04-03,82.31,2358.84,2019-09-09
2017-04-04,82.97,2360.16,2019-09-09
2017-04-05,85.34,2352.95,2019-09-09
2017-04-06,85.0,2357.49,2019-09-09
2017-04-07,84.38,2355.54,2019-09-09
2017-04-10,84.24,2357.16,2019-09-09
2017-04-11,83.86,2353.78,2019-09-09
2017-04-12,83.37,2344.93,2019-09-09
2017-04-13,83.13,2328.95,2019-09-09
2017-04-17,84.2,2349.01,2019-09-09
2017-04-18,83.71,2342.19,2019-09-09
2017-04-19,83.5,2338.17,2019-09-09
2017-04-20,84.05,2355.84,2019-09-09
2017-04-21,83.79,2348.69,2019-09-09
2017-04-24,84.17,2374.15,2019-09-09
2017-04-25,84.75,2388.61,2019-09-09
2017-04-26,84.95,2387.45,2019-09-09
2017-04-27,85.85,2388.77,2019-09-09
2017-04-28,86.12,2384.2,2019-09-09
2017-05-01,86.66,2388.33,2019-09-09
2017-05-02,87.09,2391.17,2019-09-09
2017-05-03,86.55,2388.13,2019-09-09
2017-05-04,86.52,2389.52,2019-09-09
2017-05-05,86.97,2399.29,2019-09-09
2017-05-08,86.86,2399.38,2019-09-09
2017-05-09,87.13,2396.92,2019-09-09
2017-05-10,87.31,2399.63,2019-09-09
2017-05-11,87.71,2394.44,2019-09-09
2017-05-12,89.04,2390.9,2019-09-09
