Date,Stock,Market,joined date
2020-01-02,48.42,3257.85,2021-09-16
2020-01-03,47.63,3234.85,2021-09-16
2020-01-06,47.8,3246.28,2021-09-16
2020-01-07,47.49,3237.18,2021-09-16
2020-01-08,47.52,3253.05,2021-09-16
2020-01-09,47.32,3274.7,2021-09-16
2020-01-10,47.13,3265.35,2021-09-16
2020-01-13,47.97,3288.13,2021-09-16
2020-01-14,47.79,3283.15,2021-09-16
2020-01-15,48.01,3289.29,2021-09-16
2020-01-16,49.05,3316.81,2021-09-16
2020-01-17,49.02,3329.62,2021-09-16
2020-01-21,48.8,3320.79,2021-09-16
2020-01-22,49.06,3321.75,2021-09-16
2020-01-23,49.0,3325.54,2021-09-16
2020-01-24,48.85,3295.47,2021-09-16
2020-01-27,47.47,3243.63,2021-09-16
2020-01-28,47.77,3276.24,2021-09-16
2020-01-29,47.05,3273.4,2021-09-16
2020-01-30,47.24,3283.66,2021-09-16
2020-01-31,45.97,3225.52,2021-09-16
2020-02-03,46.53,3248.92,2021-09-16
2020-02-04,47.62,3297.59,2021-09-16
2020-02-05,48.45,3334.69,2021-09-16
2020-02-06,48.69,3345.78,2021-09-16
2020-02-07,47.97,3327.71,2021-09-16
2020-02-10,48.87,3352.09,2021-09-16
2020-02-11,49.13,3357.75,2021-09-16
2020-02-12,49.93,3379.45,2021-09-16
2020-02-13,47.32,3373.94,2021-09-16
2020-02-14,46.97,3380.16,2021-09-16
2020-02-18,46.59,3370.29,2021-09-16
2020-02-19,46.29,3386.15,2021-09-16
2020-02-20,46.85,3373.23,2021-09-16
2020-02-21,46.295,3337.75,2021-09-16
2020-02-24,44.0,3225.89,2021-09-16
2020-02-25,42.74,3128.21,2021-09-16
2020-02-26,42.16,3116.39,2021-09-16
2020-02-27,40.04,2978.76,2021-09-16
2020-02-28,39.93,2954.22,2021-09-16
2020-03-02,41.17,3090.23,2021-09-16
2020-03-03,40.04,3003.37,2021-09-16
2020-03-04,41.39,3130.12,2021-09-16
2020-03-05,39.57,3023.94,2021-09-16
2020-03-06,39.68,2972.37,2021-09-16
2020-03-09,37.96,2746.56,2021-09-16
2020-03-10,40.08,2882.23,2021-09-16
2020-03-11,37.05,2741.38,2021-09-16
2020-03-12,33.2,2480.64,2021-09-16
2020-03-13,37.64,2711.02,2021-09-16
2020-03-16,33.71,2386.13,2021-09-16
2020-03-17,35.5,2529.19,2021-09-16
2020-03-18,37.12,2398.1,2021-09-16
2020-03-19,37.71,2409.39,2021-09-16
2020-03-20,35.6,2304.92,2021-09-16
2020-03-23,34.6,2237.4,2021-09-16
2020-03-24,38.6,2447.33,2021-09-16
2020-03-25,37.67,2475.56,2021-09-16
2020-03-26,40.58,2630.07,2021-09-16
2020-03-27,38.82,2541.47,2021-09-16
2020-03-30,40.32,2626.65,2021-09-16
2020-03-31,39.31,2584.59,2021-09-16
2020-04-01,38.33,2470.5,2021-09-16
2020-04-02,39.8,2526.9,2021-09-16
2020-04-03,39.06,2488.65,2021-09-16
2020-04-06,41.43,2663.68,2021-09-16
2020-04-07,40.64,2659.41,2021-09-16
2020-04-08,41.74,2749.98,2021-09-16
2020-04-09,41.2,2789.82,2021-09-16
2020-04-13,41.22,2761.63,2021-09-16
2020-04-14,42.78,2846.06,2021-09-16
2020-04-15,41.52,2783.36,2021-09-16
2020-04-16,41.5,2799.55,2021-09-16
2020-04-17,42.48,2874.56,2021-09-16
2020-04-20,42.54,2823.16,2021-09-16
2020-04-21,40.55,2736.56,2021-09-16
2020-04-22,41.76,2799.31,2021-09-16
2020-04-23,41.62,2797.8,2021-09-16
2020-04-24,42.52,2836.74,2021-09-16
2020-04-27,43.06,2878.48,2021-09-16
2020-04-28,42.49,2863.39,2021-09-16
2020-04-29,43.34,2939.51,2021-09-16
2020-04-30,42.38,2912.43,2021-09-16
2020-05-01,40.92,2830.71,2021-09-16
2020-05-04,41.35,2842.74,2021-09-16
2020-05-05,41.46,2868.44,2021-09-16
2020-05-06,41.15,2848.42,2021-09-16
2020-05-07,41.37,2881.19,2021-09-16
2020-05-08,42.99,2929.8,2021-09-16
2020-05-11,43.32,2930.32,2021-09-16
2020-05-12,43.22,2870.12,2021-09-16
2020-05-13,41.95,2820.0,2021-09-16
2020-05-14,43.85,2852.5,2021-09-16
2020-05-15,44.27,2863.7,2021-09-16
2020-05-18,45.06,2953.91,2021-09-16
2020-05-19,44.605,2922.94,2021-09-16
2020-05-20,45.44,2971.61,2021-09-16
2020-05-21,44.64,2948.51,2021-09-16
2020-05-22,44.9,2955.45,2021-09-16
2020-05-26,44.84,2991.77,2021-09-16
2020-05-27,45.96,3036.13,2021-09-16
2020-05-28,45.595,3029.73,2021-09-16
2020-05-29,47.82,3044.31,2021-09-16
2020-06-01,46.3,3055.73,2021-09-16
2020-06-02,46.89,3080.82,2021-09-16
