Date,Stock,Market,joined date
2021-01-04,79.42,3700.65,2023-03-16
2021-01-05,79.65,3726.86,2023-03-16
2021-01-06,80.15,3748.14,2023-03-16
2021-01-07,80.95,3803.79,2023-03-16
2021-01-08,81.95,3824.68,2023-03-16
2021-01-11,80.14,3799.61,2023-03-16
2021-01-12,79.64,3801.19,2023-03-16
2021-01-13,79.61,3809.84,2023-03-16
2021-01-14,80.05,3795.54,2023-03-16
2021-01-15,80.24,3768.25,2023-03-16
2021-01-19,79.76,3798.91,2023-03-16
2021-01-20,81.91,3851.85,2023-03-16
2021-01-21,80.88,3853.07,2023-03-16
2021-01-22,80.56,3841.47,2023-03-16
2021-01-25,80.03,3855.36,2023-03-16
2021-01-26,79.55,3849.62,2023-03-16
2021-01-27,76.15,3750.77,2023-03-16
2021-01-28,78.9,3787.38,2023-03-16
2021-01-29,77.95,3714.24,2023-03-16
2021-02-01,78.84,3773.86,2023-03-16
2021-02-02,80.05,3826.31,2023-03-16
2021-02-03,79.34,3830.17,2023-03-16
2021-02-04,74.69,3871.74,2023-03-16
2021-02-05,74.5,3886.83,2023-03-16
2021-02-08,75.85,3915.59,2023-03-16
2021-02-09,76.16,3911.23,2023-03-16
2021-02-10,76.04,3909.88,2023-03-16
2021-02-11,76.97,3916.38,2023-03-16
2021-02-12,76.96,3934.83,2023-03-16
2021-02-16,76.11,3932.59,2023-03-16
2021-02-17,76.43,3931.33,2023-03-16
2021-02-18,74.82,3913.97,2023-03-16
2021-02-19,73.64,3906.71,2023-03-16
2021-02-22,73.25,3876.5,2023-03-16
2021-02-23,72.88,3881.37,2023-03-16
2021-02-24,74.93,3925.43,2023-03-16
2021-02-25,73.38,3829.34,2023-03-16
2021-02-26,73.48,3811.15,2023-03-16
2021-03-01,74.83,3901.82,2023-03-16
2021-03-02,74.95,3870.29,2023-03-16
2021-03-03,73.16,3819.72,2023-03-16
2021-03-04,72.4,3768.47,2023-03-16
2021-03-05,73.71,3841.94,2023-03-16
2021-03-08,72.69,3821.35,2023-03-16
2021-03-09,74.39,3875.44,2023-03-16
2021-03-10,76.02,3898.81,2023-03-16
2021-03-11,77.54,3939.34,2023-03-16
2021-03-12,77.77,3943.34,2023-03-16
2021-03-15,79.27,3968.94,2023-03-16
2021-03-16,78.06,3962.71,2023-03-16
2021-03-17,78.03,3974.12,2023-03-16
2021-03-18,76.4,3915.46,2023-03-16
2021-03-19,76.55,3913.1,2023-03-16
2021-03-22,76.73,3940.59,2023-03-16
2021-03-23,76.23,3910.52,2023-03-16
2021-03-24,76.94,3889.14,2023-03-16
2021-03-25,77.1,3909.52,2023-03-16
2021-03-26,79.24,3974.54,2023-03-16
2021-03-29,78.06,3971.09,2023-03-16
2021-03-30,78.57,3958.55,2023-03-16
2021-03-31,78.12,3972.89,2023-03-16
2021-04-01,78.88,4019.87,2023-03-16
2021-04-05,80.33,4077.91,2023-03-16
2021-04-06,79.66,4073.94,2023-03-16
2021-04-07,79.21,4079.95,2023-03-16
2021-04-08,80.06,4097.17,2023-03-16
2021-04-09,80.55,4128.8,2023-03-16
2021-04-12,80.23,4127.99,2023-03-16
2021-04-13,80.44,4141.59,2023-03-16
2021-04-14,79.46,4124.66,2023-03-16
2021-04-15,79.77,4170.42,2023-03-16
2021-04-16,80.62,4185.47,2023-03-16
2021-04-19,80.4,4163.26,2023-03-16
2021-04-20,79.61,4134.94,2023-03-16
2021-04-21,79.25,4173.42,2023-03-16
2021-04-22,79.04,4134.98,2023-03-16
2021-04-23,78.69,4180.17,2023-03-16
2021-04-26,79.56,4187.62,2023-03-16
2021-04-27,79.94,4186.72,2023-03-16
2021-04-28,80.18,4183.18,2023-03-16
