Date,Stock,Market,joined date
2020-01-02,28.74,3257.85,2021-05-27
2020-01-03,28.4,3234.85,2021-05-27
2020-01-06,28.36,3246.28,2021-05-27
2020-01-07,28.47,3237.18,2021-05-27
2020-01-08,28.7,3253.05,2021-05-27
2020-01-09,28.73,3274.7,2021-05-27
2020-01-10,28.35,3265.35,2021-05-27
2020-01-13,28.58,3288.13,2021-05-27
2020-01-14,28.64,3283.15,2021-05-27
2020-01-15,28.68,3289.29,2021-05-27
2020-01-16,29.22,3316.81,2021-05-27
2020-01-17,28.3,3329.62,2021-05-27
2020-01-21,27.82,3320.79,2021-05-27
2020-01-22,28.16,3321.75,2021-05-27
2020-01-23,28.45,3325.54,2021-05-27
2020-01-24,27.95,3295.47,2021-05-27
2020-01-27,27.16,3243.63,2021-05-27
2020-01-28,27.56,3276.24,2021-05-27
2020-01-29,27.8,3273.4,2021-05-27
2020-01-30,29.24,3283.66,2021-05-27
2020-01-31,28.92,3225.52,2021-05-27
2020-02-03,30.12,3248.92,2021-05-27
2020-02-04,30.95,3297.59,2021-05-27
2020-02-05,31.71,3334.69,2021-05-27
2020-02-06,31.59,3345.78,2021-05-27
2020-02-07,31.04,3327.71,2021-05-27
2020-02-10,30.6,3352.09,2021-05-27
2020-02-11,30.51,3357.75,2021-05-27
2020-02-12,30.94,3379.45,2021-05-27
2020-02-13,30.6,3373.94,2021-05-27
2020-02-14,30.71,3380.16,2021-05-27
2020-02-18,31.4,3370.29,2021-05-27
2020-02-19,31.52,3386.15,2021-05-27
2020-02-20,31.57,3373.23,2021-05-27
2020-02-21,31.22,3337.75,2021-05-27
2020-02-24,30.66,3225.89,2021-05-27
2020-02-25,28.38,3128.21,2021-05-27
2020-02-26,28.5,3116.39,2021-05-27
2020-02-27,27.29,2978.76,2021-05-27
2020-02-28,27.2,2954.22,2021-05-27
2020-03-02,28.24,3090.23,2021-05-27
2020-03-03,27.92,3003.37,2021-05-27
2020-03-04,28.9,3130.12,2021-05-27
2020-03-05,27.31,3023.94,2021-05-27
2020-03-06,25.3,2972.37,2021-05-27
2020-03-09,23.07,2746.56,2021-05-27
2020-03-10,25.91,2882.23,2021-05-27
2020-03-11,25.0,2741.38,2021-05-27
2020-03-12,22.34,2480.64,2021-05-27
2020-03-13,24.82,2711.02,2021-05-27
2020-03-16,20.74,2386.13,2021-05-27
2020-03-17,22.67,2529.19,2021-05-27
2020-03-18,21.57,2398.1,2021-05-27
2020-03-19,23.26,2409.39,2021-05-27
2020-03-20,22.53,2304.92,2021-05-27
2020-03-23,21.92,2237.4,2021-05-27
2020-03-24,22.33,2447.33,2021-05-27
2020-03-25,23.4,2475.56,2021-05-27
2020-03-26,24.14,2630.07,2021-05-27
2020-03-27,23.21,2541.47,2021-05-27
2020-03-30,24.09,2626.65,2021-05-27
2020-03-31,23.5,2584.59,2021-05-27
2020-04-01,22.51,2470.5,2021-05-27
2020-04-02,22.24,2526.9,2021-05-27
2020-04-03,22.62,2488.65,2021-05-27
2020-04-06,24.26,2663.68,2021-05-27
2020-04-07,24.53,2659.41,2021-05-27
2020-04-08,26.05,2749.98,2021-05-27
2020-04-09,27.93,2789.82,2021-05-27
2020-04-13,26.56,2761.63,2021-05-27
2020-04-14,26.44,2846.06,2021-05-27
2020-04-15,25.51,2783.36,2021-05-27
2020-04-16,25.16,2799.55,2021-05-27
2020-04-17,25.51,2874.56,2021-05-27
2020-04-20,24.63,2823.16,2021-05-27
2020-04-21,24.27,2736.56,2021-05-27
2020-04-22,24.94,2799.31,2021-05-27
2020-04-23,25.4,2797.8,2021-05-27
2020-04-24,26.27,2836.74,2021-05-27
2020-04-27,25.56,2878.48,2021-05-27
2020-04-28,26.19,2863.39,2021-05-27
2020-04-29,27.05,2939.51,2021-05-27
2020-04-30,26.19,2912.43,2021-05-27
2020-05-01,25.49,2830.71,2021-05-27
2020-05-04,25.42,2842.74,2021-05-27
2020-05-05,26.18,2868.44,2021-05-27
2020-05-06,25.01,2848.42,2021-05-27
2020-05-07,26.45,2881.19,2021-05-27
2020-05-08,25.98,2929.8,2021-05-27
2020-05-11,24.38,2930.32,2021-05-27
2020-05-12,23.25,2870.12,2021-05-27
2020-05-13,23.27,2820.0,2021-05-27
2020-05-14,23.32,2852.5,2021-05-27
2020-05-15,22.77,2863.7,2021-05-27
2020-05-18,24.01,2953.91,2021-05-27
2020-05-19,23.99,2922.94,2021-05-27
2020-05-20,25.09,2971.61,2021-05-27
2020-05-21,24.55,2948.51,2021-05-27
2020-05-22,24.54,2955.45,2021-05-27
2020-05-26,25.64,2991.77,2021-05-27
2020-05-27,25.8,3036.13,2021-05-27
2020-05-28,26.99,3029.73,2021-05-27
2020-05-29,27.31,3044.31,2021-05-27
2020-06-01,26.82,3055.73,2021-05-27
2020-06-02,28.01,3080.82,2021-05-27
2020-06-03,28.5,3122.87,2021-05-27
2020-06-04,30.17,3112.35,2021-05-27
2020-06-05,30.65,3193.93,2021-05-27
2020-06-08,30.01,3232.39,2021-05-27
2020-06-09,29.59,3207.18,2021-05-27
2020-06-10,29.14,3190.14,2021-05-27
2020-06-11,27.1,3002.1,2021-05-27
2020-06-12,27.54,3041.31,2021-05-27
2020-06-15,26.77,3066.59,2021-05-27
2020-06-16,27.82,3124.74,2021-05-27
2020-06-17,27.35,3113.49,2021-05-27
2020-06-18,27.48,3115.34,2021-05-27
2020-06-19,27.13,3097.74,2021-05-27
2020-06-22,27.58,3117.86,2021-05-27
2020-06-23,27.42,3131.29,2021-05-27
2020-06-24,26.07,3050.33,2021-05-27
2020-06-25,26.2,3083.76,2021-05-27
2020-06-26,25.92,3009.05,2021-05-27
2020-06-29,26.14,3053.24,2021-05-27
2020-06-30,26.79,3100.29,2021-05-27
2020-07-01,27.04,3115.86,2021-05-27
2020-07-02,27.57,3130.01,2021-05-27
2020-07-06,27.53,3179.72,2021-05-27
2020-07-07,27.14,3145.32,2021-05-27
2020-07-08,25.86,3169.94,2021-05-27
2020-07-09,25.75,3152.05,2021-05-27
2020-07-10,26.62,3185.04,2021-05-27
2020-07-13,26.84,3155.22,2021-05-27
2020-07-14,27.08,3197.52,2021-05-27
2020-07-15,27.94,3226.56,2021-05-27
2020-07-16,27.92,3215.57,2021-05-27
2020-07-17,28.35,3224.73,2021-05-27
2020-07-20,27.72,3251.84,2021-05-27
