Date,Stock,Market,joined date
2020-01-02,74.16,3257.85,2021-10-21
2020-01-03,73.57,3234.85,2021-10-21
2020-01-06,73.86,3246.28,2021-10-21
2020-01-07,73.58,3237.18,2021-10-21
2020-01-08,72.66,3253.05,2021-10-21
2020-01-09,72.86,3274.7,2021-10-21
2020-01-10,72.11,3265.35,2021-10-21
2020-01-13,72.76,3288.13,2021-10-21
2020-01-14,73.83,3283.15,2021-10-21
2020-01-15,75.27,3289.29,2021-10-21
2020-01-16,76.05,3316.81,2021-10-21
2020-01-17,76.02,3329.62,2021-10-21
2020-01-21,74.59,3320.79,2021-10-21
2020-01-22,74.01,3321.75,2021-10-21
2020-01-23,73.53,3325.54,2021-10-21
2020-01-24,71.43,3295.47,2021-10-21
2020-01-27,70.97,3243.63,2021-10-21
2020-01-28,71.82,3276.24,2021-10-21
2020-01-29,70.55,3273.4,2021-10-21
2020-01-30,69.71,3283.66,2021-10-21
2020-01-31,67.82,3225.52,2021-10-21
2020-02-03,66.93,3248.92,2021-10-21
2020-02-04,67.88,3297.59,2021-10-21
2020-02-05,70.54,3334.69,2021-10-21
2020-02-06,70.84,3345.78,2021-10-21
2020-02-07,71.56,3327.71,2021-10-21
2020-02-10,73.25,3352.09,2021-10-21
2020-02-11,73.85,3357.75,2021-10-21
2020-02-12,73.75,3379.45,2021-10-21
2020-02-13,72.0,3373.94,2021-10-21
2020-02-14,71.37,3380.16,2021-10-21
2020-02-18,72.0,3370.29,2021-10-21
2020-02-19,71.78,3386.15,2021-10-21
2020-02-20,71.94,3373.23,2021-10-21
2020-02-21,71.51,3337.75,2021-10-21
2020-02-24,67.92,3225.89,2021-10-21
2020-02-25,64.33,3128.21,2021-10-21
2020-02-26,62.65,3116.39,2021-10-21
2020-02-27,59.33,2978.76,2021-10-21
2020-02-28,59.18,2954.22,2021-10-21
2020-03-02,64.03,3090.23,2021-10-21
2020-03-03,62.54,3003.37,2021-10-21
2020-03-04,66.04,3130.12,2021-10-21
2020-03-05,64.36,3023.94,2021-10-21
2020-03-06,64.15,2972.37,2021-10-21
2020-03-09,61.3,2746.56,2021-10-21
2020-03-10,62.6,2882.23,2021-10-21
2020-03-11,61.31,2741.38,2021-10-21
2020-03-12,54.6,2480.64,2021-10-21
2020-03-13,59.64,2711.02,2021-10-21
2020-03-16,52.3,2386.13,2021-10-21
2020-03-17,58.0,2529.19,2021-10-21
2020-03-18,57.18,2398.1,2021-10-21
2020-03-19,55.38,2409.39,2021-10-21
2020-03-20,54.7,2304.92,2021-10-21
2020-03-23,53.09,2237.4,2021-10-21
2020-03-24,54.35,2447.33,2021-10-21
2020-03-25,53.64,2475.56,2021-10-21
2020-03-26,58.31,2630.07,2021-10-21
2020-03-27,58.6,2541.47,2021-10-21
2020-03-30,59.68,2626.65,2021-10-21
2020-03-31,59.33,2584.59,2021-10-21
2020-04-01,58.34,2470.5,2021-10-21
2020-04-02,55.41,2526.9,2021-10-21
2020-04-03,55.72,2488.65,2021-10-21
2020-04-06,56.22,2663.68,2021-10-21
2020-04-07,56.87,2659.41,2021-10-21
2020-04-08,59.41,2749.98,2021-10-21
2020-04-09,60.47,2789.82,2021-10-21
2020-04-13,58.96,2761.63,2021-10-21
2020-04-14,61.56,2846.06,2021-10-21
2020-04-15,60.56,2783.36,2021-10-21
2020-04-16,62.56,2799.55,2021-10-21
2020-04-17,63.36,2874.56,2021-10-21
2020-04-20,62.34,2823.16,2021-10-21
2020-04-21,60.25,2736.56,2021-10-21
2020-04-22,60.35,2799.31,2021-10-21
2020-04-23,61.28,2797.8,2021-10-21
2020-04-24,62.31,2836.74,2021-10-21
2020-04-27,63.5,2878.48,2021-10-21
2020-04-28,63.24,2863.39,2021-10-21
2020-04-29,62.61,2939.51,2021-10-21
2020-04-30,61.55,2912.43,2021-10-21
2020-05-01,59.7,2830.71,2021-10-21
2020-05-04,59.95,2842.74,2021-10-21
2020-05-05,61.21,2868.44,2021-10-21
2020-05-06,60.41,2848.42,2021-10-21
2020-05-07,61.45,2881.19,2021-10-21
2020-05-08,63.12,2929.8,2021-10-21
2020-05-11,63.84,2930.32,2021-10-21
2020-05-12,63.35,2870.12,2021-10-21
2020-05-13,61.15,2820.0,2021-10-21
2020-05-14,62.31,2852.5,2021-10-21
2020-05-15,63.19,2863.7,2021-10-21
2020-05-18,63.73,2953.91,2021-10-21
2020-05-19,63.61,2922.94,2021-10-21
2020-05-20,63.22,2971.61,2021-10-21
2020-05-21,63.34,2948.51,2021-10-21
2020-05-22,63.33,2955.45,2021-10-21
2020-05-26,64.64,2991.77,2021-10-21
2020-05-27,65.97,3036.13,2021-10-21
2020-05-28,66.56,3029.73,2021-10-21
2020-05-29,65.57,3044.31,2021-10-21
2020-06-01,65.64,3055.73,2021-10-21
2020-06-02,66.84,3080.82,2021-10-21
2020-06-03,66.85,3122.87,2021-10-21
2020-06-04,66.53,3112.35,2021-10-21
2020-06-05,68.35,3193.93,2021-10-21
2020-06-08,70.62,3232.39,2021-10-21
2020-06-09,69.37,3207.18,2021-10-21
2020-06-10,67.51,3190.14,2021-10-21
2020-06-11,63.16,3002.1,2021-10-21
2020-06-12,64.15,3041.31,2021-10-21
2020-06-15,63.32,3066.59,2021-10-21
2020-06-16,65.58,3124.74,2021-10-21
2020-06-17,65.0,3113.49,2021-10-21
2020-06-18,64.49,3115.34,2021-10-21
2020-06-19,64.49,3097.74,2021-10-21
2020-06-22,64.3,3117.86,2021-10-21
2020-06-23,64.43,3131.29,2021-10-21
2020-06-24,63.18,3050.33,2021-10-21
2020-06-25,64.02,3083.76,2021-10-21
2020-06-26,63.45,3009.05,2021-10-21
2020-06-29,64.42,3053.24,2021-10-21
2020-06-30,64.97,3100.29,2021-10-21
2020-07-01,64.56,3115.86,2021-10-21
2020-07-02,64.7,3130.01,2021-10-21
2020-07-06,64.93,3179.72,2021-10-21
