Date,Stock,Market,joined date
2020-01-13,3.83,44847.47,2021-07-30
2020-01-14,3.82,44773.24,2021-07-30
2020-01-15,3.7,44453.33,2021-07-30
2020-01-16,3.92,45303.08,2021-07-30
2020-01-17,4.21,45817.76,2021-07-30
2020-01-21,4.14,45637.32,2021-07-30
2020-01-22,4.24,45604.44,2021-07-30
2020-01-23,4.24,45476.43,2021-07-30
2020-01-24,4.22,45141.62,2021-07-30
2020-01-27,4.15,44134.39,2021-07-30
2020-01-28,4.35,44717.94,2021-07-30
2020-01-29,4.27,45132.6,2021-07-30
2020-01-30,4.2,44862.76,2021-07-30
2020-01-31,4.04,44108.31,2021-07-30
2020-02-13,3.95,45005.12,2021-07-30
2020-02-14,3.9,44999.68,2021-07-30
2020-02-18,3.78,44974.11,2021-07-30
2020-02-19,3.78,44901.5,2021-07-30
2020-02-20,3.74,44774.54,2021-07-30
2020-02-21,3.79,44802.54,2021-07-30
2020-02-24,3.74,43818.07,2021-07-30
2020-02-25,3.64,43045.68,2021-07-30
2020-02-26,3.38,42737.28,2021-07-30
2020-02-27,3.23,41607.42,2021-07-30
2020-02-28,3.28,41324.31,2021-07-30
2020-03-13,2.46,38085.05,2021-07-30
2020-03-17,2.17,36862.84,2021-07-30
2020-03-18,1.99,35532.74,2021-07-30
2020-03-19,1.86,35143.63,2021-07-30
2020-03-20,1.73,34269.51,2021-07-30
2020-03-23,1.63,32964.22,2021-07-30
2020-03-24,1.75,34565.71,2021-07-30
2020-03-25,1.73,35536.7,2021-07-30
2020-03-26,1.99,35706.57,2021-07-30
2020-03-27,1.85,33799.49,2021-07-30
2020-03-30,1.83,34199.97,2021-07-30
2020-03-31,2.12,34554.53,2021-07-30
2020-04-13,2.19,34613.67,2021-07-30
2020-04-14,2.11,34746.39,2021-07-30
2020-04-15,2.06,33855.24,2021-07-30
2020-04-16,1.98,33759.75,2021-07-30
2020-04-17,2.17,34743.1,2021-07-30
2020-04-20,2.1,34477.06,2021-07-30
2020-04-21,1.97,33892.28,2021-07-30
2020-04-22,1.94,34223.85,2021-07-30
2020-04-23,1.92,34240.6,2021-07-30
2020-04-24,1.86,34586.82,2021-07-30
2020-04-27,1.93,34968.09,2021-07-30
2020-04-28,2.09,35830.81,2021-07-30
2020-04-29,2.23,36870.09,2021-07-30
2020-04-30,2.12,36470.11,2021-07-30
2020-05-13,1.93,36394.59,2021-07-30
2020-05-14,1.93,36094.14,2021-07-30
2020-05-15,1.95,35691.39,2021-07-30
2020-05-18,2.04,37112.46,2021-07-30
2020-05-19,1.99,35862.04,2021-07-30
2020-05-20,2.11,36026.98,2021-07-30
2020-05-21,2.16,35560.76,2021-07-30
2020-05-22,2.12,35784.42,2021-07-30
2020-05-26,2.23,36206.86,2021-07-30
2020-05-27,2.42,36889.96,2021-07-30
2020-05-28,2.41,36508.14,2021-07-30
2020-05-29,2.4,36122.73,2021-07-30
2020-06-15,2.69,37416.74,2021-07-30
2020-06-16,2.84,37894.05,2021-07-30
2020-06-17,2.84,37897.24,2021-07-30
2020-06-18,2.92,37632.89,2021-07-30
2020-06-19,2.86,38404.63,2021-07-30
