Date,Stock,Market,joined date
2020-01-02,59.04,3257.85,2021-09-17
2020-01-03,58.06,3234.85,2021-09-17
2020-01-06,57.66,3246.28,2021-09-17
2020-01-07,57.61,3237.18,2021-09-17
2020-01-08,58.85,3253.05,2021-09-17
2020-01-09,58.96,3274.7,2021-09-17
2020-01-10,59.24,3265.35,2021-09-17
2020-01-13,59.49,3288.13,2021-09-17
2020-01-14,61.45,3283.15,2021-09-17
2020-01-15,61.62,3289.29,2021-09-17
2020-01-16,61.88,3316.81,2021-09-17
2020-01-17,62.03,3329.62,2021-09-17
2020-01-21,60.34,3320.79,2021-09-17
2020-01-22,59.64,3321.75,2021-09-17
2020-01-23,60.27,3325.54,2021-09-17
2020-01-24,58.81,3295.47,2021-09-17
2020-01-27,56.83,3243.63,2021-09-17
2020-01-28,57.48,3276.24,2021-09-17
2020-01-29,56.65,3273.4,2021-09-17
2020-01-30,57.1,3283.66,2021-09-17
2020-01-31,55.74,3225.52,2021-09-17
2020-02-03,56.04,3248.92,2021-09-17
2020-02-04,57.93,3297.59,2021-09-17
2020-02-05,58.89,3334.69,2021-09-17
2020-02-06,58.18,3345.78,2021-09-17
2020-02-07,57.92,3327.71,2021-09-17
2020-02-10,57.71,3352.09,2021-09-17
2020-02-11,58.66,3357.75,2021-09-17
2020-02-12,59.47,3379.45,2021-09-17
2020-02-13,59.13,3373.94,2021-09-17
2020-02-14,58.9,3380.16,2021-09-17
2020-02-18,58.72,3370.29,2021-09-17
2020-02-19,58.51,3386.15,2021-09-17
2020-02-20,58.38,3373.23,2021-09-17
2020-02-21,57.87,3337.75,2021-09-17
2020-02-24,54.23,3225.89,2021-09-17
2020-02-25,50.89,3128.21,2021-09-17
2020-02-26,49.59,3116.39,2021-09-17
2020-02-27,48.19,2978.76,2021-09-17
2020-02-28,46.13,2954.22,2021-09-17
2020-03-02,47.16,3090.23,2021-09-17
2020-03-03,46.18,3003.37,2021-09-17
2020-03-04,48.5,3130.12,2021-09-17
2020-03-05,45.01,3023.94,2021-09-17
2020-03-06,45.89,2972.37,2021-09-17
2020-03-09,43.52,2746.56,2021-09-17
2020-03-10,45.47,2882.23,2021-09-17
2020-03-11,42.67,2741.38,2021-09-17
2020-03-12,33.71,2480.64,2021-09-17
2020-03-13,38.36,2711.02,2021-09-17
2020-03-16,35.81,2386.13,2021-09-17
2020-03-17,31.74,2529.19,2021-09-17
2020-03-18,23.49,2398.1,2021-09-17
2020-03-19,21.51,2409.39,2021-09-17
2020-03-20,21.35,2304.92,2021-09-17
2020-03-23,22.22,2237.4,2021-09-17
2020-03-24,26.89,2447.33,2021-09-17
2020-03-25,31.1,2475.56,2021-09-17
2020-03-26,31.7,2630.07,2021-09-17
2020-03-27,29.55,2541.47,2021-09-17
2020-03-30,28.67,2626.65,2021-09-17
2020-03-31,28.53,2584.59,2021-09-17
2020-04-01,23.87,2470.5,2021-09-17
2020-04-02,22.68,2526.9,2021-09-17
2020-04-03,22.48,2488.65,2021-09-17
2020-04-06,22.32,2663.68,2021-09-17
2020-04-07,22.25,2659.41,2021-09-17
2020-04-08,23.23,2749.98,2021-09-17
2020-04-09,24.39,2789.82,2021-09-17
2020-04-13,23.25,2761.63,2021-09-17
2020-04-14,24.54,2846.06,2021-09-17
2020-04-15,24.35,2783.36,2021-09-17
2020-04-16,22.78,2799.55,2021-09-17
2020-04-17,24.27,2874.56,2021-09-17
2020-04-20,23.64,2823.16,2021-09-17
2020-04-21,23.1,2736.56,2021-09-17
2020-04-22,22.47,2799.31,2021-09-17
2020-04-23,22.48,2797.8,2021-09-17
2020-04-24,22.41,2836.74,2021-09-17
2020-04-27,22.16,2878.48,2021-09-17
2020-04-28,24.34,2863.39,2021-09-17
2020-04-29,27.32,2939.51,2021-09-17
2020-04-30,25.91,2912.43,2021-09-17
2020-05-01,24.12,2830.71,2021-09-17
2020-05-04,22.57,2842.74,2021-09-17
2020-05-05,21.71,2868.44,2021-09-17
2020-05-06,21.0,2848.42,2021-09-17
2020-05-07,21.68,2881.19,2021-09-17
2020-05-08,22.72,2929.8,2021-09-17
2020-05-11,22.01,2930.32,2021-09-17
2020-05-12,21.03,2870.12,2021-09-17
2020-05-13,19.41,2820.0,2021-09-17
2020-05-14,19.38,2852.5,2021-09-17
2020-05-15,19.19,2863.7,2021-09-17
2020-05-18,21.86,2953.91,2021-09-17
2020-05-19,21.76,2922.94,2021-09-17
2020-05-20,22.72,2971.61,2021-09-17
2020-05-21,23.16,2948.51,2021-09-17
2020-05-22,22.69,2955.45,2021-09-17
2020-05-26,25.65,2991.77,2021-09-17
2020-05-27,26.32,3036.13,2021-09-17
2020-05-28,25.66,3029.73,2021-09-17
2020-05-29,25.21,3044.31,2021-09-17
2020-06-01,26.17,3055.73,2021-09-17
2020-06-02,26.41,3080.82,2021-09-17
2020-06-03,28.47,3122.87,2021-09-17
2020-06-04,32.38,3112.35,2021-09-17
2020-06-05,34.16,3193.93,2021-09-17
2020-06-08,36.97,3232.39,2021-09-17
2020-06-09,34.17,3207.18,2021-09-17
2020-06-10,31.64,3190.14,2021-09-17
2020-06-11,27.2,3002.1,2021-09-17
2020-06-12,30.43,3041.31,2021-09-17
2020-06-15,30.46,3066.59,2021-09-17
2020-06-16,31.3,3124.74,2021-09-17
2020-06-17,30.72,3113.49,2021-09-17
2020-06-18,30.79,3115.34,2021-09-17
2020-06-19,29.51,3097.74,2021-09-17
2020-06-22,29.31,3117.86,2021-09-17
2020-06-23,29.64,3131.29,2021-09-17
2020-06-24,27.34,3050.33,2021-09-17
2020-06-25,28.01,3083.76,2021-09-17
2020-06-26,26.91,3009.05,2021-09-17
2020-06-29,28.61,3053.24,2021-09-17
2020-06-30,28.05,3100.29,2021-09-17
2020-07-01,27.7,3115.86,2021-09-17
2020-07-02,27.72,3130.01,2021-09-17
2020-07-06,28.44,3179.72,2021-09-17
2020-07-07,27.01,3145.32,2021-09-17
2020-07-08,27.01,3169.94,2021-09-17
2020-07-09,25.65,3152.05,2021-09-17
2020-07-10,27.09,3185.04,2021-09-17
2020-07-13,26.82,3155.22,2021-09-17
2020-07-14,26.11,3197.52,2021-09-17
2020-07-15,28.6,3226.56,2021-09-17
2020-07-16,27.26,3215.57,2021-09-17
2020-07-17,27.05,3224.73,2021-09-17
2020-07-20,26.22,3251.84,2021-09-17
2020-07-21,26.43,3257.3,2021-09-17
2020-07-22,26.25,3276.02,2021-09-17
2020-07-23,26.78,3235.66,2021-09-17
2020-07-24,25.96,3215.63,2021-09-17
2020-07-27,25.5,3239.41,2021-09-17
2020-07-28,25.94,3218.44,2021-09-17
2020-07-29,25.72,3258.44,2021-09-17
2020-07-30,24.94,3246.22,2021-09-17
2020-07-31,24.97,3271.12,2021-09-17
2020-08-03,25.2,3294.61,2021-09-17
2020-08-04,25.67,3306.51,2021-09-17
2020-08-05,26.47,3327.77,2021-09-17
2020-08-06,27.08,3349.16,2021-09-17
2020-08-07,27.18,3351.28,2021-09-17
2020-08-10,29.34,3360.47,2021-09-17
2020-08-11,29.64,3333.69,2021-09-17
2020-08-12,29.09,3380.35,2021-09-17
2020-08-13,28.7,3373.43,2021-09-17
2020-08-14,28.95,3372.85,2021-09-17
2020-08-17,28.02,3381.99,2021-09-17
2020-08-18,27.63,3389.78,2021-09-17
2020-08-19,27.67,3374.85,2021-09-17
2020-08-20,27.62,3385.51,2021-09-17
2020-08-21,27.27,3397.16,2021-09-17
2020-08-24,29.8,3431.28,2021-09-17
2020-08-25,30.1,3443.62,2021-09-17
2020-08-26,29.95,3478.73,2021-09-17
2020-08-27,30.82,3484.55,2021-09-17
2020-08-28,31.99,3508.01,2021-09-17
2020-08-31,30.85,3500.31,2021-09-17
2020-09-01,30.71,3526.65,2021-09-17
2020-09-02,31.14,3580.84,2021-09-17
2020-09-03,31.22,3455.06,2021-09-17
2020-09-04,31.77,3426.96,2021-09-17
2020-09-08,32.54,3331.84,2021-09-17
2020-09-09,31.76,3398.96,2021-09-17
2020-09-10,31.79,3339.19,2021-09-17
2020-09-11,31.7,3340.97,2021-09-17
2020-09-14,32.82,3383.54,2021-09-17
2020-09-15,33.51,3401.2,2021-09-17
2020-09-16,34.57,3385.49,2021-09-17
2020-09-17,33.96,3357.01,2021-09-17
2020-09-18,32.84,3319.47,2021-09-17
2020-09-21,29.82,3281.06,2021-09-17
2020-09-22,30.22,3315.57,2021-09-17
2020-09-23,29.56,3236.92,2021-09-17
2020-09-24,29.01,3246.59,2021-09-17
2020-09-25,29.78,3298.46,2021-09-17
2020-09-28,31.34,3351.6,2021-09-17
2020-09-29,30.61,3335.47,2021-09-17
2020-09-30,30.58,3363.0,2021-09-17
2020-10-01,31.1,3380.8,2021-09-17
2020-10-02,31.75,3348.44,2021-09-17
2020-10-05,32.0,3408.63,2021-09-17
2020-10-06,31.06,3360.95,2021-09-17
2020-10-07,32.15,3419.45,2021-09-17
2020-10-08,32.68,3446.83,2021-09-17
2020-10-09,32.81,3477.13,2021-09-17
2020-10-12,32.64,3534.22,2021-09-17
2020-10-13,31.77,3511.93,2021-09-17
2020-10-14,31.76,3488.67,2021-09-17
2020-10-15,31.34,3483.34,2021-09-17
2020-10-16,31.47,3483.81,2021-09-17
2020-10-19,31.5,3426.92,2021-09-17
2020-10-20,31.98,3443.12,2021-09-17
2020-10-21,31.5,3435.56,2021-09-17
2020-10-22,33.72,3453.49,2021-09-17
2020-10-23,34.0,3465.39,2021-09-17
2020-10-26,31.93,3400.97,2021-09-17
2020-10-27,30.71,3390.68,2021-09-17
2020-10-28,29.65,3271.03,2021-09-17
2020-10-29,30.76,3310.11,2021-09-17
2020-10-30,30.64,3269.96,2021-09-17
2020-11-02,30.22,3310.24,2021-09-17
2020-11-03,30.9,3369.02,2021-09-17
2020-11-04,30.43,3443.44,2021-09-17
2020-11-05,31.98,3510.45,2021-09-17
2020-11-06,31.42,3509.44,2021-09-17
2020-11-09,36.77,3550.5,2021-09-17
2020-11-10,37.04,3545.53,2021-09-17
2020-11-11,35.02,3572.66,2021-09-17
2020-11-12,34.38,3537.01,2021-09-17
2020-11-13,36.46,3585.15,2021-09-17
2020-11-16,38.0,3626.91,2021-09-17
2020-11-17,37.6,3609.53,2021-09-17
2020-11-18,37.91,3567.79,2021-09-17
2020-11-19,37.91,3581.87,2021-09-17
2020-11-20,37.13,3557.54,2021-09-17
2020-11-23,38.79,3577.59,2021-09-17
2020-11-24,41.26,3635.41,2021-09-17
2020-11-25,41.29,3629.65,2021-09-17
2020-11-27,41.06,3638.35,2021-09-17
2020-11-30,40.25,3621.63,2021-09-17
2020-12-01,39.96,3662.45,2021-09-17
2020-12-02,41.07,3669.01,2021-09-17
2020-12-03,42.95,3666.72,2021-09-17
2020-12-04,42.36,3699.12,2021-09-17
2020-12-07,42.35,3691.96,2021-09-17
2020-12-08,42.41,3702.25,2021-09-17
2020-12-09,42.11,3672.82,2021-09-17
2020-12-10,42.62,3668.1,2021-09-17
2020-12-11,41.74,3663.46,2021-09-17
2020-12-14,40.69,3647.49,2021-09-17
2020-12-15,41.85,3694.62,2021-09-17
2020-12-16,41.08,3701.17,2021-09-17
2020-12-17,41.11,3722.48,2021-09-17
2020-12-18,40.68,3709.41,2021-09-17
2020-12-21,40.14,3694.92,2021-09-17
2020-12-22,38.94,3687.26,2021-09-17
2020-12-23,40.24,3690.01,2021-09-17
2020-12-24,39.73,3703.06,2021-09-17
2020-12-28,40.15,3735.36,2021-09-17
2020-12-29,40.03,3727.04,2021-09-17
2020-12-30,40.56,3732.04,2021-09-17
2020-12-31,40.21,3756.07,2021-09-17
2021-01-04,38.73,3700.65,2021-09-17
2021-01-05,39.55,3726.86,2021-09-17
2021-01-06,40.38,3748.14,2021-09-17
2021-01-07,40.23,3803.79,2021-09-17
2021-01-08,40.02,3824.68,2021-09-17
2021-01-11,39.41,3799.61,2021-09-17
2021-01-12,40.3,3801.19,2021-09-17
2021-01-13,40.45,3809.84,2021-09-17
2021-01-14,41.47,3795.54,2021-09-17
2021-01-15,39.98,3768.25,2021-09-17
2021-01-19,40.31,3798.91,2021-09-17
2021-01-20,41.62,3851.85,2021-09-17
2021-01-21,40.67,3853.07,2021-09-17
2021-01-22,40.0,3841.47,2021-09-17
2021-01-25,38.9,3855.36,2021-09-17
2021-01-26,39.32,3849.62,2021-09-17
2021-01-27,38.52,3750.77,2021-09-17
2021-01-28,40.08,3787.38,2021-09-17
2021-01-29,37.96,3714.24,2021-09-17
2021-02-01,37.82,3773.86,2021-09-17
2021-02-02,38.8,3826.31,2021-09-17
2021-02-03,39.78,3830.17,2021-09-17
2021-02-04,40.93,3871.74,2021-09-17
2021-02-05,41.15,3886.83,2021-09-17
2021-02-08,43.24,3915.59,2021-09-17
2021-02-09,42.51,3911.23,2021-09-17
2021-02-10,42.9,3909.88,2021-09-17
2021-02-11,42.72,3916.38,2021-09-17
2021-02-12,43.29,3934.83,2021-09-17
2021-02-16,44.65,3932.59,2021-09-17
2021-02-17,44.39,3931.33,2021-09-17
2021-02-18,44.38,3913.97,2021-09-17
2021-02-19,45.67,3906.71,2021-09-17
2021-02-22,47.74,3876.5,2021-09-17
2021-02-23,48.34,3881.37,2021-09-17
2021-02-24,49.6,3925.43,2021-09-17
2021-02-25,48.25,3829.34,2021-09-17
2021-02-26,47.94,3811.15,2021-09-17
2021-03-01,48.06,3901.82,2021-09-17
2021-03-02,48.23,3870.29,2021-09-17
2021-03-03,48.35,3819.72,2021-09-17
2021-03-04,46.96,3768.47,2021-09-17
2021-03-05,46.21,3841.94,2021-09-17
2021-03-08,47.88,3821.35,2021-09-17
2021-03-09,47.62,3875.44,2021-09-17
2021-03-10,47.8,3898.81,2021-09-17
2021-03-11,48.32,3939.34,2021-09-17
2021-03-12,49.83,3943.34,2021-09-17
2021-03-15,50.99,3968.94,2021-09-17
2021-03-16,49.39,3962.71,2021-09-17
2021-03-17,50.44,3974.12,2021-09-17
2021-03-18,49.18,3915.46,2021-09-17
2021-03-19,49.0,3913.1,2021-09-17
2021-03-22,47.97,3940.59,2021-09-17
2021-03-23,45.64,3910.52,2021-09-17
2021-03-24,45.61,3889.14,2021-09-17
2021-03-25,47.01,3909.52,2021-09-17
2021-03-26,47.66,3974.54,2021-09-17
2021-03-29,47.32,3971.09,2021-09-17
2021-03-30,48.9,3958.55,2021-09-17
2021-03-31,48.28,3972.89,2021-09-17
2021-04-01,48.83,4019.87,2021-09-17
2021-04-05,50.25,4077.91,2021-09-17
2021-04-06,51.65,4073.94,2021-09-17
2021-04-07,50.2,4079.95,2021-09-17
2021-04-08,49.81,4097.17,2021-09-17
2021-04-09,49.27,4128.8,2021-09-17
2021-04-12,48.82,4127.99,2021-09-17
2021-04-13,48.26,4141.59,2021-09-17
2021-04-14,48.17,4124.66,2021-09-17
2021-04-15,46.82,4170.42,2021-09-17
2021-04-16,46.64,4185.47,2021-09-17
2021-04-19,46.15,4163.26,2021-09-17
2021-04-20,44.45,4134.94,2021-09-17
2021-04-21,45.7,4173.42,2021-09-17
2021-04-22,44.65,4134.98,2021-09-17
2021-04-23,45.8,4180.17,2021-09-17
2021-04-26,46.61,4187.62,2021-09-17
2021-04-27,46.34,4186.72,2021-09-17
2021-04-28,46.44,4183.18,2021-09-17
2021-04-29,46.38,4211.47,2021-09-17
2021-04-30,46.92,4181.17,2021-09-17
2021-05-03,46.57,4192.66,2021-09-17
2021-05-04,44.66,4164.66,2021-09-17
2021-05-05,45.2,4167.59,2021-09-17
2021-05-06,44.93,4201.62,2021-09-17
2021-05-07,46.11,4232.6,2021-09-17
2021-05-10,45.43,4188.43,2021-09-17
2021-05-11,44.52,4152.1,2021-09-17
2021-05-12,43.03,4063.04,2021-09-17
2021-05-13,43.97,4112.5,2021-09-17
2021-05-14,46.31,4173.85,2021-09-17
2021-05-17,46.75,4163.29,2021-09-17
2021-05-18,46.73,4127.83,2021-09-17
2021-05-19,46.14,4115.68,2021-09-17
2021-05-20,45.41,4159.12,2021-09-17
2021-05-21,45.21,4155.86,2021-09-17
2021-05-24,46.17,4197.05,2021-09-17
2021-05-25,46.67,4188.13,2021-09-17
2021-05-26,47.49,4195.99,2021-09-17
2021-05-27,48.05,4200.88,2021-09-17
2021-05-28,47.68,4204.11,2021-09-17
2021-06-01,47.7,4202.04,2021-09-17
2021-06-02,47.77,4208.12,2021-09-17
2021-06-03,46.13,4192.85,2021-09-17
2021-06-04,45.98,4229.89,2021-09-17
2021-06-07,46.08,4226.52,2021-09-17
2021-06-08,47.04,4227.26,2021-09-17
2021-06-09,46.52,4219.55,2021-09-17
2021-06-10,46.28,4239.18,2021-09-17
2021-06-11,46.5,4247.44,2021-09-17
2021-06-14,45.9,4255.15,2021-09-17
2021-06-15,45.53,4246.59,2021-09-17
2021-06-16,45.52,4223.7,2021-09-17
2021-06-17,44.57,4221.86,2021-09-17
2021-06-18,44.96,4166.45,2021-09-17
2021-06-21,45.77,4224.79,2021-09-17
2021-06-22,45.37,4246.44,2021-09-17
2021-06-23,45.27,4241.84,2021-09-17
2021-06-24,44.91,4266.49,2021-09-17
2021-06-25,44.43,4280.7,2021-09-17
2021-06-28,43.12,4290.61,2021-09-17
2021-06-29,42.87,4291.8,2021-09-17
2021-06-30,43.26,4297.5,2021-09-17
2021-07-01,44.23,4319.94,2021-09-17
2021-07-02,44.15,4352.34,2021-09-17
2021-07-06,43.24,4343.54,2021-09-17
2021-07-07,42.54,4358.13,2021-09-17
2021-07-08,42.07,4320.82,2021-09-17
2021-07-09,42.92,4369.55,2021-09-17
2021-07-12,42.85,4384.63,2021-09-17
2021-07-13,41.33,4369.21,2021-09-17
2021-07-14,40.68,4374.3,2021-09-17
2021-07-15,41.35,4360.03,2021-09-17
2021-07-16,40.06,4327.16,2021-09-17
2021-07-19,38.56,4258.49,2021-09-17
2021-07-20,40.66,4323.06,2021-09-17
2021-07-21,41.61,4358.69,2021-09-17
2021-07-22,41.06,4367.48,2021-09-17
2021-07-23,40.41,4411.79,2021-09-17
2021-07-26,41.67,4422.3,2021-09-17
2021-07-27,40.96,4401.46,2021-09-17
2021-07-28,41.3,4400.64,2021-09-17
2021-07-29,41.23,4419.15,2021-09-17
2021-07-30,39.9,4395.26,2021-09-17
2021-08-02,39.45,4387.16,2021-09-17
2021-08-03,39.77,4423.15,2021-09-17
2021-08-04,38.35,4402.66,2021-09-17
2021-08-05,39.99,4429.1,2021-09-17
2021-08-06,40.32,4436.52,2021-09-17
2021-08-09,39.29,4432.35,2021-09-17
2021-08-10,40.46,4436.75,2021-09-17
2021-08-11,41.3,4447.7,2021-09-17
2021-08-12,40.53,4460.83,2021-09-17
2021-08-13,39.9,4468.0,2021-09-17
2021-08-16,39.93,4479.71,2021-09-17
2021-08-17,38.78,4448.08,2021-09-17
2021-08-18,38.65,4400.27,2021-09-17
2021-08-19,37.93,4405.8,2021-09-17
2021-08-20,38.12,4441.67,2021-09-17
2021-08-23,39.21,4479.53,2021-09-17
2021-08-24,40.53,4486.23,2021-09-17
2021-08-25,41.3,4496.19,2021-09-17
2021-08-26,40.77,4470.0,2021-09-17
2021-08-27,41.52,4509.37,2021-09-17
2021-08-30,39.91,4528.79,2021-09-17
